Downloaded at: 2026/09/16 16:15:26

,Setana,Setana,Setana,Setana,Setana,Setana,Imagane,Imagane,Imagane,Imagane,Imagane,Imagane,Esashi,Esashi,Esashi,Esashi,Esashi,Esashi,Okushiri,Okushiri,Okushiri,Okushiri,Okushiri,Okushiri,Uzura,Uzura,Uzura,Uzura,Uzura,Uzura,Yoneoka,Yoneoka,Yoneoka,Yoneoka,Yoneoka,Yoneoka
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/1/1,-0.4,8,1,-9.3,8,1,-1.1,8,1,-10.3,8,1,0.9,8,1,-7.6,8,1,1.1,8,1,-7.3,8,1,-4.0,8,1,-13.1,8,1,-0.8,8,1,-9.8,8,1
2022/1/2,3.0,8,1,-5.5,8,1,2.1,8,1,-6.7,8,1,4.4,8,1,-4.3,8,1,4.8,8,1,-3.7,8,1,3.0,8,1,-8.1,8,1,3.9,8,1,-6.1,8,1
2022/1/3,-3.0,8,1,-6.4,8,1,-4.3,8,1,-7.5,8,1,-1.3,8,1,-4.9,8,1,-1.1,8,1,-4.2,8,1,-3.6,8,1,-7.0,8,1,-2.9,8,1,-6.5,8,1
2022/1/4,-3.8,8,1,-6.9,8,1,-5.2,8,1,-13.3,8,1,-1.9,8,1,-7.2,8,1,-2.1,8,1,-5.4,8,1,-4.6,8,1,-19.8,8,1,-4.2,8,1,-7.2,8,1
2022/1/5,-0.5,8,1,-4.5,8,1,-0.7,8,1,-12.8,8,1,1.1,8,1,-6.5,8,1,1.2,8,1,-3.0,8,1,0.4,8,1,-22.1,8,1,-0.8,8,1,-4.7,8,1
2022/1/6,-0.3,8,1,-5.0,8,1,-0.4,8,1,-11.3,8,1,0.7,8,1,-1.8,8,1,1.1,8,1,-1.6,8,1,-0.5,8,1,-13.7,8,1,1.0,8,1,-1.8,8,1
2022/1/7,0.7,8,1,-3.5,8,1,0.5,8,1,-5.1,8,1,1.0,8,1,-1.9,8,1,2.5,8,1,-1.3,8,1,-0.1,8,1,-7.2,8,1,0.1,8,1,-3.6,8,1
2022/1/8,4.8,8,1,-2.5,8,1,2.9,8,1,-3.8,8,1,6.2,8,1,-1.4,8,1,6.5,8,1,-1.0,8,1,2.3,8,1,-5.1,8,1,5.2,8,1,-2.8,8,1
2022/1/9,3.0,8,1,-2.2,8,1,0.7,8,1,-8.5,8,1,5.9,8,1,-1.5,8,1,3.8,8,1,-1.2,8,1,0.7,8,1,-5.2,8,1,4.1,8,1,-2.3,8,1
2022/1/10,0.9,8,1,-4.7,8,1,0.1,8,1,-8.7,8,1,1.7,8,1,-3.1,8,1,1.2,8,1,-1.4,8,1,-0.2,8,1,-9.1,8,1,1.8,8,1,-2.1,8,1
2022/1/11,3.9,8,1,-3.7,8,1,3.5,8,1,-7.5,8,1,5.5,8,1,-4.8,8,1,6.4,8,1,0.1,8,1,4.4,8,1,-10.6,8,1,5.6,8,1,-1.9,8,1
2022/1/12,2.9,8,1,-1.3,8,1,1.9,8,1,-2.5,8,1,4.2,8,1,-0.6,8,1,4.5,8,1,-2.0,8,1,2.5,8,1,-1.7,8,1,3.1,8,1,-2.1,8,1
2022/1/13,0.8,8,1,-1.8,8,1,-0.9,8,1,-2.6,8,1,1.8,8,1,-1.1,8,1,2.3,8,1,-0.5,8,1,-0.4,8,1,-2.4,8,1,-0.5,8,1,-2.8,8,1
2022/1/14,1.4,8,1,-1.3,8,1,0.4,8,1,-2.3,8,1,2.0,8,1,-1.3,8,1,2.6,8,1,-0.4,8,1,0.6,8,1,-10.7,8,1,0.4,8,1,-2.4,8,1
2022/1/15,2.1,8,1,-0.5,8,1,1.8,8,1,-1.8,8,1,2.7,8,1,0.6,8,1,3.6,8,1,-0.5,8,1,2.1,8,1,-4.2,8,1,1.5,8,1,-1.7,8,1
2022/1/16,2.6,8,1,-4.6,8,1,1.4,8,1,-9.8,8,1,3.7,8,1,-2.5,8,1,4.8,8,1,-0.6,8,1,1.2,8,1,-8.3,8,1,4.9,8,1,-3.7,8,1
2022/1/17,2.9,8,1,-4.1,8,1,1.7,8,1,-5.5,8,1,3.6,8,1,-1.8,8,1,3.3,8,1,-3.2,8,1,0.9,8,1,-4.9,8,1,1.6,8,1,-3.8,8,1
2022/1/18,1.0,8,1,-6.3,8,1,-0.9,8,1,-12.5,8,1,1.7,8,1,-4.7,8,1,3.2,8,1,-3.9,8,1,0.4,8,1,-11.6,8,1,1.8,8,1,-5.3,8,1
2022/1/19,1.9,8,1,-7.0,8,1,1.6,8,1,-14.0,8,1,3.1,8,1,-6.7,8,1,2.9,8,1,-0.2,8,1,2.0,8,1,-17.2,8,1,2.2,8,1,-3.8,8,1
2022/1/20,0.6,8,1,-8.8,8,1,0.4,8,1,-14.2,8,1,-0.5,8,1,-4.0,8,1,2.1,8,1,-1.6,8,1,-1.2,8,1,-12.2,8,1,1.4,8,1,-3.1,8,1
2022/1/21,1.8,8,1,-9.8,8,1,1.3,8,1,-14.7,8,1,2.9,8,1,-7.7,8,1,2.6,8,1,-1.9,8,1,1.5,8,1,-17.6,8,1,1.8,8,1,-5.8,8,1
2022/1/22,0.7,8,1,-1.3,8,1,0.4,8,1,-6.7,8,1,2.0,8,1,-1.5,8,1,1.4,8,1,-0.3,8,1,1.0,8,1,-11.3,8,1,0.2,8,1,-2.0,8,1
2022/1/23,2.1,8,1,-2.9,8,1,0.8,8,1,-5.2,8,1,2.9,8,1,-1.2,8,1,1.9,8,1,0.2,8,1,1.8,8,1,-9.1,8,1,1.2,8,1,-3.6,8,1
2022/1/24,1.7,8,1,-1.7,8,1,1.3,8,1,-7.9,8,1,2.4,8,1,-3.2,8,1,1.7,8,1,-0.4,8,1,1.4,8,1,-12.2,8,1,0.7,8,1,-1.3,8,1
2022/1/25,2.6,8,1,-1.6,8,1,2.0,8,1,-5.8,8,1,2.6,8,1,-2.9,8,1,2.4,8,1,-0.2,8,1,1.5,8,1,-11.2,8,1,1.4,8,1,-1.0,8,1
2022/1/26,1.9,8,1,-1.6,8,1,1.9,8,1,-3.1,8,1,4.0,8,1,-0.4,8,1,3.9,8,1,0.4,8,1,2.9,8,1,-4.4,8,1,3.2,8,1,-0.5,8,1
2022/1/27,1.9,8,1,-2.7,8,1,1.0,8,1,-6.5,8,1,2.6,8,1,-1.7,8,1,2.8,8,1,-0.8,8,1,0.5,8,1,-10.1,8,1,1.1,8,1,-1.9,8,1
2022/1/28,-0.4,8,1,-4.2,8,1,-1.2,8,1,-7.2,8,1,1.2,8,1,-3.4,8,1,0.9,8,1,-2.4,8,1,-2.1,8,1,-9.0,8,1,-0.5,8,1,-4.6,8,1
2022/1/29,-2.9,8,1,-6.6,8,1,-3.4,8,1,-7.6,8,1,-0.9,8,1,-5.4,8,1,-0.9,8,1,-4.7,8,1,-2.3,8,1,-6.8,8,1,-2.6,8,1,-7.2,8,1
2022/1/30,-5.0,8,1,-7.6,8,1,-6.4,8,1,-10.2,8,1,-3.2,8,1,-6.4,8,1,-2.9,8,1,-6.4,8,1,-5.1,8,1,-8.3,8,1,-4.8,8,1,-8.2,8,1
2022/1/31,-3.5,8,1,-8.9,8,1,-4.1,8,1,-16.3,8,1,-2.6,8,1,-9.9,8,1,-1.9,8,1,-5.7,8,1,-4.4,8,1,-22.0,8,1,-3.5,8,1,-7.2,8,1
2022/2/1,-0.3,8,1,-9.8,8,1,-0.7,8,1,-15.3,8,1,0.5,8,1,-8.8,8,1,0.8,8,1,-2.8,8,1,-1.2,8,1,-23.1,8,1,-1.0,8,1,-3.8,8,1
2022/2/2,-0.2,8,1,-2.6,8,1,-0.5,8,1,-5.2,8,1,0.5,8,1,-1.9,8,1,1.1,8,1,-1.6,8,1,-0.9,8,1,-6.7,8,1,-0.7,8,1,-2.8,8,1
2022/2/3,-1.0,8,1,-4.4,8,1,-1.7,8,1,-5.1,8,1,-0.4,8,1,-3.4,8,1,-0.1,5,1,-3.0,5,1,-2.2,8,1,-5.1,8,1,-1.7,8,1,-4.7,8,1
2022/2/4,-2.3,8,1,-5.1,8,1,-2.3,8,1,-8.2,8,1,-1.8,8,1,-3.9,8,1,-1.3,8,1,-4.0,8,1,-3.1,8,1,-6.9,8,1,-2.9,8,1,-5.2,8,1
2022/2/5,-2.0,8,1,-5.1,8,1,-2.5,8,1,-9.5,8,1,-0.6,8,1,-4.6,8,1,-1.0,8,1,-4.2,8,1,-2.5,8,1,-11.8,8,1,-2.5,8,1,-5.7,8,1
2022/2/6,-1.5,8,1,-4.7,8,1,-2.0,8,1,-11.2,8,1,-1.2,8,1,-3.6,8,1,-0.8,8,1,-3.6,8,1,-2.8,8,1,-12.6,8,1,-3.1,8,1,-4.8,8,1
2022/2/7,-1.2,8,1,-3.7,8,1,-1.6,8,1,-8.8,8,1,-0.7,8,1,-3.1,8,1,-0.4,8,1,-3.2,8,1,-1.9,8,1,-12.5,8,1,-2.1,8,1,-4.5,8,1
2022/2/8,-0.7,8,1,-3.9,8,1,-1.0,8,1,-6.0,8,1,-0.4,8,1,-2.5,8,1,0.5,8,1,-2.7,8,1,-1.3,8,1,-6.9,8,1,-1.1,8,1,-3.8,8,1
2022/2/9,0.3,8,1,-4.4,8,1,-1.1,8,1,-9.6,8,1,0.7,8,1,-1.7,8,1,1.3,8,1,-0.4,8,1,-0.5,8,1,-9.7,8,1,0.2,8,1,-1.6,8,1
2022/2/10,2.6,8,1,-6.3,8,1,2.6,8,1,-9.9,8,1,3.1,8,1,-3.2,8,1,3.5,8,1,0.7,8,1,3.3,8,1,-12.3,8,1,2.9,8,1,-2.3,8,1
2022/2/11,2.7,8,1,-7.7,8,1,2.1,8,1,-15.1,8,1,2.9,8,1,-6.4,8,1,2.9,8,1,0.5,8,1,2.1,8,1,-17.0,8,1,2.5,8,1,-3.3,8,1
2022/2/12,3.4,8,1,-3.3,8,1,2.6,8,1,-6.4,8,1,5.3,8,1,-3.8,8,1,4.6,8,1,0.4,8,1,3.7,8,1,-10.5,8,1,4.2,8,1,-1.6,8,1
2022/2/13,1.4,8,1,-2.4,8,1,-0.1,8,1,-4.5,8,1,1.6,8,1,-1.5,8,1,2.7,8,1,-1.7,8,1,0.0,8,1,-2.4,8,1,0.7,8,1,-2.8,8,1
2022/2/14,3.0,8,1,-5.3,8,1,3.1,8,1,-9.8,8,1,3.4,8,1,-3.0,8,1,2.8,8,1,-0.8,8,1,3.2,8,1,-10.7,8,1,2.8,8,1,-3.3,8,1
2022/2/15,1.2,8,1,-6.0,8,1,1.0,8,1,-10.6,8,1,2.7,8,1,-3.4,8,1,2.8,8,1,0.6,8,1,0.0,8,1,-12.4,8,1,1.5,8,1,-0.5,8,1
2022/2/16,0.8,8,1,-2.1,8,1,0.9,8,1,-2.0,8,1,2.0,8,1,-0.7,8,1,3.1,8,1,0.3,8,1,0.4,8,1,-1.3,8,1,4.0,8,1,-0.1,8,1
2022/2/17,2.6,8,1,-2.2,8,1,1.5,8,1,-4.6,8,1,3.6,8,1,-2.8,8,1,3.4,8,1,0.6,8,1,0.3,8,1,-10.4,8,1,2.5,8,1,-1.0,8,1
2022/2/18,1.5,8,1,-3.6,8,1,1.2,8,1,-6.8,8,1,2.9,8,1,-4.0,8,1,1.9,8,1,-0.8,8,1,2.2,8,1,-14.2,8,1,1.7,8,1,-1.9,8,1
2022/2/19,2.7,8,1,-3.8,8,1,2.5,8,1,-7.6,8,1,3.3,8,1,-0.5,8,1,3.3,8,1,-1.1,8,1,2.3,8,1,-7.8,8,1,2.8,8,1,-1.9,8,1
2022/2/20,0.7,8,1,-4.1,8,1,0.8,8,1,-4.9,8,1,2.3,8,1,-3.4,8,1,1.9,8,1,-2.9,8,1,1.1,8,1,-4.9,8,1,0.8,8,1,-4.8,8,1
2022/2/21,-0.8,8,1,-4.3,8,1,-0.9,8,1,-5.1,8,1,-1.0,8,1,-3.9,8,1,-0.7,8,1,-2.9,8,1,-3.0,8,1,-5.7,8,1,-2.3,8,1,-5.6,8,1
2022/2/22,-1.5,8,1,-3.4,8,1,-2.3,8,1,-4.1,8,1,-1.2,8,1,-4.3,8,1,-0.9,8,1,-3.2,8,1,-2.3,8,1,-5.4,8,1,-2.3,8,1,-5.0,8,1
2022/2/23,-0.8,8,1,-3.3,8,1,-1.2,8,1,-4.1,8,1,-0.3,8,1,-3.0,8,1,0.0,8,1,-2.6,8,1,-0.7,8,1,-3.9,8,1,-1.3,8,1,-3.9,8,1
2022/2/24,0.7,8,1,-2.2,8,1,0.1,8,1,-2.7,8,1,0.7,8,1,-1.4,8,1,1.7,8,1,-1.1,8,1,-0.4,8,1,-2.8,8,1,0.4,8,1,-2.4,8,1
2022/2/25,2.9,8,1,0.2,8,1,2.0,8,1,-0.8,8,1,3.2,8,1,-0.3,8,1,3.8,8,1,1.2,8,1,2.2,8,1,-1.2,8,1,2.7,8,1,-0.2,8,1
2022/2/26,6.8,8,1,2.7,8,1,6.5,8,1,-2.3,8,1,7.3,8,1,3.1,8,1,7.5,8,1,1.6,8,1,6.5,8,1,1.8,8,1,6.1,8,1,2.5,8,1
2022/2/27,4.6,8,1,0.4,8,1,4.0,8,1,0.0,8,1,6.0,8,1,0.3,8,1,5.3,8,1,0.8,8,1,5.0,8,1,-1.7,8,1,4.4,8,1,-0.1,8,1
2022/2/28,2.9,8,1,-0.2,8,1,2.6,8,1,-0.8,8,1,3.7,8,1,1.0,8,1,3.7,8,1,1.1,8,1,2.3,8,1,-1.0,8,1,3.9,8,1,-0.3,8,1
2022/3/1,4.2,8,1,-3.0,8,1,4.3,8,1,-5.3,8,1,5.3,8,1,1.3,8,1,6.0,8,1,1.8,8,1,3.7,8,1,-4.5,8,1,5.7,8,1,0.7,8,1
2022/3/2,3.1,8,1,-3.3,8,1,3.5,8,1,-7.6,8,1,4.2,8,1,0.4,8,1,3.4,8,1,0.6,8,1,3.2,8,1,-6.0,8,1,4.3,8,1,0.4,8,1
2022/3/3,2.6,8,1,-1.8,8,1,2.4,8,1,-3.1,8,1,3.9,8,1,0.5,8,1,3.6,8,1,0.2,8,1,3.0,8,1,-3.7,8,1,3.2,8,1,-0.1,8,1
2022/3/4,3.1,8,1,-3.4,8,1,2.7,8,1,-7.5,8,1,3.8,8,1,-0.3,8,1,4.1,8,1,0.8,8,1,2.8,8,1,-6.7,8,1,4.1,8,1,0.1,8,1
2022/3/5,3.4,8,1,-3.5,8,1,2.3,8,1,-7.0,8,1,4.6,8,1,-0.3,8,1,4.8,8,1,-0.2,8,1,3.1,8,1,-7.5,8,1,5.1,8,1,-0.5,8,1
2022/3/6,2.7,8,1,-1.4,8,1,3.6,8,1,-1.6,8,1,4.1,8,1,-0.8,8,1,4.1,8,1,-0.6,8,1,2.5,8,1,-1.8,8,1,3.4,8,1,-1.2,8,1
2022/3/7,4.3,8,1,0.4,8,1,4.9,8,1,-1.8,8,1,5.3,8,1,0.6,8,1,4.5,8,1,1.3,8,1,4.8,8,1,-2.2,8,1,4.0,8,1,0.0,8,1
2022/3/8,4.0,8,1,-0.5,8,1,4.1,8,1,-4.0,8,1,5.2,8,1,1.5,8,1,4.5,5,1,1.4,5,1,3.8,8,1,-6.5,8,1,4.5,8,1,0.4,8,1
2022/3/9,5.3,8,1,-4.1,8,1,5.3,8,1,-7.3,8,1,5.7,8,1,-2.1,8,1,5.8,8,1,1.9,8,1,4.6,8,1,-10.1,8,1,5.9,8,1,-2.7,8,1
2022/3/10,6.9,8,1,-1.4,8,1,7.3,8,1,-6.9,8,1,7.6,8,1,-0.3,8,1,7.9,8,1,1.9,8,1,5.8,8,1,-8.2,8,1,6.9,8,1,1.7,8,1
2022/3/11,8.4,8,1,0.1,8,1,7.7,8,1,-4.4,8,1,9.4,8,1,0.9,8,1,9.0,8,1,4.3,8,1,8.2,8,1,-5.7,8,1,8.4,8,1,3.2,8,1
2022/3/12,5.6,8,1,-1.1,8,1,5.2,8,1,-3.6,8,1,6.3,8,1,3.8,8,1,6.6,8,1,3.7,8,1,5.0,8,1,-4.4,8,1,6.4,8,1,1.4,8,1
2022/3/13,5.9,8,1,-1.1,8,1,5.2,8,1,-3.4,8,1,7.5,8,1,0.7,8,1,7.6,8,1,1.9,8,1,5.1,8,1,-5.0,8,1,7.3,8,1,-0.1,8,1
2022/3/14,7.4,8,1,1.5,8,1,8.2,8,1,1.2,8,1,7.4,8,1,2.6,8,1,7.5,8,1,3.0,8,1,6.2,8,1,1.3,8,1,8.6,8,1,1.6,8,1
