Downloaded at: 2026/09/16 16:18:22

,Atsuma,Atsuma,Atsuma,Atsuma,Atsuma,Atsuma,Hobetsu,Hobetsu,Hobetsu,Hobetsu,Hobetsu,Hobetsu,Morino,Morino,Morino,Morino,Morino,Morino,Tomakomai,Tomakomai,Tomakomai,Tomakomai,Tomakomai,Tomakomai,Oogishi,Oogishi,Oogishi,Oogishi,Oogishi,Oogishi,Shiraoi,Shiraoi,Shiraoi,Shiraoi,Shiraoi,Shiraoi,Mukawa,Mukawa,Mukawa,Mukawa,Mukawa,Mukawa,Date,Date,Date,Date,Date,Date,Noboribetsu,Noboribetsu,Noboribetsu,Noboribetsu,Noboribetsu,Noboribetsu,Muroran,Muroran,Muroran,Muroran,Muroran,Muroran,Ootaki,Ootaki,Ootaki,Ootaki,Ootaki,Ootaki
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/1/1,-7.2,8,1,-23.7,8,1,-6.7,8,1,-21.8,8,1,-3.8,8,1,-13.8,8,1,-3.5,8,1,-12.0,8,1,-0.9,8,1,-10.8,8,1,-3.1,8,1,-13.7,8,1,-6.8,8,1,-22.7,8,1,-0.2,8,1,-10.4,8,1,-4.5,8,1,-12.1,8,1,-0.2,8,1,-9.6,8,1,-4.6,8,1,-14.3,8,1
2022/1/2,1.5,8,1,-20.9,8,1,1.3,8,1,-22.6,8,1,0.0,8,1,-7.0,8,1,2.3,8,1,-11.2,8,1,1.9,8,1,-8.8,8,1,2.5,8,1,-10.5,8,1,2.4,8,1,-21.7,8,1,2.5,8,1,-5.6,8,1,1.2,8,1,-7.2,8,1,3.0,8,1,-4.9,8,1,-1.2,8,1,-9.3,8,1
2022/1/3,-4.8,8,1,-19.7,8,1,-4.6,8,1,-19.8,8,1,-6.5,8,1,-9.1,8,1,-4.4,8,1,-8.1,8,1,-5.4,8,1,-7.6,8,1,-5.0,8,1,-7.7,8,1,-4.4,8,1,-16.9,8,1,-4.6,8,1,-7.2,8,1,-7.2,8,1,-9.1,8,1,-4.0,8,1,-6.5,8,1,-8.8,8,1,-10.7,8,1
2022/1/4,-5.9,8,1,-22.9,8,1,-5.9,8,1,-23.1,8,1,-7.0,8,1,-9.6,8,1,-3.2,8,1,-10.9,8,1,-5.5,8,1,-11.8,8,1,-4.6,8,1,-9.2,8,1,-6.0,8,1,-19.4,8,1,-5.3,8,1,-13.0,8,1,-6.2,8,1,-12.1,8,1,-4.6,8,1,-7.1,8,1,-8.5,8,1,-19.0,8,1
2022/1/5,-2.4,8,1,-17.1,8,1,-2.1,8,1,-21.2,8,1,-0.5,8,1,-8.2,8,1,-1.5,8,1,-12.2,8,1,-0.1,8,1,-13.7,8,1,0.7,8,1,-9.6,8,1,-2.4,8,1,-16.0,8,1,0.2,8,1,-12.8,8,1,-0.6,8,1,-8.4,8,1,0.4,8,1,-6.5,8,1,-3.2,8,1,-18.6,8,1
2022/1/6,-0.5,8,1,-14.4,8,1,-1.3,8,1,-19.1,8,1,-1.7,8,1,-11.5,8,1,-0.8,8,1,-15.2,8,1,0.5,8,1,-14.1,8,1,-0.3,8,1,-12.6,8,1,-1.8,8,1,-16.8,8,1,0.2,8,1,-10.6,8,1,-1.2,8,1,-9.4,8,1,0.6,8,1,-4.3,8,1,-3.3,8,1,-16.7,8,1
2022/1/7,-4.1,8,1,-17.1,8,1,-2.1,8,1,-17.9,8,1,-1.5,8,1,-9.0,8,1,-3.1,8,1,-9.6,8,1,0.4,8,1,-9.8,8,1,0.0,8,1,-9.2,8,1,-3.4,8,1,-16.8,8,1,-0.1,8,1,-8.2,8,1,-1.4,8,1,-7.2,8,1,0.0,8,1,-3.6,8,1,-3.7,8,1,-13.5,8,1
2022/1/8,-0.2,8,1,-20.0,8,1,-0.6,8,1,-18.2,8,1,0.1,8,1,-9.2,8,1,2.1,8,1,-13.4,8,1,-0.1,8,1,-10.3,8,1,1.6,8,1,-11.3,8,1,-0.2,8,1,-19.0,8,1,0.9,8,1,-9.5,8,1,-0.6,8,1,-7.9,8,1,1.9,8,1,-3.3,8,1,-2.4,8,1,-13.6,8,1
2022/1/9,1.2,8,1,-14.6,8,1,0.8,8,1,-15.5,8,1,-0.5,8,1,-8.7,8,1,2.0,8,1,-9.1,8,1,0.3,8,1,-5.3,8,1,1.2,8,1,-8.2,8,1,1.2,8,1,-15.1,8,1,0.8,8,1,-6.2,8,1,-0.1,8,1,-6.8,8,1,2.3,8,1,-3.3,8,1,-2.1,8,1,-12.8,8,1
2022/1/10,-0.1,8,1,-17.4,8,1,0.0,8,1,-16.2,8,1,-0.8,8,1,-11.0,8,1,0.4,8,1,-12.9,8,1,1.2,8,1,-12.0,8,1,1.7,8,1,-11.1,8,1,-1.1,8,1,-17.6,8,1,-0.1,8,1,-9.6,8,1,-0.9,8,1,-8.0,8,1,0.9,8,1,-3.5,8,1,-2.4,8,1,-14.8,8,1
2022/1/11,2.9,8,1,-15.8,8,1,1.6,8,1,-18.3,8,1,0.6,8,1,-11.0,8,1,2.6,8,1,-11.2,8,1,3.6,8,1,-10.5,8,1,2.7,8,1,-9.0,8,1,2.5,8,1,-14.7,8,1,3.5,8,1,-9.5,8,1,0.0,8,1,-7.7,8,1,4.1,8,1,-3.4,8,1,0.4,8,1,-14.1,8,1
2022/1/12,1.0,8,1,-1.0,8,1,1.5,8,1,-1.2,8,1,0.5,8,1,-1.9,8,1,2.0,8,1,-0.8,8,1,2.1,8,1,-1.2,8,1,2.5,8,1,-0.5,8,1,1.5,8,1,-0.7,8,1,2.5,8,1,-0.4,8,1,0.4,8,1,-3.0,8,1,2.7,8,1,-0.2,8,1,-0.1,8,1,-3.7,8,1
