Downloaded at: 2026/09/16 13:56:28

,Ibusuki,Ibusuki,Ibusuki,Ibusuki,Ibusuki,Ibusuki,Kanoya,Kanoya,Kanoya,Kanoya,Kanoya,Kanoya,Shibushi,Shibushi,Shibushi,Shibushi,Shibushi,Shibushi,Kimotsukimaeda,Kimotsukimaeda,Kimotsukimaeda,Kimotsukimaeda,Kimotsukimaeda,Kimotsukimaeda,Uchinoura,Uchinoura,Uchinoura,Uchinoura,Uchinoura,Uchinoura,Tashiro,Tashiro,Tashiro,Tashiro,Tashiro,Tashiro
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/1/1,11.8,8,1,1.6,8,1,11.6,8,1,-3.2,8,1,12.1,8,1,-1.7,8,1,13.2,8,1,-2.7,8,1,12.1,8,1,-1.3,8,1,10.0,8,1,-3.9,8,1
2022/1/2,14.0,8,1,5.0,8,1,14.6,8,1,2.1,8,1,15.6,8,1,2.4,8,1,16.2,8,1,1.4,8,1,15.0,8,1,2.3,8,1,12.5,8,1,0.2,8,1
2022/1/3,14.7,8,1,1.9,8,1,14.3,8,1,-2.3,8,1,15.7,8,1,0.4,8,1,15.5,8,1,-1.5,8,1,15.7,8,1,0.0,8,1,12.5,8,1,-3.3,8,1
2022/1/4,14.5,8,1,1.7,8,1,13.5,8,1,0.6,8,1,14.8,8,1,0.8,8,1,15.5,8,1,1.4,8,1,15.1,8,1,0.2,8,1,12.2,8,1,-0.6,8,1
2022/1/5,13.0,8,1,2.2,8,1,13.1,8,1,-1.8,8,1,15.3,8,1,0.8,8,1,13.7,8,1,-0.8,8,1,14.7,8,1,0.6,8,1,13.2,8,1,-2.6,8,1
2022/1/6,15.8,8,1,6.7,8,1,15.0,8,1,3.1,8,1,15.3,8,1,4.2,8,1,15.8,8,1,3.5,8,1,16.5,8,1,4.6,8,1,13.0,8,1,0.3,8,1
2022/1/7,12.9,8,1,2.7,8,1,13.5,8,1,-1.9,8,1,13.4,8,1,0.4,8,1,12.5,8,1,-0.8,8,1,13.1,8,1,0.6,8,1,11.8,8,1,-2.4,8,1
2022/1/8,12.0,8,1,5.3,8,1,10.6,8,1,1.6,8,1,10.5,8,1,2.8,8,1,10.5,8,1,2.4,8,1,12.8,8,1,2.5,8,1,9.9,8,1,0.9,8,1
2022/1/9,15.1,8,1,3.7,8,1,14.8,8,1,0.4,8,1,15.6,8,1,1.7,8,1,15.9,8,1,0.3,8,1,16.2,8,1,2.8,8,1,13.2,8,1,-1.0,8,1
2022/1/10,15.1,8,1,4.3,8,1,15.5,8,1,-0.1,8,1,15.7,8,1,3.1,8,1,16.9,8,1,1.6,8,1,15.2,8,1,2.8,8,1,14.6,8,1,-0.9,8,1
2022/1/11,11.9,8,1,5.4,8,1,11.3,8,1,4.5,8,1,11.9,8,1,2.6,8,1,12.9,8,1,3.7,8,1,11.8,8,1,4.4,8,1,9.3,8,1,3.4,8,1
2022/1/12,8.9,8,1,3.5,8,1,8.4,8,1,1.7,8,1,9.7,8,1,0.3,8,1,10.6,8,1,-0.1,8,1,9.4,8,1,2.0,8,1,7.0,8,1,2.5,8,1
2022/1/13,11.0,8,1,3.8,8,1,9.6,8,1,4.0,8,1,11.3,8,1,1.4,8,1,11.5,8,1,3.0,8,1,10.8,8,1,4.1,8,1,7.5,8,1,3.4,8,1
2022/1/14,11.0,8,1,3.1,8,1,11.0,8,1,-1.2,8,1,11.5,8,1,0.0,8,1,11.8,8,1,-0.1,8,1,11.6,8,1,-1.6,8,1,8.1,8,1,-2.5,8,1
2022/1/15,11.3,8,1,2.6,8,1,9.9,8,1,-1.3,8,1,10.7,8,1,0.2,8,1,11.2,8,1,-0.4,8,1,11.4,8,1,-0.8,8,1,9.5,8,1,-1.8,8,1
2022/1/16,15.8,8,1,3.9,8,1,14.8,8,1,-0.3,8,1,17.1,8,1,0.2,8,1,16.6,8,1,0.7,8,1,17.0,8,1,1.3,8,1,13.2,8,1,-1.7,8,1
2022/1/17,11.3,8,1,5.8,8,1,11.1,8,1,6.6,8,1,11.7,8,1,4.0,8,1,11.7,8,1,6.8,8,1,11.1,8,1,7.6,8,1,9.0,8,1,6.6,8,1
2022/1/18,12.3,8,1,3.9,8,1,12.0,8,1,-1.3,8,1,13.2,8,1,1.4,8,1,13.1,8,1,-0.5,8,1,12.8,8,1,-0.7,8,1,10.1,8,1,-2.6,8,1
2022/1/19,12.5,8,1,-0.7,8,1,11.9,8,1,-3.9,8,1,13.8,8,1,-1.0,8,1,13.3,8,1,-3.0,8,1,14.6,8,1,-1.0,8,1,10.0,8,1,-4.7,8,1
2022/1/20,12.0,8,1,2.6,8,1,11.3,8,1,0.6,8,1,12.8,8,1,2.6,8,1,13.3,8,1,0.3,8,1,12.0,8,1,1.0,8,1,9.2,8,1,-1.4,8,1
2022/1/21,12.2,8,1,2.5,8,1,12.9,8,1,0.9,8,1,13.0,8,1,0.7,8,1,12.5,8,1,1.0,8,1,12.9,8,1,-0.1,8,1,11.7,8,1,-1.7,8,1
2022/1/22,12.8,8,1,3.5,8,1,11.4,8,1,3.3,8,1,13.0,8,1,1.0,8,1,12.9,8,1,0.1,8,1,13.6,8,1,1.4,8,1,13.0,8,1,-1.3,8,1
2022/1/23,16.1,8,1,11.3,8,1,14.6,8,1,10.3,8,1,15.5,8,1,9.6,8,1,15.4,5,1,9.0,5,1,16.4,8,1,10.6,8,1,15.8,8,1,11.5,8,1
2022/1/24,14.8,8,1,11.7,8,1,13.0,8,1,10.5,8,1,12.7,8,1,9.8,8,1,13.5,8,1,10.5,8,1,14.0,8,1,10.4,8,1,13.9,8,1,9.9,8,1
2022/1/25,13.9,8,1,8.7,8,1,12.8,8,1,3.3,8,1,12.4,8,1,5.5,8,1,13.2,8,1,4.4,8,1,13.2,8,1,3.4,8,1,11.5,8,1,1.6,8,1
2022/1/26,16.8,8,1,4.8,8,1,16.6,8,1,1.9,8,1,17.3,8,1,3.6,8,1,18.7,8,1,2.9,8,1,18.0,8,1,2.9,8,1,14.4,8,1,0.2,8,1
2022/1/27,12.1,8,1,8.4,8,1,11.9,8,1,6.4,8,1,12.0,8,1,6.4,8,1,11.7,8,1,7.4,8,1,12.1,8,1,5.7,8,1,9.9,8,1,4.9,8,1
2022/1/28,14.7,8,1,6.7,8,1,14.5,8,1,5.1,8,1,15.8,8,1,4.9,8,1,16.5,8,1,5.4,8,1,15.6,8,1,5.7,8,1,13.0,8,1,2.5,8,1
2022/1/29,12.7,8,1,7.3,8,1,13.9,8,1,6.1,8,1,14.6,8,1,7.2,8,1,13.8,8,1,7.2,8,1,13.2,8,1,7.1,8,1,11.2,8,1,5.1,8,1
2022/1/30,11.7,8,1,6.7,8,1,11.2,8,1,1.3,8,1,11.9,8,1,3.9,8,1,11.6,8,1,3.3,8,1,11.3,8,1,2.5,8,1,9.5,8,1,4.3,8,1
2022/1/31,13.5,8,1,2.4,8,1,13.2,8,1,-0.3,8,1,14.2,8,1,2.0,8,1,15.1,8,1,-0.4,8,1,14.5,8,1,1.0,8,1,11.1,8,1,-0.5,8,1
2022/2/1,13.2,8,1,1.7,8,1,12.9,8,1,-1.4,8,1,14.6,8,1,0.2,8,1,14.3,8,1,-0.3,8,1,14.5,8,1,1.0,8,1,12.1,8,1,-1.6,8,1
2022/2/2,10.8,8,1,5.2,8,1,9.8,8,1,1.9,8,1,10.0,8,1,2.8,8,1,10.7,8,1,2.8,8,1,12.4,8,1,4.0,8,1,8.7,8,1,0.7,8,1
2022/2/3,8.2,8,1,5.5,8,1,6.5,8,1,3.8,8,1,6.5,8,1,4.7,8,1,6.9,8,1,4.3,8,1,8.4,8,1,4.0,8,1,6.5,8,1,2.7,8,1
2022/2/4,13.6,8,1,5.5,8,1,12.6,8,1,2.7,8,1,13.8,8,1,3.6,8,1,14.4,8,1,2.0,8,1,13.6,8,1,2.6,8,1,10.6,8,1,1.9,8,1
2022/2/5,8.3,8,1,3.9,8,1,9.3,8,1,4.4,8,1,10.6,8,1,2.5,8,1,12.0,8,1,2.5,8,1,10.3,8,1,1.9,8,1,6.8,8,1,3.0,8,1
2022/2/6,9.9,8,1,1.6,8,1,9.1,8,1,-0.3,8,1,10.4,8,1,-0.4,8,1,11.7,8,1,-0.3,8,1,10.6,8,1,0.2,8,1,7.2,8,1,-2.6,8,1
2022/2/7,10.3,8,1,-0.2,8,1,11.0,8,1,-2.8,8,1,11.8,8,1,-2.2,8,1,12.4,8,1,-3.1,8,1,11.6,8,1,-2.3,8,1,9.5,8,1,-4.1,8,1
2022/2/8,11.2,8,1,4.7,8,1,10.5,8,1,3.8,8,1,10.8,8,1,4.4,8,1,10.2,8,1,3.9,8,1,12.1,8,1,4.4,8,1,11.2,8,1,2.6,8,1
2022/2/9,13.1,8,1,7.6,8,1,12.0,8,1,6.6,8,1,12.9,8,1,5.9,8,1,12.0,8,1,5.4,8,1,13.3,8,1,6.3,8,1,11.3,8,1,5.5,8,1
2022/2/10,14.0,8,1,7.0,8,1,15.1,8,1,3.6,8,1,15.8,8,1,4.7,8,1,15.9,8,1,4.6,8,1,15.8,8,1,6.1,8,1,12.6,8,1,1.5,8,1
2022/2/11,14.5,8,1,4.1,8,1,14.7,8,1,-0.2,8,1,14.9,8,1,1.6,8,1,15.7,8,1,-0.1,8,1,14.8,8,1,1.1,8,1,12.9,8,1,-1.9,8,1
2022/2/12,15.4,8,1,6.4,8,1,13.5,8,1,7.6,8,1,15.2,8,1,5.5,8,1,14.1,8,1,4.4,8,1,13.9,8,1,6.5,8,1,13.2,8,1,2.7,8,1
2022/2/13,15.4,8,1,10.7,8,1,14.6,8,1,9.8,8,1,15.8,8,1,9.5,8,1,15.0,8,1,9.3,8,1,16.9,8,1,10.2,8,1,13.8,8,1,9.1,8,1
2022/2/14,15.3,8,1,5.9,8,1,14.8,8,1,6.2,8,1,15.9,8,1,6.6,8,1,14.9,8,1,6.6,8,1,15.1,8,1,4.9,8,1,14.1,8,1,4.6,8,1
2022/2/15,14.6,8,1,2.9,8,1,14.7,8,1,1.6,8,1,15.5,8,1,2.8,8,1,15.8,8,1,2.6,8,1,14.8,8,1,1.7,8,1,12.7,8,1,0.5,8,1
2022/2/16,9.8,8,1,5.0,8,1,9.6,8,1,4.0,8,1,10.7,8,1,2.4,8,1,12.4,8,1,2.4,8,1,10.8,8,1,2.8,8,1,8.0,8,1,3.9,8,1
2022/2/17,9.2,8,1,3.4,8,1,9.2,8,1,1.5,8,1,10.5,8,1,1.2,8,1,10.8,5,1,2.1,5,1,9.9,8,1,2.0,8,1,6.3,5,1,0.7,5,1
2022/2/18,11.7,8,1,3.5,8,1,10.7,5,1,2.5,5,1,11.2,5,1,1.8,5,1,11.6,8,1,1.8,8,1,11.4,8,1,2.7,8,1,10.6,8,1,0.7,8,1
2022/2/19,14.4,8,1,8.5,8,1,14.0,8,1,7.5,8,1,14.0,8,1,6.8,8,1,13.6,8,1,5.9,8,1,15.8,8,1,8.7,8,1,16.1,8,1,6.3,8,1
2022/2/20,9.1,8,1,3.0,8,1,8.9,8,1,2.1,8,1,8.7,8,1,1.7,8,1,10.7,8,1,1.8,8,1,9.0,8,1,2.9,8,1,7.5,8,1,1.6,8,1
2022/2/21,10.6,8,1,1.7,8,1,10.0,8,1,-0.8,8,1,10.8,8,1,-1.1,8,1,12.1,8,1,-0.4,8,1,10.5,8,1,2.7,8,1,7.4,8,1,-2.3,8,1
2022/2/22,12.2,8,1,3.7,8,1,11.5,8,1,0.6,8,1,12.6,8,1,1.7,8,1,13.4,8,1,0.7,8,1,12.7,8,1,1.1,8,1,10.0,8,1,-0.1,8,1
2022/2/23,8.8,8,1,4.4,8,1,8.0,8,1,3.2,8,1,9.3,8,1,3.4,8,1,9.9,8,1,4.0,8,1,9.8,8,1,5.0,8,1,7.1,8,1,2.6,8,1
2022/2/24,12.5,8,1,2.7,8,1,11.7,8,1,-1.4,8,1,13.0,8,1,0.9,8,1,13.7,8,1,1.2,8,1,13.6,8,1,-1.6,8,1,9.4,8,1,-3.0,8,1
2022/2/25,14.2,8,1,-0.4,8,1,13.1,8,1,-2.5,8,1,15.2,8,1,0.2,8,1,15.1,8,1,-1.6,8,1,15.6,8,1,-1.3,8,1,11.6,8,1,-4.0,8,1
2022/2/26,14.9,8,1,-0.9,8,1,14.4,8,1,-3.8,8,1,16.2,8,1,-1.1,8,1,16.8,8,1,-1.2,8,1,16.6,8,1,-3.8,8,1,12.7,8,1,-4.3,8,1
2022/2/27,17.6,8,1,3.6,8,1,16.0,8,1,2.8,8,1,19.3,8,1,5.4,8,1,17.9,8,1,4.9,8,1,18.8,8,1,3.5,8,1,15.0,8,1,-0.5,8,1
2022/2/28,19.2,8,1,1.6,8,1,18.9,8,1,-0.1,8,1,17.2,8,1,2.4,8,1,20.2,8,1,0.2,8,1,17.6,8,1,2.9,8,1,18.0,8,1,-2.7,8,1
2022/3/1,20.5,8,1,6.6,8,1,18.6,8,1,5.1,8,1,17.8,8,1,7.2,8,1,19.9,8,1,5.3,8,1,22.9,8,1,5.4,8,1,20.3,8,1,2.9,8,1
2022/3/2,17.1,8,1,6.4,8,1,15.3,8,1,7.9,8,1,18.1,8,1,6.8,8,1,18.0,8,1,7.9,8,1,16.9,8,1,9.1,8,1,14.7,8,1,7.4,8,1
2022/3/3,16.5,8,1,4.0,8,1,15.0,8,1,1.1,8,1,17.6,8,1,2.8,8,1,16.9,8,1,5.2,8,1,17.3,8,1,3.4,8,1,13.8,8,1,1.3,8,1
2022/3/4,14.5,8,1,2.5,8,1,15.2,8,1,-1.1,8,1,16.0,8,1,1.2,8,1,16.1,8,1,-0.2,8,1,15.4,8,1,-0.4,8,1,15.4,8,1,-1.9,8,1
2022/3/5,21.0,8,1,4.5,8,1,18.8,8,1,1.7,8,1,20.6,8,1,4.0,8,1,21.2,8,1,2.6,8,1,20.1,8,1,3.0,8,1,18.1,8,1,0.9,8,1
2022/3/6,15.5,8,1,5.7,8,1,15.2,8,1,3.1,8,1,16.8,8,1,4.6,8,1,17.1,8,1,4.4,8,1,17.0,8,1,6.1,8,1,12.5,8,1,2.4,8,1
2022/3/7,11.4,8,1,5.3,8,1,10.5,8,1,3.7,8,1,10.9,8,1,4.2,8,1,11.1,8,1,4.3,8,1,11.3,8,1,4.1,8,1,9.6,8,1,2.7,8,1
2022/3/8,17.5,8,1,2.2,8,1,16.4,8,1,-0.8,8,1,15.2,8,1,1.3,8,1,18.7,8,1,-0.1,8,1,16.4,8,1,0.3,8,1,15.0,8,1,-2.1,8,1
2022/3/9,18.9,8,1,2.4,8,1,17.5,8,1,-0.2,8,1,19.5,8,1,2.2,8,1,19.9,8,1,0.2,8,1,19.2,8,1,0.4,8,1,15.7,8,1,-2.1,8,1
2022/3/10,20.3,8,1,4.1,8,1,18.8,8,1,1.7,8,1,18.1,8,1,3.7,8,1,21.1,8,1,1.9,8,1,18.4,8,1,2.6,8,1,18.2,8,1,-0.5,8,1
2022/3/11,22.4,8,1,9.1,8,1,20.2,8,1,6.5,8,1,19.3,8,1,7.7,8,1,21.3,8,1,6.7,8,1,21.2,8,1,7.0,8,1,19.8,8,1,5.4,8,1
2022/3/12,23.9,8,1,8.6,8,1,23.2,8,1,7.2,8,1,21.3,8,1,8.6,8,1,25.4,8,1,7.3,8,1,23.1,8,1,6.5,8,1,21.8,8,1,4.6,8,1
2022/3/13,24.2,8,1,9.6,8,1,22.7,8,1,7.3,8,1,21.1,8,1,9.4,8,1,25.0,8,1,8.2,8,1,24.4,8,1,8.8,8,1,22.6,8,1,7.1,8,1
2022/3/14,26.4,8,1,14.6,8,1,24.2,8,1,16.2,8,1,24.6,8,1,14.7,8,1,27.3,8,1,15.0,8,1,26.1,8,1,13.8,8,1,23.3,8,1,12.7,8,1
2022/3/15,25.3,8,1,8.8,8,1,23.7,8,1,10.6,8,1,26.9,8,1,13.0,8,1,25.7,8,1,8.7,8,1,26.2,8,1,9.9,8,1,22.6,8,1,5.2,8,1
2022/3/16,24.5,8,1,7.1,8,1,24.5,8,1,5.8,8,1,27.2,8,1,8.6,8,1,26.2,8,1,5.9,8,1,27.0,8,1,5.6,8,1,23.2,8,1,1.3,8,1
2022/3/17,23.7,8,1,11.2,8,1,22.8,8,1,10.7,8,1,22.6,8,1,10.8,8,1,23.2,8,1,11.2,8,1,21.9,8,1,9.4,8,1,22.5,8,1,7.3,8,1
