Downloaded at: 2026/09/16 15:41:35

,Ebina,Ebina,Ebina,Ebina,Ebina,Ebina,Yokohama,Yokohama,Yokohama,Yokohama,Yokohama,Yokohama,Kounoshima,Kounoshima,Kounoshima,Kounoshima,Kounoshima,Kounoshima,Miura,Miura,Miura,Miura,Miura,Miura,Odawara,Odawara,Odawara,Odawara,Odawara,Odawara,Tsujidou,Tsujidou,Tsujidou,Tsujidou,Tsujidou,Tsujidou
Date,Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/1/1,8.0,8,1,-5.5,8,1,8.2,8,1,-0.9,8,1,,0,1,,0,1,7.2,8,1,-2.2,8,1,7.7,8,1,-3.2,8,1,8.5,8,1,-3.7,8,1
2022/1/2,8.7,8,1,-3.6,8,1,9.2,8,1,1.2,8,1,,0,1,,0,1,9.8,8,1,1.1,8,1,9.2,8,1,-2.0,8,1,9.6,8,1,-0.6,8,1
2022/1/3,10.4,8,1,-2.9,8,1,9.9,8,1,3.2,8,1,,0,1,,0,1,10.5,8,1,3.3,8,1,10.1,8,1,-1.6,8,1,11.1,8,1,0.7,8,1
2022/1/4,14.3,8,1,-2.7,8,1,13.1,8,1,2.4,8,1,,0,1,,0,1,13.8,8,1,2.8,8,1,14.5,8,1,-1.5,8,1,14.6,8,1,-0.8,8,1
2022/1/5,9.1,8,1,-2.1,8,1,8.7,8,1,2.6,8,1,,0,1,,0,1,9.5,8,1,1.5,8,1,9.6,8,1,-3.2,8,1,9.6,8,1,1.0,8,1
2022/1/6,2.7,8,1,-2.6,8,1,3.1,8,1,-0.3,8,1,,0,1,,0,1,3.7,8,1,-0.2,8,1,4.3,8,1,-0.6,8,1,2.4,8,1,-1.1,8,1
2022/1/7,10.1,8,1,-4.0,8,1,9.2,8,1,-1.5,8,1,,0,1,,0,1,9.1,8,1,-1.2,8,1,8.8,8,1,-2.6,8,1,9.8,8,1,-2.9,8,1
2022/1/8,10.3,8,1,-2.1,8,1,9.4,8,1,2.8,8,1,,0,1,,0,1,10.0,8,1,3.2,8,1,8.8,8,1,-0.4,8,1,9.9,8,1,0.9,8,1
2022/1/9,14.5,8,1,-3.3,8,1,11.7,8,1,1.3,8,1,,0,1,,0,1,13.2,8,1,6.6,8,1,14.7,8,1,-1.3,8,1,14.3,8,1,-0.8,8,1
2022/1/10,9.8,8,1,5.2,8,1,10.1,8,1,6.7,8,1,,0,1,,0,1,11.0,8,1,7.0,8,1,10.5,8,1,4.3,8,1,10.5,8,1,5.7,8,1
2022/1/11,7.1,8,1,2.5,8,1,8.4,8,1,4.8,8,1,,0,1,,0,1,10.9,8,1,5.3,8,1,8.6,8,1,3.6,8,1,9.9,8,1,4.8,8,1
2022/1/12,9.8,8,1,-1.5,8,1,9.4,8,1,3.1,8,1,,0,1,,0,1,9.8,8,1,1.7,8,1,10.6,8,1,-0.8,8,1,10.7,8,1,0.6,8,1
2022/1/13,11.2,8,1,-2.4,8,1,11.1,8,1,2.4,8,1,,0,1,,0,1,9.8,8,1,1.2,8,1,10.7,8,1,-1.5,8,1,11.4,8,1,0.0,8,1
2022/1/14,9.6,8,1,-2.9,8,1,9.3,8,1,1.4,8,1,,0,1,,0,1,9.6,8,1,0.4,8,1,9.8,8,1,-1.2,8,1,10.1,8,1,-1.0,8,1
2022/1/15,10.9,8,1,-4.1,8,1,10.8,8,1,1.5,8,1,,0,1,,0,1,10.7,8,1,1.8,8,1,10.5,8,1,-3.3,8,1,11.2,8,1,-1.6,8,1
2022/1/16,12.6,8,1,-2.9,8,1,13.0,8,1,2.2,8,1,,0,1,,0,1,13.1,8,1,2.5,8,1,12.8,8,1,-1.5,8,1,13.0,8,1,-0.4,8,1
2022/1/17,12.0,8,1,-2.0,8,1,10.9,8,1,3.0,8,1,,0,1,,0,1,12.6,8,1,2.9,8,1,12.9,8,1,-0.9,8,1,13.5,8,1,0.8,8,1
2022/1/18,8.6,8,1,-1.7,8,1,8.7,8,1,2.7,8,1,,0,1,,0,1,8.5,8,1,1.9,8,1,9.7,8,1,-0.9,8,1,9.3,8,1,1.1,8,1
2022/1/19,7.1,8,1,-2.0,8,1,7.5,8,1,1.5,8,1,,0,1,,0,1,8.0,8,1,2.1,8,1,8.1,8,1,-2.9,8,1,8.2,8,1,0.3,8,1
2022/1/20,8.1,8,1,-3.0,8,1,8.4,8,1,0.2,8,1,,0,1,,0,1,9.2,8,1,-0.4,8,1,9.3,8,1,-2.8,8,1,8.7,8,1,-0.7,8,1
2022/1/21,7.8,8,1,-3.8,8,1,7.5,8,1,1.1,8,1,,0,1,,0,1,8.3,8,1,1.1,8,1,9.2,8,1,-4.6,8,1,8.6,8,1,-0.4,8,1
2022/1/22,9.4,8,1,-4.9,8,1,8.9,8,1,0.9,8,1,,0,1,,0,1,9.7,8,1,0.3,8,1,9.2,8,1,-3.6,8,1,10.0,8,1,-1.2,8,1
2022/1/23,7.5,8,1,0.9,8,1,7.2,8,1,2.5,8,1,,0,1,,0,1,7.6,8,1,2.2,8,1,8.5,8,1,-0.8,8,1,8.0,8,1,2.1,8,1
2022/1/24,12.1,8,1,1.6,8,1,10.7,8,1,3.3,8,1,,0,1,,0,1,10.3,8,1,2.9,8,1,12.6,8,1,2.5,8,1,11.8,8,1,2.5,8,1
2022/1/25,7.7,8,1,-2.3,8,1,7.7,8,1,2.3,8,1,,0,1,,0,1,7.7,8,1,1.8,8,1,8.3,8,1,-1.6,8,1,8.0,8,1,-1.3,8,1
2022/1/26,10.7,8,1,2.6,8,1,9.3,8,1,4.2,8,1,,0,1,,0,1,9.4,8,1,4.5,8,1,11.9,8,1,2.8,8,1,10.8,8,1,3.8,8,1
2022/1/27,11.9,8,1,-1.6,8,1,11.2,8,1,3.3,8,1,,0,1,,0,1,11.3,8,1,3.4,8,1,12.2,8,1,0.6,8,1,11.7,8,1,1.3,8,1
2022/1/28,10.3,8,1,2.8,8,1,9.9,8,1,5.2,8,1,,0,1,,0,1,10.0,8,1,3.8,8,1,10.7,8,1,1.9,8,1,10.7,8,1,4.6,8,1
2022/1/29,10.0,8,1,1.0,8,1,9.4,8,1,3.6,8,1,,0,1,,0,1,9.9,8,1,4.1,8,1,9.9,8,1,1.0,8,1,11.4,8,1,2.0,8,1
2022/1/30,8.2,8,1,0.2,8,1,8.0,8,1,3.4,8,1,,0,1,,0,1,8.3,8,1,2.8,8,1,8.7,8,1,-0.4,8,1,8.6,8,1,2.3,8,1
2022/1/31,11.1,8,1,-1.4,8,1,10.4,8,1,1.9,8,1,,0,1,,0,1,10.0,8,1,2.5,8,1,9.8,8,1,-0.3,8,1,12.0,8,1,1.1,8,1
2022/2/1,10.8,8,1,-3.2,8,1,10.4,8,1,2.1,8,1,,0,1,,0,1,11.3,8,1,1.8,8,1,10.7,8,1,-2.1,8,1,12.0,8,1,0.2,8,1
2022/2/2,11.6,8,1,-2.1,8,1,11.0,8,1,2.5,8,1,,0,1,,0,1,11.1,8,1,1.7,8,1,12.7,8,1,-0.2,8,1,12.9,8,1,0.1,8,1
2022/2/3,11.8,8,1,-3.4,8,1,10.4,8,1,2.2,8,1,,0,1,,0,1,11.5,8,1,2.3,8,1,11.4,8,1,-1.7,8,1,12.3,8,1,0.2,8,1
2022/2/4,9.1,8,1,-0.7,8,1,8.1,8,1,4.1,8,1,,0,1,,0,1,9.2,8,1,3.5,8,1,8.5,8,1,-0.4,8,1,9.1,8,1,1.3,8,1
2022/2/5,9.0,8,1,-3.3,8,1,9.3,8,1,0.6,8,1,,0,1,,0,1,8.0,8,1,-0.1,8,1,9.0,8,1,-1.5,8,1,9.3,8,1,-1.0,8,1
2022/2/6,8.0,8,1,-5.8,8,1,7.3,8,1,-0.6,8,1,,0,1,,0,1,8.5,8,1,-1.8,8,1,9.0,8,1,-4.0,8,1,9.4,8,1,-2.8,8,1
2022/2/7,9.5,8,1,-3.8,8,1,9.6,8,1,0.5,8,1,,0,1,,0,1,9.2,8,1,0.2,8,1,10.7,8,1,-2.9,8,1,10.4,8,1,-0.9,8,1
2022/2/8,9.7,8,1,2.2,8,1,8.5,8,1,3.6,8,1,,0,1,,0,1,10.2,8,1,3.7,8,1,9.8,8,1,-0.1,8,1,10.4,8,1,3.1,8,1
2022/2/9,10.9,8,1,0.6,8,1,9.9,8,1,3.8,8,1,,0,1,,0,1,10.2,8,1,3.8,8,1,12.0,8,1,-1.4,8,1,10.5,8,1,3.0,8,1
2022/2/10,5.3,8,1,1.1,8,1,6.8,8,1,1.2,8,1,,0,1,,0,1,6.5,8,1,1.0,8,1,6.5,8,1,2.4,8,1,6.4,8,1,1.5,8,1
2022/2/11,10.5,8,1,0.8,8,1,9.8,8,1,1.4,8,1,,0,1,,0,1,8.6,8,1,1.8,8,1,10.1,8,1,2.1,8,1,10.6,8,1,1.6,8,1
2022/2/12,10.9,8,1,-1.2,8,1,9.8,8,1,1.7,8,1,,0,1,,0,1,10.3,8,1,2.2,8,1,10.1,8,1,-1.3,8,1,11.3,8,1,-0.5,8,1
2022/2/13,5.6,8,1,0.0,8,1,5.3,8,1,1.1,8,1,,0,1,,0,1,8.2,8,1,1.4,8,1,7.2,8,1,0.4,8,1,5.5,8,1,1.8,8,1
2022/2/14,8.1,8,1,0.0,8,1,7.5,8,1,1.1,8,1,,0,1,,0,1,6.2,8,1,1.5,8,1,8.3,8,1,0.4,8,1,7.8,8,1,0.6,8,1
2022/2/15,12.8,8,1,-0.5,8,1,12.5,8,1,1.8,8,1,,0,1,,0,1,12.9,8,1,1.4,8,1,12.4,8,1,0.3,8,1,12.8,8,1,0.0,8,1
2022/2/16,11.5,8,1,-0.6,8,1,12.5,8,1,2.8,8,1,,0,1,,0,1,11.9,8,1,2.6,8,1,12.6,8,1,0.7,8,1,12.1,8,1,1.8,8,1
2022/2/17,10.1,8,1,-2.8,8,1,9.2,8,1,1.8,8,1,,0,1,,0,1,10.0,8,1,1.5,8,1,9.1,8,1,-0.7,8,1,9.9,8,1,-1.1,8,1
2022/2/18,11.9,8,1,-4.2,8,1,11.3,8,1,1.4,8,1,,0,1,,0,1,12.4,8,1,3.2,8,1,13.3,8,1,-2.6,8,1,12.8,8,1,-1.3,8,1
2022/2/19,9.7,8,1,-1.2,8,1,8.0,8,1,2.9,8,1,,0,1,,0,1,9.6,8,1,1.7,8,1,10.5,8,1,-0.2,8,1,9.4,8,1,1.9,8,1
2022/2/20,11.8,8,1,2.6,8,1,10.5,8,1,3.3,8,1,,0,1,,0,1,11.7,8,1,2.8,8,1,11.8,8,1,1.6,8,1,12.1,8,1,3.3,8,1
2022/2/21,10.2,8,1,-1.3,8,1,10.4,8,1,1.3,8,1,,0,1,,0,1,9.5,8,1,0.2,8,1,10.8,8,1,-1.0,8,1,10.6,8,1,-0.5,8,1
2022/2/22,9.8,8,1,-4.3,8,1,9.2,8,1,0.6,8,1,,0,1,,0,1,10.4,8,1,0.9,8,1,12.2,8,1,-2.2,8,1,10.6,8,1,-1.1,8,1
2022/2/23,9.4,8,1,-3.3,8,1,9.1,8,1,1.3,8,1,,0,1,,0,1,9.2,8,1,1.8,8,1,9.8,8,1,-2.1,8,1,10.2,8,1,0.2,8,1
2022/2/24,10.2,8,1,-0.7,8,1,10.3,8,1,2.7,8,1,,0,1,,0,1,9.8,8,1,1.8,8,1,10.0,8,1,-1.4,8,1,10.9,8,1,1.3,8,1
2022/2/25,12.3,8,1,-3.4,8,1,12.8,8,1,1.5,8,1,,0,1,,0,1,11.4,8,1,0.7,8,1,12.0,8,1,-2.3,8,1,11.8,8,1,-0.5,8,1
2022/2/26,13.6,8,1,-0.1,8,1,14.0,8,1,3.7,8,1,,0,1,,0,1,13.7,8,1,4.3,8,1,15.0,8,1,-1.0,8,1,13.6,8,1,1.7,8,1
2022/2/27,18.1,8,1,2.0,8,1,18.1,8,1,5.5,8,1,,0,1,,0,1,15.2,8,1,6.5,8,1,17.2,8,1,3.5,8,1,18.2,8,1,6.2,8,1
2022/2/28,14.3,8,1,-0.7,8,1,14.8,8,1,4.7,8,1,,0,1,,0,1,14.3,8,1,5.2,8,1,14.2,8,1,0.6,8,1,15.1,8,1,2.2,8,1
2022/3/1,18.1,8,1,3.3,8,1,17.7,8,1,6.3,8,1,,0,1,,0,1,17.1,8,1,5.3,8,1,18.3,8,1,2.2,8,1,17.1,8,1,5.4,8,1
2022/3/2,16.0,8,1,3.9,8,1,14.8,8,1,9.0,8,1,,0,1,,0,1,16.3,8,1,8.5,8,1,15.9,8,1,5.4,8,1,17.0,8,1,6.8,8,1
2022/3/3,14.0,8,1,5.7,8,1,16.2,8,1,7.0,8,1,,0,1,,0,1,15.2,8,1,7.1,8,1,15.2,8,1,5.0,8,1,15.7,8,1,6.8,8,1
2022/3/4,12.6,8,1,4.8,8,1,12.4,8,1,6.4,8,1,,0,1,,0,1,12.2,8,1,5.2,8,1,12.9,8,1,3.6,8,1,12.4,8,1,6.0,8,1
2022/3/5,18.1,8,1,2.7,8,1,17.9,8,1,5.5,8,1,,0,1,,0,1,17.1,8,1,5.7,8,1,18.0,8,1,2.2,8,1,17.5,8,1,4.8,8,1
2022/3/6,14.3,8,1,2.5,8,1,12.4,8,1,5.3,8,1,,0,1,,0,1,14.0,8,1,3.2,8,1,14.3,8,1,3.3,8,1,14.4,8,1,4.6,8,1
2022/3/7,13.6,8,1,-1.8,8,1,13.2,8,1,3.1,8,1,,0,1,,0,1,12.6,8,1,1.2,8,1,13.3,8,1,0.5,8,1,14.0,8,1,0.5,8,1
2022/3/8,8.1,8,1,4.4,8,1,8.0,8,1,5.0,8,1,,0,1,,0,1,10.0,8,1,4.4,8,1,9.7,8,1,6.2,8,1,9.1,8,1,5.3,8,1
2022/3/9,13.5,8,1,2.7,8,1,12.5,8,1,4.9,8,1,,0,1,,0,1,12.6,8,1,4.1,8,1,14.6,8,1,4.4,8,1,13.7,8,1,4.3,8,1
2022/3/10,13.9,8,1,0.8,8,1,14.2,8,1,5.1,8,1,,0,1,,0,1,14.8,8,1,3.4,8,1,13.8,8,1,1.3,8,1,14.5,8,1,3.9,8,1
2022/3/11,18.9,8,1,4.0,8,1,18.2,8,1,6.3,8,1,,0,1,,0,1,17.9,8,1,5.4,8,1,18.7,8,1,3.0,8,1,18.0,8,1,5.8,8,1
2022/3/12,20.4,8,1,4.4,8,1,20.8,8,1,9.6,8,1,,0,1,,0,1,20.0,8,1,8.8,8,1,19.1,8,1,4.9,8,1,18.9,8,1,6.5,8,1
2022/3/13,18.9,8,1,8.2,8,1,20.0,8,1,10.5,8,1,,0,1,,0,1,19.9,8,1,8.9,8,1,19.4,8,1,6.6,8,1,18.3,8,1,10.0,8,1
2022/3/14,23.7,8,1,9.5,8,1,24.0,8,1,9.7,8,1,,0,1,,0,1,21.3,8,1,9.6,8,1,25.5,8,1,11.4,8,1,21.4,8,1,10.5,8,1
2022/3/15,23.1,8,1,7.7,8,1,19.2,8,1,7.6,8,1,,0,1,,0,1,23.2,8,1,8.0,8,1,24.2,8,1,8.6,8,1,22.9,8,1,8.3,8,1
2022/3/16,19.7,8,1,7.2,8,1,20.7,8,1,11.4,8,1,,0,1,,0,1,20.3,8,1,9.5,8,1,20.0,8,1,7.9,8,1,18.2,8,1,10.5,8,1
2022/3/17,20.3,8,1,8.7,8,1,19.9,8,1,10.2,8,1,,0,1,,0,1,19.5,8,1,9.0,8,1,19.8,8,1,9.2,8,1,19.3,8,1,8.5,8,1
2022/3/18,10.3,8,1,3.9,8,1,10.4,8,1,4.2,8,1,,0,1,,0,1,11.2,8,1,3.9,8,1,12.0,8,1,5.5,8,1,10.9,8,1,4.3,8,1
2022/3/19,15.0,8,1,5.8,8,1,16.2,8,1,5.1,8,1,,0,1,,0,1,15.7,8,1,4.7,8,1,13.9,8,1,7.7,8,1,16.0,8,1,5.9,8,1
2022/3/20,13.6,8,1,4.6,8,1,15.2,8,1,6.7,8,1,,0,1,,0,1,14.9,8,1,5.8,8,1,16.0,8,1,7.3,8,1,16.7,8,1,6.2,8,1
2022/3/21,14.4,8,1,6.8,8,1,12.9,8,1,7.1,8,1,,0,1,,0,1,14.4,8,1,7.0,8,1,14.1,8,1,7.2,8,1,15.2,8,1,7.4,8,1
2022/3/22,9.6,8,1,2.0,8,1,11.3,8,1,2.4,8,1,,0,1,,0,1,10.8,8,1,2.4,8,1,9.4,8,1,3.1,8,1,11.5,8,1,2.6,8,1
2022/3/23,10.8,8,1,1.7,8,1,10.5,8,1,2.2,8,1,,0,1,,0,1,10.2,8,1,2.3,8,1,11.5,8,1,0.5,8,1,12.1,8,1,1.8,8,1
