Downloaded at: 2026/09/16 15:35:27

,Inatori,Inatori,Inatori,Inatori,Inatori,Inatori,Ajiro,Ajiro,Ajiro,Ajiro,Ajiro,Ajiro,Mishima,Mishima,Mishima,Mishima,Mishima,Mishima,Fujisan,Fujisan,Fujisan,Fujisan,Fujisan,Fujisan,Gotenba,Gotenba,Gotenba,Gotenba,Gotenba,Gotenba
Date,Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃),Min temperature (℃),Min temperature (℃),Min temperature (℃),Max temperature (℃),Max temperature (℃),Max temperature (℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.,,Quality info,Homogeneity no.
2022/1/1,0.0,8,1,9.6,8,1,0.0,8,1,8.5,8,1,-4.3,8,1,8.8,8,1,-29.2,8,1,-17.7,8,1,-6.7,8,1,4.9,8,1
2022/1/2,3.7,8,1,10.7,8,1,2.7,8,1,9.3,8,1,-2.0,8,1,10.6,8,1,-21.5,8,1,-16.7,8,1,-4.6,8,1,6.3,8,1
2022/1/3,4.6,8,1,10.7,8,1,4.5,8,1,9.1,8,1,-0.6,8,1,12.0,8,1,-21.4,8,1,-17.4,8,1,-3.7,8,1,8.1,8,1
2022/1/4,4.2,8,1,12.3,8,1,4.1,8,1,12.7,8,1,0.8,8,1,14.4,8,1,-23.2,8,1,-19.8,8,1,-1.1,8,1,10.4,8,1
2022/1/5,3.3,8,1,10.1,8,1,2.7,8,1,9.1,8,1,-1.5,8,1,10.2,8,1,-20.9,8,1,-16.1,8,1,-4.3,8,1,6.7,8,1
2022/1/6,1.8,8,1,4.2,8,1,0.3,8,1,4.3,8,1,-0.2,8,1,5.0,5,1,-22.0,8,1,-14.9,8,1,-3.8,8,1,1.0,8,1
2022/1/7,1.9,8,1,9.3,8,1,1.9,8,1,9.5,8,1,-2.0,8,1,10.8,8,1,-22.8,8,1,-17.5,8,1,-4.7,8,1,7.0,8,1
2022/1/8,5.0,8,1,10.5,8,1,4.3,8,1,10.2,8,1,1.7,8,1,11.4,8,1,-19.8,8,1,-17.7,8,1,-3.6,8,1,7.6,8,1
