location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Nagoya,35.184532,136.95152,23.0,0,GMT,GMT
1,Toyohashi,34.76274,137.39241,11.0,0,GMT,GMT
2,Minamichita,34.622143,137.15909,0.0,0,GMT,GMT
3,Toyota,35.043934,137.17557,31.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.04,27176.64,35420.83,-2.1,-0.7
0,2021-01-02,8.67,30655.89,35457.50,-0.5,0.5
0,2021-01-03,6.41,21940.17,35497.01,-0.3,1.5
0,2021-01-04,10.72,31721.99,35539.33,-0.2,1.9
0,2021-01-05,7.49,27124.42,35584.38,0.7,2.3
0,2021-01-06,8.71,25442.32,35632.13,-1.8,0.5
0,2021-01-07,7.23,25757.29,35682.54,-7.7,-0.6
0,2021-01-08,11.48,34720.56,35735.66,-10.6,-7.9
0,2021-01-09,11.34,35237.04,35792.10,-8.8,-6.5
0,2021-01-10,10.79,28800.00,35851.83,-4.0,-1.4
0,2021-01-11,7.88,16765.36,35914.74,-2.0,0.2
0,2021-01-12,3.34,3292.44,35980.68,-0.1,2.6
0,2021-01-13,11.70,35501.01,36049.54,-1.5,0.1
0,2021-01-14,11.52,35574.39,36121.18,0.8,4.8
0,2021-01-15,12.00,35529.01,36195.47,1.4,3.6
0,2021-01-16,7.83,30056.26,36272.28,1.7,7.3
0,2021-01-17,8.73,32972.60,36351.49,-1.6,-0.1
0,2021-01-18,11.93,32149.97,36432.97,-2.8,-0.9
0,2021-01-19,8.22,31600.17,36516.60,-6.8,-1.5
0,2021-01-20,12.95,35850.86,36602.26,-3.8,-1.1
0,2021-01-21,12.76,32400.00,36689.82,-0.5,2.7
0,2021-01-22,3.33,113.37,36779.16,6.0,7.7
0,2021-01-23,1.76,0.00,36870.17,7.2,8.3
0,2021-01-24,2.22,3571.24,36962.73,4.5,7.1
0,2021-01-25,12.89,36000.00,37056.72,3.5,6.1
0,2021-01-26,9.13,21509.56,37152.04,7.1,9.4
0,2021-01-27,11.12,32182.02,37248.57,3.0,8.6
0,2021-01-28,3.84,3887.41,37346.39,1.3,6.4
0,2021-01-29,10.07,33481.40,37446.50,-4.7,-3.0
0,2021-01-30,11.26,34875.12,37548.96,-2.1,-0.2
0,2021-01-31,14.07,36000.00,37653.61,-2.8,1.9
0,2021-02-01,9.44,22728.44,37760.30,4.9,7.0
0,2021-02-02,12.01,30874.39,37868.90,-0.1,6.2
0,2021-02-03,8.61,33348.29,37979.26,-2.1,-0.3
0,2021-02-04,10.09,35998.60,38091.24,-1.0,0.8
0,2021-02-05,13.41,36000.00,38204.71,0.4,1.5
0,2021-02-06,14.73,36000.00,38319.53,1.9,5.0
0,2021-02-07,11.92,36000.00,38435.58,2.2,5.8
0,2021-02-08,13.14,35618.42,38552.72,-4.0,0.2
0,2021-02-09,13.69,28800.00,38670.81,-2.6,0.6
0,2021-02-10,10.01,28481.96,38789.76,0.5,1.8
0,2021-02-11,15.21,31715.20,38909.42,-0.2,2.4
0,2021-02-12,11.02,29636.68,39029.69,5.0,7.3
0,2021-02-13,12.09,34307.93,39150.43,6.8,8.8
0,2021-02-14,12.55,32400.00,39271.53,8.1,10.0
0,2021-02-15,3.25,11912.65,39392.89,4.6,10.2
0,2021-02-16,14.79,36528.67,39514.38,-1.3,1.4
0,2021-02-17,12.36,33481.49,39636.10,-7.5,-1.4
0,2021-02-18,11.99,34310.65,39759.10,-4.9,-3.8
0,2021-02-19,16.21,37307.83,39883.48,-1.7,0.3
0,2021-02-20,16.91,36984.50,40009.11,3.6,7.0
0,2021-02-21,16.76,37359.20,40135.87,6.2,10.3
0,2021-02-22,17.33,37289.22,40263.66,6.3,10.1
0,2021-02-23,14.03,36639.54,40392.36,-3.3,2.7
0,2021-02-24,18.07,39166.04,40521.86,-5.9,-4.3
0,2021-02-25,17.69,32400.00,40652.06,-3.2,1.3
0,2021-02-26,5.54,4096.60,40782.84,-2.2,2.6
0,2021-02-27,18.72,39233.52,40914.10,-1.9,0.7
0,2021-02-28,16.70,34272.67,41045.76,2.6,5.3
0,2021-03-01,14.83,33392.11,41177.68,9.4,13.4
0,2021-03-02,2.69,5359.59,41309.77,1.1,15.1
0,2021-03-03,18.79,32760.69,41441.95,0.3,4.6
0,2021-03-04,8.60,16079.07,41574.11,5.5,7.6
0,2021-03-05,4.76,4380.23,41706.15,9.1,10.8
0,2021-03-06,17.08,34556.98,41837.97,3.6,10.8
0,2021-03-07,8.11,10800.00,41969.47,4.2,6.3
0,2021-03-08,8.74,23332.98,42100.56,2.5,6.0
0,2021-03-09,11.80,27943.90,42231.32,5.4,7.0
0,2021-03-10,20.27,41899.17,42362.74,-1.2,3.9
0,2021-03-11,18.95,34804.74,42494.92,5.7,8.3
0,2021-03-12,4.89,2251.69,42627.76,8.6,10.6
0,2021-03-13,7.09,22537.94,42761.16,5.4,10.1
0,2021-03-14,21.09,42433.93,42895.05,-0.1,2.5
0,2021-03-15,20.43,40207.40,43029.32,2.8,4.5
0,2021-03-16,9.31,16824.70,43163.90,6.2,10.2
0,2021-03-17,21.32,42838.59,43298.70,-0.5,2.6
0,2021-03-18,22.19,42973.69,43433.63,2.2,7.8
0,2021-03-19,21.58,43108.75,43568.59,4.9,8.9
0,2021-03-20,17.42,28800.00,43703.52,11.1,15.6
0,2021-03-21,5.30,7200.00,43838.30,9.1,17.8
0,2021-03-22,21.90,43200.00,43972.87,0.5,1.4
0,2021-03-23,21.96,43200.00,44107.13,2.4,5.0
0,2021-03-24,21.17,36000.00,44240.99,8.0,9.6
0,2021-03-25,8.34,7200.00,44374.36,7.2,10.7
0,2021-03-26,21.50,43200.00,44507.16,3.2,6.7
0,2021-03-27,19.47,33717.18,44639.29,9.1,12.2
0,2021-03-28,5.02,7200.00,44770.67,13.1,13.9
0,2021-03-29,21.47,43027.14,44901.36,9.6,13.2
0,2021-03-30,18.53,33745.53,45032.30,7.6,13.9
0,2021-03-31,23.67,43200.00,45163.55,6.3,9.7
0,2021-04-01,20.90,43200.00,45295.06,10.2,12.8
0,2021-04-02,20.86,42278.37,45426.72,10.3,11.8
0,2021-04-03,16.17,36000.00,45558.46,10.4,12.5
0,2021-04-04,6.63,13607.93,45690.21,12.1,15.3
0,2021-04-05,22.38,36728.33,45821.85,4.7,6.9
0,2021-04-06,18.00,39720.64,45953.33,8.1,10.1
0,2021-04-07,24.04,43200.00,46084.53,2.0,5.0
0,2021-04-08,19.38,36024.93,46215.40,4.3,9.8
0,2021-04-09,24.30,43200.00,46345.82,-3.0,0.4
0,2021-04-10,24.48,43200.00,46475.71,2.6,5.5
0,2021-04-11,24.08,43200.00,46604.99,5.4,7.1
0,2021-04-12,18.03,30705.75,46733.55,7.7,11.6
0,2021-04-13,5.59,866.28,46861.31,14.0,15.4
0,2021-04-14,16.20,35272.54,46988.15,3.9,12.3
0,2021-04-15,20.91,31096.00,47114.00,5.2,8.1
0,2021-04-16,6.10,0.00,47238.75,9.6,11.8
0,2021-04-17,3.54,7741.97,47362.30,10.4,13.2
0,2021-04-18,21.04,43994.83,47484.70,3.8,5.4
0,2021-04-19,25.08,44248.75,47606.85,3.9,6.1
0,2021-04-20,25.84,44791.60,47728.81,7.0,8.7
0,2021-04-21,26.03,44760.06,47850.51,3.5,6.4
0,2021-04-22,22.87,45017.56,47971.84,5.5,11.9
0,2021-04-23,23.53,39729.04,48092.73,9.1,10.1
0,2021-04-24,19.40,39399.89,48213.07,10.5,12.2
0,2021-04-25,23.34,41044.83,48332.78,2.9,11.4
0,2021-04-26,26.82,43200.00,48451.76,1.3,3.2
0,2021-04-27,21.58,36000.00,48569.92,9.0,11.9
0,2021-04-28,8.49,3600.00,48687.14,13.9,15.0
0,2021-04-29,5.17,9691.89,48803.33,12.8,15.8
0,2021-04-30,23.19,40400.29,48918.40,9.9,12.8
0,2021-05-01,17.68,33439.88,49032.22,11.5,16.4
0,2021-05-02,20.19,44424.15,49144.70,5.7,8.4
0,2021-05-03,25.33,46773.42,49255.73,7.2,9.7
0,2021-05-04,23.54,33808.79,49365.18,11.3,15.0
0,2021-05-05,4.99,10764.67,49472.96,14.0,15.8
0,2021-05-06,26.82,41293.29,49578.95,10.1,13.3
0,2021-05-07,8.15,11786.68,49683.02,10.8,13.2
0,2021-05-08,15.67,20955.59,49785.21,14.8,16.6
0,2021-05-09,21.83,47393.18,49886.32,8.2,16.4
0,2021-05-10,25.75,43200.00,49986.42,8.3,11.0
0,2021-05-11,20.01,33023.62,50085.42,11.1,12.4
0,2021-05-12,10.39,5138.59,50183.23,11.7,13.0
0,2021-05-13,20.93,44216.12,50279.74,15.6,17.3
0,2021-05-14,26.33,44071.66,50374.87,16.9,18.7
0,2021-05-15,19.88,31908.90,50468.51,15.8,17.4
0,2021-05-16,5.88,97.61,50560.57,17.9,21.0
0,2021-05-17,6.84,10012.94,50650.95,19.8,22.4
0,2021-05-18,16.08,20088.78,50739.55,18.8,19.7
0,2021-05-19,7.56,4497.24,50826.26,18.1,19.8
0,2021-05-20,4.50,0.00,50910.98,19.8,21.4
0,2021-05-21,5.52,7294.69,50993.60,18.1,22.3
0,2021-05-22,19.18,35304.79,51074.03,13.1,14.4
0,2021-05-23,22.74,46455.21,51152.14,13.5,15.0
0,2021-05-24,13.12,23603.58,51227.83,14.8,17.3
0,2021-05-25,21.52,43609.32,51300.99,11.9,15.2
0,2021-05-26,17.97,28452.45,51371.51,10.0,12.5
0,2021-05-27,6.18,14122.52,51439.28,13.9,16.5
0,2021-05-28,20.41,32836.43,51504.29,16.1,18.0
0,2021-05-29,23.38,49480.24,51567.10,13.2,15.9
0,2021-05-30,28.44,50120.08,51627.76,11.1,12.4
0,2021-05-31,26.55,47244.81,51686.20,15.1,17.1
0,2021-06-01,25.50,39394.64,51742.36,16.1,17.6
0,2021-06-02,18.78,35079.44,51796.19,16.3,17.8
