location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Akita,39.683655,140.125,7.0,0,GMT,GMT
1,Oodate,40.246044,140.5618,69.0,0,GMT,GMT
2,Yuzawa,39.191563,140.50894,82.0,0,GMT,GMT
3,Oga,39.89455,139.83264,12.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,6.50,23177.23,33930.75,-8.6,-6.7
0,2021-01-02,2.86,613.92,33974.70,-8.3,-7.7
0,2021-01-03,7.08,25222.67,34022.06,-5.6,-3.3
0,2021-01-04,6.17,20863.41,34072.74,-5.7,-4.8
0,2021-01-05,4.67,5041.27,34126.72,-7.7,-4.7
0,2021-01-06,7.23,24935.37,34183.91,-6.6,-1.8
0,2021-01-07,4.81,8717.52,34244.26,-6.0,-0.5
0,2021-01-08,8.32,28800.00,34307.85,-9.0,-7.9
0,2021-01-09,5.76,20397.72,34375.39,-7.8,-6.4
0,2021-01-10,7.14,29179.74,34446.86,-7.3,-5.1
0,2021-01-11,8.30,28209.78,34522.10,-6.1,-4.9
0,2021-01-12,8.01,21759.77,34600.96,-1.6,0.4
0,2021-01-13,5.35,13082.91,34683.27,0.9,4.5
0,2021-01-14,6.56,12846.83,34768.88,-5.1,0.0
0,2021-01-15,10.14,27261.32,34857.63,-2.9,4.2
0,2021-01-16,3.88,3574.62,34949.36,-2.0,2.6
0,2021-01-17,4.99,2510.21,35043.93,-5.6,-4.3
0,2021-01-18,5.54,7220.00,35141.18,-4.4,-1.6
0,2021-01-19,5.94,15474.07,35240.96,-9.1,-5.7
0,2021-01-20,3.52,0.00,35343.13,-3.5,0.5
0,2021-01-21,3.34,1327.39,35447.52,1.6,3.3
0,2021-01-22,6.65,19151.52,35554.01,-1.6,2.7
0,2021-01-23,11.11,30302.06,35662.44,-4.8,-2.3
0,2021-01-24,10.17,32942.65,35772.69,-4.4,1.8
0,2021-01-25,9.31,29834.55,35884.60,-2.2,1.4
0,2021-01-26,8.58,27155.77,35998.06,1.2,6.6
0,2021-01-27,5.26,14400.00,36112.91,-2.8,6.7
0,2021-01-28,5.77,3308.32,36229.25,-4.2,1.9
0,2021-01-29,8.92,30244.44,36348.29,-5.6,-3.3
0,2021-01-30,9.10,32507.38,36470.07,-6.1,-4.9
0,2021-01-31,5.09,6034.26,36594.41,-6.4,-4.2
0,2021-02-01,10.86,21610.39,36721.15,0.8,7.3
0,2021-02-02,4.34,15151.67,36850.09,-7.4,-0.4
0,2021-02-03,8.78,27374.99,36981.09,-7.8,-6.2
0,2021-02-04,5.60,9110.65,37113.96,-8.6,-6.2
0,2021-02-05,8.23,24308.88,37248.56,-0.5,2.3
0,2021-02-06,8.63,26146.12,37384.72,1.1,3.3
0,2021-02-07,3.84,8950.46,37522.27,-5.6,2.1
0,2021-02-08,8.01,35143.36,37661.08,-9.5,-5.8
0,2021-02-09,10.75,30546.46,37800.99,-5.6,-2.7
0,2021-02-10,8.24,26654.46,37941.85,-1.3,0.1
0,2021-02-11,10.07,32400.00,38083.51,-4.0,-1.4
0,2021-02-12,14.20,36002.87,38225.85,-3.5,-1.3
0,2021-02-13,14.24,35080.89,38368.71,-2.4,1.5
0,2021-02-14,7.82,21826.60,38511.96,4.7,7.4
0,2021-02-15,2.12,3600.00,38655.47,3.6,7.9
0,2021-02-16,10.12,35626.04,38799.11,-7.2,-4.0
0,2021-02-17,8.81,27592.63,38942.96,-7.7,-4.2
0,2021-02-18,11.09,29664.63,39088.30,-3.9,-2.0
0,2021-02-19,4.38,608.00,39235.23,0.5,6.3
0,2021-02-20,5.53,11068.95,39383.60,0.0,6.4
0,2021-02-21,10.99,23859.27,39533.27,0.9,7.1
0,2021-02-22,8.24,21890.27,39684.12,5.6,10.1
0,2021-02-23,8.42,32836.90,39836.01,-7.9,-5.2
0,2021-02-24,10.60,28800.00,39988.81,-8.5,-6.0
0,2021-02-25,12.60,32528.08,40142.41,-4.7,-0.6
0,2021-02-26,13.46,33046.28,40296.66,-6.6,-3.9
0,2021-02-27,15.21,38471.33,40451.45,-6.8,-5.1
0,2021-02-28,16.93,36443.15,40606.67,-4.3,0.0
