location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Aomori,40.808434,140.75284,8.0,0,GMT,GMT
1,Hachinohe,40.52724,141.48305,19.0,0,GMT,GMT
2,Hirosaki,40.597538,140.53748,47.0,0,GMT,GMT
3,Mutsu,41.300526,141.26256,4.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,6.38,22685.86,33524.01,-11.5,-10.1
0,2021-01-02,5.88,26894.80,33570.00,-10.1,-9.2
0,2021-01-03,8.11,26487.65,33619.54,-7.2,-6.0
0,2021-01-04,7.12,27716.64,33672.58,-7.8,-6.9
0,2021-01-05,6.69,11095.33,33729.04,-8.1,-6.2
0,2021-01-06,7.60,27455.56,33788.86,-7.9,-3.6
0,2021-01-07,6.00,10192.35,33852.00,-6.5,-2.9
0,2021-01-08,9.15,31155.96,33918.51,-11.7,-10.7
0,2021-01-09,6.75,22896.22,33989.14,-9.0,-8.0
0,2021-01-10,6.85,26309.37,34063.88,-9.0,-7.3
0,2021-01-11,6.71,15587.98,34142.56,-7.9,-7.4
0,2021-01-12,9.81,31307.40,34225.01,-3.5,-1.1
0,2021-01-13,7.47,25941.13,34311.06,-1.5,1.3
0,2021-01-14,8.45,28950.03,34400.56,-6.4,-2.4
0,2021-01-15,9.72,27155.63,34493.33,-4.3,2.2
0,2021-01-16,7.64,25348.13,34589.21,-3.3,1.1
0,2021-01-17,9.09,31350.32,34688.04,-7.7,-5.9
0,2021-01-18,7.36,15858.33,34789.67,-6.1,-4.2
0,2021-01-19,4.69,12534.20,34893.92,-9.9,-7.1
0,2021-01-20,3.53,0.00,35000.66,-4.8,0.5
0,2021-01-21,3.90,1473.93,35109.72,1.3,2.9
0,2021-01-22,5.23,5211.46,35220.95,-3.5,1.3
0,2021-01-23,6.89,22514.82,35334.20,-6.5,-4.9
0,2021-01-24,11.33,33273.42,35449.33,-4.5,-0.9
0,2021-01-25,9.49,32530.09,35566.19,-1.7,0.8
0,2021-01-26,9.18,24763.44,35684.65,-0.5,3.2
0,2021-01-27,5.35,11989.96,35804.55,-3.8,4.1
0,2021-01-28,6.62,2049.59,35926.00,-4.7,-0.7
0,2021-01-29,10.11,26543.69,36050.25,-6.1,-4.0
0,2021-01-30,4.77,13113.83,36177.35,-7.0,-4.4
0,2021-01-31,4.75,3600.00,36307.11,-8.3,-6.7
0,2021-02-01,11.30,21600.00,36439.35,-1.4,3.7
0,2021-02-02,7.36,21045.78,36573.88,-8.6,-2.2
0,2021-02-03,9.06,27018.85,36710.54,-9.9,-8.7
0,2021-02-04,7.45,11609.61,36849.15,-10.4,-6.7
0,2021-02-05,8.97,26976.38,36989.53,-3.7,1.0
0,2021-02-06,8.36,21823.23,37131.53,0.3,2.2
0,2021-02-07,6.50,20541.66,37274.97,-6.4,0.1
0,2021-02-08,9.22,30795.05,37419.72,-10.4,-9.3
0,2021-02-09,11.46,32358.56,37565.58,-8.3,-5.7
0,2021-02-10,5.53,4061.47,37712.43,-3.5,-2.7
0,2021-02-11,9.18,19391.12,37860.11,-5.0,-4.0
0,2021-02-12,14.62,36000.00,38008.47,-5.5,-1.8
0,2021-02-13,14.78,36000.00,38157.36,-0.9,3.5
0,2021-02-14,10.74,32220.80,38306.66,3.2,5.1
0,2021-02-15,3.46,2995.28,38456.20,2.3,4.9
0,2021-02-16,10.99,36000.00,38605.86,-8.2,-5.5
0,2021-02-17,12.15,32400.00,38755.74,-8.1,-4.3
0,2021-02-18,8.76,11211.52,38907.17,-2.8,-1.7
0,2021-02-19,7.78,7521.33,39060.22,-0.3,3.8
0,2021-02-20,5.76,1335.41,39214.77,-1.0,3.9
0,2021-02-21,6.64,10800.00,39370.67,-2.6,0.6
0,2021-02-22,5.61,7257.16,39527.78,1.0,3.0
0,2021-02-23,12.05,30235.12,39685.98,-8.4,-5.8
0,2021-02-24,12.15,32400.00,39845.10,-9.5,-8.7
0,2021-02-25,13.35,34162.79,40005.04,-5.4,-1.8
0,2021-02-26,10.13,17541.80,40165.66,-8.0,-5.3
0,2021-02-27,16.51,37252.40,40326.83,-6.5,-4.9
0,2021-02-28,17.73,32661.43,40488.43,-2.7,2.7
0,2021-03-01,7.22,5300.96,40650.34,2.6,3.9
0,2021-03-02,4.51,5590.66,40812.42,-1.4,3.5
0,2021-03-03,11.21,18091.71,40974.58,-6.9,-5.6
0,2021-03-04,18.52,39025.92,41136.67,-1.1,1.2
0,2021-03-05,17.18,32483.28,41298.58,3.0,4.5
0,2021-03-06,7.18,2509.99,41460.20,-6.5,-1.6
0,2021-03-07,13.45,34850.65,41621.42,-6.1,-3.9
0,2021-03-08,9.22,16583.38,41782.10,-4.1,-2.6
0,2021-03-09,19.13,38495.40,41942.36,-2.0,1.6
0,2021-03-10,11.85,30660.21,42103.41,-1.9,-0.1
0,2021-03-11,18.73,33730.86,42265.36,-0.8,1.7
0,2021-03-12,12.07,22093.22,42428.11,1.0,5.0
0,2021-03-13,11.42,14677.74,42591.53,1.7,3.6
0,2021-03-14,5.79,7200.00,42755.54,2.6,4.1
0,2021-03-15,19.72,41778.39,42920.01,0.9,3.6
0,2021-03-16,9.91,19146.94,43084.85,0.2,4.1
0,2021-03-17,8.95,10800.00,43249.95,-0.5,0.8
0,2021-03-18,8.85,9923.69,43415.20,-0.2,0.2
0,2021-03-19,13.21,33261.03,43580.50,-1.9,-0.5
0,2021-03-20,16.63,32400.00,43745.74,1.4,6.2
0,2021-03-21,4.17,6071.11,43910.82,5.9,8.9
0,2021-03-22,15.35,41848.23,44075.64,-2.1,0.4
0,2021-03-23,16.54,41298.28,44240.07,-0.8,6.1
0,2021-03-24,18.13,33673.37,44404.03,4.9,6.0
0,2021-03-25,7.93,3326.39,44567.40,7.0,9.6
0,2021-03-26,13.47,36004.63,44730.08,3.9,8.5
0,2021-03-27,19.09,42708.69,44891.96,0.2,3.8
0,2021-03-28,11.32,17096.28,45052.92,8.5,11.2
0,2021-03-29,17.95,42541.50,45213.07,6.8,10.4
0,2021-03-30,18.42,33356.22,45373.53,2.9,6.4
0,2021-03-31,19.83,42960.84,45534.40,4.5,5.6
0,2021-04-01,21.25,43764.45,45695.60,2.2,4.4
0,2021-04-02,19.12,35166.43,45857.02,3.0,7.6
0,2021-04-03,15.65,32758.31,46018.56,8.3,9.5
0,2021-04-04,3.30,0.00,46180.12,6.6,10.0
0,2021-04-05,11.53,31067.90,46341.60,-0.3,4.2
0,2021-04-06,17.62,35515.54,46502.90,-1.5,1.1
0,2021-04-07,21.61,41925.28,46663.91,1.3,5.1
0,2021-04-08,21.68,41966.41,46824.53,-4.6,-2.1
0,2021-04-09,15.63,39859.56,46984.64,-1.5,0.9
0,2021-04-10,17.95,42066.47,47144.15,-1.1,1.9
0,2021-04-11,23.43,46339.23,47302.93,0.2,2.9
0,2021-04-12,21.47,34902.73,47460.88,5.2,8.2
0,2021-04-13,4.20,98.76,47617.89,8.5,11.9
0,2021-04-14,13.86,23457.61,47773.82,-2.4,1.1
0,2021-04-15,21.53,45460.42,47928.57,-0.6,2.2
0,2021-04-16,18.77,32400.00,48082.01,5.5,10.3
0,2021-04-17,4.17,0.00,48234.02,10.9,12.4
0,2021-04-18,10.91,15100.69,48384.67,5.9,10.2
0,2021-04-19,20.20,43287.24,48535.06,5.2,8.2
0,2021-04-20,22.94,46800.00,48685.27,0.5,9.1
0,2021-04-21,25.24,46800.00,48835.20,-2.5,4.6
0,2021-04-22,23.40,46800.00,48984.75,0.8,4.1
0,2021-04-23,25.39,46800.00,49133.80,2.0,6.3
0,2021-04-24,18.24,29837.83,49282.23,3.7,6.6
0,2021-04-25,20.01,42329.36,49429.94,0.4,5.7
0,2021-04-26,23.02,46357.97,49576.81,-1.1,0.7
0,2021-04-27,25.33,45960.54,49722.71,1.1,4.3
0,2021-04-28,15.98,27705.97,49867.53,10.0,11.4
0,2021-04-29,8.64,0.00,50011.14,8.4,11.6
0,2021-04-30,10.14,11803.19,50153.40,5.8,7.2
0,2021-05-01,18.10,22216.66,50294.21,5.0,6.2
0,2021-05-02,11.01,23175.09,50433.40,4.6,7.5
