location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Matsuyama,33.848858,132.70236,26.0,0,GMT,GMT
1,Uwajima,33.216167,132.56157,4.0,0,GMT,GMT
2,Niihama,33.989452,133.37079,10.0,0,GMT,GMT
3,Imabari,34.059753,132.97499,5.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,7.35,19685.45,35827.48,-2.8,0.5
0,2021-01-02,5.48,15007.31,35862.21,-1.8,-0.2
0,2021-01-03,10.20,30690.78,35899.63,-1.0,1.3
0,2021-01-04,11.83,32400.00,35939.70,-0.3,1.7
0,2021-01-05,7.37,23056.94,35982.38,-0.3,2.1
0,2021-01-06,8.21,27281.67,36027.61,-3.6,0.8
0,2021-01-07,7.48,25387.29,36075.36,-8.6,1.6
0,2021-01-08,10.82,34836.94,36125.68,-9.8,-8.4
0,2021-01-09,11.39,34330.66,36179.14,-7.9,-4.3
0,2021-01-10,8.20,20215.87,36235.74,-4.8,-2.7
0,2021-01-11,9.41,25280.63,36295.35,-1.1,3.4
0,2021-01-12,7.80,21934.30,36357.83,-0.2,2.6
0,2021-01-13,8.49,28705.35,36423.08,2.6,6.0
0,2021-01-14,11.28,34588.92,36490.97,2.4,6.9
0,2021-01-15,10.86,32400.00,36561.38,5.6,9.5
0,2021-01-16,8.59,32179.05,36634.18,2.6,10.8
0,2021-01-17,7.76,28804.24,36709.26,-5.1,-1.7
0,2021-01-18,9.32,26289.87,36786.51,-1.0,4.1
0,2021-01-19,10.94,33197.84,36865.79,-2.8,-1.7
0,2021-01-20,13.39,35005.34,36947.01,0.6,3.4
0,2021-01-21,12.85,32400.00,37030.04,7.4,10.0
0,2021-01-22,5.93,14400.00,37114.76,11.0,12.8
0,2021-01-23,2.20,0.00,37201.07,6.6,8.3
0,2021-01-24,5.59,11304.28,37288.86,4.9,6.8
0,2021-01-25,13.56,32904.34,37378.01,3.4,5.3
0,2021-01-26,5.18,11968.19,37468.43,8.9,11.3
0,2021-01-27,13.34,34619.50,37560.01,4.1,6.8
0,2021-01-28,12.90,33261.97,37652.81,-0.6,5.6
0,2021-01-29,5.90,7705.20,37747.80,-6.6,-3.4
0,2021-01-30,11.14,31029.34,37845.03,0.3,3.9
0,2021-01-31,14.01,36738.43,37944.34,1.1,5.1
