location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Fukui,36.098415,136.22568,12.0,0,GMT,GMT
1,Tsuruga,35.676624,135.98456,4.0,0,GMT,GMT
2,Obama,35.46573,135.6923,6.0,0,GMT,GMT
3,Oono,35.95782,136.45537,172.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,9.14,29910.38,35133.95,-1.0,0.5
0,2021-01-02,7.32,26405.04,35172.01,-1.4,1.4
0,2021-01-03,7.18,21974.30,35213.02,-0.4,0.9
0,2021-01-04,6.10,25329.45,35256.92,0.4,2.3
0,2021-01-05,4.60,11383.96,35303.67,1.3,4.3
0,2021-01-06,5.81,21625.16,35353.21,0.7,2.3
0,2021-01-07,5.79,26663.66,35405.50,-5.5,-0.5
0,2021-01-08,6.07,13452.02,35460.61,-4.2,-3.3
0,2021-01-09,5.32,4281.18,35519.16,-4.1,-2.7
0,2021-01-10,8.76,29378.38,35581.12,-2.1,-0.6
0,2021-01-11,11.16,26725.49,35646.38,-3.1,-0.9
0,2021-01-12,5.58,4370.18,35714.78,-0.5,0.7
0,2021-01-13,6.85,23773.13,35786.19,-0.2,0.8
0,2021-01-14,6.93,24514.54,35860.50,-1.2,3.9
0,2021-01-15,12.43,30617.10,35937.53,-0.6,2.5
0,2021-01-16,2.82,91.12,36017.19,0.3,4.2
0,2021-01-17,5.48,16487.40,36099.33,-0.9,2.2
0,2021-01-18,3.96,9143.67,36183.82,-0.6,1.2
0,2021-01-19,3.82,5050.48,36270.53,-5.2,-3.8
0,2021-01-20,12.48,35105.87,36359.33,-6.8,-3.6
0,2021-01-21,12.73,32400.00,36450.11,-0.6,3.8
0,2021-01-22,2.21,0.00,36542.73,4.3,6.8
0,2021-01-23,2.16,0.00,36637.06,3.0,4.1
0,2021-01-24,3.45,4777.51,36733.00,4.1,6.4
0,2021-01-25,12.40,34863.92,36830.42,1.3,4.8
0,2021-01-26,8.04,19858.95,36929.21,5.5,8.1
0,2021-01-27,6.83,23576.44,37029.24,1.2,7.4
0,2021-01-28,4.49,4693.44,37130.60,0.0,3.1
0,2021-01-29,8.02,33788.86,37234.34,-5.2,-3.8
0,2021-01-30,8.52,28721.54,37340.50,-1.4,2.0
0,2021-01-31,9.90,35968.67,37448.92,-4.4,1.2
0,2021-02-01,5.92,9332.02,37559.46,3.0,6.9
0,2021-02-02,6.95,25916.57,37671.96,-0.4,5.1
0,2021-02-03,6.53,21509.38,37786.28,-2.4,-0.5
0,2021-02-04,5.00,13175.76,37902.27,-0.8,2.0
0,2021-02-05,8.64,21554.21,38019.80,-0.7,1.3
0,2021-02-06,12.42,36000.00,38138.72,2.8,4.6
0,2021-02-07,8.85,28800.00,38258.90,2.4,7.2
0,2021-02-08,5.36,4978.28,38380.20,-4.6,-1.0
0,2021-02-09,9.55,27245.58,38502.49,-2.2,-0.2
0,2021-02-10,6.72,16973.06,38625.65,1.2,3.3
0,2021-02-11,13.18,34569.17,38749.55,-0.6,1.8
0,2021-02-12,12.34,34491.42,38874.06,2.7,5.9
0,2021-02-13,13.77,36299.32,38999.06,5.5,6.8
0,2021-02-14,13.99,32400.00,39124.43,6.6,8.3
0,2021-02-15,1.66,0.00,39250.06,3.7,9.1
0,2021-02-16,11.00,25589.74,39375.82,-1.4,1.0
0,2021-02-17,9.91,25265.24,39501.81,-4.6,-1.3
0,2021-02-18,10.20,17972.13,39629.12,-3.0,-1.2
0,2021-02-19,9.78,17191.68,39757.85,-2.0,-0.3
0,2021-02-20,15.21,36072.51,39887.86,4.1,6.0
0,2021-02-21,16.60,37510.42,40019.05,4.5,8.3
0,2021-02-22,16.31,37769.82,40151.29,5.5,9.4
0,2021-02-23,5.43,10464.90,40284.46,-5.4,-0.1
0,2021-02-24,11.20,30631.48,40418.47,-6.2,-2.2
0,2021-02-25,16.57,28800.00,40553.18,-2.8,0.8
0,2021-02-26,8.02,8803.17,40688.50,-2.7,2.0
0,2021-02-27,17.31,38910.06,40824.31,-4.9,-1.6
0,2021-02-28,17.49,34630.15,40960.52,1.4,5.1
0,2021-03-01,16.03,32400.00,41097.00,7.6,11.4
0,2021-03-02,1.95,3600.00,41233.67,-1.1,7.0
0,2021-03-03,15.96,36314.60,41370.41,-2.7,3.1
0,2021-03-04,14.72,25303.93,41507.12,3.3,5.1
0,2021-03-05,3.50,0.00,41643.70,7.3,9.0
0,2021-03-06,5.93,7095.66,41780.06,1.1,8.8
0,2021-03-07,17.44,33459.99,41916.09,0.7,2.8
0,2021-03-08,14.01,38273.17,42051.69,-0.4,1.8
0,2021-03-09,15.17,33191.19,42186.95,3.4,5.3
0,2021-03-10,17.10,36760.22,42322.89,-1.7,4.9
0,2021-03-11,20.06,35679.13,42459.60,2.3,6.2
0,2021-03-12,7.85,3161.70,42596.99,6.7,9.0
0,2021-03-13,4.93,5728.60,42734.98,5.7,8.2
0,2021-03-14,17.25,41380.79,42873.46,0.4,3.8
0,2021-03-15,18.53,35890.35,43012.33,1.9,4.6
0,2021-03-16,3.90,6743.63,43151.53,6.3,10.4
0,2021-03-17,20.85,42825.87,43290.94,-0.2,1.8
0,2021-03-18,21.03,39914.34,43430.49,1.2,2.9
0,2021-03-19,19.95,43007.25,43570.08,3.4,6.6
0,2021-03-20,14.65,21803.00,43709.63,9.6,12.6
0,2021-03-21,3.97,7183.34,43849.03,7.1,15.3
0,2021-03-22,17.68,41792.57,43988.21,1.5,3.8
0,2021-03-23,21.58,43200.00,44127.07,0.5,3.1
0,2021-03-24,20.93,33460.18,44265.52,5.7,8.7
0,2021-03-25,9.82,20351.21,44403.46,6.6,10.3
0,2021-03-26,17.37,43200.00,44540.81,4.1,8.9
0,2021-03-27,17.74,25444.74,44677.48,6.6,9.0
0,2021-03-28,3.94,5885.71,44813.36,11.8,13.1
0,2021-03-29,20.66,41715.73,44948.54,9.4,12.3
0,2021-03-30,15.07,28881.49,45083.97,7.4,10.1
0,2021-03-31,23.21,43200.00,45219.74,3.1,7.9
0,2021-04-01,23.16,43200.00,45355.77,5.6,10.5
0,2021-04-02,20.66,43123.94,45491.96,9.1,12.4
0,2021-04-03,20.34,36615.42,45628.24,9.2,12.2
0,2021-04-04,3.76,757.29,45764.51,10.3,14.0
0,2021-04-05,18.88,38235.13,45900.70,1.9,3.7
0,2021-04-06,18.30,37948.42,46036.71,5.3,6.2
0,2021-04-07,23.55,41469.53,46172.45,2.3,4.7
0,2021-04-08,21.64,43200.00,46307.83,3.2,6.9
0,2021-04-09,22.32,42165.15,46442.76,-2.4,1.6
0,2021-04-10,24.64,43200.00,46577.16,0.9,4.8
0,2021-04-11,23.91,43200.00,46710.91,4.8,7.2
0,2021-04-12,20.94,28800.00,46843.93,6.1,9.2
0,2021-04-13,7.81,7450.34,46976.12,11.6,13.4
0,2021-04-14,10.90,15087.83,47107.39,3.3,10.5
0,2021-04-15,24.33,39713.39,47237.62,3.5,5.5
0,2021-04-16,15.09,25758.20,47366.71,7.9,10.9
0,2021-04-17,3.25,6833.98,47494.57,9.5,12.7
0,2021-04-18,16.46,43492.31,47621.25,3.3,5.5
0,2021-04-19,23.93,44038.74,47747.67,3.2,6.3
0,2021-04-20,25.15,43200.00,47873.91,8.8,11.5
0,2021-04-21,25.70,44554.25,47999.87,3.3,8.5
0,2021-04-22,22.63,44813.89,48125.47,2.6,6.6
0,2021-04-23,24.26,36517.15,48250.61,8.2,11.6
0,2021-04-24,21.78,39600.00,48375.20,11.0,13.9
0,2021-04-25,21.38,42633.05,48499.14,3.4,8.4
0,2021-04-26,26.78,43385.98,48622.32,-0.3,2.3
0,2021-04-27,23.11,36143.71,48744.66,6.3,11.1
0,2021-04-28,5.81,2496.21,48866.04,12.9,13.5
0,2021-04-29,3.52,8010.73,48986.37,10.3,12.3
0,2021-04-30,15.18,19751.63,49105.53,9.1,12.2
0,2021-05-01,16.20,29561.77,49223.40,9.8,13.5
0,2021-05-02,8.92,19269.68,49339.90,6.9,9.1
0,2021-05-03,23.15,46873.28,49454.90,8.2,11.6
0,2021-05-04,24.22,33637.88,49568.28,8.4,13.1
0,2021-05-05,5.12,10691.21,49679.93,12.9,14.6
0,2021-05-06,25.65,36764.86,49789.73,10.0,12.9
0,2021-05-07,11.56,23651.26,49897.55,9.4,13.6
0,2021-05-08,19.05,25915.28,50003.42,12.1,14.5
0,2021-05-09,25.56,48179.25,50108.19,7.5,14.7
0,2021-05-10,17.07,18658.64,50211.92,8.8,11.2
0,2021-05-11,20.35,34177.58,50314.51,8.3,10.3
0,2021-05-12,16.87,27090.60,50415.87,10.3,12.7
0,2021-05-13,22.96,46668.05,50515.90,13.8,15.9
0,2021-05-14,26.56,47167.91,50614.50,14.6,17.4
0,2021-05-15,23.30,32151.16,50711.56,13.8,17.5
0,2021-05-16,7.86,4778.17,50806.99,16.4,19.4
0,2021-05-17,3.84,3343.83,50900.69,17.0,19.4
0,2021-05-18,10.99,9091.29,50992.55,16.1,17.1
0,2021-05-19,8.43,11753.20,51082.45,15.4,17.7
0,2021-05-20,6.30,69.36,51170.30,17.5,20.6
0,2021-05-21,7.70,4574.46,51255.98,15.6,20.2
0,2021-05-22,15.38,42898.05,51339.37,13.6,14.6
0,2021-05-23,23.63,47663.72,51420.39,13.2,15.3
0,2021-05-24,12.62,21058.66,51498.89,15.5,16.7
0,2021-05-25,21.81,44306.54,51574.77,11.7,14.6
0,2021-05-26,19.90,30622.96,51647.92,8.7,12.7
0,2021-05-27,4.76,0.00,51718.22,13.7,16.0
0,2021-05-28,24.29,40838.29,51785.66,13.7,16.3
0,2021-05-29,21.72,48752.67,51850.82,13.0,15.2
0,2021-05-30,26.09,49118.01,51913.75,11.9,14.1
0,2021-05-31,26.64,48615.45,51974.39,12.8,14.5
0,2021-06-01,27.57,43504.34,52032.66,14.4,17.4
0,2021-06-02,24.28,48483.65,52088.52,14.9,17.3
0,2021-06-03,21.36,26081.82,52141.90,14.5,18.4
0,2021-06-04,5.68,10958.28,52192.73,15.2,19.5
0,2021-06-05,22.18,28710.03,52240.98,11.7,15.0
