location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Fukuoka (Hakata),33.56766,130.37175,8.0,0,GMT,GMT
1,Kitakyushu (Yahata),33.919155,130.84789,7.0,0,GMT,GMT
2,Kurume,33.286465,130.50554,14.0,0,GMT,GMT
3,Munakata,33.778557,130.52238,9.0,0,GMT,GMT
4,Yanagawa,33.14587,130.4059,7.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,2.92,3600.00,35911.29,-1.0,0.5
0,2021-01-02,2.88,1308.82,35945.62,-1.2,1.9
0,2021-01-03,10.35,29684.89,35982.62,-2.3,-0.8
0,2021-01-04,11.86,32400.00,36022.23,-1.0,0.8
0,2021-01-05,6.61,14400.00,36064.42,-0.2,3.2
0,2021-01-06,5.62,7815.30,36109.13,-3.1,0.9
0,2021-01-07,4.08,7200.00,36156.34,-8.3,-4.1
0,2021-01-08,8.77,29092.13,36206.08,-7.9,-4.7
0,2021-01-09,7.15,29086.24,36258.93,-5.4,-3.4
0,2021-01-10,4.03,2859.73,36314.88,-3.0,-0.2
0,2021-01-11,8.05,15351.11,36373.81,-0.6,1.9
0,2021-01-12,7.79,19761.64,36435.59,-0.9,1.2
0,2021-01-13,5.84,12086.56,36500.10,2.8,4.7
0,2021-01-14,9.32,32962.38,36567.22,4.9,8.1
0,2021-01-15,11.52,33017.11,36636.83,7.2,8.8
0,2021-01-16,11.87,32743.48,36708.81,1.1,7.2
0,2021-01-17,7.75,29395.69,36783.05,-4.7,-2.6
0,2021-01-18,7.17,23595.92,36859.42,-1.5,2.6
0,2021-01-19,11.87,34376.49,36937.81,-2.3,-1.5
0,2021-01-20,13.45,33716.45,37018.11,2.3,4.4
0,2021-01-21,9.44,27979.07,37100.21,8.2,10.7
0,2021-01-22,5.19,11450.61,37183.99,12.3,14.2
0,2021-01-23,3.37,4033.14,37269.33,8.3,11.1
0,2021-01-24,6.83,15409.97,37356.14,3.3,7.0
0,2021-01-25,13.83,34579.97,37444.30,3.5,6.6
0,2021-01-26,2.22,26.95,37533.71,8.7,11.3
0,2021-01-27,9.46,32906.38,37624.27,3.1,6.4
0,2021-01-28,9.31,33870.55,37716.04,-1.9,4.6
0,2021-01-29,9.42,19197.62,37809.98,-5.8,-4.2
0,2021-01-30,8.18,24495.61,37906.13,0.1,1.6
0,2021-01-31,14.00,35055.60,38004.35,2.2,4.6
0,2021-02-01,5.30,18137.65,38104.49,7.5,11.5
0,2021-02-02,14.18,35172.50,38206.43,-2.9,1.4
0,2021-02-03,11.23,30954.48,38310.04,-1.4,2.3
0,2021-02-04,9.53,25244.38,38415.18,1.3,6.0
0,2021-02-05,9.19,19800.80,38521.72,3.7,5.0
0,2021-02-06,12.26,35512.54,38629.55,5.9,8.7
0,2021-02-07,13.67,38073.44,38738.53,5.0,8.1
0,2021-02-08,15.42,38362.46,38848.55,-3.4,-0.5
0,2021-02-09,15.70,35596.63,38959.49,-2.3,-0.7
