location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Gifu,35.395428,136.78618,17.0,0,GMT,GMT
1,Gujo Hachiman,35.74692,136.97165,550.0,0,GMT,GMT
2,Nakatsugawa,35.536026,137.48395,313.0,0,GMT,GMT
3,Shirakawa-go,36.239014,136.93108,486.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,10.04,30493.96,35355.27,-1.2,-0.2
0,2021-01-02,8.05,30664.69,35392.26,0.0,0.7
0,2021-01-03,5.82,21779.36,35432.11,-0.3,1.4
0,2021-01-04,9.61,31593.44,35474.78,-0.4,1.7
0,2021-01-05,8.53,26368.01,35520.22,0.7,2.2
0,2021-01-06,7.87,24352.17,35568.39,-2.2,0.3
0,2021-01-07,5.49,21430.04,35619.22,-7.1,0.5
0,2021-01-08,10.99,35114.51,35672.80,-9.4,-7.2
0,2021-01-09,11.45,34941.49,35729.71,-7.8,-6.9
0,2021-01-10,10.05,29018.19,35789.96,-3.9,-1.2
0,2021-01-11,9.26,22866.80,35853.40,-2.2,0.5
0,2021-01-12,3.20,4792.09,35919.91,-0.5,2.6
0,2021-01-13,10.62,34783.16,35989.35,-1.5,0.7
0,2021-01-14,9.23,31973.78,36061.60,0.2,3.9
0,2021-01-15,11.70,34223.29,36136.51,0.5,6.2
0,2021-01-16,6.21,25151.75,36213.97,1.0,7.2
0,2021-01-17,8.00,29771.20,36293.85,-1.9,-0.2
0,2021-01-18,10.53,35205.17,36376.02,-2.8,0.7
0,2021-01-19,8.23,33065.70,36460.35,-7.0,-2.2
0,2021-01-20,12.86,35782.74,36546.72,-4.5,-2.5
0,2021-01-21,12.66,32400.00,36635.02,-0.2,3.9
0,2021-01-22,2.19,0.00,36725.11,6.0,7.5
0,2021-01-23,1.39,0.00,36816.88,7.2,8.9
0,2021-01-24,2.26,3504.66,36910.21,4.2,7.6
0,2021-01-25,13.00,35939.26,37004.99,2.9,5.7
0,2021-01-26,8.46,24084.03,37101.09,7.0,8.8
0,2021-01-27,10.59,31546.05,37198.42,2.3,8.1
0,2021-01-28,3.23,3825.74,37297.05,0.9,5.1
0,2021-01-29,8.88,35842.00,37397.99,-5.3,-3.0
0,2021-01-30,11.94,34652.18,37501.29,-1.6,0.8
0,2021-01-31,13.97,36000.00,37606.80,-3.9,2.3
0,2021-02-01,6.43,14400.00,37714.37,4.1,6.3
0,2021-02-02,10.82,32400.00,37823.86,-0.7,6.1
0,2021-02-03,8.20,29420.81,37935.13,-2.0,-0.5
0,2021-02-04,8.26,24195.88,38048.02,-0.9,0.6
0,2021-02-05,11.98,35633.38,38162.42,0.6,1.6
0,2021-02-06,14.57,36000.00,38278.18,1.9,3.4
0,2021-02-07,11.71,36000.00,38395.17,2.0,5.8
0,2021-02-08,11.23,30460.95,38513.26,-5.0,-0.2
0,2021-02-09,12.50,28042.53,38632.32,-2.8,0.8
0,2021-02-10,10.48,30471.91,38752.22,1.1,3.9
0,2021-02-11,15.39,32400.00,38872.85,-0.4,2.9
0,2021-02-12,10.29,29922.60,38994.08,3.3,5.1
0,2021-02-13,11.58,36000.00,39115.80,6.6,10.0
0,2021-02-14,12.51,32400.00,39237.88,7.9,9.5
0,2021-02-15,3.46,12862.86,39360.22,4.0,10.3
0,2021-02-16,13.22,34563.56,39482.68,-2.0,0.6
0,2021-02-17,12.82,36782.69,39605.38,-7.2,-1.2
0,2021-02-18,10.38,31278.81,39729.36,-4.7,-2.9
0,2021-02-19,13.52,34875.30,39854.74,-2.0,0.4
0,2021-02-20,15.97,37269.45,39981.37,3.9,7.9
0,2021-02-21,16.66,37382.15,40109.14,6.5,11.1
0,2021-02-22,17.24,37602.11,40237.95,5.8,9.7
0,2021-02-23,16.12,37819.60,40367.67,-3.8,2.2
0,2021-02-24,17.95,38615.07,40498.20,-6.1,-4.6
0,2021-02-25,17.56,32400.00,40629.43,-3.9,-0.6
0,2021-02-26,5.87,4413.15,40761.25,-2.6,2.2
0,2021-02-27,18.73,39004.61,40893.56,-2.9,0.2
0,2021-02-28,16.49,32591.09,41026.25,2.3,3.5
0,2021-03-01,14.15,33096.45,41159.21,9.4,13.5
0,2021-03-02,2.98,6108.07,41292.36,0.4,14.5
0,2021-03-03,18.82,33036.75,41425.58,-0.7,2.8
0,2021-03-04,7.79,13538.19,41558.78,5.4,7.0
0,2021-03-05,3.22,0.00,41691.85,8.8,10.4
0,2021-03-06,16.98,34019.18,41824.71,2.6,10.8
0,2021-03-07,13.04,22006.57,41957.24,3.6,6.8
0,2021-03-08,10.26,29669.58,42089.37,1.7,6.6
0,2021-03-09,10.50,23537.53,42221.16,4.9,7.8
0,2021-03-10,20.18,41888.91,42353.62,-2.0,3.2
0,2021-03-11,19.87,35560.63,42486.83,4.4,7.8
0,2021-03-12,6.28,2926.84,42620.71,8.3,11.1
0,2021-03-13,8.09,24090.68,42755.16,5.4,11.5
0,2021-03-14,21.02,42427.85,42890.10,-0.3,3.2
0,2021-03-15,20.21,39351.90,43025.42,2.3,3.3
0,2021-03-16,9.74,18474.51,43161.06,6.0,9.6
0,2021-03-17,21.05,42835.69,43296.91,-1.3,2.6
0,2021-03-18,21.94,42878.19,43432.90,2.2,6.0
0,2021-03-19,21.21,43107.96,43568.92,4.6,7.7
0,2021-03-20,16.19,29598.22,43704.90,11.3,15.4
0,2021-03-21,5.46,9372.51,43840.74,8.9,18.1
0,2021-03-22,20.62,43200.00,43976.37,0.1,1.7
0,2021-03-23,21.56,43200.00,44111.67,2.0,3.9
0,2021-03-24,21.19,35402.67,44246.59,7.8,9.9
0,2021-03-25,8.91,11862.90,44381.01,6.7,10.0
0,2021-03-26,21.14,43200.00,44514.85,2.6,6.7
0,2021-03-27,18.27,35312.18,44648.01,8.8,12.3
0,2021-03-28,4.11,7200.00,44780.42,13.1,13.9
0,2021-03-29,21.78,43200.00,44912.14,8.9,13.7
0,2021-03-30,17.66,35678.39,45044.10,6.8,11.5
0,2021-03-31,23.45,43200.00,45176.39,6.2,10.2
0,2021-04-01,21.70,43200.00,45308.93,10.0,11.8
0,2021-04-02,20.52,40376.17,45441.63,10.5,11.8
0,2021-04-03,14.55,32381.29,45574.41,10.7,12.9
0,2021-04-04,4.83,7200.00,45707.19,12.2,15.8
0,2021-04-05,22.79,39368.23,45839.87,4.5,6.4
0,2021-04-06,17.60,39600.00,45972.39,7.7,10.0
0,2021-04-07,24.15,42861.11,46104.63,0.6,4.4
0,2021-04-08,19.78,43242.00,46236.53,3.7,7.0
0,2021-04-09,24.43,43201.89,46367.98,-3.1,0.0
0,2021-04-10,24.88,43200.00,46498.90,2.6,6.0
0,2021-04-11,24.03,43200.00,46629.20,5.9,7.2
0,2021-04-12,18.41,30199.98,46758.78,7.9,12.0
0,2021-04-13,4.65,551.65,46887.55,13.9,14.9
0,2021-04-14,15.26,31738.59,47015.41,3.2,12.1
0,2021-04-15,22.36,31642.89,47142.26,5.1,7.7
0,2021-04-16,5.72,1916.00,47268.00,9.8,11.6
0,2021-04-17,2.94,7471.85,47392.54,10.3,13.8
0,2021-04-18,20.80,43724.86,47515.92,3.5,5.2
0,2021-04-19,25.04,44267.08,47639.04,3.7,6.4
0,2021-04-20,25.70,44811.32,47761.98,7.0,9.4
0,2021-04-21,26.02,44779.55,47884.64,3.7,7.2
0,2021-04-22,21.91,45037.64,48006.96,5.4,11.3
0,2021-04-23,23.18,37850.56,48128.81,9.7,10.6
0,2021-04-24,20.26,34162.49,48250.13,10.9,12.0
0,2021-04-25,23.62,42220.19,48370.81,2.4,11.1
0,2021-04-26,27.00,43200.00,48490.75,0.9,3.5
0,2021-04-27,21.42,35051.93,48609.85,8.5,10.9
0,2021-04-28,7.16,1565.99,48728.03,14.2,15.4
0,2021-04-29,4.10,6032.96,48845.17,12.6,15.8
0,2021-04-30,21.47,35371.27,48961.16,10.3,12.4
0,2021-05-01,14.85,28019.88,49075.92,11.5,16.0
0,2021-05-02,19.53,44669.62,49189.31,5.7,9.7
0,2021-05-03,24.45,46728.21,49301.24,7.0,9.8
0,2021-05-04,23.41,33503.73,49411.60,11.9,15.3
0,2021-05-05,4.64,10748.01,49520.26,14.2,16.0
0,2021-05-06,26.49,39946.65,49627.12,10.2,13.0
0,2021-05-07,8.84,12535.03,49732.05,11.0,13.7
0,2021-05-08,15.65,21541.61,49835.07,14.5,16.0
0,2021-05-09,20.54,47275.39,49937.03,8.0,16.2
0,2021-05-10,23.52,34252.92,50037.95,9.1,11.4
0,2021-05-11,18.58,32435.91,50137.77,10.0,12.1
0,2021-05-12,11.20,9463.02,50236.39,13.1,13.8
0,2021-05-13,19.77,40747.49,50333.70,15.6,18.7
0,2021-05-14,25.48,39966.01,50429.62,17.2,19.1
0,2021-05-15,17.45,28773.65,50524.04,15.7,17.8
0,2021-05-16,4.48,0.00,50616.87,17.9,20.7
0,2021-05-17,5.82,10282.53,50708.01,19.5,22.2
0,2021-05-18,16.22,21600.00,50797.35,18.9,20.8
0,2021-05-19,8.74,9377.81,50884.79,17.2,19.9
0,2021-05-20,5.31,0.00,50970.22,19.4,21.1
0,2021-05-21,5.83,10800.00,51053.55,18.1,21.8
0,2021-05-22,20.13,45421.54,51134.64,13.0,15.1
0,2021-05-23,23.86,41376.85,51213.42,13.4,15.2
0,2021-05-24,11.69,20151.40,51289.75,15.7,17.8
0,2021-05-25,22.26,43945.31,51363.53,11.7,15.4
0,2021-05-26,17.18,27744.81,51434.65,10.0,12.8
0,2021-05-27,5.34,10800.00,51502.99,13.9,16.4
0,2021-05-28,22.17,36001.07,51568.56,16.1,18.3
0,2021-05-29,23.76,49456.77,51631.91,13.3,18.3
0,2021-05-30,28.39,50191.48,51693.08,10.8,12.7
0,2021-05-31,27.46,49740.40,51752.02,15.5,17.2
0,2021-06-01,25.80,39466.53,51808.67,16.8,17.7
0,2021-06-02,17.64,33124.13,51862.96,17.0,18.5
0,2021-06-03,21.68,25200.00,51914.84,16.4,19.8
0,2021-06-04,4.99,8554.53,51964.25,16.0,21.9
0,2021-06-05,18.72,22533.67,52011.14,15.7,17.8
0,2021-06-06,18.10,23741.98,52055.42,16.8,18.3
0,2021-06-07,26.20,45260.80,52097.07,17.2,22.6
0,2021-06-08,26.72,50319.78,52136.01,14.8,18.5
0,2021-06-09,28.64,50400.00,52172.19,15.8,17.8
0,2021-06-10,27.47,46242.67,52205.55,17.2,18.8
0,2021-06-11,20.31,41241.20,52236.04,17.1,18.3
0,2021-06-12,16.48,24745.42,52263.60,17.4,18.8
0,2021-06-13,8.01,7200.05,52288.17,19.1,20.3
0,2021-06-14,20.15,44985.10,52309.71,19.4,20.5
0,2021-06-15,21.65,29000.04,52328.15,19.8,20.9
0,2021-06-16,10.71,15518.84,52343.46,19.2,19.9
0,2021-06-17,22.48,35225.88,52355.59,18.7,19.6
0,2021-06-18,11.69,13853.25,52364.64,19.2,20.0
0,2021-06-19,6.03,10800.00,52370.63,18.5,20.0
0,2021-06-20,24.76,39844.76,52373.60,14.1,16.3
0,2021-06-21,25.83,44664.98,52373.55,18.0,19.8
0,2021-06-22,18.15,32335.40,52370.51,18.6,19.8
0,2021-06-23,23.49,48925.30,52364.51,18.1,19.0
0,2021-06-24,22.29,39308.70,52355.58,19.2,20.0
0,2021-06-25,20.47,44366.06,52343.72,20.1,21.1
0,2021-06-26,14.92,16497.34,52328.98,20.4,21.3
0,2021-06-27,12.33,24313.62,52311.38,19.4,20.1
0,2021-06-28,21.80,37030.87,52290.96,20.2,21.2
0,2021-06-29,22.74,45244.39,52267.73,19.7,21.1
0,2021-06-30,16.25,28800.00,52241.75,21.0,22.5
0,2021-07-01,11.87,11285.56,52213.03,20.5,21.7
0,2021-07-02,10.59,16094.28,52181.61,23.4,24.1
0,2021-07-03,21.70,32400.00,52147.53,23.0,24.2
0,2021-07-04,5.78,4957.62,52110.82,23.5,24.4
0,2021-07-05,7.68,5652.28,52071.51,23.2,25.3
0,2021-07-06,7.92,3600.00,52029.65,23.0,24.0
0,2021-07-07,6.11,0.00,51985.19,22.8,24.0
0,2021-07-08,5.21,0.00,51937.70,23.2,24.0
0,2021-07-09,7.70,7206.39,51887.20,23.9,24.6
0,2021-07-10,16.73,26658.85,51833.80,23.3,25.5
0,2021-07-11,22.57,44930.66,51777.56,22.2,23.4
0,2021-07-12,15.92,28325.76,51718.60,22.1,23.0
0,2021-07-13,23.67,43981.36,51657.03,22.0,23.5
0,2021-07-14,15.43,18615.26,51592.92,22.3,23.4
0,2021-07-15,19.68,49457.73,51526.39,22.1,23.3
0,2021-07-16,22.68,47410.11,51457.51,22.5,23.9
0,2021-07-17,25.43,50400.00,51386.39,22.4,23.5
0,2021-07-18,24.44,45119.70,51313.12,23.8,24.6
0,2021-07-19,25.85,49649.33,51237.80,23.3,24.1
0,2021-07-20,24.64,49161.20,51160.51,23.7,24.4
0,2021-07-21,24.38,49810.56,51081.36,22.8,24.3
0,2021-07-22,24.40,47733.31,51000.42,22.9,23.9
0,2021-07-23,25.35,49327.14,50917.80,23.1,23.8
0,2021-07-24,24.20,49872.49,50833.57,22.7,23.5
0,2021-07-25,23.36,46672.72,50747.83,22.4,23.5
0,2021-07-26,22.44,50029.22,50660.66,21.9,23.7
0,2021-07-27,19.39,38459.99,50572.01,21.4,22.2
0,2021-07-28,17.72,37093.09,50481.13,22.8,23.9
0,2021-07-29,19.56,44263.68,50387.99,23.2,24.1
0,2021-07-30,22.02,44629.39,50292.74,23.5,24.9
0,2021-07-31,21.12,42347.83,50195.47,23.3,24.4
0,2021-08-01,23.36,41057.08,50096.31,23.8,24.5
0,2021-08-02,20.49,36252.79,49995.37,23.2,24.6
0,2021-08-03,8.55,19451.06,49892.77,24.6,25.4
0,2021-08-04,25.64,47915.15,49788.61,24.2,24.7
0,2021-08-05,24.46,47060.92,49683.01,24.1,25.0
0,2021-08-06,18.15,38024.78,49576.07,24.5,25.5
0,2021-08-07,21.92,40706.28,49467.89,24.4,25.5
0,2021-08-08,23.45,40896.31,49358.60,24.3,25.6
0,2021-08-09,12.28,27110.15,49248.26,22.0,24.4
0,2021-08-10,22.34,44721.88,49137.01,20.9,22.3
0,2021-08-11,19.36,30355.69,49024.93,22.1,23.7
0,2021-08-12,5.72,3600.00,48912.11,22.5,23.5
0,2021-08-13,3.38,0.00,48798.65,23.3,24.3
0,2021-08-14,3.06,0.00,48684.66,23.7,25.3
0,2021-08-15,15.87,29205.07,48570.20,21.5,23.0
0,2021-08-16,7.52,3892.35,48455.23,21.8,22.4
0,2021-08-17,3.17,359.40,48338.87,23.3,24.3
0,2021-08-18,9.98,20906.82,48221.10,23.6,25.1
0,2021-08-19,7.00,5750.54,48102.02,22.9,24.4
0,2021-08-20,12.99,26350.89,47981.72,23.2,24.7
0,2021-08-21,6.72,2208.06,47860.30,23.2,23.9
