location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Maebashi,36.379612,139.04825,110.0,0,GMT,GMT
1,Kusatsu,36.66081,138.59764,1183.0,0,GMT,GMT
2,Minakami,36.731106,139.01575,424.0,0,GMT,GMT
3,Tatebayashi,36.239014,139.50586,21.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,7.98,29616.28,35044.19,-6.0,-4.4
0,2021-01-02,6.78,26782.10,35082.68,-6.8,-3.3
0,2021-01-03,4.65,15290.57,35124.15,-7.5,-5.1
0,2021-01-04,9.89,31899.88,35168.55,-3.6,-2.7
0,2021-01-05,6.36,29704.18,35215.83,-2.8,0.6
0,2021-01-06,6.90,24168.16,35265.94,-2.2,-0.5
0,2021-01-07,9.04,30906.58,35318.83,-11.5,-3.2
0,2021-01-08,6.29,19081.02,35374.56,-12.5,-8.4
0,2021-01-09,10.71,34868.66,35433.77,-11.4,-9.5
0,2021-01-10,9.49,34405.86,35496.43,-8.7,-7.1
0,2021-01-11,9.23,30125.17,35562.43,-7.8,-4.7
0,2021-01-12,3.85,3600.00,35631.60,-1.7,1.5
0,2021-01-13,11.50,35113.52,35703.82,-3.7,-2.3
0,2021-01-14,9.01,35173.28,35778.95,-2.8,0.5
0,2021-01-15,10.30,32612.30,35856.86,0.0,2.9
0,2021-01-16,9.23,28474.65,35937.41,-3.3,1.7
0,2021-01-17,8.80,33554.95,36020.47,-3.6,-1.2
0,2021-01-18,10.90,35420.67,36105.90,-4.9,-1.3
0,2021-01-19,9.65,35484.03,36193.58,-10.8,-8.6
0,2021-01-20,12.43,35547.79,36283.37,-8.2,-4.9
0,2021-01-21,12.42,34536.32,36375.15,-6.0,-3.4
0,2021-01-22,6.93,22021.84,36468.79,1.4,3.1
0,2021-01-23,1.27,0.00,36564.18,2.5,4.5
0,2021-01-24,2.67,3600.00,36661.18,2.5,4.5
0,2021-01-25,12.81,35868.60,36759.67,-0.8,5.1
0,2021-01-26,8.63,24516.26,36859.54,3.2,4.6
0,2021-01-27,8.87,27315.61,36960.67,0.5,6.9
0,2021-01-28,4.60,10611.37,37063.15,-1.2,0.5
0,2021-01-29,11.66,36000.00,37168.02,-8.7,-5.1
0,2021-01-30,13.07,36000.00,37275.34,-7.5,-2.2
0,2021-01-31,12.01,36000.00,37384.95,-6.7,-2.8
0,2021-02-01,8.42,32152.37,37496.69,-0.6,4.2
0,2021-02-02,11.21,30152.05,37610.41,-3.2,6.4
0,2021-02-03,11.51,36000.00,37725.97,-5.6,-3.5
0,2021-02-04,11.63,33281.02,37843.22,-4.8,-3.1
0,2021-02-05,14.14,36000.00,37962.02,-3.1,-0.9
0,2021-02-06,14.43,36000.00,38082.22,-1.0,3.2
0,2021-02-07,11.82,32400.00,38203.69,-1.8,1.1
0,2021-02-08,7.61,30015.39,38326.30,-9.1,-7.6
0,2021-02-09,14.27,36000.00,38449.90,-8.0,-3.9
0,2021-02-10,15.13,36000.00,38574.39,-3.1,-1.8
0,2021-02-11,14.48,36000.00,38699.61,-3.1,0.1
0,2021-02-12,13.13,34909.81,38825.45,-2.6,0.5
0,2021-02-13,15.20,36000.00,38951.78,-0.2,4.8
0,2021-02-14,15.13,32400.00,39078.49,3.4,7.1
0,2021-02-15,1.47,3600.00,39205.45,3.1,8.7
0,2021-02-16,14.64,36000.00,39332.54,-4.7,-2.6
0,2021-02-17,12.91,36663.45,39459.86,-8.3,-3.5
0,2021-02-18,14.86,36034.43,39588.52,-8.2,-5.8
0,2021-02-19,16.85,37041.28,39718.61,-4.2,-0.2
0,2021-02-20,16.86,36675.45,39850.00,0.5,2.8
0,2021-02-21,16.50,37486.74,39982.57,2.8,8.1
0,2021-02-22,16.83,36532.70,40116.20,3.3,8.8
0,2021-02-23,13.87,36754.34,40250.77,-6.8,-1.3
0,2021-02-24,15.16,37264.82,40386.18,-7.6,-6.7
0,2021-02-25,17.16,32400.00,40522.31,-5.1,-1.3
0,2021-02-26,7.65,7754.14,40659.05,-5.0,-1.6
0,2021-02-27,16.74,39469.37,40796.29,-7.9,-6.2
0,2021-02-28,18.77,39809.34,40933.91,-4.2,-1.6
0,2021-03-01,16.75,34607.59,41071.83,3.3,7.6
0,2021-03-02,9.22,20535.43,41209.92,-0.2,10.3
0,2021-03-03,17.99,38778.94,41348.08,-4.1,-1.9
0,2021-03-04,16.21,30989.56,41486.22,2.6,5.3
0,2021-03-05,8.91,15905.94,41624.22,6.1,8.5
0,2021-03-06,16.80,40115.65,41762.00,-0.5,7.4
0,2021-03-07,17.03,33517.54,41899.44,-0.6,2.0
0,2021-03-08,7.69,4537.49,42036.45,2.5,5.7
0,2021-03-09,14.35,34117.13,42173.11,2.6,4.5
0,2021-03-10,18.50,41840.28,42310.46,-4.3,0.9
0,2021-03-11,20.24,37606.75,42448.59,-3.2,-0.3
0,2021-03-12,8.76,2316.21,42587.41,1.5,8.5
0,2021-03-13,5.01,7155.89,42726.82,5.7,9.4
0,2021-03-14,19.74,42356.14,42866.73,-1.1,1.0
0,2021-03-15,19.66,42409.31,43007.05,-1.5,1.8
0,2021-03-16,15.21,39711.38,43147.69,1.5,9.5
0,2021-03-17,21.03,42514.99,43288.55,-1.9,-0.4
0,2021-03-18,21.06,40931.32,43429.54,-1.9,-1.2
0,2021-03-19,18.71,35419.89,43570.57,3.3,6.6
0,2021-03-20,7.02,4768.49,43711.56,8.5,10.9
0,2021-03-21,6.12,7200.00,43852.41,6.8,14.1
0,2021-03-22,20.14,41777.77,43993.03,-1.5,0.2
0,2021-03-23,22.03,42827.82,44133.33,0.4,3.7
0,2021-03-24,21.40,37479.04,44273.21,4.6,6.7
0,2021-03-25,11.09,15770.18,44412.58,4.8,9.4
0,2021-03-26,19.09,42243.67,44551.35,0.5,3.1
0,2021-03-27,19.32,28800.00,44689.44,2.8,6.1
0,2021-03-28,6.69,7200.00,44826.73,11.2,13.6
0,2021-03-29,21.17,40519.92,44963.31,10.4,14.9
0,2021-03-30,12.21,24012.03,45100.14,10.1,14.2
0,2021-03-31,22.12,39600.00,45237.32,3.7,5.4
0,2021-04-01,21.27,36545.32,45374.76,7.4,9.8
0,2021-04-02,11.76,22950.89,45512.37,8.3,10.0
0,2021-04-03,13.36,30511.94,45650.06,8.7,10.2
0,2021-04-04,9.01,17604.22,45787.76,10.3,13.2
0,2021-04-05,15.11,37086.49,45925.36,1.9,5.5
0,2021-04-06,19.85,41415.27,46062.78,3.8,5.4
0,2021-04-07,21.99,43860.77,46199.94,0.5,4.0
0,2021-04-08,20.12,36852.74,46336.74,-0.7,4.9
0,2021-04-09,24.84,44355.48,46473.08,-4.7,-3.1
0,2021-04-10,24.24,44027.86,46608.88,0.2,3.4
0,2021-04-11,23.79,43988.61,46744.04,2.4,4.5
0,2021-04-12,18.17,32400.00,46878.45,3.4,7.2
0,2021-04-13,11.28,24599.08,47012.03,10.0,12.4
0,2021-04-14,18.73,41089.74,47144.67,0.3,10.5
0,2021-04-15,24.47,41733.00,47276.27,-1.4,2.0
0,2021-04-16,9.70,13770.19,47406.73,6.4,10.7
0,2021-04-17,5.10,9510.21,47535.93,10.4,12.5
0,2021-04-18,24.06,46060.19,47663.95,0.2,1.8
0,2021-04-19,25.47,46293.17,47791.71,1.3,4.1
0,2021-04-20,24.95,46368.34,47919.29,5.0,7.5
0,2021-04-21,26.47,46443.06,48046.58,-3.6,1.8
0,2021-04-22,24.88,44471.78,48173.52,0.7,7.6
0,2021-04-23,26.51,46590.86,48299.99,1.7,5.1
0,2021-04-24,22.64,39343.98,48425.91,3.2,6.6
0,2021-04-25,17.37,43135.99,48551.17,0.3,7.4
0,2021-04-26,27.05,46800.00,48675.67,-4.0,-2.0
0,2021-04-27,25.25,42487.28,48799.31,3.7,8.0
0,2021-04-28,14.95,20949.93,48922.00,8.5,13.0
0,2021-04-29,6.18,10800.00,49043.62,12.4,15.3
0,2021-04-30,23.09,46020.13,49164.06,6.7,9.0
0,2021-05-01,16.57,39104.99,49283.21,10.1,13.0
0,2021-05-02,23.25,44500.45,49400.96,2.8,5.6
0,2021-05-03,24.13,46800.00,49517.21,3.5,5.4
0,2021-05-04,25.10,36731.81,49631.82,5.7,10.3
0,2021-05-05,7.34,7200.00,49744.68,10.1,12.3
0,2021-05-06,24.30,36963.52,49855.67,9.9,12.5
0,2021-05-07,9.26,10800.00,49964.67,11.4,13.8
0,2021-05-08,23.39,36334.48,50071.70,12.3,15.3
0,2021-05-09,22.56,46999.69,50177.62,5.0,10.3
0,2021-05-10,24.29,38262.12,50282.49,2.1,5.0
0,2021-05-11,13.49,26926.15,50386.21,4.0,6.5
0,2021-05-12,17.61,19982.35,50488.68,7.0,11.1
0,2021-05-13,10.80,13679.35,50589.81,12.0,13.4
0,2021-05-14,23.14,36087.08,50689.49,12.5,15.5
0,2021-05-15,9.28,10916.44,50787.64,13.0,14.7
0,2021-05-16,8.85,4640.87,50884.13,13.8,16.8
0,2021-05-17,14.30,29689.19,50978.87,17.3,19.9
0,2021-05-18,10.45,13055.05,51071.74,16.8,20.1
0,2021-05-19,6.99,9173.64,51162.65,14.7,16.6
0,2021-05-20,9.35,3710.41,51251.48,16.1,18.4
0,2021-05-21,8.03,9955.86,51338.12,17.9,18.9
0,2021-05-22,18.01,36688.36,51422.45,15.5,18.0
0,2021-05-23,21.60,44655.30,51504.37,13.1,15.7
0,2021-05-24,19.25,34573.24,51583.76,14.8,17.8
0,2021-05-25,22.82,42529.47,51660.49,10.4,14.5
0,2021-05-26,21.84,32880.37,51734.47,10.7,14.8
0,2021-05-27,6.00,10800.00,51805.56,12.5,15.1
0,2021-05-28,26.04,41301.93,51873.77,15.2,17.6
0,2021-05-29,25.03,47837.61,51939.67,13.0,16.3
0,2021-05-30,23.32,47452.89,52003.31,10.7,13.4
0,2021-05-31,22.73,46800.00,52064.64,14.0,15.5
0,2021-06-01,25.93,38300.51,52123.58,13.4,14.8
0,2021-06-02,20.85,46652.67,52180.07,14.6,16.0
0,2021-06-03,17.70,29792.44,52234.06,14.9,18.8
0,2021-06-04,5.94,3719.48,52285.48,15.8,21.1
0,2021-06-05,15.23,18614.37,52334.27,17.5,18.4
0,2021-06-06,10.58,10014.15,52380.37,16.2,19.2
0,2021-06-07,23.17,45459.16,52423.71,17.1,20.3
0,2021-06-08,17.21,26984.95,52464.25,14.4,18.9
0,2021-06-09,27.67,49900.86,52501.90,13.7,16.5
0,2021-06-10,27.49,50182.81,52536.63,15.6,17.3
0,2021-06-11,22.60,32927.21,52568.36,14.2,16.5
0,2021-06-12,22.67,37967.42,52597.05,16.1,18.2
0,2021-06-13,11.55,3660.43,52622.63,18.5,19.9
0,2021-06-14,17.82,33837.39,52645.05,18.0,19.5
0,2021-06-15,21.20,33534.12,52664.25,18.4,19.3
0,2021-06-16,12.52,21126.88,52680.18,18.3,19.9
0,2021-06-17,19.25,41476.31,52692.81,17.1,18.6
0,2021-06-18,20.43,30660.69,52702.24,17.5,19.2
0,2021-06-19,6.15,4866.42,52708.48,18.0,19.0
0,2021-06-20,21.83,40713.10,52711.57,13.8,17.6
0,2021-06-21,23.73,41931.97,52711.51,17.2,18.7
0,2021-06-22,15.16,26233.77,52708.36,17.5,18.3
0,2021-06-23,16.04,39930.20,52702.11,17.6,19.4
0,2021-06-24,19.49,34514.20,52692.80,18.3,19.0
0,2021-06-25,17.70,37501.20,52680.46,18.8,19.5
0,2021-06-26,20.24,28210.18,52665.11,18.7,19.7
0,2021-06-27,16.61,28404.55,52646.80,18.3,20.1
0,2021-06-28,20.93,28800.00,52625.53,18.0,19.0
0,2021-06-29,17.97,25379.03,52601.36,18.6,21.2
0,2021-06-30,8.01,3326.24,52574.31,18.2,19.6
0,2021-07-01,10.51,12227.36,52544.41,18.9,20.3
0,2021-07-02,7.24,11479.22,52511.71,19.0,19.9
0,2021-07-03,15.76,28984.84,52476.23,20.0,21.6
0,2021-07-04,4.17,0.00,52438.02,18.6,19.1
0,2021-07-05,11.33,14700.75,52397.11,20.6,21.9
0,2021-07-06,11.37,8518.25,52353.54,22.5,23.4
0,2021-07-07,15.73,14134.06,52307.27,22.7,23.9
0,2021-07-08,5.82,1682.23,52257.85,21.6,22.4
0,2021-07-09,6.66,7980.49,52205.30,22.2,23.1
0,2021-07-10,18.24,32653.79,52149.72,23.3,24.8
0,2021-07-11,18.56,41497.17,52091.21,21.4,23.3
