location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Hiroshima,34.411247,132.45284,8.0,0,GMT,GMT
1,Fukuyama,34.481544,133.4131,11.0,0,GMT,GMT
2,Shoubara,34.83304,133.0038,270.0,0,GMT,GMT
3,Kure,34.27065,132.57214,4.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.71,12005.82,35658.02,-3.1,0.2
0,2021-01-02,6.78,23090.26,35693.55,-3.8,-1.4
0,2021-01-03,9.74,29212.61,35731.84,-2.7,-1.2
0,2021-01-04,11.72,33172.85,35772.85,-1.9,0.9
0,2021-01-05,8.30,20294.86,35816.51,-1.5,0.6
0,2021-01-06,7.53,22797.05,35862.79,-4.7,-0.9
0,2021-01-07,7.32,20286.28,35911.64,-10.5,-3.2
0,2021-01-08,11.21,33479.27,35963.13,-10.6,-9.2
0,2021-01-09,10.75,32838.01,36017.83,-8.2,-6.3
0,2021-01-10,4.87,5158.12,36075.73,-5.5,-1.9
0,2021-01-11,8.01,21898.21,36136.70,-2.4,0.7
0,2021-01-12,9.90,29216.11,36200.63,-1.6,1.8
0,2021-01-13,7.30,21115.53,36267.38,2.3,3.6
0,2021-01-14,12.21,34054.61,36336.83,2.3,6.4
0,2021-01-15,10.79,32400.00,36408.85,5.6,7.6
0,2021-01-16,10.88,33399.66,36483.32,0.1,8.7
0,2021-01-17,9.11,31035.51,36560.12,-6.0,-2.7
0,2021-01-18,7.73,20217.55,36639.13,-3.1,1.7
0,2021-01-19,8.58,32486.69,36720.22,-4.5,-3.2
0,2021-01-20,13.17,33560.81,36803.29,-2.8,-1.5
0,2021-01-21,12.10,32400.00,36888.20,4.8,7.3
0,2021-01-22,2.31,0.00,36974.84,8.9,10.3
0,2021-01-23,1.58,0.00,37063.11,6.4,9.0
0,2021-01-24,7.14,23235.94,37152.88,2.5,5.8
0,2021-01-25,13.45,32463.81,37244.05,1.9,3.1
0,2021-01-26,2.60,3411.59,37336.51,6.9,9.3
0,2021-01-27,11.97,34718.29,37430.14,2.1,6.3
0,2021-01-28,12.06,32975.90,37525.04,-2.5,3.6
0,2021-01-29,5.45,3134.54,37622.16,-7.7,-4.1
0,2021-01-30,12.48,35211.28,37721.57,-1.7,1.4
0,2021-01-31,14.12,33480.24,37823.10,0.2,2.3
0,2021-02-01,3.54,10100.29,37926.63,7.0,9.8
0,2021-02-02,14.84,34312.17,38032.00,-4.8,2.2
0,2021-02-03,11.04,27936.34,38139.09,-3.1,1.3
0,2021-02-04,11.46,30762.84,38247.76,-3.2,2.7
0,2021-02-05,12.75,31897.98,38357.88,2.6,4.0
0,2021-02-06,15.00,37614.63,38469.32,3.2,6.2
0,2021-02-07,12.64,38089.24,38581.95,2.7,7.5
0,2021-02-08,13.74,36761.04,38695.65,-2.8,-0.1
0,2021-02-09,13.31,38320.95,38810.28,-2.5,-0.2
0,2021-02-10,15.43,36634.26,38925.74,0.9,6.2
0,2021-02-11,13.83,32501.16,39041.91,3.0,5.1
0,2021-02-12,13.56,31606.77,39158.65,2.4,5.3
0,2021-02-13,11.72,33968.51,39275.87,6.1,8.6
0,2021-02-14,11.28,27989.86,39393.45,9.7,11.0
0,2021-02-15,12.38,33046.88,39511.27,1.4,10.5
0,2021-02-16,16.55,34565.71,39629.25,-4.0,1.5
0,2021-02-17,15.36,38252.03,39747.43,-8.9,-7.1
0,2021-02-18,5.70,10800.00,39866.87,-5.4,-2.0
0,2021-02-19,16.97,39177.61,39987.65,1.5,4.3
0,2021-02-20,15.12,39232.82,40109.64,6.2,7.6
0,2021-02-21,17.37,39287.72,40232.74,7.8,10.0
0,2021-02-22,14.98,39342.33,40356.85,7.4,10.1
0,2021-02-23,16.89,36605.95,40481.84,0.6,2.7
0,2021-02-24,16.60,39450.62,40607.61,-1.6,1.8
0,2021-02-25,14.07,28800.00,40734.06,1.7,4.2
0,2021-02-26,2.91,1932.76,40861.10,1.8,5.1
0,2021-02-27,15.58,34786.98,40988.60,-2.2,-1.1
0,2021-02-28,14.24,36000.00,41116.47,4.7,7.1
0,2021-03-01,14.11,29412.60,41244.62,10.2,13.9
0,2021-03-02,7.75,11335.83,41372.94,-1.7,3.6
0,2021-03-03,17.88,34940.66,41501.34,0.0,2.4
0,2021-03-04,8.69,11594.35,41629.72,6.1,9.0
0,2021-03-05,7.07,15094.95,41757.98,9.8,10.9
0,2021-03-06,13.01,25292.61,41886.04,3.2,8.7
0,2021-03-07,11.69,24355.98,42013.80,2.4,4.6
0,2021-03-08,18.93,36000.00,42141.15,1.6,3.5
0,2021-03-09,14.42,35215.05,42268.19,4.1,6.5
0,2021-03-10,20.47,40396.06,42395.87,1.3,5.8
0,2021-03-11,18.40,29439.45,42524.29,1.9,5.1
0,2021-03-12,4.70,7671.77,42653.35,7.7,9.7
0,2021-03-13,16.39,40272.23,42782.96,3.7,5.4
0,2021-03-14,16.15,40230.43,42913.04,4.4,7.3
0,2021-03-15,19.72,36000.00,43043.50,5.0,7.4
0,2021-03-16,4.89,5378.25,43174.26,9.7,12.6
0,2021-03-17,20.73,40758.20,43305.23,3.7,8.6
0,2021-03-18,21.66,39600.00,43436.32,4.0,6.1
0,2021-03-19,20.03,33839.11,43567.46,6.5,8.3
0,2021-03-20,5.62,872.24,43698.55,11.0,13.1
0,2021-03-21,5.15,6375.24,43829.51,5.1,13.1
0,2021-03-22,19.26,42355.07,43960.25,0.5,3.1
0,2021-03-23,22.28,42359.58,44090.69,3.7,5.7
0,2021-03-24,19.45,34083.09,44220.76,7.7,9.5
0,2021-03-25,18.55,39003.97,44350.34,6.6,10.9
0,2021-03-26,22.83,39703.02,44479.37,2.9,7.2
0,2021-03-27,18.96,31863.89,44607.74,8.5,12.1
0,2021-03-28,5.38,10312.75,44735.38,11.2,15.6
0,2021-03-29,21.92,41284.27,44862.36,8.5,11.9
0,2021-03-30,21.00,43008.56,44989.57,6.3,10.3
0,2021-03-31,23.23,40368.83,45117.09,5.9,8.7
0,2021-04-01,22.80,36482.38,45244.85,5.1,9.9
0,2021-04-02,18.49,38829.78,45372.76,10.9,13.1
0,2021-04-03,14.18,26583.10,45500.75,12.4,13.6
0,2021-04-04,7.59,15753.91,45628.73,9.2,16.8
0,2021-04-05,23.26,43418.17,45756.62,1.2,3.3
0,2021-04-06,21.81,43200.00,45884.34,4.9,10.1
0,2021-04-07,23.64,39276.84,46011.80,4.6,8.8
0,2021-04-08,19.00,43352.15,46138.92,5.4,7.7
0,2021-04-09,21.42,39262.12,46265.60,1.5,4.1
0,2021-04-10,24.23,39520.09,46391.78,3.2,7.6
0,2021-04-11,25.00,39968.06,46517.34,4.0,6.5
0,2021-04-12,8.31,7200.00,46642.21,11.2,13.6
0,2021-04-13,6.89,10063.82,46766.30,12.8,15.7
0,2021-04-14,12.42,24265.39,46889.49,4.7,10.1
0,2021-04-15,21.16,42346.43,47011.72,3.6,7.2
0,2021-04-16,10.92,14585.47,47132.87,9.9,12.2
0,2021-04-17,11.47,25200.00,47252.85,7.9,13.0
0,2021-04-18,22.50,43986.99,47371.72,3.8,6.8
0,2021-04-19,25.79,44251.01,47490.33,5.9,10.7
0,2021-04-20,25.26,42344.54,47608.76,7.9,12.1
0,2021-04-21,25.46,42301.42,47726.92,9.6,15.0
0,2021-04-22,18.42,28460.30,47844.73,7.8,14.2
0,2021-04-23,14.48,25078.58,47962.10,8.5,12.6
0,2021-04-24,22.77,44151.55,48078.94,11.1,12.5
0,2021-04-25,24.14,44706.06,48195.17,4.2,8.3
0,2021-04-26,26.59,43968.53,48310.67,4.9,7.3
0,2021-04-27,18.40,25200.00,48425.37,11.1,14.0
0,2021-04-28,12.25,25654.00,48539.15,13.3,14.2
0,2021-04-29,5.95,15542.49,48651.94,12.2,13.4
0,2021-04-30,20.46,38571.76,48763.62,7.9,12.9
0,2021-05-01,20.45,42155.53,48874.10,7.4,14.4
0,2021-05-02,19.52,44920.24,48983.26,6.6,9.6
0,2021-05-03,25.27,46040.00,49091.01,9.9,11.4
0,2021-05-04,18.28,19444.43,49197.23,12.3,14.9
0,2021-05-05,11.01,20872.09,49301.82,10.7,17.6
0,2021-05-06,25.70,38476.02,49404.66,10.3,14.2
0,2021-05-07,10.11,22821.06,49505.64,13.4,15.0
0,2021-05-08,13.01,10467.18,49604.79,14.9,15.7
0,2021-05-09,27.17,47640.14,49702.89,7.2,14.0
0,2021-05-10,24.13,42839.23,49800.01,9.8,13.6
0,2021-05-11,15.48,19771.34,49896.04,11.4,14.8
0,2021-05-12,7.82,3790.18,49990.92,14.2,15.8
0,2021-05-13,16.49,31724.45,50084.53,16.2,17.1
0,2021-05-14,19.72,39964.05,50176.80,17.1,18.4
