location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Urakawa,42.21441,142.76317,28.0,0,GMT,GMT
1,Shizunai (Shinhidaka),42.355007,142.39001,0.0,0,GMT,GMT
2,Erimomisaki,42.003513,143.18777,0.0,0,GMT,GMT
3,Hidakamonbetsu,42.565903,142.09132,67.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.76,31452.18,32992.74,-21.3,-18.7
0,2021-01-02,8.95,32217.14,33041.42,-20.4,-17.0
0,2021-01-03,6.96,29841.68,33093.87,-12.2,-10.8
0,2021-01-04,7.64,32219.44,33150.00,-14.5,-12.6
0,2021-01-05,8.44,32224.51,33209.76,-17.5,-14.0
0,2021-01-06,8.79,28800.00,33273.07,-16.1,-10.2
0,2021-01-07,3.91,13198.84,33339.86,-10.1,-8.3
0,2021-01-08,7.91,32255.86,33410.24,-16.5,-11.5
0,2021-01-09,7.84,32271.48,33484.96,-15.5,-10.9
0,2021-01-10,8.07,32289.53,33564.02,-16.2,-14.7
0,2021-01-11,8.34,28800.00,33647.24,-14.1,-12.1
0,2021-01-12,2.88,3045.46,33734.43,-3.4,1.1
0,2021-01-13,6.88,28800.00,33825.43,-3.9,1.3
0,2021-01-14,7.84,32039.35,33920.05,-11.6,-1.5
0,2021-01-15,7.80,26053.09,34018.12,-7.0,3.8
0,2021-01-16,6.28,23805.98,34119.47,-5.6,2.5
0,2021-01-17,4.75,26704.02,34223.92,-9.8,-6.4
0,2021-01-18,7.62,20847.38,34331.31,-11.9,-10.8
0,2021-01-19,8.63,27299.44,34441.45,-14.6,-9.9
0,2021-01-20,7.67,28800.00,34554.21,-11.9,-6.0
0,2021-01-21,7.92,28800.00,34669.40,-5.2,-1.8
0,2021-01-22,8.99,31868.63,34786.87,-11.7,-4.9
0,2021-01-23,10.11,33009.21,34906.46,-14.5,-10.2
0,2021-01-24,10.57,32967.50,35028.01,-9.2,-4.7
0,2021-01-25,10.36,29675.00,35151.37,-6.2,-3.7
0,2021-01-26,4.32,7219.50,35276.40,-4.7,1.0
0,2021-01-27,4.91,19846.24,35402.93,-6.3,3.2
0,2021-01-28,7.30,16378.82,35531.09,-9.6,-5.3
0,2021-01-29,2.15,3600.00,35662.18,-4.7,-2.5
0,2021-01-30,8.39,19445.40,35796.25,-8.7,-5.5
0,2021-01-31,10.54,33362.62,35933.11,-11.3,-9.9
0,2021-02-01,8.55,26930.17,36072.57,-1.8,2.1
0,2021-02-02,9.86,31159.87,36214.43,-11.5,0.6
0,2021-02-03,8.71,28156.73,36358.50,-16.7,-15.2
0,2021-02-04,10.04,30022.31,36504.61,-14.5,-11.9
0,2021-02-05,5.93,14515.43,36652.58,-8.5,0.0
0,2021-02-06,8.82,31094.72,36802.22,-5.0,1.4
0,2021-02-07,10.70,28615.85,36953.37,-11.3,-6.5
0,2021-02-08,11.30,35243.56,37105.86,-13.6,-11.4
0,2021-02-09,12.28,31715.52,37259.52,-11.1,-9.2
0,2021-02-10,6.22,12276.24,37414.19,-8.7,-6.9
0,2021-02-11,12.09,36019.35,37569.72,-9.5,-6.8
0,2021-02-12,13.58,35552.22,37725.95,-9.4,-5.5
0,2021-02-13,13.27,35761.74,37882.72,-7.1,-3.7
0,2021-02-14,11.74,27693.33,38039.89,-2.1,1.5
0,2021-02-15,2.50,0.00,38197.31,2.7,4.6
0,2021-02-16,4.87,11131.11,38354.83,-9.3,-2.7
0,2021-02-17,12.30,36221.53,38512.58,-8.9,-5.3
0,2021-02-18,10.07,33037.77,38671.92,-5.9,-2.7
0,2021-02-19,8.44,23686.65,38832.97,-3.8,2.0
0,2021-02-20,4.32,14299.91,38995.58,-3.4,2.8
0,2021-02-21,12.26,38355.44,39159.59,-10.4,-7.6
0,2021-02-22,9.35,24306.14,39324.86,-5.8,-2.2
0,2021-02-23,12.90,36963.91,39491.25,-8.1,-4.4
0,2021-02-24,11.10,33700.06,39658.61,-12.0,-9.1
0,2021-02-25,14.63,36124.92,39826.81,-11.3,-8.1
0,2021-02-26,14.60,38857.16,39995.71,-12.0,-5.2
0,2021-02-27,16.35,38953.77,40165.18,-12.1,-8.0
0,2021-02-28,15.18,32400.00,40335.09,-3.2,1.8
0,2021-03-01,4.40,1045.15,40505.31,2.0,3.2
0,2021-03-02,2.46,6846.97,40675.71,-2.3,4.0
0,2021-03-03,17.11,38451.93,40846.16,-12.4,-4.3
0,2021-03-04,11.73,32400.00,41016.54,-0.7,2.6
0,2021-03-05,14.19,31358.32,41186.72,1.9,4.3
0,2021-03-06,17.19,38240.81,41356.59,-11.9,-3.1
0,2021-03-07,13.68,36884.26,41526.02,-9.7,-4.4
0,2021-03-08,15.34,39600.00,41694.89,-8.4,-5.0
0,2021-03-09,17.20,32400.00,41863.31,-3.5,0.6
0,2021-03-10,12.62,35439.92,42032.55,-5.4,-0.3
0,2021-03-11,17.76,35032.00,42202.74,-1.8,2.7
0,2021-03-12,17.92,38593.60,42373.75,-4.0,3.2
0,2021-03-13,16.16,28079.90,42545.48,-2.0,1.1
0,2021-03-14,7.44,7623.54,42717.81,3.4,5.0
0,2021-03-15,15.53,36946.22,42890.63,-0.9,4.4
0,2021-03-16,14.31,36016.73,43063.83,-1.0,2.3
0,2021-03-17,17.11,39854.47,43237.30,-2.3,-1.1
0,2021-03-18,18.69,39600.00,43410.92,-4.0,-2.3
0,2021-03-19,17.84,39600.00,43584.60,-3.1,-1.3
0,2021-03-20,16.72,27979.96,43758.22,-4.7,-1.8
0,2021-03-21,3.45,7200.00,43931.67,2.3,6.1
0,2021-03-22,19.11,41011.53,44104.84,-1.5,-0.5
0,2021-03-23,19.68,39957.67,44277.62,-2.0,2.3
0,2021-03-24,16.07,36656.24,44449.90,3.7,6.3
0,2021-03-25,10.59,12493.36,44621.57,4.7,6.0
0,2021-03-26,12.68,34913.21,44792.51,2.2,6.5
0,2021-03-27,19.39,38867.60,44962.61,-3.2,3.6
0,2021-03-28,14.01,22711.55,45131.76,7.2,8.0
0,2021-03-29,10.07,21759.95,45300.06,6.4,10.2
0,2021-03-30,20.67,39600.00,45468.68,2.7,4.0
0,2021-03-31,21.44,44605.51,45637.76,1.8,4.9
0,2021-04-01,22.02,45293.17,45807.17,-0.7,2.3
0,2021-04-02,20.48,36000.00,45976.84,0.9,4.8
0,2021-04-03,13.10,26332.75,46146.64,6.2,7.4
0,2021-04-04,3.23,0.00,46316.47,3.8,8.1
0,2021-04-05,11.54,33147.30,46486.22,-2.8,0.1
0,2021-04-06,19.71,32357.03,46655.80,-3.6,-1.8
0,2021-04-07,19.54,45491.53,46825.08,-1.4,0.1
0,2021-04-08,21.79,46474.32,46993.96,-5.6,-3.4
0,2021-04-09,22.48,45127.42,47162.32,-4.0,-2.2
0,2021-04-10,23.18,46792.94,47330.06,-2.3,0.9
0,2021-04-11,23.67,46800.00,47497.06,-0.4,2.5
0,2021-04-12,22.35,34006.48,47663.19,2.9,5.4
0,2021-04-13,11.49,21072.59,47828.33,5.9,7.6
0,2021-04-14,16.40,36939.03,47992.37,-3.2,3.1
0,2021-04-15,22.34,46800.00,48155.18,-2.1,0.6
0,2021-04-16,19.53,33453.47,48316.62,3.6,5.7
0,2021-04-17,4.28,3923.05,48476.58,6.8,7.6
0,2021-04-18,10.31,19331.05,48635.12,4.8,7.3
0,2021-04-19,16.86,39600.00,48793.40,3.1,6.1
0,2021-04-20,21.67,46800.00,48951.52,-3.3,6.9
0,2021-04-21,24.79,46800.00,49109.36,-3.5,-0.7
0,2021-04-22,25.19,46800.00,49266.81,-1.9,0.8
0,2021-04-23,24.88,46800.00,49423.75,1.5,3.7
0,2021-04-24,16.75,24206.58,49580.07,4.0,5.9
0,2021-04-25,21.61,37632.50,49735.65,-1.0,4.8
0,2021-04-26,22.27,46800.00,49890.35,-3.0,-0.5
0,2021-04-27,25.64,46800.00,50044.06,0.5,1.9
0,2021-04-28,21.59,37498.05,50196.65,3.8,10.3
0,2021-04-29,11.27,6204.32,50347.99,5.7,9.9
0,2021-04-30,13.37,29446.37,50497.93,3.3,6.7
0,2021-05-01,20.76,29853.55,50646.35,2.4,3.2
0,2021-05-02,12.20,17998.57,50793.09,1.8,3.6
0,2021-05-03,17.02,33601.84,50938.03,1.5,4.1
0,2021-05-04,24.36,41042.23,51081.01,3.6,5.6
0,2021-05-05,13.38,21274.32,51221.88,7.9,10.8
0,2021-05-06,24.35,47318.94,51360.48,6.3,8.7
0,2021-05-07,24.17,33988.55,51496.67,7.3,11.5
0,2021-05-08,22.28,44907.55,51630.48,5.7,11.0
0,2021-05-09,13.94,25765.70,51762.96,6.2,9.5
0,2021-05-10,20.13,43597.03,51894.20,4.3,6.9
0,2021-05-11,20.03,44679.67,52024.07,4.5,6.9
0,2021-05-12,23.28,36000.00,52152.45,5.1,9.6
0,2021-05-13,11.07,5021.11,52279.22,9.6,11.2
0,2021-05-14,24.36,47423.68,52404.24,7.9,10.6
0,2021-05-15,22.04,41971.00,52527.40,8.7,10.8
0,2021-05-16,8.80,7249.36,52648.56,11.6,13.2
0,2021-05-17,7.87,7438.83,52767.58,12.3,15.0
0,2021-05-18,14.49,16429.52,52884.33,9.6,12.6
0,2021-05-19,18.44,27941.60,52998.66,10.8,11.8
0,2021-05-20,20.09,35902.25,53110.43,10.6,12.5
0,2021-05-21,6.17,5476.99,53219.52,11.1,13.2
0,2021-05-22,14.28,27546.58,53325.75,10.9,14.0
0,2021-05-23,12.73,18523.74,53429.01,9.8,11.3
0,2021-05-24,17.14,25441.61,53529.12,10.8,12.2
0,2021-05-25,18.84,38814.78,53625.94,9.0,13.1
0,2021-05-26,28.03,51866.94,53719.31,6.9,8.5
0,2021-05-27,21.55,27342.18,53809.10,10.4,12.1
0,2021-05-28,12.74,14867.79,53895.28,8.6,11.3
0,2021-05-29,12.95,19184.93,53978.59,9.9,11.6
0,2021-05-30,20.00,42283.18,54059.07,8.2,12.1
0,2021-05-31,19.30,32971.29,54136.66,6.3,7.9
0,2021-06-01,20.22,30496.26,54211.27,7.3,10.4
0,2021-06-02,26.47,51400.24,54282.81,11.1,13.6
0,2021-06-03,22.79,32400.00,54351.20,13.8,15.8
0,2021-06-04,5.73,12739.09,54416.36,12.4,14.4
0,2021-06-05,27.90,49381.18,54478.22,10.8,13.1
0,2021-06-06,26.77,51221.05,54536.68,12.3,13.8
0,2021-06-07,26.15,53261.48,54591.66,11.5,12.6
0,2021-06-08,26.34,50138.78,54643.10,12.1,15.0
0,2021-06-09,24.03,53233.80,54690.90,11.3,14.4
0,2021-06-10,26.69,51807.50,54735.00,13.3,16.4
0,2021-06-11,25.28,41415.61,54775.30,15.3,17.6
0,2021-06-12,13.56,14287.93,54811.74,15.8,16.7
0,2021-06-13,25.49,51241.96,54844.25,14.9,16.5
0,2021-06-14,26.61,49872.07,54872.74,14.8,17.5
0,2021-06-15,24.27,52494.86,54897.15,13.5,15.4
0,2021-06-16,27.00,48671.34,54917.40,11.9,13.8
0,2021-06-17,21.66,39111.92,54933.46,11.8,12.6
0,2021-06-18,19.26,31892.09,54945.44,10.2,11.7
0,2021-06-19,20.37,31734.06,54953.38,9.0,10.6
0,2021-06-20,19.17,48009.79,54957.30,10.4,11.8
0,2021-06-21,17.46,37939.08,54957.24,12.4,13.9
0,2021-06-22,28.71,54000.00,54953.22,12.1,13.9
0,2021-06-23,22.63,28595.40,54945.28,12.6,13.8
0,2021-06-24,18.95,35393.08,54933.44,13.9,15.6
0,2021-06-25,23.98,49883.17,54917.75,14.8,16.6
0,2021-06-26,28.88,54000.00,54898.24,14.6,16.2
0,2021-06-27,27.66,46453.88,54874.96,15.9,18.1
