location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Esashi (Hiyama),41.862915,140.15964,3.0,0,GMT,GMT
1,Setana,42.495605,139.89706,4.0,0,GMT,GMT
2,Okushiri Island,42.21441,139.4737,76.0,0,GMT,GMT
3,Imagane,42.07381,140.11662,367.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,6.42,26191.63,33128.08,-13.7,-13.0
0,2021-01-02,7.16,27395.81,33176.07,-10.3,-8.5
0,2021-01-03,4.17,7200.00,33227.77,-9.5,-8.6
0,2021-01-04,6.00,25193.43,33283.11,-9.7,-8.7
0,2021-01-05,8.32,30328.14,33342.02,-10.0,-8.2
0,2021-01-06,4.74,16499.50,33404.43,-10.1,-8.6
0,2021-01-07,7.03,17122.12,33470.30,-9.4,-7.8
0,2021-01-08,8.39,30663.75,33539.67,-11.2,-9.5
0,2021-01-09,7.53,28800.00,33613.36,-10.8,-9.2
0,2021-01-10,5.44,19870.58,33691.31,-9.9,-8.6
0,2021-01-11,6.09,21040.08,33773.36,-8.5,-7.1
0,2021-01-12,7.21,22667.02,33859.35,-2.3,-0.4
0,2021-01-13,8.00,32102.69,33949.08,-3.3,-0.3
0,2021-01-14,8.40,28800.00,34042.39,-9.3,-6.6
0,2021-01-15,7.38,25007.54,34139.10,-3.7,4.7
0,2021-01-16,5.99,23822.85,34239.05,-3.8,0.7
0,2021-01-17,7.08,29552.29,34342.07,-7.9,-5.2
0,2021-01-18,6.89,15413.15,34447.98,-9.1,-7.7
0,2021-01-19,5.69,17725.14,34556.62,-11.7,-9.2
0,2021-01-20,3.37,3029.22,34667.84,-5.3,1.3
0,2021-01-21,7.63,30365.41,34781.46,-1.2,-0.3
0,2021-01-22,7.88,25573.96,34897.34,-6.2,-1.5
0,2021-01-23,6.64,32155.83,35015.31,-7.7,-5.4
0,2021-01-24,10.86,33683.01,35135.22,-4.1,-0.9
0,2021-01-25,9.72,32774.93,35256.92,-2.9,-0.4
0,2021-01-26,8.60,25329.20,35380.27,0.6,3.7
0,2021-01-27,5.76,15646.46,35505.11,-6.6,3.3
0,2021-01-28,7.22,11082.09,35631.56,-5.8,0.3
0,2021-01-29,7.95,25681.18,35760.90,-4.5,-1.6
0,2021-01-30,7.48,25140.40,35893.19,-7.4,-3.5
0,2021-01-31,4.55,7200.00,36028.24,-9.2,-5.8
0,2021-02-01,7.28,19057.10,36165.86,-0.1,5.0
0,2021-02-02,8.60,28232.50,36305.85,-11.6,-4.4
0,2021-02-03,8.18,24352.35,36448.03,-12.6,-11.0
0,2021-02-04,10.30,31988.82,36592.23,-12.3,-10.7
0,2021-02-05,5.83,6678.72,36738.26,-5.1,0.1
0,2021-02-06,7.67,31184.39,36885.95,-1.6,0.9
0,2021-02-07,11.11,33466.87,37035.14,-8.5,-4.3
0,2021-02-08,11.29,35902.85,37185.65,-10.8,-9.6
0,2021-02-09,9.48,24859.54,37337.33,-9.3,-7.7
0,2021-02-10,4.67,685.96,37490.01,-6.9,-6.3
0,2021-02-11,7.76,14255.29,37643.54,-6.3,-5.1
0,2021-02-12,13.96,36000.00,37797.76,-6.0,-4.6
0,2021-02-13,13.92,36000.00,37952.53,-3.7,-1.1
0,2021-02-14,10.54,27514.11,38107.69,1.2,3.0
0,2021-02-15,2.43,0.00,38263.10,2.2,4.6
0,2021-02-16,6.52,21910.61,38418.62,-9.1,-5.2
0,2021-02-17,10.77,29378.36,38574.37,-7.4,-3.3
0,2021-02-18,8.61,19690.48,38731.70,-4.1,-2.0
0,2021-02-19,7.59,8887.09,38890.71,-1.2,2.9
0,2021-02-20,4.46,4075.19,39051.27,-4.4,1.2
0,2021-02-21,13.35,34060.68,39213.22,-6.8,-5.2
0,2021-02-22,11.72,31806.70,39376.41,-1.6,0.6
0,2021-02-23,13.91,36000.00,39540.71,-9.2,-7.1
0,2021-02-24,12.70,32205.14,39705.98,-11.3,-10.2
0,2021-02-25,8.33,10913.34,39872.08,-5.7,-1.4
0,2021-02-26,8.64,19723.72,40038.87,-9.6,-8.3
0,2021-02-27,14.40,35376.29,40206.24,-6.7,-3.3
0,2021-02-28,10.54,22192.64,40374.03,1.0,4.7
0,2021-03-01,5.85,291.56,40542.14,0.1,2.5
0,2021-03-02,2.76,2050.94,40710.42,-4.7,-0.8
0,2021-03-03,11.01,25424.89,40878.76,-7.1,-3.9
0,2021-03-04,14.62,32732.10,41047.04,-0.5,5.4
0,2021-03-05,16.17,32749.58,41215.12,2.7,6.3
0,2021-03-06,9.59,17413.98,41382.89,-9.7,-6.4
0,2021-03-07,13.02,30568.34,41550.23,-7.1,-5.0
0,2021-03-08,14.48,36541.55,41717.02,-5.2,-2.9
0,2021-03-09,17.58,37991.68,41883.37,-1.6,1.5
0,2021-03-10,12.50,32653.28,42050.53,-3.2,-0.8
0,2021-03-11,13.28,26231.32,42218.62,0.1,3.8
0,2021-03-12,17.65,39774.66,42387.53,-2.1,3.6
0,2021-03-13,14.25,24150.67,42557.15,-0.4,1.1
