location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Tomakomai,42.7065,141.5805,11.0,0,GMT,GMT
1,Muroran,42.28471,140.9956,5.0,0,GMT,GMT
2,Date,42.495605,140.82353,3.0,0,GMT,GMT
3,Atsuma,42.7065,141.97932,132.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,7.05,31836.57,32800.32,-19.1,-16.6
0,2021-01-02,8.49,31087.08,32849.99,-15.8,-9.9
0,2021-01-03,5.15,21824.94,32903.49,-12.3,-10.5
0,2021-01-04,7.16,31837.88,32960.76,-13.2,-11.9
0,2021-01-05,8.40,31843.59,33021.72,-14.7,-12.3
0,2021-01-06,8.56,28800.00,33086.30,-16.6,-13.0
0,2021-01-07,5.96,15009.57,33154.44,-11.3,-7.8
0,2021-01-08,6.84,26020.03,33226.22,-15.9,-13.5
0,2021-01-09,8.44,31893.46,33302.45,-14.9,-13.0
0,2021-01-10,8.71,31912.34,33383.08,-14.7,-12.7
0,2021-01-11,7.87,29100.21,33467.96,-12.1,-8.8
0,2021-01-12,2.60,3338.65,33556.88,-2.1,1.7
0,2021-01-13,7.73,31295.24,33649.68,-4.3,0.8
0,2021-01-14,8.68,32011.58,33746.18,-13.1,-5.3
0,2021-01-15,6.33,23302.86,33846.18,-5.5,3.2
0,2021-01-16,8.63,30111.23,33949.52,-6.1,0.8
0,2021-01-17,6.44,30999.15,34056.02,-11.7,-9.5
0,2021-01-18,7.58,21750.65,34165.51,-11.7,-9.4
0,2021-01-19,8.24,29999.76,34277.81,-14.8,-11.3
0,2021-01-20,4.74,10454.34,34392.76,-9.2,-1.3
0,2021-01-21,3.81,9868.07,34510.19,-3.9,-1.1
0,2021-01-22,8.38,32314.16,34629.93,-9.2,-4.6
0,2021-01-23,4.60,11305.78,34751.83,-10.5,-8.9
0,2021-01-24,10.17,33236.50,34875.72,-8.0,-3.2
0,2021-01-25,9.29,29593.20,35001.44,-7.0,-1.9
0,2021-01-26,2.00,0.00,35128.86,-1.8,2.2
0,2021-01-27,5.25,19363.28,35257.81,-7.0,3.8
0,2021-01-28,6.88,21067.28,35388.40,-9.5,-3.8
0,2021-01-29,2.57,2808.26,35521.97,-4.5,-1.0
0,2021-01-30,5.80,6020.26,35658.58,-10.0,-4.2
0,2021-01-31,8.91,30747.64,35798.02,-10.8,-8.8
0,2021-02-01,6.70,21390.83,35940.10,-1.0,2.0
