location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Sapporo,43.128292,141.3711,20.0,0,GMT,GMT
1,Chitose,42.7768,141.6568,11.0,0,GMT,GMT
2,Shinshinotsu,43.26889,141.52466,195.0,0,GMT,GMT
3,Hamamasu,43.26889,141.39014,0.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,6.84,25937.42,32632.54,-19.8,-16.6
0,2021-01-02,8.63,28800.00,32683.07,-16.2,-11.4
0,2021-01-03,5.15,9314.44,32737.51,-11.3,-9.0
0,2021-01-04,6.92,30064.04,32795.77,-15.9,-11.3
0,2021-01-05,8.43,31708.66,32857.79,-19.1,-12.6
0,2021-01-06,8.72,28800.00,32923.49,-19.0,-15.3
0,2021-01-07,6.32,10854.86,32992.80,-10.2,-6.8
0,2021-01-08,7.02,24189.87,33065.82,-15.6,-10.7
0,2021-01-09,8.86,31479.89,33143.35,-17.3,-14.3
0,2021-01-10,7.52,30705.70,33225.37,-14.7,-13.0
0,2021-01-11,6.77,28196.46,33311.70,-12.7,-10.4
0,2021-01-12,7.59,19864.95,33402.15,-4.2,-0.4
0,2021-01-13,7.30,25568.09,33496.53,-5.3,-2.1
0,2021-01-14,8.41,28800.00,33594.66,-11.0,-5.1
0,2021-01-15,7.32,16127.02,33696.36,-6.2,1.3
0,2021-01-16,6.20,20446.16,33801.44,-6.9,-0.5
0,2021-01-17,7.60,27995.28,33909.74,-12.7,-8.6
0,2021-01-18,8.31,19042.56,34021.06,-11.9,-10.3
0,2021-01-19,5.36,5149.42,34135.24,-13.0,-10.4
0,2021-01-20,5.73,0.00,34252.11,-9.8,-4.1
0,2021-01-21,5.06,7473.70,34371.49,-5.6,-0.9
0,2021-01-22,8.72,29030.66,34493.22,-9.2,-4.1
0,2021-01-23,4.97,3441.32,34617.13,-11.2,-7.3
0,2021-01-24,10.92,33509.60,34743.06,-11.8,-6.9
0,2021-01-25,9.02,31010.37,34870.86,-9.3,-2.7
0,2021-01-26,7.34,15397.76,35000.36,-3.2,0.8
0,2021-01-27,6.20,13783.54,35131.42,-7.3,1.5
0,2021-01-28,9.17,26268.85,35264.14,-9.6,-5.8
0,2021-01-29,7.05,9312.44,35399.89,-5.5,-3.4
0,2021-01-30,5.76,3600.00,35538.70,-8.5,-3.9
0,2021-01-31,8.47,29478.31,35680.40,-10.2,-8.3
0,2021-02-01,8.97,30491.65,35824.77,-2.7,0.1
0,2021-02-02,9.61,26272.73,35971.61,-13.8,-3.9
0,2021-02-03,8.43,22332.93,36120.72,-16.7,-14.6
0,2021-02-04,9.30,30340.15,36271.93,-14.5,-11.5
0,2021-02-05,6.67,2013.47,36425.04,-8.8,-3.9
0,2021-02-06,5.98,0.00,36579.88,-3.1,-0.7
0,2021-02-07,11.42,32384.43,36736.26,-8.9,-5.7
0,2021-02-08,9.86,31301.66,36894.01,-12.0,-10.0
0,2021-02-09,9.80,25989.73,37052.95,-10.7,-9.4
0,2021-02-10,7.12,791.43,37212.93,-7.8,-5.7
0,2021-02-11,9.11,19410.92,37373.78,-7.0,-5.5
0,2021-02-12,13.31,35785.92,37535.35,-9.4,-5.8
0,2021-02-13,12.79,35866.83,37697.45,-5.7,-1.7
0,2021-02-14,11.57,24131.93,37859.95,-2.6,0.7
0,2021-02-15,4.11,0.00,38022.71,0.9,1.5
0,2021-02-16,6.06,0.00,38185.56,-8.8,-0.7
0,2021-02-17,9.89,11776.97,38348.62,-7.8,-2.1
0,2021-02-18,8.29,12168.60,38513.33,-4.0,-2.6
0,2021-02-19,8.99,12002.92,38679.79,-4.0,1.1
0,2021-02-20,9.82,25567.61,38847.84,-5.1,0.7
0,2021-02-21,10.76,24614.68,39017.33,-9.5,-7.1
0,2021-02-22,13.63,28173.80,39188.12,-4.0,-2.5
0,2021-02-23,11.68,32400.00,39360.04,-7.1,-3.9
0,2021-02-24,12.70,31656.68,39532.97,-11.9,-8.8
0,2021-02-25,11.41,21725.34,39706.75,-10.4,-9.1
0,2021-02-26,13.20,35459.44,39881.24,-9.0,-7.4
0,2021-02-27,12.72,28776.02,40056.32,-10.1,-7.3
0,2021-02-28,15.69,32400.00,40231.84,-3.9,-0.4
0,2021-03-01,7.32,0.00,40407.67,-2.8,-0.3
0,2021-03-02,4.35,0.00,40583.68,-6.5,-2.2
0,2021-03-03,12.04,21989.01,40759.73,-11.2,-7.1
0,2021-03-04,17.68,34588.81,40935.70,-2.2,1.0
0,2021-03-05,15.70,32400.00,41111.48,-0.3,2.6
0,2021-03-06,8.92,1481.60,41286.91,-11.0,-8.9
0,2021-03-07,15.08,27490.88,41461.88,-9.7,-6.7
0,2021-03-08,15.51,36029.84,41636.27,-8.7,-4.8
0,2021-03-09,18.28,35675.16,41810.19,-2.8,-0.2
0,2021-03-10,11.58,29809.94,41984.96,-5.1,-0.1
0,2021-03-11,17.56,35528.92,42160.70,-1.2,0.2
0,2021-03-12,18.88,40211.99,42337.28,-4.2,1.9
0,2021-03-13,18.63,30592.06,42514.61,-2.4,-1.6
0,2021-03-14,17.09,38582.29,42692.55,-1.2,1.1
0,2021-03-15,19.66,35579.55,42870.99,-3.6,0.7
0,2021-03-16,12.76,23937.38,43049.83,-0.7,1.5
0,2021-03-17,10.35,17714.47,43228.94,-2.2,0.5
0,2021-03-18,6.58,7200.00,43408.21,-1.8,0.0
0,2021-03-19,13.40,33981.52,43587.55,-2.5,-0.8
0,2021-03-20,16.62,24910.48,43766.81,-4.7,-0.5
0,2021-03-21,3.81,0.00,43945.90,2.1,4.0
0,2021-03-22,11.83,35524.00,44124.71,-2.4,0.4
0,2021-03-23,16.57,40986.81,44303.12,-2.7,3.6
0,2021-03-24,16.30,33556.44,44481.01,3.2,4.6
0,2021-03-25,10.60,16466.59,44658.26,3.8,5.0
0,2021-03-26,13.26,34808.66,44834.78,-0.2,4.6
0,2021-03-27,19.04,35535.32,45010.42,-4.0,1.3
0,2021-03-28,16.04,28488.41,45185.10,5.2,7.4
0,2021-03-29,17.10,41082.53,45358.89,6.4,9.2
0,2021-03-30,16.83,43611.92,45533.02,0.9,3.1
0,2021-03-31,20.46,43946.01,45707.63,2.0,3.7
0,2021-04-01,20.77,44280.52,45882.60,0.6,2.2
0,2021-04-02,19.40,32420.99,46057.82,-0.5,3.0
0,2021-04-03,5.50,1131.89,46233.19,4.5,7.0
0,2021-04-04,9.39,13788.78,46408.61,-1.0,0.5
