location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Asahikawa,43.760983,142.3414,117.0,0,GMT,GMT
1,Furano,43.33919,142.41017,172.0,0,GMT,GMT
2,Nayoro,44.32337,142.4312,97.0,0,GMT,GMT
3,Shimukappu,43.128292,142.71237,801.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.86,27061.30,32375.74,-19.1,-17.1
0,2021-01-02,5.04,9613.60,32427.61,-17.4,-14.4
0,2021-01-03,4.51,9318.02,32483.48,-11.8,-10.4
0,2021-01-04,5.18,18170.56,32543.27,-13.6,-11.4
0,2021-01-05,7.42,30009.08,32606.91,-15.5,-13.3
0,2021-01-06,7.75,28800.00,32674.34,-17.9,-13.1
0,2021-01-07,5.33,8781.03,32745.47,-11.6,-8.9
0,2021-01-08,3.55,1558.02,32820.38,-13.6,-10.1
0,2021-01-09,7.58,31868.23,32899.93,-13.8,-11.5
0,2021-01-10,6.34,18000.00,32984.08,-13.0,-11.4
0,2021-01-11,5.45,15391.24,33072.64,-12.4,-11.3
0,2021-01-12,8.20,31047.37,33165.42,-9.9,-4.4
0,2021-01-13,5.64,20961.82,33262.23,-5.4,-2.8
0,2021-01-14,6.70,25200.00,33362.88,-10.5,-5.5
0,2021-01-15,7.12,27033.55,33467.18,-9.7,-1.7
0,2021-01-16,4.97,18194.38,33574.95,-8.6,-0.7
0,2021-01-17,8.28,31549.56,33686.01,-14.1,-11.2
0,2021-01-18,7.75,23880.21,33800.16,-12.7,-11.5
0,2021-01-19,6.62,15581.79,33917.22,-14.6,-13.0
0,2021-01-20,4.27,0.00,34037.04,-11.7,-6.9
0,2021-01-21,3.67,11051.18,34159.42,-5.9,-2.3
0,2021-01-22,8.49,25295.06,34284.20,-10.3,-7.0
0,2021-01-23,5.45,4649.64,34411.21,-13.1,-9.8
0,2021-01-24,10.38,31699.82,34540.28,-15.2,-9.5
0,2021-01-25,7.11,23971.63,34671.25,-11.8,-4.6
0,2021-01-26,6.79,16610.84,34803.97,-8.6,-3.8
0,2021-01-27,4.76,11811.09,34938.26,-7.1,0.2
0,2021-01-28,7.56,24251.98,35074.24,-11.8,-9.8
0,2021-01-29,3.46,0.00,35213.32,-7.1,-6.1
0,2021-01-30,4.45,3600.00,35355.53,-7.6,-4.9
0,2021-01-31,7.86,22323.84,35500.68,-9.7,-8.2
0,2021-02-01,7.32,17636.47,35648.55,-3.5,0.6
0,2021-02-02,4.88,12482.53,35798.95,-12.7,-2.9
0,2021-02-03,6.51,11315.55,35951.67,-16.2,-14.4
0,2021-02-04,7.84,20347.25,36106.51,-14.6,-13.6
0,2021-02-05,6.62,10785.73,36263.30,-9.7,-3.5
0,2021-02-06,4.86,722.55,36421.84,-5.4,-2.4
0,2021-02-07,8.74,22186.97,36581.95,-12.0,-7.0
0,2021-02-08,10.34,25628.63,36743.45,-13.6,-12.4
0,2021-02-09,8.89,28777.59,36906.17,-11.1,-9.6
0,2021-02-10,6.02,8329.13,37069.93,-8.8,-8.0
0,2021-02-11,9.13,30065.87,37234.58,-8.4,-6.8
0,2021-02-12,13.14,35481.66,37399.94,-9.4,-7.1
0,2021-02-13,7.64,19521.55,37565.85,-7.2,-4.0
0,2021-02-14,12.01,25698.70,37732.16,-3.4,-1.9
0,2021-02-15,3.38,0.00,37898.71,0.1,1.0
0,2021-02-16,4.37,154.76,38065.35,-7.8,0.7
0,2021-02-17,7.05,740.36,38232.20,-7.9,-3.9
0,2021-02-18,10.96,27360.07,38400.72,-6.5,-4.6
0,2021-02-19,8.22,20785.56,38571.03,-4.4,-0.4
0,2021-02-20,7.21,18733.08,38742.96,-3.9,0.7
0,2021-02-21,8.42,18561.97,38916.35,-7.6,-5.3
0,2021-02-22,12.73,22709.06,39091.06,-7.2,-5.5
0,2021-02-23,6.61,7196.00,39266.93,-7.6,-4.4
0,2021-02-24,12.23,27037.38,39443.81,-11.2,-8.9
0,2021-02-25,8.89,14731.34,39621.56,-12.5,-11.1
0,2021-02-26,11.68,30275.78,39800.03,-12.3,-9.7
0,2021-02-27,12.11,20211.14,39979.09,-11.0,-9.6
0,2021-02-28,12.98,32400.00,40158.60,-4.7,-0.0
0,2021-03-01,5.39,0.00,40338.41,-3.8,0.4
0,2021-03-02,3.75,6661.96,40518.41,-8.9,-5.9
