location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kushiro,42.987698,144.42793,6.0,0,GMT,GMT
1,Teshikaga,43.479786,144.45946,152.0,0,GMT,GMT
2,Akankohan,43.479786,144.05405,472.0,0,GMT,GMT
3,Shiranuka,42.917397,143.94658,39.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.31,31970.66,32688.76,-20.4,-15.8
0,2021-01-02,8.63,32024.51,32739.01,-18.2,-15.0
0,2021-01-03,8.43,32079.77,32793.13,-13.9,-11.5
0,2021-01-04,8.50,32136.32,32851.06,-14.1,-12.9
0,2021-01-05,8.61,32194.02,32912.72,-16.9,-13.7
0,2021-01-06,8.63,28652.76,32978.04,-15.3,-11.5
0,2021-01-07,2.17,0.00,33046.97,-6.1,-4.5
0,2021-01-08,3.38,3600.00,33119.57,-9.8,-6.4
0,2021-01-09,9.78,32400.00,33196.66,-15.4,-12.4
0,2021-01-10,9.80,32400.00,33278.21,-14.1,-12.6
0,2021-01-11,9.58,28800.00,33364.06,-14.1,-11.8
0,2021-01-12,7.32,14832.01,33453.99,-3.7,-0.1
0,2021-01-13,5.78,17001.30,33547.84,-3.5,0.7
0,2021-01-14,7.76,25200.00,33645.43,-9.3,0.1
0,2021-01-15,9.57,28800.00,33746.55,-7.0,3.4
0,2021-01-16,6.48,18958.60,33851.06,-6.4,3.0
0,2021-01-17,7.14,17462.01,33958.74,-11.9,-10.7
0,2021-01-18,9.66,28800.00,34069.45,-11.1,-7.6
0,2021-01-19,6.94,19097.87,34183.01,-14.1,-9.1
0,2021-01-20,10.18,28800.00,34299.23,-14.7,-10.5
0,2021-01-21,6.68,16630.74,34417.95,-6.0,-2.6
0,2021-01-22,9.86,32400.00,34539.02,-9.5,-4.4
0,2021-01-23,10.79,31127.35,34662.26,-15.5,-11.2
0,2021-01-24,10.60,32400.00,34787.50,-8.5,-4.1
0,2021-01-25,9.76,32400.00,34914.60,-11.1,-4.6
0,2021-01-26,9.91,25965.21,35043.41,-8.2,0.2
0,2021-01-27,5.13,16816.00,35173.76,-5.6,0.7
0,2021-01-28,9.60,21506.86,35305.76,-8.2,-5.5
0,2021-01-29,2.83,0.00,35440.78,-4.0,-3.3
0,2021-01-30,6.86,3600.00,35578.86,-7.2,-3.9
0,2021-01-31,11.64,31681.95,35719.80,-11.3,-8.5
0,2021-02-01,11.88,32900.86,35863.40,-2.2,2.3
0,2021-02-02,10.35,32991.06,36009.46,-11.6,0.3
0,2021-02-03,12.58,33907.72,36157.79,-17.3,-15.2
0,2021-02-04,12.83,33134.92,36308.20,-15.0,-14.0
0,2021-02-05,11.23,28047.00,36460.51,-9.5,-0.5
0,2021-02-06,10.82,27340.72,36614.53,-3.4,0.1
0,2021-02-07,5.75,7115.26,36770.09,-11.1,-6.3
0,2021-02-08,13.14,34494.56,36927.02,-13.1,-11.2
0,2021-02-09,13.61,35322.10,37085.15,-12.9,-9.9
0,2021-02-10,13.51,34989.69,37244.29,-10.9,-8.4
0,2021-02-11,12.97,34987.05,37404.31,-9.2,-5.8
0,2021-02-12,12.63,32503.00,37565.04,-7.4,-3.1
0,2021-02-13,13.49,35470.17,37726.32,-4.9,-2.7
0,2021-02-14,12.24,26418.03,37887.99,-4.6,-2.2
0,2021-02-15,5.77,4820.39,38049.91,1.8,4.4
0,2021-02-16,9.30,25036.54,38211.93,-7.2,-0.9
0,2021-02-17,13.94,35465.34,38374.17,-8.7,-5.8
0,2021-02-18,11.43,28699.52,38538.04,-7.0,-4.4
0,2021-02-19,11.34,29279.04,38703.65,-4.7,0.5
0,2021-02-20,8.85,26528.21,38870.85,-3.4,1.4
0,2021-02-21,14.82,38502.05,39039.49,-9.1,-6.3
0,2021-02-22,10.27,20368.24,39209.42,-4.2,-2.6
0,2021-02-23,8.69,22094.70,39380.48,-6.7,-3.2
0,2021-02-24,15.43,35410.20,39552.53,-12.0,-8.6
0,2021-02-25,15.64,36722.90,39725.44,-12.3,-11.2
0,2021-02-26,15.74,37170.92,39899.07,-12.2,-8.6
0,2021-02-27,11.85,20113.90,40073.27,-11.8,-9.2
0,2021-02-28,16.15,32400.00,40247.92,-4.5,-0.8
0,2021-03-01,7.28,3493.92,40422.87,-1.6,1.1
0,2021-03-02,4.41,773.04,40598.01,-7.3,-3.8
0,2021-03-03,16.65,39600.00,40773.19,-12.2,-5.7
0,2021-03-04,13.70,25761.86,40948.29,-0.8,1.0
0,2021-03-05,16.12,36119.93,41123.19,1.0,2.5
0,2021-03-06,10.13,13547.34,41297.76,-12.2,-2.0
0,2021-03-07,18.33,39600.00,41471.87,-11.3,-7.1
0,2021-03-08,17.65,39600.00,41645.40,-6.0,-3.0
0,2021-03-09,18.49,39600.00,41818.46,-2.5,-0.6
0,2021-03-10,12.44,25103.43,41992.37,-4.6,0.2
0,2021-03-11,18.78,39600.00,42167.24,-4.0,-3.1
0,2021-03-12,17.22,39600.00,42342.96,-4.6,0.5
0,2021-03-13,18.19,29615.28,42519.40,-1.8,-0.2
0,2021-03-14,6.23,0.00,42696.48,-0.2,1.2
0,2021-03-15,12.16,23363.11,42874.04,-1.4,1.6
0,2021-03-16,14.77,26835.49,43051.99,-2.2,0.3
0,2021-03-17,11.31,26319.80,43230.23,-1.0,1.1
0,2021-03-18,15.08,38502.40,43408.63,-4.5,-2.0
0,2021-03-19,15.66,32902.38,43587.08,-5.2,-1.2
0,2021-03-20,18.54,30837.37,43765.46,-5.3,-0.7
0,2021-03-21,3.30,0.00,43943.68,1.0,3.8
0,2021-03-22,18.41,41047.88,44121.61,-1.4,1.4
0,2021-03-23,17.81,37062.72,44299.13,-1.4,1.6
0,2021-03-24,18.43,39600.00,44476.15,1.6,4.1
0,2021-03-25,11.75,16736.77,44652.54,2.9,4.0
0,2021-03-26,15.53,38667.34,44828.18,-3.9,1.6
0,2021-03-27,20.92,40611.52,45002.97,-3.0,1.4
0,2021-03-28,11.35,19619.80,45176.78,4.8,6.4
0,2021-03-29,4.51,8304.98,45349.71,4.6,6.2
0,2021-03-30,18.99,33360.02,45522.99,2.3,5.6
0,2021-03-31,14.16,32387.97,45696.73,2.7,8.6
0,2021-04-01,13.83,27361.75,45870.84,1.7,4.6
0,2021-04-02,20.00,32400.00,46045.20,1.5,3.1
0,2021-04-03,8.95,11400.86,46219.70,4.3,5.4
0,2021-04-04,4.13,497.18,46394.24,1.9,5.5
0,2021-04-05,17.76,41678.29,46568.71,-5.1,-3.0
0,2021-04-06,21.01,32825.89,46743.00,-3.5,-2.2
0,2021-04-07,14.51,33800.49,46917.00,-2.1,-0.1
0,2021-04-08,15.59,34290.04,47090.60,-4.2,0.2
0,2021-04-09,19.16,41446.63,47263.67,-4.7,-3.1
0,2021-04-10,22.05,46339.98,47436.10,-1.5,0.4
0,2021-04-11,23.71,46511.59,47607.78,0.3,2.1
0,2021-04-12,22.42,38356.67,47778.58,2.4,5.2
0,2021-04-13,13.10,26424.86,47948.37,6.1,8.0
0,2021-04-14,12.65,25200.00,48117.04,0.9,5.9
0,2021-04-15,21.75,46786.98,48284.44,-1.7,0.6
0,2021-04-16,20.04,27882.26,48450.46,2.6,4.7
0,2021-04-17,7.22,1212.98,48614.96,4.6,5.9
0,2021-04-18,8.70,23595.47,48778.02,4.7,8.0
0,2021-04-19,17.49,40863.81,48940.81,2.5,4.9
0,2021-04-20,23.00,43373.67,49103.44,-3.9,5.9
0,2021-04-21,15.91,30246.41,49265.80,-2.4,0.6
0,2021-04-22,14.32,34351.74,49427.78,-1.5,1.1
0,2021-04-23,24.30,46800.00,49589.24,2.3,5.7
0,2021-04-24,15.92,27844.09,49750.07,3.3,4.9
0,2021-04-25,9.24,12193.87,49910.15,-3.1,0.3
0,2021-04-26,24.58,43200.37,50069.35,-4.6,-1.1
0,2021-04-27,21.75,46800.00,50227.53,1.3,4.1
0,2021-04-28,20.87,46800.00,50384.57,3.9,7.0
0,2021-04-29,14.59,22523.75,50540.33,6.2,8.0
0,2021-04-30,6.08,7778.38,50694.68,1.8,6.7
0,2021-05-01,20.27,33678.25,50847.47,2.5,5.1
0,2021-05-02,8.83,11697.73,50998.55,1.6,2.6
0,2021-05-03,13.37,22321.16,51147.79,0.5,2.3
0,2021-05-04,13.68,30876.38,51295.01,1.8,3.3
0,2021-05-05,16.69,25735.86,51440.08,5.8,9.2
0,2021-05-06,26.05,48427.09,51582.83,4.8,7.6
0,2021-05-07,23.72,33701.15,51723.10,6.3,8.9
0,2021-05-08,21.36,44205.80,51860.94,7.3,11.6
0,2021-05-09,20.92,36284.20,51997.42,6.7,9.4
0,2021-05-10,19.70,44255.78,52132.62,4.3,7.7
0,2021-05-11,22.54,39600.14,52266.44,1.4,2.7
0,2021-05-12,21.27,36000.00,52398.73,4.0,6.7
0,2021-05-13,6.18,1999.74,52529.38,8.1,10.9
0,2021-05-14,19.38,38298.38,52658.24,9.3,13.2
0,2021-05-15,18.45,36000.00,52785.18,6.6,9.5
0,2021-05-16,7.21,4597.71,52910.08,10.0,10.7
0,2021-05-17,10.13,17500.77,53032.78,10.9,13.8
0,2021-05-18,23.07,40377.45,53153.15,8.0,12.3
0,2021-05-19,23.62,45151.70,53271.04,7.7,9.0
0,2021-05-20,23.44,36239.00,53386.31,9.4,11.3
0,2021-05-21,7.09,8065.12,53498.81,10.2,11.4
0,2021-05-22,8.22,3600.00,53608.40,8.3,11.2
0,2021-05-23,10.81,6230.88,53714.90,8.5,11.0
0,2021-05-24,17.83,33101.87,53818.18,9.3,13.0
0,2021-05-25,20.96,46652.71,53918.07,9.6,12.0
0,2021-05-26,25.04,51191.96,54014.42,6.5,9.8
0,2021-05-27,14.69,22445.51,54107.07,9.4,10.3
0,2021-05-28,11.34,14317.55,54196.01,8.0,9.8
0,2021-05-29,8.80,16790.51,54281.99,7.7,10.6
0,2021-05-30,23.37,42536.99,54365.06,7.2,11.7
0,2021-05-31,22.38,51617.33,54445.15,3.0,4.5
0,2021-06-01,25.95,49181.20,54522.16,7.1,9.1
0,2021-06-02,22.68,37886.43,54596.02,11.1,13.0
0,2021-06-03,16.12,22023.73,54666.63,12.1,13.9
0,2021-06-04,7.75,9553.89,54733.92,11.9,14.4
0,2021-06-05,27.56,48761.72,54797.78,10.0,15.6
0,2021-06-06,26.77,52404.35,54858.15,11.0,13.4
0,2021-06-07,24.71,51670.27,54914.94,12.8,18.2
0,2021-06-08,22.68,50921.62,54968.06,9.4,15.7
0,2021-06-09,28.22,52718.01,55017.44,9.9,14.3
0,2021-06-10,26.57,47160.74,55062.98,11.9,15.2
0,2021-06-11,25.06,43934.71,55104.60,13.5,14.6
0,2021-06-12,18.40,45750.07,55142.25,14.0,15.0
0,2021-06-13,26.53,51159.48,55175.83,14.8,16.5
0,2021-06-14,23.00,41248.37,55205.25,13.9,17.9
0,2021-06-15,17.31,36511.29,55230.48,11.4,14.6
0,2021-06-16,18.11,30716.39,55251.40,9.4,11.8
0,2021-06-17,16.83,28656.40,55267.99,9.4,10.9
0,2021-06-18,18.62,42222.88,55280.37,8.5,9.7
0,2021-06-19,14.61,25073.02,55288.57,8.9,9.6
0,2021-06-20,6.14,0.00,55292.62,9.1,10.4
0,2021-06-21,12.60,14400.00,55292.55,9.1,11.0
0,2021-06-22,27.59,52795.28,55288.40,10.7,12.6
0,2021-06-23,24.16,34398.43,55280.20,11.0,12.1
0,2021-06-24,19.43,40175.22,55267.97,12.0,14.4
0,2021-06-25,19.66,37660.22,55251.76,13.9,16.0
0,2021-06-26,27.40,53653.13,55231.61,14.5,16.4
0,2021-06-27,26.25,45285.90,55207.55,14.5,19.0
0,2021-06-28,23.37,33292.75,55179.64,13.4,15.9
0,2021-06-29,9.89,116.05,55147.91,13.5,14.0
0,2021-06-30,19.25,38367.37,55112.41,11.3,15.1
0,2021-07-01,16.18,24073.20,55073.19,13.2,14.7
0,2021-07-02,19.89,32779.48,55030.29,14.4,15.7
0,2021-07-03,14.23,21780.44,54983.78,13.2,15.2
0,2021-07-04,15.16,18179.16,54933.69,12.8,13.6
0,2021-07-05,7.23,1059.77,54880.08,14.3,16.1
0,2021-07-06,13.14,22390.52,54823.02,15.6,16.8
0,2021-07-07,6.81,14.82,54762.44,14.7,15.8
0,2021-07-08,8.21,1719.51,54697.76,13.7,14.5
0,2021-07-09,20.83,35347.29,54629.01,13.6,14.4
0,2021-07-10,14.16,15510.86,54556.33,14.0,14.6
0,2021-07-11,14.94,15316.08,54479.87,14.9,16.1
0,2021-07-12,12.71,10564.31,54399.74,15.7,17.3
0,2021-07-13,16.78,32478.92,54316.10,15.1,16.8
0,2021-07-14,23.25,43359.17,54229.07,14.5,16.2
0,2021-07-15,24.80,39342.95,54138.79,15.9,17.1
0,2021-07-16,21.32,34411.35,54045.40,17.0,17.9
0,2021-07-17,24.77,51360.38,53949.03,18.3,20.1
0,2021-07-18,26.40,51650.87,53849.81,20.8,22.4
0,2021-07-19,20.35,40142.90,53747.89,20.0,24.9
0,2021-07-20,23.90,46389.88,53643.37,20.4,23.0
0,2021-07-21,21.45,36913.50,53536.39,18.8,21.2
0,2021-07-22,18.62,34363.15,53427.08,18.7,19.0
0,2021-07-23,22.47,36760.45,53315.57,19.4,20.1
