location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Nemuro,43.33919,145.6437,21.0,0,GMT,GMT
1,Rausu,44.04218,145.12158,543.0,0,GMT,GMT
2,Bekkai,43.479786,145.13513,35.0,0,GMT,GMT
3,Nakashibetsu,43.550087,144.94737,68.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.05,31605.68,32547.63,-20.5,-18.0
0,2021-01-02,8.31,31659.90,32598.61,-17.2,-12.9
0,2021-01-03,8.09,31715.55,32653.52,-14.1,-10.8
0,2021-01-04,8.06,31772.53,32712.28,-13.4,-11.8
0,2021-01-05,8.31,31830.68,32774.83,-16.3,-12.8
0,2021-01-06,8.25,28289.90,32841.11,-15.7,-12.4
0,2021-01-07,2.29,0.00,32911.02,-4.8,-2.6
0,2021-01-08,3.75,3909.06,32984.66,-7.0,-5.2
0,2021-01-09,9.54,32073.94,33062.86,-12.2,-10.6
0,2021-01-10,9.48,32138.87,33145.58,-12.5,-11.1
0,2021-01-11,9.52,29014.34,33232.65,-14.1,-11.3
0,2021-01-12,6.63,10424.95,33323.86,-3.0,-0.7
0,2021-01-13,5.01,13012.35,33419.04,-3.1,0.6
0,2021-01-14,6.99,21600.00,33518.01,-7.5,0.5
0,2021-01-15,9.27,28800.00,33620.56,-7.7,1.4
0,2021-01-16,4.63,4572.83,33726.54,-4.4,3.7
0,2021-01-17,8.82,31648.42,33835.74,-10.2,-8.1
0,2021-01-18,9.39,28800.00,33948.00,-9.1,-7.0
0,2021-01-19,6.01,7304.16,34063.13,-11.9,-8.0
0,2021-01-20,9.72,28800.00,34180.97,-12.2,-8.8
0,2021-01-21,6.52,20295.51,34301.35,-4.7,-2.4
0,2021-01-22,8.72,21600.00,34424.08,-8.2,-3.9
0,2021-01-23,9.49,26062.33,34549.02,-11.6,-9.8
0,2021-01-24,10.51,32400.00,34675.99,-5.6,-3.0
0,2021-01-25,6.78,17024.67,34804.83,-10.6,-3.1
0,2021-01-26,10.45,28800.00,34935.39,-9.3,-1.3
0,2021-01-27,4.05,10800.00,35067.52,-3.9,2.0
0,2021-01-28,9.71,21600.00,35201.32,-8.1,-5.1
0,2021-01-29,4.74,0.00,35338.16,-3.0,-2.0
0,2021-01-30,5.78,3600.00,35478.10,-6.5,-2.2
0,2021-01-31,11.47,32423.88,35620.94,-9.9,-8.7
0,2021-02-01,11.71,32400.00,35766.46,-1.9,3.3
0,2021-02-02,9.63,27929.40,35914.48,-9.4,0.7
0,2021-02-03,12.42,33278.22,36064.78,-17.4,-14.9
0,2021-02-04,12.60,32400.00,36217.20,-14.4,-13.5
0,2021-02-05,12.40,29927.08,36371.52,-10.2,-0.8
0,2021-02-06,11.03,26536.51,36527.58,-3.6,-0.2
0,2021-02-07,5.54,4812.91,36685.19,-11.0,-7.7
0,2021-02-08,13.13,33533.62,36844.18,-12.5,-11.7
0,2021-02-09,12.83,33785.09,37004.38,-11.3,-10.3
0,2021-02-10,13.07,34034.48,37165.61,-9.8,-8.2
