location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Abashiri,43.971878,144.2185,8.0,0,GMT,GMT
1,Kitami,43.83128,143.9183,74.0,0,GMT,GMT
2,Monbetsu,44.32337,143.3945,17.0,0,GMT,GMT
3,Shari,43.90158,144.68182,7.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,7.92,31618.52,32288.73,-21.0,-16.9
0,2021-01-02,6.41,30596.30,32341.05,-17.7,-13.0
0,2021-01-03,7.37,29377.05,32397.41,-14.9,-12.8
0,2021-01-04,7.06,31793.43,32457.72,-14.7,-12.9
0,2021-01-05,7.49,31859.84,32521.92,-15.9,-12.7
0,2021-01-06,7.17,28501.51,32589.93,-17.0,-15.2
0,2021-01-07,3.73,186.73,32661.67,-8.0,-5.4
0,2021-01-08,2.33,3457.61,32737.24,-9.2,-6.4
0,2021-01-09,7.55,29831.72,32817.47,-18.1,-12.5
0,2021-01-10,8.93,32251.75,32902.35,-17.5,-14.8
0,2021-01-11,8.43,21888.71,32991.67,-18.2,-13.9
0,2021-01-12,8.19,29340.42,33085.24,-7.1,-1.3
0,2021-01-13,6.00,21971.38,33182.88,-6.6,-0.8
0,2021-01-14,8.05,32400.00,33284.39,-9.5,-3.5
0,2021-01-15,8.16,28800.00,33389.58,-8.9,-0.7
0,2021-01-16,7.11,26176.74,33498.26,-6.8,0.6
0,2021-01-17,6.31,24835.28,33610.24,-12.4,-11.0
0,2021-01-18,9.26,28800.00,33725.35,-13.4,-10.9
0,2021-01-19,6.54,17715.52,33843.41,-14.1,-9.8
0,2021-01-20,7.83,21405.85,33964.22,-14.5,-11.8
0,2021-01-21,5.04,8734.11,34087.63,-7.9,-3.8
0,2021-01-22,7.07,25324.35,34213.45,-9.6,-5.5
0,2021-01-23,8.86,28800.00,34341.51,-15.0,-11.3
0,2021-01-24,10.17,29400.35,34471.64,-13.0,-8.6
0,2021-01-25,2.97,0.00,34603.69,-12.3,-5.8
0,2021-01-26,9.91,28396.30,34737.49,-10.7,-2.9
0,2021-01-27,6.07,18768.81,34872.89,-6.6,-0.7
0,2021-01-28,9.82,28800.00,35009.97,-10.4,-6.9
0,2021-01-29,3.42,0.00,35150.18,-4.0,-2.9
0,2021-01-30,3.67,0.00,35293.55,-6.8,-2.5
0,2021-01-31,8.75,19845.76,35439.87,-10.6,-8.2
0,2021-02-01,10.65,29020.76,35588.93,-5.1,-0.2
0,2021-02-02,8.59,25200.00,35740.53,-12.4,-1.5
0,2021-02-03,9.68,27057.12,35894.47,-18.8,-17.2
0,2021-02-04,11.00,29368.41,36050.56,-18.2,-15.0
0,2021-02-05,9.13,20707.91,36208.59,-13.1,-9.0
0,2021-02-06,8.04,22528.31,36368.38,-6.5,-4.6
0,2021-02-07,6.47,4859.07,36529.76,-14.0,-9.8
0,2021-02-08,11.92,32899.36,36692.53,-16.0,-12.6
0,2021-02-09,12.45,31776.42,36856.53,-13.5,-12.0
0,2021-02-10,9.56,26106.97,37021.58,-11.1,-8.9
0,2021-02-11,12.46,33546.04,37187.51,-7.7,-5.6
0,2021-02-12,11.76,35247.13,37354.15,-9.5,-6.0
0,2021-02-13,9.96,28154.00,37521.35,-6.9,-4.9
0,2021-02-14,11.79,25598.62,37688.95,-3.0,-1.7
