location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Hakodate,41.792618,140.73914,4.0,0,GMT,GMT
1,Matsumae,41.441124,140.1151,32.0,0,GMT,GMT
2,Mori,42.07381,140.6414,17.0,0,GMT,GMT
3,Kikonai,41.722317,140.4052,4.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.56,30829.59,33154.94,-16.9,-15.7
0,2021-01-02,9.04,28800.00,33202.79,-15.9,-12.2
0,2021-01-03,7.54,22568.06,33254.35,-10.5,-8.8
0,2021-01-04,9.05,31816.00,33309.52,-13.3,-10.1
0,2021-01-05,9.54,31820.54,33368.27,-14.7,-10.5
0,2021-01-06,9.12,28563.67,33430.51,-11.5,-7.9
0,2021-01-07,7.45,19024.32,33496.18,-9.7,-7.4
0,2021-01-08,9.73,31850.12,33565.37,-15.0,-13.7
0,2021-01-09,9.75,30941.46,33638.84,-14.2,-12.3
0,2021-01-10,8.75,29337.89,33716.58,-14.5,-12.1
0,2021-01-11,9.33,28800.00,33798.40,-11.1,-7.5
0,2021-01-12,8.19,23579.35,33884.15,-1.8,1.5
0,2021-01-13,8.86,32314.58,33973.63,-3.8,-0.1
0,2021-01-14,10.07,32304.61,34066.68,-11.1,-5.2
0,2021-01-15,9.25,27932.36,34163.12,-4.3,4.6
0,2021-01-16,9.31,31610.08,34262.79,-4.5,0.3
0,2021-01-17,10.00,32283.55,34365.52,-9.7,-5.4
0,2021-01-18,8.59,20388.60,34471.14,-9.1,-7.9
0,2021-01-19,10.04,27889.49,34579.49,-13.7,-10.6
0,2021-01-20,6.03,3760.58,34690.40,-6.8,-1.3
0,2021-01-21,9.72,30350.74,34803.71,-3.2,-0.5
0,2021-01-22,9.39,31391.63,34919.27,-8.8,-2.1
0,2021-01-23,10.02,30209.10,35036.92,-9.8,-5.6
0,2021-01-24,8.86,32891.18,35156.51,-7.1,-1.4
0,2021-01-25,11.17,33167.38,35277.88,-3.3,-0.2
0,2021-01-26,6.78,8365.64,35400.90,1.3,2.9
0,2021-01-27,8.36,24431.73,35525.40,-6.7,3.1
0,2021-01-28,7.09,11065.95,35651.51,-5.5,1.1
0,2021-01-29,6.53,18063.22,35780.50,-4.9,-2.8
0,2021-01-30,11.53,35071.43,35912.44,-8.6,-4.1
0,2021-01-31,8.04,10861.55,36047.13,-10.4,-8.3
0,2021-02-01,10.20,21903.15,36184.38,-0.5,3.2
0,2021-02-02,10.72,26698.87,36324.01,-12.0,-3.4
0,2021-02-03,11.11,27661.79,36465.81,-14.5,-12.5
0,2021-02-04,10.95,31682.34,36609.63,-13.8,-10.9
0,2021-02-05,7.70,7895.00,36755.28,-6.8,-2.2
0,2021-02-06,11.00,30567.99,36902.58,-3.4,0.3
0,2021-02-07,12.46,32099.56,37051.38,-9.7,-4.2
0,2021-02-08,12.96,35772.08,37201.50,-12.7,-11.2
0,2021-02-09,11.98,29419.29,37352.79,-9.7,-8.1
0,2021-02-10,7.14,4273.63,37505.07,-7.0,-6.1
0,2021-02-11,12.71,34338.29,37658.20,-10.3,-6.3
0,2021-02-12,14.29,36058.68,37812.02,-8.1,-5.3
0,2021-02-13,14.29,34727.17,37966.40,-4.5,0.2
0,2021-02-14,10.48,26474.69,38121.16,1.8,3.5
0,2021-02-15,4.84,0.00,38276.18,2.0,3.6
0,2021-02-16,9.76,29938.07,38431.30,-9.6,-5.7
0,2021-02-17,13.85,36493.84,38586.64,-9.2,-5.7
0,2021-02-18,13.65,32085.50,38743.58,-5.1,-4.0
0,2021-02-19,9.98,19568.81,38902.19,-1.7,2.7
0,2021-02-20,10.49,21898.84,39062.34,-3.8,1.7
0,2021-02-21,14.80,33294.61,39223.87,-7.8,-4.3
0,2021-02-22,8.26,13241.26,39386.66,-1.4,0.7
0,2021-02-23,15.03,36851.13,39550.54,-9.9,-8.2
0,2021-02-24,15.69,34041.07,39715.39,-13.0,-11.1
0,2021-02-25,14.88,35884.22,39881.08,-7.1,-4.5
0,2021-02-26,10.98,23567.47,40047.45,-11.2,-8.8
0,2021-02-27,15.61,36360.85,40214.39,-10.6,-6.7
0,2021-02-28,16.47,32400.00,40381.77,-0.9,3.7
0,2021-03-01,6.25,4474.53,40549.45,-0.0,2.5
0,2021-03-02,2.95,6383.33,40717.32,-4.7,-0.6
0,2021-03-03,12.90,36760.04,40885.24,-8.5,-3.0
0,2021-03-04,14.99,36000.00,41053.10,-0.8,5.6
0,2021-03-05,14.98,33935.10,41220.77,3.5,6.6
0,2021-03-06,11.34,31368.29,41388.12,-11.0,-5.4
0,2021-03-07,14.03,34824.67,41555.04,-8.0,-5.5
0,2021-03-08,14.00,39848.21,41721.42,-6.9,-4.4
0,2021-03-09,17.47,39546.77,41887.35,-1.3,2.4
0,2021-03-10,15.02,39811.17,42054.10,-3.9,-0.7
0,2021-03-11,15.42,29327.60,42221.78,-0.5,4.2
0,2021-03-12,17.59,40086.85,42390.27,-3.3,4.0
0,2021-03-13,13.40,22039.18,42559.47,0.4,2.0
0,2021-03-14,8.70,18782.90,42729.26,-1.4,1.9
0,2021-03-15,18.72,39394.13,42899.55,0.1,5.8
0,2021-03-16,10.40,22507.24,43070.19,0.9,4.6
0,2021-03-17,11.32,25745.77,43241.12,-1.2,0.0
0,2021-03-18,8.52,13081.30,43412.19,-2.1,-1.1
0,2021-03-19,13.14,35707.08,43583.32,-3.3,-1.5
0,2021-03-20,15.84,29404.39,43754.38,-1.3,2.6
0,2021-03-21,3.03,5084.33,43925.28,2.9,6.0
0,2021-03-22,16.55,41899.10,44095.91,-2.0,1.6
0,2021-03-23,16.30,41865.46,44266.15,0.2,6.2
0,2021-03-24,13.78,32400.00,44435.90,7.2,8.0
0,2021-03-25,8.49,4772.71,44605.04,6.1,8.2
0,2021-03-26,18.05,42789.61,44773.46,0.1,5.6
0,2021-03-27,17.60,38438.07,44941.06,1.0,3.1
0,2021-03-28,13.24,21654.23,45107.71,6.8,10.0
0,2021-03-29,15.78,39600.00,45273.52,7.1,11.2
0,2021-03-30,18.22,41947.88,45439.66,4.3,7.0
0,2021-03-31,19.08,43796.96,45606.24,2.1,6.0
0,2021-04-01,19.97,44122.49,45773.15,-0.5,2.1
0,2021-04-02,19.02,36835.70,45940.30,2.0,5.0
0,2021-04-03,13.76,28899.14,46107.58,7.2,8.8
0,2021-04-04,4.26,3600.00,46274.89,3.7,7.3
0,2021-04-05,22.61,44686.39,46442.13,-0.1,2.7
0,2021-04-06,19.04,32536.82,46609.18,-0.5,1.8
0,2021-04-07,17.31,44155.00,46775.94,0.9,3.8
0,2021-04-08,20.80,45166.60,46942.30,-5.7,-3.3
0,2021-04-09,18.22,44809.78,47108.15,-3.5,-1.6
0,2021-04-10,19.63,45698.94,47273.38,-1.8,3.0
0,2021-04-11,22.57,46400.18,47437.87,0.6,3.9
0,2021-04-12,20.84,32400.00,47601.51,1.9,6.3
0,2021-04-13,5.73,7325.86,47764.17,6.5,10.1
0,2021-04-14,17.95,45451.27,47925.74,-4.3,-0.4
0,2021-04-15,20.17,43918.56,48086.08,0.5,4.8
0,2021-04-16,18.42,28915.66,48245.09,5.1,9.6
0,2021-04-17,5.73,3600.00,48402.62,9.3,11.1
0,2021-04-18,4.13,0.00,48558.76,5.5,8.9
0,2021-04-19,19.67,46395.30,48714.63,3.5,7.7
0,2021-04-20,24.38,46800.00,48870.33,-2.2,8.2
0,2021-04-21,24.83,46800.00,49025.75,-2.9,1.4
0,2021-04-22,24.40,46800.00,49180.80,0.5,3.2
0,2021-04-23,24.82,46800.00,49335.33,3.9,6.6
0,2021-04-24,20.30,36920.28,49489.24,4.6,8.1
0,2021-04-25,21.18,46800.00,49642.41,-1.6,2.2
0,2021-04-26,24.29,46800.00,49794.72,-2.7,2.0
0,2021-04-27,24.42,40613.49,49946.05,1.2,4.0
0,2021-04-28,17.57,30670.22,50096.26,7.1,10.8
0,2021-04-29,10.27,487.10,50245.23,6.7,9.9
0,2021-04-30,13.33,24192.75,50392.83,3.5,6.4
0,2021-05-01,20.48,25816.05,50538.92,4.0,8.1
0,2021-05-02,12.03,11035.59,50683.36,2.0,4.5
0,2021-05-03,15.02,41111.80,50826.01,3.2,7.3
0,2021-05-04,23.88,40718.62,50966.73,6.0,7.9
0,2021-05-05,11.57,15345.59,51105.36,8.7,10.7
0,2021-05-06,25.83,47044.44,51241.76,7.9,9.9
0,2021-05-07,23.80,36000.00,51375.78,7.6,11.2
0,2021-05-08,22.90,36947.40,51507.44,7.7,12.5
0,2021-05-09,14.53,27550.26,51637.80,6.6,10.7
0,2021-05-10,17.35,45985.96,51766.92,4.6,6.1
0,2021-05-11,16.29,37063.67,51894.70,5.9,8.0
0,2021-05-12,22.16,36409.94,52021.00,7.1,9.2
0,2021-05-13,9.77,9664.64,52145.71,9.8,12.5
0,2021-05-14,25.78,48043.59,52268.70,9.4,13.9
0,2021-05-15,23.17,37512.35,52389.84,8.8,12.7
0,2021-05-16,7.96,0.00,52509.01,14.2,15.0
0,2021-05-17,12.05,9667.72,52626.08,13.3,16.9
0,2021-05-18,24.49,40278.92,52740.90,10.2,12.9
0,2021-05-19,13.63,23672.44,52853.34,12.0,12.6
0,2021-05-20,22.68,32728.35,52963.26,11.9,14.1
0,2021-05-21,5.01,0.00,53070.53,11.0,12.9
0,2021-05-22,8.13,4498.02,53175.00,9.9,11.2
0,2021-05-23,12.17,20633.08,53276.53,11.3,12.8
0,2021-05-24,13.13,17350.24,53374.95,12.0,13.8
0,2021-05-25,23.12,43862.43,53470.15,9.9,14.0
0,2021-05-26,25.60,42401.04,53561.95,8.3,11.6
0,2021-05-27,18.20,23610.56,53650.22,10.2,11.4
0,2021-05-28,14.40,27116.26,53734.94,10.9,12.1
0,2021-05-29,11.04,18305.16,53816.83,12.1,13.4
0,2021-05-30,17.45,38149.51,53895.95,7.6,11.0
0,2021-05-31,22.95,49197.90,53972.21,6.1,7.6
0,2021-06-01,23.74,35505.75,54045.55,7.8,9.9
0,2021-06-02,27.05,51683.97,54115.86,10.8,13.2
0,2021-06-03,21.12,28800.00,54183.08,14.0,15.5
0,2021-06-04,6.47,11001.11,54247.12,12.4,16.1
0,2021-06-05,27.10,48953.65,54307.90,13.0,14.1
0,2021-06-06,25.43,49279.06,54365.36,13.0,15.7
0,2021-06-07,27.33,51635.74,54419.40,12.4,14.2
0,2021-06-08,27.59,51701.04,54469.94,13.5,16.8
0,2021-06-09,27.46,52266.06,54516.91,14.7,16.8
0,2021-06-10,27.27,50400.00,54560.24,14.6,17.9
0,2021-06-11,24.03,35816.97,54599.84,16.0,18.9
0,2021-06-12,13.62,23371.32,54635.65,16.5,17.2
0,2021-06-13,27.43,50924.15,54667.58,15.0,18.4
0,2021-06-14,25.08,41449.52,54695.58,15.1,17.2
0,2021-06-15,8.94,747.03,54719.56,13.0,14.1
0,2021-06-16,12.20,15050.99,54739.46,12.9,14.0
0,2021-06-17,22.96,40553.35,54755.24,13.5,14.4
0,2021-06-18,21.92,36000.00,54767.01,12.7,14.4
