location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Rumoi,43.90158,141.68182,9.0,0,GMT,GMT
1,Enbetsu,44.745167,141.80556,7.0,0,GMT,GMT
2,Mashike,43.83128,141.46747,6.0,0,GMT,GMT
3,Shosanbetsu,44.253075,141.80153,158.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.43,24846.37,32317.82,-14.4,-12.0
0,2021-01-02,2.40,0.00,32369.98,-11.8,-9.3
0,2021-01-03,3.49,10274.03,32426.18,-10.3,-8.7
0,2021-01-04,4.32,21427.80,32486.31,-11.2,-10.2
0,2021-01-05,6.83,30493.66,32550.33,-12.0,-9.8
0,2021-01-06,6.48,28233.74,32618.14,-13.1,-11.3
0,2021-01-07,5.62,8506.94,32689.68,-10.4,-8.2
0,2021-01-08,3.51,2255.78,32765.02,-10.7,-8.2
0,2021-01-09,6.99,28928.17,32845.03,-10.5,-8.9
0,2021-01-10,5.91,26130.18,32929.66,-10.2,-8.9
0,2021-01-11,3.96,13100.16,33018.73,-10.3,-8.9
0,2021-01-12,8.07,29615.94,33112.04,-7.1,-2.1
0,2021-01-13,4.60,11984.59,33209.40,-4.0,-1.7
0,2021-01-14,7.32,28800.00,33310.62,-10.0,-8.2
0,2021-01-15,5.27,10995.52,33415.51,-8.1,-0.4
0,2021-01-16,4.15,17098.45,33523.89,-8.2,1.2
0,2021-01-17,8.90,31916.99,33635.56,-12.8,-9.6
0,2021-01-18,7.70,21986.23,33750.36,-11.5,-9.3
0,2021-01-19,4.49,577.03,33868.08,-12.4,-9.6
0,2021-01-20,3.73,0.00,33988.56,-10.1,-5.7
0,2021-01-21,4.36,10835.17,34111.62,-4.3,-2.0
0,2021-01-22,7.56,20071.69,34237.10,-10.3,-5.7
0,2021-01-23,4.82,3495.01,34364.80,-11.8,-9.9
0,2021-01-24,9.81,31509.29,34494.58,-10.0,-7.1
0,2021-01-25,7.39,31134.59,34626.27,-9.5,-2.5
0,2021-01-26,7.70,19623.65,34759.70,-6.7,-3.4
0,2021-01-27,4.73,14503.99,34894.73,-7.1,1.3
0,2021-01-28,6.17,15705.16,35031.45,-10.4,-9.1
0,2021-01-29,4.92,994.68,35171.27,-6.3,-5.0
0,2021-01-30,3.96,3600.00,35314.26,-6.4,-3.7
0,2021-01-31,6.06,13937.42,35460.19,-8.6,-5.9
0,2021-02-01,6.66,12555.06,35608.85,-2.6,0.7
0,2021-02-02,6.01,20080.76,35760.05,-12.6,-4.3
0,2021-02-03,6.48,17740.15,35913.58,-14.8,-13.3
0,2021-02-04,8.36,27378.92,36069.26,-12.7,-11.5
0,2021-02-05,4.11,1445.47,36226.87,-8.4,-1.8
0,2021-02-06,6.58,13578.74,36386.25,-4.2,-1.2
0,2021-02-07,7.47,21482.95,36547.20,-10.6,-6.3
0,2021-02-08,6.54,13645.17,36709.55,-10.8,-9.9
0,2021-02-09,9.27,30438.55,36873.12,-9.8,-8.7
0,2021-02-10,7.05,15293.45,37037.74,-8.0,-6.7
0,2021-02-11,8.75,30977.26,37203.24,-6.4,-5.0
0,2021-02-12,12.86,35609.26,37369.45,-6.9,-5.1
0,2021-02-13,8.80,33877.93,37536.22,-3.7,-2.0
0,2021-02-14,11.26,24233.71,37703.39,-1.5,0.3
0,2021-02-15,2.96,0.00,37870.79,1.0,1.4
0,2021-02-16,2.50,0.00,38038.29,-6.9,1.2
0,2021-02-17,4.44,0.00,38205.99,-4.4,-2.0
0,2021-02-18,10.99,29634.50,38375.38,-4.7,-2.6
0,2021-02-19,5.02,617.80,38546.55,-3.9,0.4
0,2021-02-20,6.84,14492.77,38719.35,-3.6,0.9
0,2021-02-21,9.05,25531.86,38893.63,-6.8,-5.6
0,2021-02-22,10.89,26284.28,39069.21,-5.1,-3.4
0,2021-02-23,5.97,6683.29,39245.97,-6.1,-3.1
0,2021-02-24,8.58,16783.02,39423.74,-9.7,-7.3
0,2021-02-25,7.52,14524.30,39602.38,-10.5,-9.2
0,2021-02-26,11.24,23655.54,39781.75,-9.7,-7.5
0,2021-02-27,12.25,24476.85,39961.71,-8.8,-7.6
0,2021-02-28,8.62,18859.15,40142.11,-1.6,1.4
0,2021-03-01,5.20,0.00,40322.83,-4.9,-2.0
0,2021-03-02,3.57,1167.30,40503.72,-8.4,-5.6
0,2021-03-03,13.55,28641.32,40684.66,-9.7,-7.0
0,2021-03-04,15.20,39004.54,40865.50,-2.9,0.6
0,2021-03-05,14.94,32400.00,41046.13,-0.6,2.7
0,2021-03-06,7.29,7322.16,41226.40,-11.3,-8.5
0,2021-03-07,10.80,19849.34,41406.20,-8.7,-5.7
0,2021-03-08,11.45,23635.47,41585.39,-6.8,-5.3
0,2021-03-09,17.03,33630.57,41764.10,-3.1,-0.4
0,2021-03-10,10.72,27997.65,41943.67,-4.2,-0.3
0,2021-03-11,13.77,29802.85,42124.24,-1.5,1.6
0,2021-03-12,17.45,40279.27,42305.67,-3.8,0.9
0,2021-03-13,18.49,39409.47,42487.86,-3.3,-1.6
0,2021-03-14,16.61,36364.28,42670.69,-4.6,1.1
0,2021-03-15,19.22,38543.17,42854.03,-4.6,-0.3
0,2021-03-16,12.90,22605.58,43037.76,-0.6,1.3
0,2021-03-17,10.51,14400.00,43221.78,-1.9,0.6
0,2021-03-18,8.26,8213.33,43405.97,-3.5,-1.7
0,2021-03-19,12.52,23174.79,43590.21,-3.8,-2.0
0,2021-03-20,17.82,25800.44,43774.40,-3.3,-2.1
0,2021-03-21,4.74,50.08,43958.40,0.2,3.1
0,2021-03-22,10.21,24920.88,44142.10,-1.7,0.5
0,2021-03-23,19.79,40820.36,44325.40,-1.6,2.6
0,2021-03-24,19.67,34944.43,44508.17,1.6,2.8
0,2021-03-25,13.77,18265.40,44690.30,1.9,4.2
0,2021-03-26,14.74,40452.07,44871.65,-1.7,3.4
0,2021-03-27,18.91,32760.49,45052.13,-2.5,0.8
0,2021-03-28,16.11,28800.00,45231.60,4.1,7.5
0,2021-03-29,13.42,29580.63,45410.17,6.6,10.7
0,2021-03-30,18.29,43536.03,45589.11,0.8,3.8
0,2021-03-31,19.90,43556.06,45768.53,2.8,4.6
0,2021-04-01,18.66,41803.97,45948.33,1.2,4.2
0,2021-04-02,19.20,32400.00,46128.39,-0.2,4.3
0,2021-04-03,5.70,2970.69,46308.62,4.4,7.4
0,2021-04-04,10.76,18576.24,46488.89,-2.1,0.2
0,2021-04-05,22.21,46136.92,46669.10,-2.7,0.4
0,2021-04-06,21.79,44888.26,46849.12,-6.5,1.0
0,2021-04-07,19.87,41197.60,47028.86,0.1,3.8
0,2021-04-08,18.23,45754.15,47208.19,-5.9,-1.7
0,2021-04-09,13.95,24964.52,47386.98,-3.2,-0.6
0,2021-04-10,21.80,46626.61,47565.13,-0.9,1.7
0,2021-04-11,22.48,46771.15,47742.51,0.8,3.0
0,2021-04-12,20.56,32400.00,47918.99,0.5,5.5
0,2021-04-13,6.20,12038.99,48094.45,4.1,8.6
0,2021-04-14,13.53,25780.06,48268.75,-5.8,0.3
0,2021-04-15,21.14,46800.00,48441.76,-2.1,0.7
0,2021-04-16,18.94,28800.45,48613.36,2.8,7.5
0,2021-04-17,4.01,0.00,48783.39,8.0,10.3
0,2021-04-18,2.75,0.00,48951.94,4.6,8.2
0,2021-04-19,11.64,28800.00,49120.24,3.2,4.7
0,2021-04-20,19.26,43200.00,49288.38,-6.2,3.7
0,2021-04-21,18.57,27870.18,49456.26,-1.0,1.4
0,2021-04-22,21.70,43200.00,49623.75,-1.9,1.6
0,2021-04-23,23.61,43281.40,49790.73,3.0,6.3
0,2021-04-24,18.24,26108.18,49957.06,4.6,6.8
0,2021-04-25,20.50,40736.59,50122.64,-2.0,3.2
0,2021-04-26,22.94,46800.00,50287.32,-1.3,1.7
0,2021-04-27,23.80,44103.60,50450.98,1.3,3.9
0,2021-04-28,20.49,39716.90,50613.46,2.7,7.2
0,2021-04-29,18.20,27378.86,50774.64,5.5,7.9
0,2021-04-30,3.03,0.00,50934.37,3.5,4.6
0,2021-05-01,8.79,4252.22,51092.50,1.7,2.7
0,2021-05-02,7.19,421.90,51248.89,1.4,2.8
0,2021-05-03,6.56,1403.10,51403.37,2.4,3.6
0,2021-05-04,16.79,37733.60,51555.80,2.7,5.8
0,2021-05-05,12.93,24509.39,51706.01,7.0,11.1
0,2021-05-06,24.82,47303.58,51853.84,3.8,6.6
0,2021-05-07,22.48,36000.00,51999.12,5.5,10.0
0,2021-05-08,22.44,46321.70,52141.88,5.5,10.9
0,2021-05-09,11.42,18759.84,52283.27,7.0,10.6
0,2021-05-10,7.09,2684.29,52423.35,4.1,6.4
0,2021-05-11,17.60,39026.68,52562.00,2.7,4.2
0,2021-05-12,23.93,39393.40,52699.09,4.9,8.8
0,2021-05-13,20.60,40562.85,52834.49,7.0,9.9
0,2021-05-14,23.00,39194.06,52968.06,7.4,9.3
0,2021-05-15,13.13,24457.63,53099.65,7.4,10.7
0,2021-05-16,3.25,0.00,53229.15,13.2,14.4
0,2021-05-17,14.74,22449.33,53356.38,11.3,14.6
0,2021-05-18,26.59,49396.30,53481.21,10.5,14.7
0,2021-05-19,23.01,47020.41,53603.49,12.7,14.8
0,2021-05-20,25.84,47353.61,53723.05,12.0,14.3
0,2021-05-21,11.61,6961.54,53839.76,11.6,13.6
0,2021-05-22,12.98,14480.59,53953.46,12.4,13.8
0,2021-05-23,13.53,20157.98,54063.98,12.6,14.4
0,2021-05-24,15.69,27135.53,54171.15,11.6,13.0
0,2021-05-25,20.29,50878.05,54274.83,8.7,12.4
0,2021-05-26,25.51,46658.72,54374.84,7.4,9.4
0,2021-05-27,12.75,15298.97,54471.02,10.0,11.4
0,2021-05-28,8.15,2625.13,54563.36,10.4,12.0
0,2021-05-29,7.43,19998.30,54652.63,10.3,11.5
0,2021-05-30,6.93,4286.78,54738.90,7.3,10.5
0,2021-05-31,14.62,17636.15,54822.08,5.3,6.6
0,2021-06-01,25.86,36992.73,54902.06,6.8,9.1
0,2021-06-02,22.91,43219.89,54978.78,9.9,13.1
0,2021-06-03,21.24,30343.85,55052.14,12.4,15.3
0,2021-06-04,7.27,14394.58,55122.04,12.5,14.6
0,2021-06-05,27.60,53945.29,55188.40,12.2,14.5
0,2021-06-06,24.76,41347.65,55251.13,13.0,15.7
0,2021-06-07,26.34,52379.55,55310.14,11.6,13.3
0,2021-06-08,24.27,53834.05,55365.34,11.6,13.8
0,2021-06-09,28.01,54000.00,55416.66,11.3,15.3
0,2021-06-10,27.99,51193.64,55463.99,12.8,16.8
0,2021-06-11,23.52,36000.00,55507.27,15.8,21.3
0,2021-06-12,15.25,39098.95,55546.39,15.6,17.2
0,2021-06-13,22.91,41816.10,55581.30,14.9,16.8
0,2021-06-14,22.13,46167.75,55611.90,13.1,14.8
0,2021-06-15,16.19,34301.58,55638.12,14.2,16.0
0,2021-06-16,26.23,53795.61,55659.87,14.5,17.2
0,2021-06-17,27.66,51833.59,55677.12,15.0,18.1
0,2021-06-18,25.47,39305.73,55689.98,14.1,16.9
0,2021-06-19,15.96,19550.23,55698.51,12.3,15.1
0,2021-06-20,13.63,28600.22,55702.73,12.0,13.7
0,2021-06-21,20.48,49738.41,55702.66,13.7,15.2
0,2021-06-22,26.47,54000.00,55698.34,13.7,17.1
0,2021-06-23,24.91,44041.20,55689.81,14.1,17.6
0,2021-06-24,15.94,39569.63,55677.10,15.0,16.8
0,2021-06-25,25.43,54000.00,55660.24,14.8,16.2
0,2021-06-26,28.03,50683.23,55639.29,15.0,16.3
0,2021-06-27,27.85,53525.73,55614.28,15.7,17.7
0,2021-06-28,27.46,53953.60,55585.26,15.1,17.5
0,2021-06-29,23.19,36818.12,55552.28,17.5,19.5
0,2021-06-30,22.41,53007.49,55515.37,16.4,18.4
0,2021-07-01,21.48,51737.65,55474.60,16.0,17.3
0,2021-07-02,20.06,47202.92,55430.02,16.8,19.6
0,2021-07-03,23.57,53046.74,55381.68,17.2,17.9
0,2021-07-04,22.57,36579.83,55329.63,14.1,20.4
0,2021-07-05,12.86,18713.84,55273.92,15.2,16.8
0,2021-07-06,8.40,5030.14,55214.62,18.4,19.3
0,2021-07-07,12.18,26055.70,55151.67,17.7,18.5
0,2021-07-08,18.36,43392.77,55084.48,17.8,19.8
0,2021-07-09,21.42,44093.40,55013.06,14.8,19.5
0,2021-07-10,22.51,47679.94,54937.56,16.6,20.5
0,2021-07-11,17.77,32406.93,54858.14,19.3,21.3
0,2021-07-12,16.81,39353.53,54774.92,19.2,20.1
0,2021-07-13,23.49,48991.45,54688.05,19.1,21.3
0,2021-07-14,27.63,53219.31,54597.69,17.4,20.9
0,2021-07-15,27.51,52518.34,54503.95,18.6,20.6
0,2021-07-16,26.68,51569.76,54407.00,19.9,21.1
0,2021-07-17,27.17,52558.95,54306.96,19.8,21.1
0,2021-07-18,25.12,52222.17,54203.98,20.4,21.6
0,2021-07-19,26.29,51173.39,54098.20,21.0,22.0
0,2021-07-20,25.56,51553.77,53989.74,20.4,21.6
0,2021-07-21,26.54,50383.74,53878.75,21.0,23.1
0,2021-07-22,25.39,50892.36,53765.35,20.2,22.4
0,2021-07-23,26.04,50918.06,53649.67,20.6,21.5
0,2021-07-24,26.27,51296.96,53531.85,21.0,22.1
0,2021-07-25,25.29,50602.30,53412.00,21.0,22.6
0,2021-07-26,25.21,51272.19,53290.26,19.8,23.0
0,2021-07-27,25.98,49524.95,53166.55,21.4,23.5
0,2021-07-28,26.26,50498.37,53039.84,21.1,23.2
0,2021-07-29,22.34,49297.68,52910.09,21.4,22.5
0,2021-07-30,23.33,46904.83,52777.49,20.6,22.5
0,2021-07-31,23.97,49432.97,52642.20,20.9,23.5
0,2021-08-01,21.25,47333.45,52504.40,19.5,21.3
0,2021-08-02,18.51,44304.37,52364.23,22.4,24.3
0,2021-08-03,20.86,48573.71,52221.88,23.1,24.0
0,2021-08-04,17.12,30898.64,52077.48,23.0,23.7
0,2021-08-05,22.50,48463.32,51931.21,23.3,24.0
0,2021-08-06,23.50,48496.12,51783.20,22.5,24.6
0,2021-08-07,23.69,46571.21,51633.61,22.0,24.6
0,2021-08-08,17.45,36407.03,51482.57,18.4,20.0
0,2021-08-09,6.75,1726.83,51330.24,16.2,18.5
0,2021-08-10,5.85,6347.87,51176.74,12.4,14.2
0,2021-08-11,24.42,47996.38,51022.22,9.6,12.0
0,2021-08-12,22.45,41111.24,50866.81,12.8,14.6
0,2021-08-13,20.96,45210.80,50710.63,12.4,15.9
0,2021-08-14,20.08,46976.72,50553.81,12.1,15.5
0,2021-08-15,13.35,14400.00,50396.48,15.7,18.0
0,2021-08-16,13.65,36986.77,50238.53,14.9,17.0
0,2021-08-17,20.24,31569.29,50078.81,15.3,17.1
0,2021-08-18,5.86,3600.00,49917.25,16.2,18.0
0,2021-08-19,19.89,45768.36,49753.99,15.8,17.3
0,2021-08-20,23.40,44784.76,49589.17,16.7,18.5
0,2021-08-21,22.38,45795.09,49422.94,12.1,18.2
0,2021-08-22,18.78,32400.00,49255.41,16.1,18.6
0,2021-08-23,18.16,45782.01,49086.73,19.6,21.1
0,2021-08-24,17.81,37261.01,48917.03,17.6,20.0
0,2021-08-25,5.60,10610.79,48746.42,18.6,21.3
0,2021-08-26,11.50,24363.67,48575.04,19.2,23.0
0,2021-08-27,14.04,30384.23,48403.01,19.1,20.1
0,2021-08-28,21.68,46800.00,48230.44,18.0,19.2
0,2021-08-29,20.13,42600.81,48057.45,17.4,18.2
0,2021-08-30,19.56,39600.00,47884.15,16.3,17.7
0,2021-08-31,15.39,45577.13,47710.66,14.6,16.6
0,2021-09-01,19.40,46670.74,47537.08,14.5,16.2
0,2021-09-02,21.56,46603.41,47363.54,14.4,15.8
0,2021-09-03,20.71,46536.16,47190.12,15.4,16.5
0,2021-09-04,19.23,46440.95,47016.94,15.7,17.9
0,2021-09-05,17.70,46268.82,46843.89,13.8,16.5
0,2021-09-06,21.14,46095.67,46669.79,12.6,14.6
0,2021-09-07,18.31,31257.97,46494.55,13.1,14.7
0,2021-09-08,11.12,30157.73,46318.29,11.4,14.8
0,2021-09-09,8.17,13293.42,46141.12,16.4,17.9
0,2021-09-10,19.66,44289.51,45963.16,16.5,18.2
0,2021-09-11,17.59,39255.63,45784.52,16.9,18.6
0,2021-09-12,12.99,33002.95,45605.31,15.0,17.2
0,2021-09-13,11.24,28114.10,45425.64,8.8,12.5
0,2021-09-14,16.85,44076.74,45245.62,8.4,10.6
0,2021-09-15,17.62,43809.99,45065.35,9.0,12.0
0,2021-09-16,15.52,26301.60,44884.95,9.7,12.9
0,2021-09-17,15.45,34856.82,44704.52,11.6,13.2
0,2021-09-18,16.45,41244.03,44524.15,13.9,16.4
0,2021-09-19,17.67,39600.00,44343.96,10.1,13.0
0,2021-09-20,18.41,40149.49,44164.06,7.4,10.6
0,2021-09-21,10.59,16015.18,43984.53,14.2,16.8
0,2021-09-22,4.27,9788.99,43805.50,17.3,18.9
0,2021-09-23,10.70,27262.18,43627.05,14.2,19.2
0,2021-09-24,17.52,39920.27,43449.30,8.9,10.9
0,2021-09-25,15.21,37724.67,43272.12,9.3,10.1
0,2021-09-26,13.58,31895.01,43094.30,10.5,12.2
0,2021-09-27,16.07,39600.00,42915.71,11.1,13.5
0,2021-09-28,12.51,33594.38,42736.48,11.8,12.7
0,2021-09-29,12.45,25200.00,42556.71,13.0,16.7
0,2021-09-30,3.82,7200.00,42376.53,17.0,19.0
0,2021-10-01,13.52,26736.94,42196.05,16.3,17.0
0,2021-10-02,6.67,24694.54,42015.39,11.2,15.7
0,2021-10-03,12.48,32400.00,41834.65,9.8,16.6
0,2021-10-04,3.18,9076.50,41653.96,13.3,17.6
0,2021-10-05,7.16,13744.04,41473.44,9.6,10.9
0,2021-10-06,11.83,32400.00,41293.20,5.3,9.6
0,2021-10-07,8.92,21594.87,41113.36,6.6,9.1
0,2021-10-08,11.37,39447.58,40934.04,7.6,11.0
0,2021-10-09,14.70,35421.83,40755.36,8.0,10.8
0,2021-10-10,7.64,14400.00,40577.45,14.1,17.9
0,2021-10-11,6.14,13363.25,40400.44,6.7,8.6
0,2021-10-12,14.52,39027.05,40224.43,6.6,9.6
0,2021-10-13,12.28,33842.30,40049.59,8.5,11.0
0,2021-10-14,12.60,23768.99,39876.01,11.1,13.2
0,2021-10-15,10.49,31663.97,39703.60,6.5,10.6
0,2021-10-16,9.97,26263.41,39530.99,5.3,9.7
0,2021-10-17,9.27,32770.04,39358.07,0.9,3.0
0,2021-10-18,8.12,28711.38,39184.97,-0.2,3.4
0,2021-10-19,7.73,20862.03,39011.83,7.5,9.4
0,2021-10-20,1.22,0.00,38838.79,5.4,6.4
0,2021-10-21,1.55,7139.45,38665.99,3.6,4.2
0,2021-10-22,7.86,27863.68,38493.57,4.2,5.5
0,2021-10-23,9.98,35783.70,38321.67,3.3,7.4
0,2021-10-24,10.71,35584.81,38150.45,6.1,7.9
0,2021-10-25,12.12,35757.44,37980.05,6.6,8.6
0,2021-10-26,9.96,31542.72,37810.63,8.7,10.7
0,2021-10-27,9.41,33720.37,37642.34,8.7,11.3
0,2021-10-28,5.20,11032.51,37475.35,6.8,7.9
0,2021-10-29,5.64,18051.01,37309.81,3.2,7.1
0,2021-10-30,11.40,32202.11,37145.90,2.1,5.5
0,2021-10-31,6.13,6113.74,36983.78,7.1,8.1
0,2021-11-01,5.99,18087.97,36823.63,4.2,6.9
0,2021-11-02,4.28,930.17,36665.63,5.6,7.5
0,2021-11-03,5.84,16208.43,36509.95,5.5,6.8
0,2021-11-04,9.23,33279.45,36356.51,4.9,6.6
0,2021-11-05,9.23,30501.89,36203.86,5.0,7.4
0,2021-11-06,9.77,28800.00,36051.89,3.3,7.2
0,2021-11-07,3.42,11642.17,35900.76,2.7,7.2
0,2021-11-08,9.23,28515.73,35750.62,6.6,7.9
0,2021-11-09,2.80,0.00,35601.66,9.9,11.0
0,2021-11-10,3.99,14953.03,35454.03,5.5,7.9
0,2021-11-11,6.03,24751.41,35307.92,1.9,4.6
0,2021-11-12,6.96,26778.57,35163.49,2.2,3.4
0,2021-11-13,4.72,19048.57,35020.94,1.5,3.9
0,2021-11-14,4.74,19545.85,34880.45,4.8,7.7
0,2021-11-15,6.27,26728.87,34742.21,-2.8,2.4
0,2021-11-16,4.76,17196.54,34606.40,-3.0,-0.7
0,2021-11-17,6.97,30993.97,34473.23,-2.0,0.5
0,2021-11-18,7.86,28782.03,34342.90,4.0,6.1
0,2021-11-19,6.57,21756.13,34215.61,3.0,7.5
0,2021-11-20,6.14,26076.30,34091.56,0.5,2.0
0,2021-11-21,5.19,20407.02,33970.96,0.0,1.7
0,2021-11-22,2.14,1885.64,33854.04,3.1,7.6
0,2021-11-23,5.63,27297.06,33741.01,-3.2,-2.2
0,2021-11-24,2.81,0.00,33631.83,-2.2,-0.6
