location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Otaru,43.198593,140.91046,48.0,0,GMT,GMT
1,Kutchan,42.917397,140.74184,176.0,0,GMT,GMT
2,Suttsu,42.7768,140.1923,103.0,0,GMT,GMT
3,Kimobetsu,42.7065,140.9158,350.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.22,23102.06,32604.31,-13.0,-10.6
0,2021-01-02,7.60,28144.23,32654.99,-9.7,-6.5
0,2021-01-03,2.98,3754.42,32709.59,-9.8,-8.6
0,2021-01-04,5.44,26468.86,32768.02,-10.4,-9.7
0,2021-01-05,7.81,31583.86,32830.21,-11.2,-10.0
0,2021-01-06,7.07,28800.00,32896.10,-11.3,-8.9
0,2021-01-07,5.39,10795.43,32965.61,-8.5,-6.2
0,2021-01-08,6.70,27435.47,33038.84,-11.9,-10.8
0,2021-01-09,8.21,29651.08,33116.59,-11.3,-10.1
0,2021-01-10,6.47,30924.26,33198.85,-11.4,-10.3
0,2021-01-11,6.09,28107.47,33285.42,-9.9,-9.1
0,2021-01-12,8.13,21966.15,33376.12,-3.6,-1.2
0,2021-01-13,6.50,29956.69,33470.77,-3.8,-2.2
0,2021-01-14,8.06,28814.47,33569.17,-9.9,-5.7
0,2021-01-15,5.74,13744.37,33671.16,-5.7,0.7
0,2021-01-16,4.12,10580.37,33776.54,-5.1,0.1
0,2021-01-17,7.96,31715.53,33885.13,-9.3,-7.6
0,2021-01-18,7.77,20467.48,33996.77,-9.7,-7.8
0,2021-01-19,4.06,5235.07,34111.27,-12.5,-8.9
0,2021-01-20,3.62,0.00,34228.46,-8.3,-2.8
0,2021-01-21,3.99,10425.04,34348.17,-3.0,-1.0
0,2021-01-22,8.40,28800.00,34470.23,-8.5,-3.5
0,2021-01-23,4.47,4110.79,34594.48,-9.3,-6.3
0,2021-01-24,10.56,33701.71,34720.76,-7.1,-3.1
0,2021-01-25,7.76,28346.00,34848.90,-4.3,-1.7
0,2021-01-26,6.68,18431.63,34978.76,-2.5,-0.5
0,2021-01-27,4.76,11406.95,35110.17,-6.8,1.4
0,2021-01-28,8.33,25350.47,35243.25,-8.0,-4.1
0,2021-01-29,5.96,17231.65,35379.36,-4.0,-2.3
0,2021-01-30,4.00,3246.78,35518.56,-7.0,-3.2
0,2021-01-31,8.49,30894.26,35660.63,-9.0,-7.8
0,2021-02-01,7.92,24980.40,35805.38,-1.8,1.2
0,2021-02-02,8.64,26370.83,35952.61,-13.3,-5.0
0,2021-02-03,7.82,27350.04,36102.12,-15.0,-13.7
0,2021-02-04,8.95,28889.38,36253.73,-13.6,-13.1
0,2021-02-05,4.54,625.37,36407.24,-7.1,-1.5
0,2021-02-06,3.04,1159.47,36562.49,-2.3,0.1
0,2021-02-07,11.01,33627.32,36719.27,-8.2,-6.5
0,2021-02-08,8.12,29255.93,36877.43,-11.0,-9.9
0,2021-02-09,7.80,20549.05,37036.80,-9.5,-8.5
0,2021-02-10,5.21,3600.00,37197.20,-7.2,-6.6
0,2021-02-11,8.92,24328.49,37358.47,-6.3,-4.7
0,2021-02-12,12.15,35763.76,37520.44,-5.6,-3.5
0,2021-02-13,12.32,35577.97,37682.97,-4.0,-0.1
0,2021-02-14,9.85,19943.71,37845.89,-1.3,0.9
0,2021-02-15,2.78,0.00,38009.06,1.3,1.7
0,2021-02-16,4.62,0.00,38172.33,-8.6,-0.3
0,2021-02-17,9.26,15682.98,38335.81,-6.7,-1.9
0,2021-02-18,6.90,12973.37,38500.93,-3.7,-1.9
0,2021-02-19,6.50,7750.36,38667.81,-3.3,1.3
0,2021-02-20,8.45,23267.65,38836.29,-4.4,1.0
0,2021-02-21,8.84,12615.09,39006.22,-7.8,-6.5
0,2021-02-22,12.36,27048.95,39177.43,-4.4,-2.2
0,2021-02-23,9.23,18151.80,39349.79,-6.9,-4.3
0,2021-02-24,9.28,20543.05,39523.15,-10.6,-8.6
0,2021-02-25,8.46,12170.46,39697.37,-9.4,-8.0
0,2021-02-26,12.10,30555.35,39872.30,-8.3,-6.3
0,2021-02-27,9.70,23613.13,40047.82,-7.2,-5.2
0,2021-02-28,12.01,31055.53,40223.77,-1.5,1.0
0,2021-03-01,4.65,0.00,40400.04,-3.1,-0.1
