location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Iwamizawa,43.198593,141.71643,33.0,0,GMT,GMT
1,Takikawa,43.550087,141.96992,29.0,0,GMT,GMT
2,Yubari,43.057995,141.96428,432.0,0,GMT,GMT
3,Naganuma,43.057995,141.69643,16.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,6.31,27815.58,32604.31,-18.2,-16.1
0,2021-01-02,7.34,26162.42,32654.99,-15.6,-13.6
0,2021-01-03,6.44,15214.68,32709.59,-10.9,-9.7
0,2021-01-04,6.15,26523.68,32768.02,-13.3,-10.1
0,2021-01-05,7.41,31777.29,32830.21,-14.5,-11.4
0,2021-01-06,8.13,28800.00,32896.10,-17.4,-15.4
0,2021-01-07,6.82,12583.24,32965.61,-10.4,-8.2
0,2021-01-08,6.14,22857.34,33038.84,-15.0,-9.8
0,2021-01-09,7.64,31830.14,33116.59,-16.4,-12.4
0,2021-01-10,6.35,25252.43,33198.85,-14.2,-11.2
0,2021-01-11,6.22,20921.93,33285.42,-12.3,-10.1
0,2021-01-12,7.41,19015.16,33376.12,-5.4,-1.0
0,2021-01-13,6.61,25332.74,33470.77,-4.8,-0.9
0,2021-01-14,7.97,28660.45,33569.17,-10.4,-4.8
0,2021-01-15,6.64,11685.74,33671.16,-6.4,1.8
0,2021-01-16,6.67,20694.34,33776.54,-6.9,-0.7
0,2021-01-17,8.89,28454.08,33885.13,-12.6,-11.1
0,2021-01-18,7.97,18946.15,33996.77,-12.0,-9.1
0,2021-01-19,7.09,17311.11,34111.27,-12.9,-10.4
0,2021-01-20,4.89,0.00,34228.46,-9.3,-4.8
0,2021-01-21,5.01,7832.16,34348.17,-4.7,-1.3
0,2021-01-22,9.49,29078.68,34470.23,-9.7,-4.4
0,2021-01-23,5.71,6902.05,34594.48,-12.5,-7.8
0,2021-01-24,10.57,33271.82,34720.76,-9.9,-7.0
0,2021-01-25,9.52,31832.11,34848.90,-9.5,-3.7
0,2021-01-26,5.16,3967.00,34978.76,-3.3,0.7
0,2021-01-27,5.68,15911.13,35110.17,-6.5,2.0
0,2021-01-28,8.06,21757.53,35243.25,-9.4,-6.4
0,2021-01-29,5.41,1185.95,35379.36,-6.2,-5.5
0,2021-01-30,6.40,3600.00,35518.56,-8.1,-4.4
0,2021-01-31,7.89,23303.56,35660.63,-9.2,-6.3
0,2021-02-01,7.54,19298.88,35805.38,-2.2,1.0
0,2021-02-02,9.50,33160.58,35952.61,-12.4,-2.8
0,2021-02-03,9.37,29989.60,36102.12,-15.3,-14.6
0,2021-02-04,9.28,30878.58,36253.73,-13.4,-11.6
0,2021-02-05,6.95,2888.82,36407.24,-7.9,-1.8
0,2021-02-06,6.05,1145.63,36562.49,-3.7,-0.7
0,2021-02-07,10.44,30412.74,36719.27,-9.3,-6.0
0,2021-02-08,8.95,28621.28,36877.43,-11.2,-9.7
0,2021-02-09,8.97,21837.24,37036.80,-9.5,-8.2
0,2021-02-10,7.25,4788.94,37197.20,-7.3,-6.1
0,2021-02-11,10.46,27709.69,37358.47,-7.7,-4.9
0,2021-02-12,13.40,35695.18,37520.44,-8.6,-5.4
0,2021-02-13,11.54,35481.98,37682.97,-4.6,-1.4
0,2021-02-14,10.77,20088.67,37845.89,-1.7,1.3
0,2021-02-15,4.57,0.00,38009.06,0.9,2.3
0,2021-02-16,5.57,0.00,38172.33,-8.5,0.7
0,2021-02-17,10.26,17314.02,38335.81,-7.2,-2.0
0,2021-02-18,11.04,25597.45,38500.93,-4.5,-3.1
0,2021-02-19,8.29,8086.94,38667.81,-3.8,1.6
0,2021-02-20,9.15,23166.37,38836.29,-4.2,1.8
0,2021-02-21,11.31,24252.02,39006.22,-8.8,-6.2
0,2021-02-22,13.20,26034.03,39177.43,-4.3,-2.5
0,2021-02-23,9.77,27603.79,39349.79,-6.3,-3.6
0,2021-02-24,9.81,20260.12,39523.15,-10.0,-6.8
0,2021-02-25,10.56,19179.49,39697.37,-9.6,-8.6
0,2021-02-26,13.65,38540.94,39872.30,-10.6,-7.9
0,2021-02-27,15.04,36996.48,40047.82,-10.3,-7.7
0,2021-02-28,15.25,32400.00,40223.77,-2.9,0.4
0,2021-03-01,6.54,0.00,40400.04,-2.7,0.2
0,2021-03-02,5.30,6542.93,40576.49,-7.7,-4.7
0,2021-03-03,16.15,31904.38,40752.98,-11.2,-6.7
0,2021-03-04,16.20,36435.17,40929.40,-2.0,1.8
0,2021-03-05,15.03,32400.00,41105.60,0.5,3.0
0,2021-03-06,9.96,1669.08,41281.47,-10.4,-8.6
0,2021-03-07,13.23,26907.68,41456.88,-8.9,-5.7
0,2021-03-08,15.53,37625.79,41631.70,-8.0,-4.5
0,2021-03-09,18.00,37307.58,41806.05,-2.5,0.3
0,2021-03-10,12.20,31832.29,41981.25,-5.1,-0.1
0,2021-03-11,16.83,35294.39,42157.42,-1.0,0.7
0,2021-03-12,18.36,40255.74,42334.44,-4.2,1.7
