location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Wakkanai,45.377853,141.69014,16.0,0,GMT,GMT
1,Kafuka (Rebun Island),45.237255,141.24805,84.0,0,GMT,GMT
2,Hamatonbetsu,45.02636,141.70807,4.0,0,GMT,GMT
3,Esashi (Kitamiesashi),44.88576,142.52322,3.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.46,19757.84,31689.41,-14.0,-11.6
0,2021-01-02,4.97,18970.76,31744.89,-12.0,-10.6
0,2021-01-03,2.83,0.00,31804.64,-12.8,-11.6
0,2021-01-04,4.62,20052.22,31868.58,-12.9,-11.8
0,2021-01-05,6.48,28743.95,31936.64,-13.4,-11.9
0,2021-01-06,5.63,19833.79,32008.72,-13.1,-11.8
0,2021-01-07,6.16,18582.37,32084.75,-11.2,-9.4
0,2021-01-08,2.87,0.00,32164.83,-11.5,-10.8
0,2021-01-09,3.94,4037.92,32249.83,-11.7,-11.1
0,2021-01-10,3.55,5104.65,32339.74,-12.0,-10.4
0,2021-01-11,6.25,28070.62,32434.35,-12.4,-10.2
0,2021-01-12,4.82,11021.14,32533.44,-7.6,-4.6
0,2021-01-13,4.67,12250.06,32636.82,-4.8,-1.4
0,2021-01-14,3.54,2762.55,32744.28,-9.0,-4.9
0,2021-01-15,4.18,851.16,32855.62,-9.1,-4.3
0,2021-01-16,3.16,1723.12,32970.63,-10.9,-5.3
0,2021-01-17,5.89,24304.06,33089.12,-12.9,-11.0
0,2021-01-18,7.43,26873.86,33210.90,-13.1,-10.7
0,2021-01-19,4.47,6579.64,33335.76,-14.2,-11.8
0,2021-01-20,3.84,0.00,33463.52,-11.0,-4.5
0,2021-01-21,6.50,25441.24,33594.00,-7.1,-3.5
0,2021-01-22,6.69,14741.59,33727.00,-13.0,-9.6
0,2021-01-23,5.73,6537.19,33862.35,-12.0,-7.8
0,2021-01-24,7.65,29164.89,33999.86,-4.5,-2.5
0,2021-01-25,3.39,2552.33,34139.37,-12.1,-7.7
0,2021-01-26,7.43,24755.61,34280.70,-10.2,-5.5
0,2021-01-27,3.61,7200.00,34423.69,-8.3,0.6
0,2021-01-28,5.75,11046.04,34568.45,-10.9,-8.6
0,2021-01-29,2.74,0.00,34716.47,-7.2,-6.0
0,2021-01-30,3.45,1207.70,34867.79,-7.6,-5.2
0,2021-01-31,3.74,3012.28,35022.21,-11.2,-8.9
0,2021-02-01,3.69,830.11,35179.49,-2.7,0.8
0,2021-02-02,3.90,463.84,35339.43,-15.5,-7.6
0,2021-02-03,8.57,27930.91,35501.80,-19.1,-18.2
0,2021-02-04,9.26,26206.06,35666.40,-15.8,-14.7
0,2021-02-05,4.07,0.00,35833.02,-11.1,-7.3
0,2021-02-06,7.45,19492.36,36001.48,-8.8,-6.0
0,2021-02-07,9.99,27932.13,36171.58,-13.8,-12.9
0,2021-02-08,9.75,34993.66,36343.11,-11.6,-10.3
0,2021-02-09,9.36,30154.02,36515.91,-10.2,-9.3
0,2021-02-10,9.78,22169.65,36689.79,-9.3,-7.9
0,2021-02-11,11.20,35359.63,36864.58,-6.7,-5.0
0,2021-02-12,10.48,25200.00,37040.08,-4.3,-1.0
0,2021-02-13,3.69,230.41,37216.15,0.8,1.8
0,2021-02-14,4.61,56.91,37392.60,0.8,2.4
0,2021-02-15,3.66,0.00,37569.29,-0.1,1.2
0,2021-02-16,2.66,0.00,37746.04,-3.2,0.3
0,2021-02-17,5.61,4262.20,37922.99,-3.1,-1.9
0,2021-02-18,7.68,18607.17,38101.68,-6.0,-3.4
0,2021-02-19,6.44,2113.12,38282.25,-5.0,0.4
0,2021-02-20,10.55,23119.60,38464.51,-4.1,0.5
0,2021-02-21,11.64,36000.00,38648.30,-6.5,-5.3
0,2021-02-22,10.75,34408.60,38833.45,-6.9,-5.0
0,2021-02-23,9.49,24451.83,39019.81,-8.3,-4.9
0,2021-02-24,7.64,7423.25,39207.22,-11.0,-9.6
0,2021-02-25,8.55,15875.67,39395.53,-12.9,-12.1
