location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Obihiro,42.917397,143.1454,45.0,0,GMT,GMT
1,Ikeda,42.917397,143.41246,20.0,0,GMT,GMT
2,Ashoro,43.26889,143.5426,309.0,0,GMT,GMT
3,Hiroo,42.355007,143.31378,0.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.33,32061.95,32716.76,-21.9,-20.0
0,2021-01-02,8.34,32113.82,32766.87,-18.6,-16.6
0,2021-01-03,7.96,32167.72,32820.83,-15.8,-13.5
0,2021-01-04,7.64,32171.01,32878.60,-16.5,-14.7
0,2021-01-05,8.23,32177.00,32940.08,-16.3,-14.3
0,2021-01-06,8.38,28800.00,33005.22,-17.6,-14.6
0,2021-01-07,2.92,1673.77,33073.94,-9.7,-7.4
0,2021-01-08,3.46,3411.40,33146.34,-15.8,-11.3
0,2021-01-09,9.10,32228.14,33223.21,-19.3,-15.3
0,2021-01-10,9.04,32247.38,33304.54,-17.7,-15.2
0,2021-01-11,8.06,28800.00,33390.13,-16.3,-14.4
0,2021-01-12,5.75,25544.41,33479.82,-7.3,-4.5
0,2021-01-13,6.84,27791.63,33573.41,-6.6,-2.8
0,2021-01-14,6.96,29807.80,33670.72,-11.4,-5.6
0,2021-01-15,7.60,25589.00,33771.56,-8.9,-0.2
0,2021-01-16,7.07,20482.00,33875.77,-8.8,-1.4
0,2021-01-17,5.87,14794.07,33983.16,-13.8,-10.1
0,2021-01-18,9.32,25200.00,34093.56,-13.5,-11.2
0,2021-01-19,6.92,18000.00,34206.80,-15.6,-9.5
0,2021-01-20,8.27,25493.10,34322.70,-14.1,-11.4
0,2021-01-21,6.80,21221.20,34441.10,-9.5,-3.2
0,2021-01-22,9.98,32400.00,34561.84,-11.5,-4.0
0,2021-01-23,10.58,32419.74,34684.73,-17.6,-9.6
0,2021-01-24,10.90,32733.26,34809.64,-15.1,-10.8
0,2021-01-25,10.44,30731.23,34936.40,-9.2,-2.5
0,2021-01-26,7.71,20922.97,35064.85,-9.9,-6.3
0,2021-01-27,5.60,15416.18,35194.85,-7.7,-2.6
0,2021-01-28,9.33,21546.61,35326.50,-9.6,-7.1
0,2021-01-29,3.47,0.00,35461.15,-6.3,-5.4
0,2021-01-30,7.97,5432.99,35598.86,-9.6,-6.7
0,2021-01-31,10.85,32787.76,35739.43,-12.4,-9.4
0,2021-02-01,10.81,29491.24,35882.64,-6.3,-3.2
0,2021-02-02,9.35,29631.25,36028.31,-13.9,-2.3
0,2021-02-03,12.14,32400.00,36176.25,-19.1,-17.3
0,2021-02-04,12.22,33320.01,36326.27,-18.8,-16.0
0,2021-02-05,9.59,25149.38,36478.17,-13.7,-12.0
0,2021-02-06,9.03,27955.60,36631.79,-7.8,-4.2
0,2021-02-07,9.11,23439.24,36786.95,-12.4,-6.5
0,2021-02-08,12.47,35071.51,36943.47,-17.1,-13.1
0,2021-02-09,12.70,31168.64,37101.18,-12.5,-10.8
0,2021-02-10,8.93,16240.29,37259.92,-10.3,-8.4
0,2021-02-11,14.00,35858.74,37419.53,-9.7,-7.9
0,2021-02-12,13.93,35562.12,37579.84,-11.2,-6.3
0,2021-02-13,13.30,35463.81,37740.70,-9.2,-6.8
0,2021-02-14,12.66,27748.67,37901.96,-6.0,-2.0
0,2021-02-15,4.97,299.92,38063.47,-0.5,1.9
0,2021-02-16,8.26,7101.27,38225.07,-8.6,-0.1
0,2021-02-17,12.90,31863.72,38386.89,-10.8,-6.4
0,2021-02-18,11.07,30657.82,38550.35,-7.5,-3.7
0,2021-02-19,9.68,20155.02,38715.54,-6.7,-4.5
0,2021-02-20,8.24,8214.20,38882.32,-5.5,-0.6
0,2021-02-21,15.06,36074.49,39050.53,-9.9,-7.9
0,2021-02-22,12.59,26930.52,39220.03,-5.6,-4.2
0,2021-02-23,14.22,34349.36,39390.66,-8.4,-3.6
0,2021-02-24,14.05,37775.96,39562.29,-12.2,-9.0
0,2021-02-25,12.91,37425.54,39734.76,-13.6,-11.5
0,2021-02-26,15.72,38902.68,39907.95,-14.0,-9.6
0,2021-02-27,16.90,38699.81,40081.72,-13.2,-11.3
0,2021-02-28,16.35,32400.00,40255.93,-6.1,-1.0
0,2021-03-01,8.26,7026.83,40430.45,-1.5,0.9
0,2021-03-02,6.00,6901.15,40605.15,-8.5,-5.5
0,2021-03-03,18.42,39401.79,40779.89,-15.6,-12.4
0,2021-03-04,17.14,33301.33,40954.56,-10.7,-7.0
0,2021-03-05,16.19,31315.67,41129.03,-1.5,1.2
0,2021-03-06,16.55,39600.00,41303.17,-11.7,-4.6
0,2021-03-07,16.25,38215.82,41476.84,-12.9,-8.0
0,2021-03-08,17.01,39600.00,41649.94,-10.3,-6.6
0,2021-03-09,18.51,32400.00,41822.58,-8.7,-5.2
0,2021-03-10,15.33,34636.24,41996.06,-6.6,-1.7
0,2021-03-11,19.02,39600.00,42170.50,-4.6,-1.3
0,2021-03-12,18.96,39785.38,42345.78,-6.0,0.7
0,2021-03-13,17.83,28780.28,42521.80,-2.9,-0.6
0,2021-03-14,5.38,4317.63,42698.43,0.3,1.7
0,2021-03-15,18.50,39989.98,42875.56,-3.5,2.7
0,2021-03-16,14.73,26535.48,43053.08,-2.1,0.2
0,2021-03-17,16.35,32400.00,43230.88,-2.7,-1.5
0,2021-03-18,17.55,39600.00,43408.83,-4.6,-2.0
0,2021-03-19,18.61,39600.00,43586.85,-4.6,-3.0
0,2021-03-20,16.75,28800.00,43764.79,-5.7,-3.2
0,2021-03-21,5.71,991.16,43942.57,-2.3,0.1
0,2021-03-22,17.65,40418.11,44120.06,-3.1,0.9
0,2021-03-23,17.06,33982.29,44297.15,-1.9,1.8
0,2021-03-24,17.82,36153.23,44473.73,1.5,3.3
0,2021-03-25,9.64,13118.49,44649.69,3.9,6.4
0,2021-03-26,13.89,37145.02,44824.90,-1.0,4.0
0,2021-03-27,20.58,39981.86,44999.26,-5.5,-3.2
0,2021-03-28,14.68,26752.26,45172.63,4.4,5.8
0,2021-03-29,10.34,25221.96,45345.14,6.1,9.7
0,2021-03-30,19.35,41033.27,45517.99,1.3,3.8
0,2021-03-31,20.12,44669.72,45691.31,1.0,3.1
0,2021-04-01,20.23,45345.25,45864.98,-1.3,-0.3
0,2021-04-02,19.72,30001.76,46038.90,-0.3,0.3
0,2021-04-03,10.32,20673.98,46212.98,5.2,7.9
0,2021-04-04,4.09,1931.28,46387.08,3.0,6.3
0,2021-04-05,19.43,43100.58,46561.12,-6.3,-3.7
0,2021-04-06,20.46,32805.51,46734.98,-6.2,-3.6
0,2021-04-07,18.81,42554.99,46908.55,-2.7,-1.0
0,2021-04-08,19.19,46556.15,47081.71,-8.1,-5.4
0,2021-04-09,19.32,40517.76,47254.34,-6.9,-4.8
0,2021-04-10,22.06,46745.83,47426.34,-5.0,-3.9
0,2021-04-11,23.52,46800.00,47597.59,-2.2,-0.4
0,2021-04-12,20.80,35156.21,47767.96,0.7,6.9
0,2021-04-13,7.66,13882.04,47937.32,6.6,8.7
0,2021-04-14,15.45,31565.03,48105.56,-5.8,2.3
0,2021-04-15,18.93,46800.00,48272.55,-4.8,-0.9
0,2021-04-16,19.35,36000.00,48438.15,1.8,5.7
0,2021-04-17,3.83,638.41,48602.23,6.2,7.1
0,2021-04-18,4.80,12576.23,48764.87,5.0,7.1
0,2021-04-19,16.83,46782.77,48927.25,1.8,4.4
0,2021-04-20,22.83,46800.00,49089.46,-7.2,5.3
0,2021-04-21,21.88,36000.00,49251.40,-3.8,-0.9
0,2021-04-22,23.48,46800.00,49412.96,-3.4,-0.6
0,2021-04-23,24.25,46800.00,49574.01,2.2,5.6
0,2021-04-24,14.03,19280.06,49734.42,4.9,8.2
0,2021-04-25,15.47,37599.61,49894.08,-2.2,3.1
0,2021-04-26,21.68,42326.26,50052.87,-5.5,-0.3
0,2021-04-27,25.05,46800.00,50210.64,-1.5,1.4
0,2021-04-28,21.82,46270.09,50367.28,2.6,6.2
0,2021-04-29,13.51,17219.42,50522.63,5.0,7.8
0,2021-04-30,4.23,10860.49,50676.57,1.2,4.1
0,2021-05-01,18.46,32400.00,50828.96,1.3,2.3
0,2021-05-02,6.17,434.59,50979.64,0.2,2.6
0,2021-05-03,12.80,22194.13,51128.48,-0.4,1.1
0,2021-05-04,19.72,36140.65,51275.31,2.2,4.1
0,2021-05-05,11.74,17719.73,51419.99,6.2,7.5
0,2021-05-06,25.32,47579.83,51562.36,4.3,6.4
0,2021-05-07,24.08,34481.60,51702.25,5.6,8.3
0,2021-05-08,23.54,47854.40,51839.72,5.6,9.7
0,2021-05-09,15.62,35525.73,51975.83,6.0,8.8
0,2021-05-10,19.56,42401.31,52110.67,2.8,5.2
0,2021-05-11,17.98,38151.15,52244.12,2.9,4.8
0,2021-05-12,21.47,34464.54,52376.05,3.7,5.3
0,2021-05-13,11.58,12300.33,52506.33,8.8,10.4
0,2021-05-14,23.75,46687.32,52634.84,8.4,12.4
0,2021-05-15,19.16,32886.16,52761.44,7.5,10.3
0,2021-05-16,6.17,1283.73,52885.99,11.7,13.3
0,2021-05-17,9.20,11327.96,53008.35,11.7,13.8
0,2021-05-18,17.50,32889.88,53128.39,9.1,11.8
0,2021-05-19,21.20,37599.28,53245.95,9.5,11.7
0,2021-05-20,25.32,40651.09,53360.90,11.9,14.7
0,2021-05-21,7.52,7367.06,53473.08,12.0,12.6
0,2021-05-22,9.95,16198.29,53582.35,11.3,12.3
0,2021-05-23,12.91,11241.93,53688.56,11.7,12.8
0,2021-05-24,16.15,25392.99,53791.54,11.8,13.9
0,2021-05-25,21.44,44304.99,53891.15,7.4,13.2
0,2021-05-26,22.77,52443.60,53987.23,3.9,6.8
0,2021-05-27,10.20,10040.68,54079.61,9.4,10.9
0,2021-05-28,7.97,5593.15,54168.30,8.3,10.5
0,2021-05-29,6.53,7419.23,54254.03,7.9,8.7
0,2021-05-30,15.94,34597.18,54336.86,7.2,11.7
0,2021-05-31,20.88,41771.18,54416.71,4.4,5.6
0,2021-06-01,26.67,44438.00,54493.51,7.5,10.3
0,2021-06-02,21.83,44255.23,54567.15,11.4,14.5
0,2021-06-03,20.04,32551.92,54637.56,12.9,14.7
0,2021-06-04,6.71,12368.21,54704.64,12.5,14.8
0,2021-06-05,27.75,49865.47,54768.33,10.6,13.5
0,2021-06-06,25.54,49448.83,54828.52,12.6,14.4
0,2021-06-07,27.03,53660.17,54885.14,10.9,13.0
0,2021-06-08,21.41,41403.23,54938.10,10.9,14.3
0,2021-06-09,27.14,53632.78,54987.33,11.5,14.2
0,2021-06-10,27.05,52114.12,55032.74,13.9,18.5
0,2021-06-11,24.71,42082.83,55074.24,16.0,21.0
0,2021-06-12,17.99,41364.13,55111.78,15.2,16.6
0,2021-06-13,26.28,53709.17,55145.25,15.8,17.5
0,2021-06-14,19.59,34255.67,55174.60,14.9,18.2
0,2021-06-15,12.59,19117.35,55199.74,11.6,14.2
0,2021-06-16,19.99,36637.57,55220.60,11.1,14.0
0,2021-06-17,22.97,36151.12,55237.15,11.5,14.6
0,2021-06-18,21.58,38725.29,55249.49,9.6,12.8
0,2021-06-19,16.06,22783.48,55257.67,9.0,10.4
