location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kobe,34.69244,135.17067,12.0,0,GMT,GMT
1,Toyooka,35.536026,134.8267,7.0,0,GMT,GMT
2,Himeji,34.83304,134.71483,12.0,0,GMT,GMT
3,Sumoto (Awaji),34.340946,134.88693,3.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,10.28,33464.79,35572.33,-2.2,-0.4
0,2021-01-02,10.61,35046.08,35608.28,-1.5,-0.1
0,2021-01-03,8.75,25489.37,35647.01,-1.5,0.1
0,2021-01-04,11.29,32226.15,35688.49,0.1,2.1
0,2021-01-05,6.75,18971.34,35732.65,0.4,3.6
0,2021-01-06,9.61,29302.51,35779.47,-2.5,0.1
0,2021-01-07,5.95,20865.42,35828.88,-7.2,2.3
0,2021-01-08,11.00,35303.99,35880.95,-8.8,-6.8
0,2021-01-09,11.70,35309.43,35936.28,-7.4,-4.7
0,2021-01-10,10.87,32400.00,35994.84,-4.2,-2.7
0,2021-01-11,8.11,17531.04,36056.51,-0.4,2.2
0,2021-01-12,4.83,14736.00,36121.17,-0.5,2.8
0,2021-01-13,10.57,35349.85,36188.68,2.2,4.6
0,2021-01-14,11.56,35364.51,36258.92,4.3,6.1
0,2021-01-15,11.43,33128.67,36331.76,5.0,7.5
0,2021-01-16,6.98,23792.83,36407.07,4.6,9.1
0,2021-01-17,9.79,34244.83,36484.74,-2.9,1.7
0,2021-01-18,12.03,29646.91,36564.64,-1.5,2.6
0,2021-01-19,5.91,13417.23,36646.65,-3.8,0.2
0,2021-01-20,12.75,35489.19,36730.65,-0.5,1.9
0,2021-01-21,12.47,32400.00,36816.52,5.3,9.5
0,2021-01-22,2.46,0.00,36904.13,8.7,10.4
0,2021-01-23,1.57,0.00,36993.39,6.2,7.4
0,2021-01-24,2.23,3206.01,37084.17,5.2,7.6
