location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Mito,36.379612,140.45633,34.0,0,GMT,GMT
1,Hitachi,36.590508,140.65445,52.0,0,GMT,GMT
2,Tsukuba,36.098415,140.07782,31.0,0,GMT,GMT
3,Kashima,35.95782,140.64682,56.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,9.80,32850.05,35044.19,-7.1,-4.8
0,2021-01-02,8.85,32400.00,35082.68,-3.7,1.1
0,2021-01-03,7.70,24835.18,35124.15,-5.2,0.1
0,2021-01-04,10.88,31198.29,35168.55,-1.6,0.4
0,2021-01-05,5.96,20741.54,35215.83,0.8,3.0
0,2021-01-06,8.40,31590.66,35265.94,-1.1,-0.3
0,2021-01-07,9.54,32400.00,35318.83,-9.0,-0.3
0,2021-01-08,10.37,32400.00,35374.56,-10.5,-9.2
0,2021-01-09,11.34,34276.13,35433.77,-9.2,-6.1
0,2021-01-10,11.55,34572.10,35496.43,-7.7,-5.5
0,2021-01-11,8.81,30285.50,35562.43,-5.0,1.1
0,2021-01-12,2.80,3753.25,35631.60,1.3,4.3
0,2021-01-13,11.38,34775.58,35703.82,-0.5,2.8
0,2021-01-14,11.35,34435.83,35778.95,-1.9,1.0
0,2021-01-15,3.95,11724.99,35856.86,2.2,4.0
0,2021-01-16,10.83,29790.76,35937.41,-0.7,5.8
0,2021-01-17,3.59,3381.18,36020.47,-3.3,0.4
0,2021-01-18,6.26,26382.27,36105.90,-2.5,0.4
0,2021-01-19,11.27,35146.10,36193.58,-10.4,-5.8
0,2021-01-20,12.28,35209.85,36283.37,-6.8,-5.4
0,2021-01-21,11.89,35273.88,36375.15,-1.0,4.9
0,2021-01-22,9.95,30535.71,36468.79,1.5,4.2
0,2021-01-23,2.03,0.00,36564.18,3.0,3.8
0,2021-01-24,3.78,3659.60,36661.18,3.0,5.5
