location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kanazawa,36.590508,136.64922,30.0,0,GMT,GMT
1,Suzu,37.50439,137.21704,36.0,0,GMT,GMT
2,Komatsu,36.379612,136.46675,3.0,0,GMT,GMT
3,Nanao,37.0826,136.9617,4.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,9.07,30022.17,34976.40,0.3,1.6
0,2021-01-02,6.72,24126.65,35015.22,-0.2,3.0
0,2021-01-03,4.93,12520.45,35057.03,0.1,1.5
0,2021-01-04,5.74,23231.51,35101.81,1.5,3.4
0,2021-01-05,6.18,20686.96,35149.49,1.1,4.8
0,2021-01-06,6.67,24004.07,35200.03,0.9,2.8
0,2021-01-07,4.71,17637.47,35253.37,-4.9,0.3
0,2021-01-08,7.83,21986.28,35309.58,-3.8,-2.6
0,2021-01-09,7.28,18854.81,35369.28,-4.0,-2.5
0,2021-01-10,10.11,32058.52,35432.48,-2.6,-0.1
0,2021-01-11,10.08,24942.31,35499.03,-2.8,-0.9
0,2021-01-12,8.04,18215.55,35568.78,0.6,1.3
0,2021-01-13,7.65,31976.04,35641.62,0.4,3.1
0,2021-01-14,6.66,20180.89,35717.38,0.7,4.4
0,2021-01-15,12.22,32178.31,35795.94,0.2,4.6
0,2021-01-16,1.60,112.87,35877.17,0.9,6.0
0,2021-01-17,3.47,4573.40,35960.92,-0.5,0.9
0,2021-01-18,6.29,19961.64,36047.06,-0.7,1.3
0,2021-01-19,5.52,11799.63,36135.47,-5.3,-3.6
0,2021-01-20,11.93,32545.29,36226.01,-7.3,-3.4
0,2021-01-21,12.72,32400.00,36318.56,-0.3,5.3
0,2021-01-22,2.75,0.00,36412.97,5.3,8.3
0,2021-01-23,3.29,0.00,36509.15,2.6,3.4
0,2021-01-24,3.20,6469.69,36606.94,4.1,6.1
0,2021-01-25,10.21,35753.29,36706.26,1.5,4.8
0,2021-01-26,7.87,22265.18,36806.94,6.1,9.4
0,2021-01-27,5.51,14416.35,36908.91,0.8,7.5
0,2021-01-28,5.18,9645.15,37012.22,0.2,4.4
0,2021-01-29,8.52,35174.47,37117.95,-4.6,-1.2
0,2021-01-30,10.48,34092.08,37226.15,-1.3,2.8
0,2021-01-31,10.31,33055.14,37336.65,-4.4,0.6
0,2021-02-01,7.48,18553.68,37449.30,2.8,8.0
0,2021-02-02,6.27,25323.64,37563.95,-0.4,5.3
0,2021-02-03,8.10,30861.65,37680.44,-3.0,-0.2
0,2021-02-04,6.71,22518.45,37798.64,-2.0,1.5
0,2021-02-05,9.92,29130.58,37918.40,-0.8,2.4
0,2021-02-06,12.34,36000.00,38039.57,3.1,4.6
0,2021-02-07,9.01,32214.97,38162.02,2.0,6.7
0,2021-02-08,7.91,15731.52,38285.61,-4.3,-1.5
0,2021-02-09,10.39,32643.92,38410.21,-1.6,-0.4
0,2021-02-10,6.60,20418.42,38535.69,1.4,2.6
0,2021-02-11,12.78,34893.93,38661.91,0.6,2.3
0,2021-02-12,12.64,34564.69,38788.76,1.6,5.5
0,2021-02-13,14.19,36079.00,38916.10,4.9,10.4
0,2021-02-14,13.76,32400.00,39043.81,6.7,10.3
0,2021-02-15,1.82,3600.00,39171.78,3.7,8.4
0,2021-02-16,10.83,33734.76,39299.88,-1.7,0.7
0,2021-02-17,9.01,23937.73,39428.21,-3.5,-0.1
0,2021-02-18,9.70,6908.69,39557.89,-2.8,-1.5
0,2021-02-19,11.24,26514.26,39689.01,-1.8,1.0
0,2021-02-20,14.83,36000.00,39821.43,4.5,6.8
0,2021-02-21,16.22,37298.58,39955.04,4.9,7.2
0,2021-02-22,14.82,35275.11,40089.72,6.1,10.5
0,2021-02-23,7.89,17991.13,40225.36,-4.0,0.5
0,2021-02-24,10.78,34820.21,40361.83,-5.2,-1.9
0,2021-02-25,16.10,29608.58,40499.02,-1.8,2.1
0,2021-02-26,8.50,10902.31,40636.83,-3.2,1.6
0,2021-02-27,16.67,39043.66,40775.14,-5.5,-2.7
0,2021-02-28,17.78,36511.76,40913.84,1.3,5.9
0,2021-03-01,15.81,30435.03,41052.83,6.6,11.6
0,2021-03-02,2.18,2779.26,41192.00,-0.2,8.7
0,2021-03-03,16.42,37583.89,41331.24,-3.9,0.7
0,2021-03-04,14.73,28530.90,41470.45,3.5,7.1
0,2021-03-05,4.47,0.00,41609.53,7.6,8.8
0,2021-03-06,4.06,0.00,41748.37,0.4,8.7
0,2021-03-07,16.51,32955.14,41886.88,-0.6,1.0
0,2021-03-08,10.87,29272.35,42024.95,-0.5,0.9
0,2021-03-09,16.79,31758.97,42162.68,3.5,5.4
0,2021-03-10,17.43,38229.70,42301.09,-2.2,4.0
0,2021-03-11,19.93,35566.09,42440.29,0.5,2.9
0,2021-03-12,9.37,7624.59,42580.19,6.4,8.3
0,2021-03-13,6.99,12759.90,42720.67,6.0,8.4
0,2021-03-14,18.10,37503.14,42861.67,0.6,4.1
0,2021-03-15,18.98,35930.69,43003.07,1.5,4.9
0,2021-03-16,4.78,6840.87,43144.79,5.6,10.4
0,2021-03-17,18.58,42818.91,43286.74,-0.7,1.0
0,2021-03-18,20.78,39555.42,43428.83,1.4,3.0
0,2021-03-19,20.49,43103.39,43570.95,2.7,3.7
0,2021-03-20,15.03,26270.39,43713.03,8.6,11.6
0,2021-03-21,5.18,7200.00,43854.97,6.8,14.0
0,2021-03-22,16.71,40649.90,43996.67,1.2,4.0
0,2021-03-23,20.40,43200.00,44138.05,0.0,3.4
0,2021-03-24,20.97,35019.15,44279.01,4.6,7.7
0,2021-03-25,11.10,24302.20,44419.47,5.4,10.2
0,2021-03-26,17.51,41128.97,44559.31,5.3,8.7
0,2021-03-27,16.11,25200.00,44698.47,5.4,8.3
0,2021-03-28,5.56,6555.11,44836.82,12.0,14.4
0,2021-03-29,20.89,41814.11,44974.46,9.6,11.8
0,2021-03-30,14.78,30507.18,45112.35,7.5,10.0
0,2021-03-31,23.01,43200.00,45250.59,3.6,6.0
0,2021-04-01,23.14,43200.00,45389.10,4.2,7.0
0,2021-04-02,21.37,41491.81,45527.78,9.3,12.6
0,2021-04-03,19.79,35225.37,45666.54,9.2,11.3
0,2021-04-04,3.85,0.00,45805.31,11.1,15.9
0,2021-04-05,16.20,35319.11,45943.98,2.3,3.7
0,2021-04-06,19.34,39700.93,46082.48,5.6,6.9
0,2021-04-07,23.88,43200.00,46220.70,2.9,5.4
0,2021-04-08,20.89,43200.00,46358.56,3.1,6.9
0,2021-04-09,22.62,43200.00,46495.97,-2.4,0.3
0,2021-04-10,24.00,43200.00,46632.83,0.4,2.9
0,2021-04-11,23.68,41297.49,46769.05,3.8,6.2
0,2021-04-12,20.85,27990.42,46904.52,7.1,8.6
0,2021-04-13,10.44,13083.22,47039.14,10.9,13.1
