location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Morioka,39.683655,141.125,130.0,0,GMT,GMT
1,Miyako,39.613354,141.92789,13.0,0,GMT,GMT
2,Ichinoseki,38.910366,141.09439,31.0,0,GMT,GMT
3,Kuji,40.175747,141.75316,6.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,4.41,4970.87,33930.75,-11.3,-9.5
0,2021-01-02,6.43,8089.70,33974.70,-15.2,-9.2
0,2021-01-03,8.16,26883.03,34022.06,-8.8,-6.3
0,2021-01-04,4.48,8334.09,34072.74,-7.5,-6.2
0,2021-01-05,6.25,17188.88,34126.72,-8.0,-5.3
0,2021-01-06,10.79,31014.42,34183.91,-8.3,-2.7
0,2021-01-07,7.36,24030.22,34244.26,-7.6,-2.3
0,2021-01-08,8.76,28725.92,34307.85,-16.0,-12.2
0,2021-01-09,9.51,28800.00,34375.39,-13.2,-10.3
0,2021-01-10,8.01,24887.90,34446.86,-11.4,-8.5
0,2021-01-11,10.69,29053.53,34522.10,-9.1,-7.4
0,2021-01-12,7.11,16732.82,34600.96,-3.7,-2.1
0,2021-01-13,7.33,21872.45,34683.27,-1.5,0.7
0,2021-01-14,7.02,18205.84,34768.88,-8.3,1.0
0,2021-01-15,10.94,28800.00,34857.63,-6.4,1.3
0,2021-01-16,4.56,5071.61,34949.36,-4.4,1.2
0,2021-01-17,8.24,25613.10,35043.93,-9.0,-5.8
0,2021-01-18,6.77,16790.41,35141.18,-6.0,-3.4
0,2021-01-19,7.64,21511.83,35240.96,-11.9,-7.7
0,2021-01-20,5.14,1395.93,35343.13,-6.6,-3.6
0,2021-01-21,3.42,0.00,35447.52,-0.8,0.2
0,2021-01-22,8.27,21314.46,35554.01,-4.1,0.8
0,2021-01-23,11.92,28800.00,35662.44,-7.4,-4.3
0,2021-01-24,10.97,31227.30,35772.69,-7.4,-2.8
0,2021-01-25,12.63,34916.57,35884.60,-6.8,-1.6
0,2021-01-26,7.53,15994.81,35998.06,-0.9,2.2
0,2021-01-27,6.14,15375.01,36112.91,-4.8,3.2
0,2021-01-28,6.29,1876.23,36229.25,-5.0,-1.4
0,2021-01-29,9.72,22712.49,36348.29,-7.6,-2.5
0,2021-01-30,9.48,30672.35,36470.07,-9.0,-7.2
0,2021-01-31,7.83,12026.97,36594.41,-9.9,-8.1
0,2021-02-01,12.86,27549.42,36721.15,-1.6,1.8
0,2021-02-02,5.67,7509.71,36850.09,-8.1,0.2
0,2021-02-03,9.49,28357.04,36981.09,-10.9,-9.2
0,2021-02-04,6.57,17578.78,37113.96,-11.4,-6.3
0,2021-02-05,8.73,19084.41,37248.56,-3.0,0.5
0,2021-02-06,8.42,20796.96,37384.72,-1.1,1.4
0,2021-02-07,6.57,18712.44,37522.27,-7.0,0.2
0,2021-02-08,8.29,21420.97,37661.08,-11.7,-8.7
0,2021-02-09,11.23,24081.49,37800.99,-9.1,-6.1
0,2021-02-10,6.65,9537.30,37941.85,-3.9,-2.3
0,2021-02-11,12.00,31298.62,38083.51,-6.7,-3.4
0,2021-02-12,15.43,36198.63,38225.85,-7.4,-2.7
0,2021-02-13,15.52,36159.86,38368.71,-3.8,-2.5
0,2021-02-14,9.14,20910.87,38511.96,0.9,3.1
0,2021-02-15,3.77,3681.38,38655.47,1.3,5.0
0,2021-02-16,9.80,24740.14,38799.11,-7.4,-4.3
0,2021-02-17,7.02,12055.93,38942.96,-9.5,-7.8
0,2021-02-18,11.28,31096.63,39088.30,-6.4,-4.0
0,2021-02-19,4.32,1089.31,39235.23,-1.2,1.3
0,2021-02-20,4.90,3714.60,39383.60,-0.2,5.2
0,2021-02-21,12.41,26921.71,39533.27,-0.3,4.4
0,2021-02-22,4.15,4302.78,39684.12,4.6,8.3
0,2021-02-23,9.60,29650.97,39836.01,-9.9,-5.5
0,2021-02-24,10.63,32400.00,39988.81,-11.2,-9.9
0,2021-02-25,11.52,32842.24,40142.41,-7.1,-4.7
0,2021-02-26,16.39,38644.75,40296.66,-9.4,-5.3
0,2021-02-27,17.62,38711.33,40451.45,-10.8,-9.3
0,2021-02-28,17.68,38219.92,40606.67,-5.9,-2.9
0,2021-03-01,10.34,24701.81,40762.18,2.7,9.0
0,2021-03-02,2.01,6582.34,40917.88,0.7,9.9
0,2021-03-03,12.77,36904.47,41073.65,-7.6,-3.4
0,2021-03-04,17.11,37762.24,41229.36,-0.8,3.0
0,2021-03-05,12.77,24950.39,41384.91,4.6,5.5
0,2021-03-06,13.96,38292.99,41540.18,-6.5,4.7
0,2021-03-07,17.34,40364.20,41695.07,-8.2,-7.0
0,2021-03-08,9.28,29419.43,41849.45,-5.6,-4.6
0,2021-03-09,18.99,36300.76,42003.44,-3.1,0.9
0,2021-03-10,16.95,39600.00,42158.18,-5.0,-3.8
0,2021-03-11,18.62,38571.17,42313.80,-3.9,-1.4
0,2021-03-12,12.49,29081.23,42470.18,-0.6,2.6
0,2021-03-13,4.55,422.83,42627.22,3.2,5.1
0,2021-03-14,2.97,2087.00,42784.81,2.7,4.2
0,2021-03-15,17.54,39963.20,42942.87,1.2,2.3
0,2021-03-16,9.05,16794.15,43101.27,0.4,6.7
0,2021-03-17,10.34,23481.46,43259.92,-4.2,-1.9
0,2021-03-18,9.83,23397.39,43418.72,-2.3,-1.7
0,2021-03-19,19.82,42112.39,43577.56,-3.8,-2.5
0,2021-03-20,18.93,29126.57,43736.35,2.3,6.3
0,2021-03-21,4.10,7078.34,43894.99,6.8,12.5
0,2021-03-22,15.83,42133.97,44053.37,-2.5,1.4
0,2021-03-23,15.85,41011.56,44211.39,-3.1,1.3
0,2021-03-24,20.12,35216.34,44368.94,1.8,4.1
0,2021-03-25,11.44,19993.71,44525.94,5.6,7.6
0,2021-03-26,17.82,40707.45,44682.25,2.0,4.9
0,2021-03-27,18.34,36628.67,44837.80,0.5,4.7
0,2021-03-28,6.70,1696.47,44992.46,10.1,12.0
0,2021-03-29,13.57,34140.22,45146.34,7.1,12.2
0,2021-03-30,16.02,38060.03,45300.51,4.3,9.9
0,2021-03-31,21.50,43269.52,45455.07,2.7,4.5
0,2021-04-01,22.91,44180.39,45609.95,0.7,2.4
0,2021-04-02,19.92,32395.08,45765.03,3.9,7.0
0,2021-04-03,16.47,35486.67,45920.22,7.6,9.4
0,2021-04-04,5.05,0.00,46075.42,9.3,12.7
0,2021-04-05,7.34,17490.14,46230.54,-1.0,3.0
0,2021-04-06,17.00,36002.69,46385.48,-2.0,0.1
0,2021-04-07,20.30,45986.30,46540.14,0.3,2.6
0,2021-04-08,20.69,43265.03,46694.40,-5.1,-3.4
0,2021-04-09,19.40,45630.82,46848.18,-3.6,-1.3
0,2021-04-10,18.99,44656.90,47001.36,-2.8,-1.7
0,2021-04-11,24.84,46357.47,47153.85,-1.1,4.4
0,2021-04-12,23.04,36000.00,47305.51,5.0,6.4
0,2021-04-13,12.25,20398.51,47456.27,9.5,11.7
0,2021-04-14,10.37,18757.10,47605.98,-1.7,8.1
0,2021-04-15,17.77,43115.04,47754.55,-2.1,1.1
0,2021-04-16,17.03,23306.87,47901.85,5.7,9.6
0,2021-04-17,3.95,0.00,48047.77,10.3,11.7
0,2021-04-18,13.16,21653.49,48192.37,4.6,8.1
0,2021-04-19,18.15,40459.85,48336.71,5.1,6.8
0,2021-04-20,20.55,46800.00,48480.86,0.9,7.9
0,2021-04-21,25.69,46800.00,48624.74,-3.4,2.2
0,2021-04-22,24.90,46800.00,48768.23,-1.0,2.7
0,2021-04-23,26.45,46800.00,48911.24,1.1,4.6
0,2021-04-24,20.16,33110.15,49053.64,6.4,11.1
0,2021-04-25,16.72,35974.93,49195.34,-0.3,5.5
0,2021-04-26,25.26,46800.00,49336.21,-3.8,-0.3
0,2021-04-27,25.79,46137.22,49476.14,1.0,4.5
0,2021-04-28,11.38,11570.67,49615.03,9.5,11.9
0,2021-04-29,5.60,0.00,49752.73,9.2,12.5
