location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Takamatsu,34.340946,134.09547,5.0,0,GMT,GMT
1,Tadotsu,34.27065,133.8143,4.0,0,GMT,GMT
2,Utsumi (Higashikagawa),34.20035,134.3233,302.0,0,GMT,GMT
3,Kounan (Marugame),34.27065,133.8143,39.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.61,26580.81,35679.34,-2.9,0.4
0,2021-01-02,9.08,33141.15,35714.77,-2.7,0.9
0,2021-01-03,9.77,32400.00,35752.95,-2.7,-1.2
0,2021-01-04,11.57,32654.78,35793.84,-1.2,1.4
0,2021-01-05,6.54,18960.52,35837.38,-1.1,1.1
0,2021-01-06,9.24,25933.12,35883.52,-4.0,-2.6
0,2021-01-07,7.04,27704.26,35932.24,-8.7,1.8
0,2021-01-08,10.27,35098.52,35983.58,-10.1,-8.2
0,2021-01-09,11.76,35103.55,36038.12,-8.4,-5.7
0,2021-01-10,9.78,23180.46,36095.86,-4.9,-3.2
0,2021-01-11,9.22,24037.21,36156.66,-2.4,0.9
0,2021-01-12,5.50,15628.06,36220.40,-0.7,1.8
0,2021-01-13,8.68,35142.13,36286.97,0.5,3.0
0,2021-01-14,11.16,35156.27,36356.22,4.0,7.1
0,2021-01-15,10.98,32400.00,36428.04,4.3,7.2
0,2021-01-16,8.42,28443.39,36502.30,3.3,9.8
0,2021-01-17,8.36,29755.53,36578.88,-4.0,-2.3
0,2021-01-18,10.97,30817.64,36657.67,-2.6,2.1
0,2021-01-19,6.94,21835.81,36738.53,-3.6,-1.4
0,2021-01-20,13.05,35277.57,36821.36,-2.5,-0.7
0,2021-01-21,12.71,32400.00,36906.04,4.0,6.8
0,2021-01-22,3.65,6664.23,36992.44,8.0,8.5
0,2021-01-23,1.60,0.00,37080.46,6.5,7.5
0,2021-01-24,2.82,2991.89,37169.99,4.9,7.2
0,2021-01-25,13.46,35424.52,37260.90,3.9,6.5
0,2021-01-26,6.85,17328.27,37353.10,9.3,11.2
0,2021-01-27,10.98,34223.49,37446.48,3.6,7.7
0,2021-01-28,13.19,32558.42,37541.11,-1.0,4.2
0,2021-01-29,6.59,10440.90,37637.96,-7.1,-4.3
0,2021-01-30,12.74,35708.79,37737.10,-1.1,4.0
0,2021-01-31,13.63,33261.20,37838.35,0.4,3.8
0,2021-02-01,8.21,23341.45,37941.59,6.0,8.9
0,2021-02-02,14.51,36347.37,38046.68,-4.1,4.7
