location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kagoshima,31.599297,130.52695,7.0,0,GMT,GMT
1,Yakushima,30.404217,130.56339,692.0,0,GMT,GMT
2,Naze (Amami),28.365553,129.53462,5.0,0,GMT,GMT
3,Makurazaki,31.3181,130.22646,6.0,0,GMT,GMT
4,Ibusuki,31.247803,130.60715,4.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,6.52,15106.89,36481.79,0.1,1.7
0,2021-01-02,8.36,27141.65,36513.43,1.3,3.2
0,2021-01-03,13.22,32400.00,36547.52,-3.3,-1.5
0,2021-01-04,9.13,23807.84,36584.03,5.3,8.3
0,2021-01-05,2.86,3600.00,36622.92,1.6,5.4
0,2021-01-06,7.06,10658.52,36664.14,-0.9,3.3
0,2021-01-07,3.47,365.29,36707.65,-4.0,2.5
0,2021-01-08,8.86,29822.60,36753.52,-5.8,-4.7
0,2021-01-09,12.10,33107.42,36802.25,-4.1,-3.2
0,2021-01-10,8.35,27446.38,36853.84,-2.1,-1.3
0,2021-01-11,8.15,24118.34,36908.18,2.3,4.3
0,2021-01-12,10.29,23422.65,36965.15,1.2,2.9
0,2021-01-13,8.60,29961.48,37024.65,3.3,4.5
0,2021-01-14,12.38,34537.91,37086.56,5.5,7.9
0,2021-01-15,13.22,33230.38,37150.78,8.0,10.0
0,2021-01-16,12.34,33854.02,37217.19,4.0,12.7
0,2021-01-17,5.90,9953.16,37285.68,-3.6,-1.2
0,2021-01-18,7.62,26785.73,37356.16,0.5,2.8
0,2021-01-19,14.46,36415.11,37428.51,0.6,3.3
0,2021-01-20,12.40,34874.28,37502.63,5.8,7.7
0,2021-01-21,6.81,18114.96,37578.40,10.7,13.0
0,2021-01-22,11.31,28833.86,37655.74,14.5,16.1
0,2021-01-23,2.83,1631.05,37734.54,12.9,14.9
0,2021-01-24,12.37,28550.39,37814.70,8.7,12.4
0,2021-01-25,12.01,33807.89,37896.11,8.6,11.5
0,2021-01-26,4.63,9923.57,37978.69,12.2,15.1
0,2021-01-27,11.43,30380.43,38062.33,7.4,10.9
0,2021-01-28,10.83,27350.29,38147.11,2.8,8.5
0,2021-01-29,5.07,2711.13,38233.90,-3.9,-1.5
0,2021-01-30,15.56,37765.74,38322.74,-0.7,1.1
0,2021-01-31,15.04,37670.01,38413.50,4.0,6.6
0,2021-02-01,7.77,17990.18,38506.05,10.2,14.2
0,2021-02-02,15.21,36432.39,38600.27,-0.8,7.6
0,2021-02-03,13.16,36442.18,38696.05,-0.5,0.9
0,2021-02-04,10.65,35016.92,38793.25,3.1,7.1
0,2021-02-05,12.88,27270.31,38891.76,4.9,8.2
0,2021-02-06,10.07,26155.26,38991.47,7.7,10.7
0,2021-02-07,15.25,37840.33,39092.26,6.0,8.7
0,2021-02-08,15.33,38718.48,39194.02,-0.7,4.7
0,2021-02-09,17.10,37882.44,39296.63,-1.8,0.2
0,2021-02-10,12.99,33633.20,39400.00,1.8,4.8
0,2021-02-11,7.91,5741.40,39504.02,4.4,6.7
0,2021-02-12,8.07,14068.11,39608.57,9.8,11.5
0,2021-02-13,13.30,34074.44,39713.56,11.8,12.8
0,2021-02-14,6.61,13823.05,39818.89,13.5,15.5
0,2021-02-15,13.93,36000.00,39924.45,5.4,12.2
0,2021-02-16,16.24,32620.72,40030.14,2.1,4.3
0,2021-02-17,12.94,37679.66,40136.06,-2.5,2.3
0,2021-02-18,14.31,37854.02,40243.11,-1.7,-0.3
0,2021-02-19,15.96,39355.82,40351.36,3.0,6.2
0,2021-02-20,17.31,39600.00,40460.73,8.9,10.8
0,2021-02-21,16.43,39600.00,40571.10,10.6,12.0
0,2021-02-22,13.38,36406.68,40682.38,12.6,14.8
0,2021-02-23,18.28,37247.95,40794.47,2.9,9.7
0,2021-02-24,19.18,39600.00,40907.27,4.3,8.1
0,2021-02-25,15.81,29619.16,41020.70,9.9,12.0
0,2021-02-26,1.97,0.00,41134.65,6.9,10.0
0,2021-02-27,7.14,4903.50,41249.03,4.9,10.5
0,2021-02-28,13.96,36000.00,41363.76,11.2,12.9
0,2021-03-01,14.51,35350.11,41478.75,14.0,16.0
0,2021-03-02,13.45,28894.54,41593.90,2.6,11.0
0,2021-03-03,17.94,37397.52,41709.13,2.7,6.1
0,2021-03-04,8.78,13894.14,41824.36,11.8,14.9
0,2021-03-05,14.07,36227.17,41939.48,12.3,14.6
0,2021-03-06,7.10,5595.82,42054.43,11.4,14.4
0,2021-03-07,4.38,2649.85,42169.12,9.6,10.8
0,2021-03-08,9.63,18865.44,42283.45,8.5,11.3
0,2021-03-09,11.57,26575.70,42397.50,8.1,11.2
0,2021-03-10,21.22,39600.00,42512.14,6.1,9.8
0,2021-03-11,18.62,28800.00,42627.44,9.8,12.4
0,2021-03-12,10.43,25880.59,42743.33,12.1,16.0
0,2021-03-13,20.42,39887.14,42859.71,5.6,8.2
0,2021-03-14,21.78,39848.97,42976.51,6.0,8.3
0,2021-03-15,21.54,39600.00,43093.67,6.1,12.3
0,2021-03-16,10.01,13160.38,43211.09,14.9,16.5
0,2021-03-17,20.04,39733.45,43328.71,11.5,14.9
0,2021-03-18,16.99,33066.72,43446.44,13.0,14.9
0,2021-03-19,8.70,13911.92,43564.20,13.8,15.0
0,2021-03-20,4.51,2710.87,43681.93,16.3,17.1
0,2021-03-21,10.22,19073.00,43799.54,5.8,14.6
0,2021-03-22,17.07,35671.95,43916.96,0.9,2.8
0,2021-03-23,22.89,39771.68,44034.11,4.0,6.2
0,2021-03-24,18.09,32572.31,44150.91,10.1,12.2
0,2021-03-25,18.56,31885.33,44267.28,9.6,12.8
0,2021-03-26,23.96,42014.58,44383.15,9.2,12.1
0,2021-03-27,21.50,36000.00,44498.44,12.4,16.2
0,2021-03-28,5.13,6087.94,44613.05,13.1,17.9
0,2021-03-29,22.72,36408.50,44727.07,11.8,13.2
