location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Yokohama,35.46573,139.61539,6.0,0,GMT,GMT
1,Odawara,35.32513,139.25832,32.0,0,GMT,GMT
2,Miura,35.114235,139.64331,21.0,0,GMT,GMT
3,Ebina,35.46573,139.38461,19.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,11.08,32658.63,35333.34,-4.6,-3.0
0,2021-01-02,10.81,33431.65,35370.43,-2.5,1.0
0,2021-01-03,9.25,32579.36,35410.39,-3.8,-2.3
0,2021-01-04,11.02,30611.64,35453.19,-0.7,2.5
0,2021-01-05,5.16,22075.18,35498.76,2.2,5.2
0,2021-01-06,8.05,28718.17,35547.06,0.8,2.0
0,2021-01-07,10.52,34788.65,35598.04,-7.9,0.2
0,2021-01-08,11.11,34098.74,35651.76,-8.5,-4.9
0,2021-01-09,12.09,34891.87,35708.84,-9.4,-7.1
0,2021-01-10,11.97,31345.57,35769.26,-7.7,-3.7
0,2021-01-11,7.82,23571.11,35832.88,-6.0,-3.5
0,2021-01-12,4.54,10316.62,35899.57,0.1,1.8
0,2021-01-13,11.74,35114.28,35969.20,-0.4,1.8
0,2021-01-14,11.58,31572.68,36041.65,-0.1,3.8
0,2021-01-15,4.31,9934.97,36116.78,2.7,7.8
0,2021-01-16,11.54,31692.08,36194.46,0.0,6.9
0,2021-01-17,5.93,16142.05,36274.56,-2.3,1.4
0,2021-01-18,7.77,31814.18,36356.96,-2.2,2.5
0,2021-01-19,12.37,35475.97,36441.53,-10.1,-5.6
0,2021-01-20,11.92,35538.12,36528.14,-5.4,-0.9
0,2021-01-21,12.36,33734.30,36616.68,-2.3,2.9
0,2021-01-22,7.42,29385.85,36707.02,1.3,4.6
0,2021-01-23,1.28,0.00,36799.05,2.4,4.6
0,2021-01-24,3.64,6034.09,36892.63,2.9,4.0
0,2021-01-25,13.09,35850.43,36987.67,1.8,4.2
0,2021-01-26,8.94,26442.83,37084.05,4.6,8.9
0,2021-01-27,4.93,7200.00,37181.64,1.8,6.7
0,2021-01-28,3.25,3600.00,37280.54,0.6,3.0
0,2021-01-29,11.53,36000.00,37381.76,-6.6,3.4
0,2021-01-30,14.10,36000.00,37485.34,-5.6,-1.5
0,2021-01-31,13.47,32400.00,37591.15,-3.9,-1.7
0,2021-02-01,10.34,28800.00,37699.01,5.3,12.0
0,2021-02-02,8.13,24273.27,37808.80,-0.2,8.8
0,2021-02-03,13.63,36000.00,37920.36,-3.0,-0.8
0,2021-02-04,14.45,36000.00,38033.57,-2.8,0.1
0,2021-02-05,14.20,34611.83,38148.27,1.0,4.3
0,2021-02-06,14.31,36000.00,38264.35,1.9,5.8
0,2021-02-07,14.16,36000.00,38381.65,0.8,6.7
0,2021-02-08,10.00,28753.31,38500.06,-7.5,-4.5
0,2021-02-09,15.38,36224.27,38619.44,-6.8,-1.2
0,2021-02-10,12.95,34517.89,38739.67,-0.8,3.2
0,2021-02-11,14.56,33460.56,38860.62,-2.2,-0.2
0,2021-02-12,11.29,35249.45,38982.18,2.8,5.0
0,2021-02-13,14.87,36000.00,39104.22,5.2,7.5
0,2021-02-14,13.59,32400.00,39226.63,8.3,11.0
0,2021-02-15,2.19,6771.91,39349.28,6.6,12.7
0,2021-02-16,16.39,36285.91,39472.08,-1.9,1.2
0,2021-02-17,16.19,37129.32,39595.10,-7.0,-0.6
0,2021-02-18,15.91,33784.17,39719.42,-6.9,-3.7
0,2021-02-19,17.24,37527.57,39845.12,-1.2,2.3
0,2021-02-20,17.25,37457.85,39972.09,3.2,6.8
0,2021-02-21,17.00,37678.50,40100.20,6.0,8.4
0,2021-02-22,17.44,38187.66,40229.35,4.1,7.4
0,2021-02-23,15.10,36894.77,40359.42,-4.5,1.1
0,2021-02-24,16.60,36274.90,40490.29,-7.0,-5.7
0,2021-02-25,15.68,32752.51,40621.86,-0.7,5.3
0,2021-02-26,6.93,8165.23,40754.03,-4.6,0.3
0,2021-02-27,18.46,39671.29,40886.68,-7.0,-3.6
0,2021-02-28,18.73,38655.65,41019.72,1.7,7.2
0,2021-03-01,16.28,32218.68,41153.04,9.1,13.2
0,2021-03-02,10.19,23073.20,41286.53,3.9,15.7
0,2021-03-03,19.40,40440.36,41420.10,-2.6,1.3
0,2021-03-04,15.79,30284.70,41553.65,4.6,7.1
0,2021-03-05,12.50,28182.43,41687.07,8.2,10.1
0,2021-03-06,13.00,32828.54,41820.27,2.5,10.4
0,2021-03-07,11.45,30068.22,41953.16,0.9,3.0
0,2021-03-08,3.28,5051.19,42085.63,4.0,6.2
0,2021-03-09,16.08,39236.05,42217.77,5.4,8.1
0,2021-03-10,20.16,41885.47,42350.57,-1.6,3.2
0,2021-03-11,19.88,39428.85,42484.13,4.0,7.8
0,2021-03-12,9.66,8108.57,42618.35,9.6,11.5
0,2021-03-13,5.99,13562.69,42753.15,8.0,12.7
0,2021-03-14,20.04,42234.04,42888.44,-0.4,5.1
0,2021-03-15,20.68,42284.88,43024.12,4.0,7.6
0,2021-03-16,18.40,41343.74,43160.11,5.9,11.2
0,2021-03-17,20.74,41882.62,43296.32,0.2,3.5
0,2021-03-18,20.53,39246.12,43432.65,4.6,9.7
0,2021-03-19,17.49,32086.65,43569.03,6.2,7.7
0,2021-03-20,16.36,33550.13,43705.37,11.1,15.1
0,2021-03-21,5.49,7200.00,43841.56,11.9,16.9
0,2021-03-22,15.63,33097.72,43977.54,1.9,6.6
0,2021-03-23,20.77,42684.80,44113.20,3.2,6.1
0,2021-03-24,21.51,36415.77,44248.46,8.5,9.6
0,2021-03-25,11.08,17697.81,44383.23,8.3,11.7
0,2021-03-26,20.27,42832.62,44517.42,2.1,5.2
0,2021-03-27,20.92,37451.07,44650.94,7.2,11.7
0,2021-03-28,7.39,14400.00,44783.69,13.5,16.1
0,2021-03-29,20.06,41643.27,44915.75,13.1,16.0
0,2021-03-30,19.38,41843.42,45048.06,13.0,15.2
0,2021-03-31,20.81,35751.87,45180.69,8.7,11.7
0,2021-04-01,18.84,38197.17,45313.58,9.5,11.1
0,2021-04-02,17.83,43175.37,45446.62,9.8,10.9
0,2021-04-03,21.32,43200.00,45579.75,11.1,13.6
0,2021-04-04,12.45,21958.03,45712.87,13.8,16.2
0,2021-04-05,7.98,12564.29,45845.91,6.8,12.5
0,2021-04-06,15.03,34605.67,45978.76,5.3,6.6
0,2021-04-07,21.76,39457.46,46111.35,5.9,9.8
0,2021-04-08,19.13,44038.33,46243.60,5.9,10.2
0,2021-04-09,19.14,33536.13,46375.40,-1.2,2.7
0,2021-04-10,21.21,44245.57,46506.66,1.7,5.1
0,2021-04-11,23.76,44492.90,46637.31,6.0,8.6
0,2021-04-12,19.61,36000.00,46767.23,7.8,11.4
0,2021-04-13,10.85,11971.11,46896.33,13.8,16.9
0,2021-04-14,9.10,9109.03,47024.53,9.0,18.0
0,2021-04-15,22.74,35478.34,47151.72,3.5,6.6
0,2021-04-16,14.37,24227.22,47277.79,9.8,11.6
0,2021-04-17,8.58,10004.35,47402.65,12.1,15.4
0,2021-04-18,23.68,46287.26,47526.36,2.7,8.4
0,2021-04-19,25.76,46360.67,47649.81,5.2,8.8
0,2021-04-20,25.13,46433.71,47773.08,9.1,13.0
0,2021-04-21,25.66,46506.31,47896.07,4.7,11.4
0,2021-04-22,25.14,46432.85,48018.71,6.6,13.6
0,2021-04-23,26.09,46649.85,48140.89,5.5,8.5
0,2021-04-24,22.86,44250.90,48262.53,8.8,11.0
0,2021-04-25,19.96,40462.27,48383.53,4.7,13.7
0,2021-04-26,26.60,46194.24,48503.79,0.4,5.3
0,2021-04-27,20.01,39369.13,48623.22,8.3,10.9
0,2021-04-28,18.08,30874.60,48741.71,11.7,13.9
0,2021-04-29,7.69,12270.23,48859.17,14.7,17.0
0,2021-04-30,25.41,46800.00,48975.48,11.7,13.9
0,2021-05-01,21.41,39634.30,49090.54,12.9,15.4
0,2021-05-02,24.94,44169.58,49204.24,4.3,9.8
0,2021-05-03,23.35,46800.00,49316.48,7.3,10.9
0,2021-05-04,26.00,44621.91,49427.13,10.6,14.4
0,2021-05-05,6.63,3949.91,49536.09,14.1,15.8
0,2021-05-06,21.70,45557.64,49643.24,14.5,15.9
0,2021-05-07,8.86,10800.00,49748.45,13.9,16.1
0,2021-05-08,20.61,25449.25,49851.76,14.4,15.9
0,2021-05-09,23.87,46800.00,49953.99,11.0,15.9
0,2021-05-10,25.27,42405.64,50055.20,8.9,14.6
0,2021-05-11,10.85,19150.16,50155.29,11.0,13.1
0,2021-05-12,14.87,18260.34,50254.17,11.4,14.4
0,2021-05-13,8.36,10800.00,50351.76,15.3,16.1
0,2021-05-14,25.07,41877.42,50447.94,16.8,17.6
0,2021-05-15,24.69,44037.42,50542.63,15.4,17.0
0,2021-05-16,10.81,11887.21,50635.71,17.6,20.0
0,2021-05-17,9.12,16918.02,50727.10,20.3,20.6
0,2021-05-18,13.95,25641.45,50816.69,17.4,21.1
0,2021-05-19,4.99,2208.88,50904.38,16.5,17.3
0,2021-05-20,9.34,3251.90,50990.05,18.5,21.1
0,2021-05-21,7.75,4531.57,51073.60,18.2,21.6
0,2021-05-22,9.64,10800.00,51154.93,15.9,17.9
0,2021-05-23,23.85,47119.29,51233.93,15.1,17.1
0,2021-05-24,20.78,32374.61,51310.48,15.1,17.5
