location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kouchi,33.56766,133.49443,14.0,0,GMT,GMT
1,Murotomisaki,33.286465,134.1677,174.0,0,GMT,GMT
2,Sukumo,32.93497,132.68382,5.0,0,GMT,GMT
3,Aki,33.56766,133.829,7.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,10.25,34551.31,35911.29,-4.0,-0.9
0,2021-01-02,9.51,26860.68,35945.62,-2.4,1.4
0,2021-01-03,11.00,31049.93,35982.62,-2.9,-1.3
0,2021-01-04,12.18,32400.00,36022.23,-0.4,1.2
0,2021-01-05,3.39,3344.87,36064.42,-0.5,3.3
0,2021-01-06,11.53,33278.93,36109.13,-4.0,-0.4
0,2021-01-07,7.43,19242.32,36156.34,-9.2,-0.7
0,2021-01-08,10.94,35068.19,36206.08,-11.5,-9.8
0,2021-01-09,12.93,34837.22,36258.93,-9.8,-6.9
0,2021-01-10,12.41,32400.00,36314.88,-6.0,-2.8
0,2021-01-11,10.16,26341.63,36373.81,-2.1,2.9
0,2021-01-12,8.18,20964.70,36435.59,-2.3,3.4
0,2021-01-13,10.54,33646.98,36500.10,0.4,4.4
0,2021-01-14,12.77,34466.88,36567.22,4.5,9.0
0,2021-01-15,8.77,32400.00,36636.83,6.5,9.1
0,2021-01-16,10.99,33506.50,36708.81,3.1,10.1
0,2021-01-17,10.48,34168.28,36783.05,-5.6,-1.4
0,2021-01-18,12.51,31915.56,36859.42,-3.1,1.7
0,2021-01-19,13.06,35210.79,36937.81,-4.2,-2.7
0,2021-01-20,12.92,32400.00,37018.11,3.6,5.6
0,2021-01-21,10.80,27714.56,37100.21,8.8,10.5
0,2021-01-22,8.53,26698.85,37183.99,12.5,13.6
0,2021-01-23,1.96,0.00,37269.33,9.3,13.5
0,2021-01-24,3.73,11074.17,37356.14,4.2,8.1
0,2021-01-25,13.72,32525.22,37444.30,5.2,8.1
0,2021-01-26,2.63,1269.11,37533.71,11.2,14.6
0,2021-01-27,12.07,36105.09,37624.27,2.5,8.1
0,2021-01-28,13.77,34213.46,37716.04,-0.8,6.6
0,2021-01-29,11.27,34784.14,37809.98,-6.6,-2.3
0,2021-01-30,15.00,36422.18,37906.13,-3.1,-0.1
0,2021-01-31,14.47,35835.73,38004.35,2.4,3.9
0,2021-02-01,5.16,13141.65,38104.49,8.1,10.3
0,2021-02-02,14.72,37047.52,38206.43,-3.1,7.8
0,2021-02-03,15.45,37356.10,38310.04,-3.4,-1.1
0,2021-02-04,11.87,32919.49,38415.18,-1.4,3.5
0,2021-02-05,13.96,30149.83,38521.72,1.7,5.0
