location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kumamoto,32.794376,130.70905,14.0,0,GMT,GMT
1,Amakusa (Hondo),32.51318,130.18248,0.0,0,GMT,GMT
2,Hitoyoshi,32.231983,130.75061,107.0,0,GMT,GMT
3,Aso,32.93497,131.02942,494.0,0,GMT,GMT
4,Minamata,32.231983,130.42374,4.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.25,13670.32,36138.71,-0.6,1.1
0,2021-01-02,5.72,13240.73,36171.97,0.3,2.8
0,2021-01-03,11.60,32585.73,36207.80,-3.5,-1.5
0,2021-01-04,12.56,32400.00,36246.17,-0.0,2.5
0,2021-01-05,5.12,7432.83,36287.04,0.6,3.3
0,2021-01-06,7.14,22813.49,36330.35,-2.1,2.0
0,2021-01-07,4.09,6579.65,36376.08,-7.1,-0.4
0,2021-01-08,10.48,30485.07,36424.27,-7.9,-5.6
0,2021-01-09,9.22,28897.85,36475.48,-5.2,-3.4
0,2021-01-10,5.45,7707.83,36529.68,-3.2,-1.5
0,2021-01-11,8.34,17102.36,36586.78,0.4,2.8
0,2021-01-12,8.29,24012.51,36646.63,-1.0,1.2
0,2021-01-13,8.30,27269.27,36709.14,2.9,4.9
0,2021-01-14,11.26,33539.46,36774.18,4.1,8.8
0,2021-01-15,12.68,32887.35,36841.64,6.8,8.8
0,2021-01-16,11.78,32248.18,36911.39,3.4,10.8
0,2021-01-17,9.73,32517.19,36983.34,-4.4,-2.3
0,2021-01-18,8.67,28856.12,37057.35,-0.0,2.7
0,2021-01-19,13.21,35449.61,37133.33,-2.5,-0.1
0,2021-01-20,13.30,35096.92,37211.16,3.3,7.4
0,2021-01-21,11.38,32400.00,37290.73,8.3,10.7
0,2021-01-22,7.73,15032.08,37371.93,12.6,15.0
0,2021-01-23,2.71,171.85,37454.66,10.2,13.7
0,2021-01-24,11.95,32542.18,37538.81,4.7,8.8
0,2021-01-25,14.07,33938.97,37624.28,5.8,9.9
0,2021-01-26,3.04,1569.30,37710.97,10.3,13.3
0,2021-01-27,13.76,35923.16,37798.76,3.2,7.5
0,2021-01-28,9.64,28906.25,37887.74,-0.2,5.5
0,2021-01-29,6.21,13303.07,37978.83,-5.7,-4.2
0,2021-01-30,14.60,36931.81,38072.06,-0.9,0.6
0,2021-01-31,14.31,35231.37,38167.30,1.5,4.1
0,2021-02-01,6.18,18282.60,38264.42,9.1,12.5
0,2021-02-02,14.89,35884.68,38363.27,-1.7,7.3
0,2021-02-03,11.75,32547.64,38463.76,-1.3,1.2
0,2021-02-04,8.47,27277.14,38565.73,0.9,6.4
0,2021-02-05,10.22,22839.21,38669.07,4.0,6.4
0,2021-02-06,12.63,36389.47,38773.66,6.8,8.7
0,2021-02-07,13.41,37773.92,38879.37,5.5,8.2
0,2021-02-08,15.15,38504.29,38986.10,-2.0,3.5
0,2021-02-09,16.31,38108.01,39093.72,-1.9,0.1
0,2021-02-10,14.95,32528.32,39202.12,1.8,4.2
0,2021-02-11,10.38,17871.00,39311.19,3.8,7.2
0,2021-02-12,8.22,22676.14,39420.83,8.0,10.0
0,2021-02-13,7.14,26818.56,39530.90,10.1,11.8
0,2021-02-14,8.14,19024.76,39641.33,12.3,14.5
0,2021-02-15,13.39,36213.24,39752.01,3.8,11.3
0,2021-02-16,15.07,36224.90,39862.81,0.1,4.6
0,2021-02-17,11.35,35315.90,39973.83,-6.0,-2.3
0,2021-02-18,6.94,14837.17,40086.05,-4.0,-2.5
0,2021-02-19,15.52,39600.00,40199.53,1.8,5.3
0,2021-02-20,16.38,39600.00,40314.16,8.7,9.9
0,2021-02-21,17.32,39600.00,40429.84,10.4,11.9
0,2021-02-22,14.27,39600.00,40546.45,11.8,14.3
