location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kyoto,34.973637,135.74333,51.0,0,GMT,GMT
1,Miyazu,35.536026,135.1733,3.0,0,GMT,GMT
2,Fukuchiyama,35.32513,135.11508,19.0,0,GMT,GMT
3,Kyotanabe,34.83304,135.74144,43.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.65,23603.53,35486.01,-4.5,-2.5
0,2021-01-02,9.03,33882.36,35522.36,-2.9,-0.7
0,2021-01-03,6.88,29181.20,35561.54,-1.8,0.0
0,2021-01-04,9.73,28465.52,35603.49,-1.8,-0.1
0,2021-01-05,7.64,23262.53,35648.17,0.0,3.5
0,2021-01-06,9.82,28206.79,35695.52,-3.6,-1.0
0,2021-01-07,5.82,17650.04,35745.49,-8.8,0.6
0,2021-01-08,11.77,35243.31,35798.16,-11.1,-9.8
0,2021-01-09,12.07,35300.77,35854.12,-9.6,-8.2
0,2021-01-10,9.08,24692.14,35913.35,-5.8,-4.1
0,2021-01-11,6.96,17297.96,35975.72,-2.1,-0.3
0,2021-01-12,4.37,10205.90,36041.12,-1.6,1.4
0,2021-01-13,11.33,35446.69,36109.39,-1.3,0.7
0,2021-01-14,9.12,34893.54,36180.42,0.6,3.5
0,2021-01-15,11.60,34366.71,36254.10,2.4,5.8
0,2021-01-16,5.91,25200.00,36330.26,3.0,8.7
0,2021-01-17,7.72,28317.65,36408.81,-2.8,1.5
0,2021-01-18,11.82,32413.36,36489.61,-3.0,0.1
0,2021-01-19,4.77,3881.46,36572.54,-4.8,-1.7
0,2021-01-20,11.67,31989.17,36657.49,-2.9,-1.2
0,2021-01-21,12.68,32400.00,36744.31,2.8,5.7
0,2021-01-22,2.17,0.00,36832.92,6.7,8.1
0,2021-01-23,1.37,0.00,36923.17,6.1,8.0
0,2021-01-24,1.74,3308.02,37014.97,4.7,7.3
0,2021-01-25,12.84,35741.83,37108.18,2.4,4.9
0,2021-01-26,8.24,20559.65,37202.71,7.7,8.9
0,2021-01-27,10.85,32400.00,37298.44,2.1,7.9
0,2021-01-28,4.51,9508.18,37395.46,-0.3,5.3
0,2021-01-29,9.84,32377.14,37494.75,-5.3,-3.5
0,2021-01-30,7.71,17235.94,37596.36,-2.1,0.8
0,2021-01-31,9.54,31804.34,37700.16,-1.8,1.1
0,2021-02-01,10.39,20859.19,37805.98,5.1,9.9
0,2021-02-02,9.90,25316.98,37913.70,-2.1,6.0
0,2021-02-03,5.25,11482.96,38023.16,-4.4,-2.8
0,2021-02-04,7.23,25956.93,38134.23,-2.1,1.1
0,2021-02-05,14.67,36000.00,38246.78,0.6,1.6
0,2021-02-06,14.95,36106.50,38360.67,3.1,4.6
0,2021-02-07,11.16,32473.94,38475.78,2.7,4.9
0,2021-02-08,7.19,18399.99,38591.97,-2.2,-0.1
0,2021-02-09,5.37,8420.14,38709.11,-2.8,-1.1
0,2021-02-10,14.96,36568.91,38827.10,0.1,2.4
0,2021-02-11,13.69,32400.00,38945.80,0.8,1.9
0,2021-02-12,10.89,30995.72,39065.10,4.8,6.7
0,2021-02-13,12.57,36000.00,39184.87,7.1,9.9
0,2021-02-14,13.74,32544.09,39305.01,8.5,9.7
0,2021-02-15,4.35,7553.56,39425.40,3.4,10.4
0,2021-02-16,10.16,33005.56,39545.92,-2.4,-0.3
0,2021-02-17,16.48,38093.76,39666.67,-10.0,-5.5
0,2021-02-18,12.27,27553.52,39788.70,-5.0,-2.9
0,2021-02-19,14.98,35786.38,39912.08,-1.1,0.8
0,2021-02-20,16.65,38281.40,40036.71,3.5,4.4
0,2021-02-21,17.25,38460.93,40162.47,6.2,9.0
0,2021-02-22,17.10,38502.45,40289.24,6.1,7.8
0,2021-02-23,8.59,20294.46,40416.92,-2.3,3.0
0,2021-02-24,18.08,38765.14,40545.40,-4.3,-2.4
0,2021-02-25,17.35,31884.35,40674.57,-0.7,2.6
0,2021-02-26,5.12,3659.15,40804.32,-0.2,3.3
0,2021-02-27,18.60,38811.64,40934.55,-2.3,1.1
0,2021-02-28,13.26,29750.67,41065.16,3.8,5.9
0,2021-03-01,15.98,33239.20,41196.05,8.4,12.1
0,2021-03-02,3.41,4407.91,41327.11,0.1,13.0
0,2021-03-03,17.53,38658.69,41458.25,-1.2,3.1
0,2021-03-04,12.71,25200.00,41589.37,6.9,8.1
0,2021-03-05,4.44,2737.88,41720.37,9.2,10.0
0,2021-03-06,10.99,19484.99,41851.15,2.9,10.2
0,2021-03-07,14.19,21600.00,41981.63,2.8,4.7
0,2021-03-08,12.81,29726.83,42111.70,0.5,3.6
0,2021-03-09,14.87,33853.64,42241.44,4.4,7.3
0,2021-03-10,17.79,41909.39,42371.83,-0.6,4.8
0,2021-03-11,20.27,34651.59,42502.98,2.9,6.8
0,2021-03-12,5.99,0.00,42634.78,8.6,10.1
0,2021-03-13,7.93,16477.63,42767.14,4.6,9.2
0,2021-03-14,20.25,41514.54,42899.98,0.9,4.7
0,2021-03-15,20.23,36049.50,43033.21,2.6,5.2
0,2021-03-16,10.11,25010.70,43166.74,8.0,11.7
0,2021-03-17,21.17,42722.57,43300.48,0.7,3.3
0,2021-03-18,22.12,42807.63,43434.36,2.7,6.2
0,2021-03-19,21.70,42892.84,43568.27,3.2,8.4
0,2021-03-20,17.54,31031.71,43702.14,11.0,14.6
0,2021-03-21,5.16,7063.26,43835.88,8.6,16.7
0,2021-03-22,18.32,43148.28,43969.39,0.7,1.7
0,2021-03-23,21.23,43200.00,44102.60,2.2,4.2
0,2021-03-24,20.38,36000.00,44235.42,7.8,9.1
