location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Tsu,34.76274,136.48102,17.0,0,GMT,GMT
1,Kuwana,35.114235,136.66243,3.0,0,GMT,GMT
2,Kumano,33.848858,136.06476,9.0,0,GMT,GMT
3,Toba,34.481544,136.8136,10.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,11.83,34986.69,35550.81,-4.2,-2.4
0,2021-01-02,9.88,35024.08,35586.86,-2.9,-0.5
0,2021-01-03,9.58,31852.43,35625.70,-2.1,-0.5
0,2021-01-04,11.16,31900.76,35667.30,-1.4,-0.4
0,2021-01-05,5.55,16740.09,35711.59,0.0,1.9
0,2021-01-06,11.30,30242.15,35758.54,-3.7,-0.2
0,2021-01-07,8.39,28404.29,35808.09,-9.4,-0.4
0,2021-01-08,12.24,35307.16,35860.31,-11.7,-10.2
0,2021-01-09,12.37,35364.13,35915.79,-10.2,-7.4
0,2021-01-10,9.97,26082.66,35974.52,-6.0,-4.4
0,2021-01-11,8.14,18172.29,36036.37,-2.7,0.1
0,2021-01-12,3.77,5022.06,36101.21,-0.4,2.7
0,2021-01-13,12.20,35623.67,36168.91,-1.8,-0.3
0,2021-01-14,10.70,35668.97,36239.35,1.6,4.0
0,2021-01-15,12.25,35685.52,36312.39,0.6,3.0
0,2021-01-16,8.68,32653.79,36387.92,2.2,8.7
0,2021-01-17,7.10,21718.92,36465.81,-3.2,0.7
0,2021-01-18,12.46,35745.67,36545.93,-3.7,0.3
0,2021-01-19,7.49,15738.07,36628.17,-5.1,-2.1
0,2021-01-20,13.12,35794.33,36712.41,-3.7,-2.8
0,2021-01-21,12.80,32400.00,36798.51,1.9,4.4
0,2021-01-22,1.93,0.00,36886.38,7.2,9.0
0,2021-01-23,1.21,0.00,36975.88,7.5,9.1
0,2021-01-24,2.13,3511.66,37066.92,5.2,7.3
0,2021-01-25,13.32,35945.08,37159.36,3.4,6.5
0,2021-01-26,8.05,21580.09,37253.11,8.2,10.5
0,2021-01-27,9.59,31292.96,37348.05,2.6,8.9
0,2021-01-28,3.93,3600.00,37444.26,1.0,6.0
0,2021-01-29,9.76,27981.54,37542.74,-6.2,-4.3
0,2021-01-30,10.84,32676.50,37643.52,-2.6,0.3
0,2021-01-31,10.67,35286.27,37746.47,-1.6,0.7
0,2021-02-01,11.97,28882.42,37851.42,4.1,8.6
0,2021-02-02,11.34,28223.06,37958.25,-1.9,6.5
0,2021-02-03,9.13,20809.70,38066.83,-3.9,-2.7
0,2021-02-04,12.24,34355.85,38176.99,-1.8,0.5
0,2021-02-05,14.95,36000.00,38288.62,0.7,4.0
0,2021-02-06,14.85,36180.93,38401.59,2.7,7.1
0,2021-02-07,13.15,36148.62,38515.76,3.3,5.6
0,2021-02-08,12.03,23172.32,38631.01,-2.2,1.8
0,2021-02-09,11.75,28145.08,38747.22,-3.2,-2.1
0,2021-02-10,14.87,36347.30,38864.25,-0.2,1.2
0,2021-02-11,15.19,32400.00,38982.00,0.8,1.9
0,2021-02-12,11.00,24209.72,39100.33,4.8,7.6
0,2021-02-13,12.45,35975.29,39219.14,7.2,10.2
0,2021-02-14,13.57,32400.00,39338.32,9.3,10.9
0,2021-02-15,6.13,18480.17,39457.74,4.2,11.1
0,2021-02-16,15.44,35047.04,39577.30,-1.7,1.5
0,2021-02-17,15.70,34760.99,39697.08,-9.9,-0.4
0,2021-02-18,14.55,32317.44,39818.13,-4.5,-2.1
0,2021-02-19,16.46,37804.72,39940.53,-1.6,0.8
0,2021-02-20,17.25,37771.54,40064.17,3.0,6.2
0,2021-02-21,17.28,38027.38,40188.93,5.6,7.7
0,2021-02-22,17.70,37705.95,40314.70,5.7,8.3
0,2021-02-23,13.24,33826.94,40441.36,-2.2,3.3
0,2021-02-24,18.18,39076.17,40568.83,-5.3,-4.0
0,2021-02-25,17.78,32400.00,40696.97,-3.2,1.3
0,2021-02-26,4.61,3600.00,40825.70,-0.7,3.8
0,2021-02-27,18.49,38625.90,40954.90,-1.6,2.3
0,2021-02-28,11.61,24213.40,41084.48,5.0,7.5
0,2021-03-01,14.36,35025.79,41214.33,9.7,13.8
0,2021-03-02,4.74,13342.07,41344.36,1.0,15.6
0,2021-03-03,19.18,32402.86,41474.47,-0.3,5.6
0,2021-03-04,6.00,5216.10,41604.56,7.6,9.2
0,2021-03-05,3.66,317.91,41734.53,10.2,11.5
0,2021-03-06,16.97,30663.02,41864.29,3.4,10.7
0,2021-03-07,7.12,10626.60,41993.74,4.1,7.2
0,2021-03-08,9.07,20097.41,42122.78,1.6,5.6
0,2021-03-09,9.20,17529.35,42251.51,5.3,7.9
0,2021-03-10,20.65,41919.54,42380.88,-0.6,3.8
0,2021-03-11,18.93,34160.61,42511.00,4.4,7.3
0,2021-03-12,6.73,1211.92,42641.76,9.2,11.1
0,2021-03-13,11.95,28917.23,42773.09,4.9,10.8
0,2021-03-14,21.25,42445.99,42904.89,0.7,4.5
0,2021-03-15,20.78,39073.69,43037.08,1.5,5.1
0,2021-03-16,12.23,24736.11,43169.56,7.8,11.9
0,2021-03-17,21.26,42844.36,43302.26,-0.6,1.2
0,2021-03-18,22.32,42977.36,43435.09,2.5,8.6
0,2021-03-19,21.14,36000.00,43567.96,4.5,8.4
0,2021-03-20,13.22,23725.36,43700.78,12.7,16.0
0,2021-03-21,7.87,20252.78,43833.47,9.5,18.7
0,2021-03-22,20.55,43200.00,43965.94,0.8,1.9
0,2021-03-23,22.43,43200.00,44098.12,1.4,3.7
0,2021-03-24,21.20,36000.00,44229.89,8.2,9.9
0,2021-03-25,6.30,8723.22,44361.19,8.4,12.0
0,2021-03-26,22.72,43200.00,44491.92,3.8,5.9
0,2021-03-27,20.26,32645.55,44622.00,9.5,12.4
0,2021-03-28,4.20,7344.12,44751.33,13.3,14.7
0,2021-03-29,21.60,43200.00,44879.98,8.8,11.8
0,2021-03-30,19.02,35957.43,45008.88,8.0,14.7
0,2021-03-31,24.06,43200.00,45138.09,4.3,6.6
0,2021-04-01,20.67,40328.48,45267.55,11.9,13.2
0,2021-04-02,17.19,36485.63,45397.15,11.4,12.8
0,2021-04-03,13.28,26584.94,45526.84,12.2,14.1
0,2021-04-04,5.58,7895.18,45656.52,12.0,14.9
0,2021-04-05,22.69,39600.00,45786.11,3.8,6.0
0,2021-04-06,16.44,34032.20,45915.53,8.0,10.3
0,2021-04-07,24.57,43200.00,46044.68,1.8,4.6
0,2021-04-08,20.84,42903.65,46173.49,4.1,6.9
0,2021-04-09,24.52,43200.00,46301.87,-1.9,0.9
0,2021-04-10,24.94,43200.00,46429.72,1.9,6.6
0,2021-04-11,23.49,43200.00,46556.96,6.9,8.0
0,2021-04-12,13.67,19935.13,46683.50,9.5,12.7
0,2021-04-13,6.75,3682.92,46809.24,14.5,15.5
0,2021-04-14,16.82,33254.47,46934.09,4.4,11.8
0,2021-04-15,19.08,27277.88,47057.96,5.8,9.0
0,2021-04-16,5.38,0.00,47180.73,11.8,13.8
0,2021-04-17,3.51,7804.12,47302.33,10.7,14.3
0,2021-04-18,23.35,43770.46,47422.79,3.3,4.9
0,2021-04-19,25.28,44022.96,47543.00,5.1,7.7
0,2021-04-20,25.89,44276.55,47663.03,7.6,10.9
0,2021-04-21,26.14,44531.33,47782.78,2.7,4.8
0,2021-04-22,20.73,35758.54,47902.19,6.6,11.4
0,2021-04-23,21.63,35350.17,48021.15,10.4,11.6
0,2021-04-24,17.83,40533.67,48139.58,11.1,13.3
0,2021-04-25,22.29,45563.46,48257.37,2.9,11.0
0,2021-04-26,27.21,43801.29,48374.45,1.8,5.5
0,2021-04-27,22.14,34287.04,48490.71,9.1,10.8
0,2021-04-28,8.73,3992.82,48606.05,14.0,15.5
0,2021-04-29,4.67,9456.68,48720.37,13.0,16.9
0,2021-04-30,23.79,45431.48,48833.58,10.8,13.0
0,2021-05-01,18.98,36050.53,48945.57,11.1,15.7
0,2021-05-02,22.09,46430.28,49056.23,6.2,7.2
0,2021-05-03,25.59,46575.00,49165.46,7.4,10.5
0,2021-05-04,22.91,32400.00,49273.14,12.5,14.9
0,2021-05-05,4.76,10606.06,49379.17,13.8,16.4
0,2021-05-06,26.16,37119.70,49483.43,11.2,15.5
0,2021-05-07,8.19,14830.24,49585.81,13.3,15.9
0,2021-05-08,17.53,26021.68,49686.33,14.8,16.4
0,2021-05-09,22.52,47053.90,49785.80,9.2,14.1
0,2021-05-10,26.92,44213.46,49884.26,9.0,12.8
0,2021-05-11,20.03,29137.43,49981.63,11.3,13.8
0,2021-05-12,5.27,0.00,50077.83,13.5,14.7
0,2021-05-13,17.76,39529.71,50172.75,15.0,16.5
0,2021-05-14,25.11,36139.51,50266.31,16.7,19.8
0,2021-05-15,14.94,25275.50,50358.40,17.9,18.5
0,2021-05-16,5.64,0.00,50448.94,18.1,20.6
0,2021-05-17,6.82,11594.51,50537.83,20.0,23.6
0,2021-05-18,11.69,18067.56,50624.96,18.8,20.5
0,2021-05-19,6.29,5886.11,50710.23,17.3,20.0
0,2021-05-20,3.55,0.00,50793.53,19.0,22.2
0,2021-05-21,8.34,8861.69,50874.78,17.0,22.3
0,2021-05-22,18.44,39925.64,50953.86,13.7,14.8
0,2021-05-23,23.83,42865.32,51030.67,14.2,16.4
0,2021-05-24,12.66,21976.05,51105.09,15.3,18.0
0,2021-05-25,24.45,45014.58,51177.03,12.0,14.7
0,2021-05-26,15.24,24984.58,51246.36,11.9,14.8
0,2021-05-27,5.53,11445.03,51312.99,14.7,16.1
0,2021-05-28,17.87,29646.32,51376.91,15.7,17.6
0,2021-05-29,26.34,50132.65,51438.66,12.5,17.3
0,2021-05-30,26.28,50170.11,51498.28,11.3,13.1
0,2021-05-31,26.73,50016.78,51555.73,15.4,17.6
0,2021-06-01,24.99,39443.72,51610.95,17.3,18.0
0,2021-06-02,16.09,29941.06,51663.87,17.4,18.5
0,2021-06-03,17.52,21745.58,51714.44,18.1,20.6
0,2021-06-04,7.56,11961.17,51762.59,16.5,22.8
0,2021-06-05,14.71,16205.52,51808.28,15.6,17.8
0,2021-06-06,13.86,17688.84,51851.45,16.7,17.5
0,2021-06-07,25.61,46358.89,51892.03,17.3,19.8
0,2021-06-08,25.98,50049.51,51929.98,15.3,17.7
0,2021-06-09,28.79,50400.00,51965.24,15.8,17.6
0,2021-06-10,27.63,46483.94,51997.75,18.5,20.0
0,2021-06-11,20.91,36478.02,52027.46,18.3,19.5
0,2021-06-12,18.73,29026.83,52054.31,18.6,19.5
0,2021-06-13,11.37,6719.87,52078.25,19.3,20.3
0,2021-06-14,20.59,45085.27,52099.24,19.6,20.1
0,2021-06-15,20.34,30620.12,52117.21,19.7,20.4
