location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Sendai,38.27768,140.83784,52.0,0,GMT,GMT
1,Kesennuma,38.910366,141.58687,37.0,0,GMT,GMT
2,Zao,38.20738,140.64777,264.0,0,GMT,GMT
3,Marumori,37.996483,140.80644,26.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,4.49,4944.04,34418.49,-6.2,-4.5
0,2021-01-02,7.27,25444.87,34460.03,-7.8,-4.8
0,2021-01-03,7.41,28800.00,34504.78,-5.2,-3.3
0,2021-01-04,4.80,9132.36,34552.70,-3.7,-1.8
0,2021-01-05,5.43,21991.39,34603.72,-3.4,-1.6
0,2021-01-06,9.94,32400.00,34657.78,-5.6,-2.4
0,2021-01-07,9.42,28437.10,34714.84,-6.5,-0.6
0,2021-01-08,7.91,26365.66,34774.97,-10.7,-8.0
0,2021-01-09,9.90,32876.10,34838.83,-10.1,-5.5
0,2021-01-10,8.51,30177.99,34906.42,-8.1,-5.8
0,2021-01-11,9.39,29214.07,34977.58,-5.5,-3.2
0,2021-01-12,3.34,3600.00,35052.17,-3.1,-0.8
0,2021-01-13,9.39,31389.14,35130.03,-1.7,0.3
0,2021-01-14,4.40,16033.86,35211.02,-3.1,3.7
0,2021-01-15,11.02,33684.29,35294.99,-2.2,0.5
0,2021-01-16,5.50,15861.39,35381.81,-2.2,3.5
0,2021-01-17,6.45,20813.24,35471.30,-6.6,-4.3
0,2021-01-18,9.31,32400.00,35563.35,-4.4,-2.4
0,2021-01-19,11.05,29602.71,35657.80,-10.0,-6.3
0,2021-01-20,4.91,7589.10,35754.52,-6.4,-4.2
0,2021-01-21,11.46,32828.69,35853.36,-4.6,1.3
0,2021-01-22,7.64,31684.29,35954.20,-0.6,3.7
0,2021-01-23,9.06,21732.33,36056.89,-3.3,-2.5
0,2021-01-24,3.52,3600.00,36161.31,-1.6,-0.1
0,2021-01-25,12.27,35184.05,36267.33,-2.4,0.4
0,2021-01-26,5.93,12617.66,36374.81,2.5,4.1
0,2021-01-27,5.11,6919.65,36483.63,-1.6,6.8
0,2021-01-28,6.13,10006.54,36593.88,-2.5,0.9
0,2021-01-29,9.49,31853.38,36706.70,-8.1,-3.6
0,2021-01-30,10.70,32071.63,36822.13,-6.3,-4.1
0,2021-01-31,12.01,35330.37,36940.00,-8.2,-6.9
0,2021-02-01,10.89,22018.34,37060.15,-0.1,3.2
0,2021-02-02,7.61,16523.37,37182.42,-5.3,3.4
0,2021-02-03,7.05,19900.02,37306.63,-7.0,-4.9
0,2021-02-04,7.38,23894.45,37432.66,-6.5,-1.7
0,2021-02-05,11.38,34310.11,37560.32,-3.2,-1.4
