location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Miyazaki,31.95079,131.42169,9.0,0,GMT,GMT
1,Nobeoka,32.583477,131.65651,1.0,0,GMT,GMT
2,Takachiho,32.724075,131.31868,325.0,0,GMT,GMT
3,Kushima,31.458698,131.1828,5.0,0,GMT,GMT
4,Kobayashi,31.95079,130.98796,190.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,11.20,33621.59,36381.91,-1.9,-0.7
0,2021-01-02,10.23,27760.23,36414.01,-0.3,1.1
0,2021-01-03,12.42,32400.00,36448.61,0.1,1.0
0,2021-01-04,10.78,29621.24,36485.66,2.0,4.9
0,2021-01-05,2.76,1878.89,36525.12,3.7,7.4
0,2021-01-06,12.00,33045.28,36566.95,-2.3,0.9
0,2021-01-07,7.98,21012.89,36611.11,-6.4,2.1
0,2021-01-08,12.34,34801.72,36657.65,-8.8,-7.2
0,2021-01-09,13.65,34804.10,36707.10,-6.3,-4.9
0,2021-01-10,13.33,32400.00,36759.45,-4.8,-3.0
0,2021-01-11,9.21,24141.81,36814.59,1.8,4.0
0,2021-01-12,8.65,24332.48,36872.40,-0.3,5.1
0,2021-01-13,12.11,34948.60,36932.77,1.8,3.5
0,2021-01-14,13.41,34608.83,36995.59,4.6,6.6
0,2021-01-15,12.00,33355.49,37060.75,7.8,10.4
0,2021-01-16,13.35,33314.01,37128.13,3.6,11.1
0,2021-01-17,13.76,35788.76,37197.63,-4.3,0.2
0,2021-01-18,11.29,31329.52,37269.14,-0.6,1.9
0,2021-01-19,14.11,35289.29,37342.54,0.9,3.2
0,2021-01-20,11.96,35839.81,37417.74,3.6,6.1
0,2021-01-21,9.73,25413.65,37494.61,9.1,10.8
0,2021-01-22,11.46,32400.00,37573.08,14.3,16.3
0,2021-01-23,2.91,0.00,37653.02,12.5,14.6
0,2021-01-24,4.13,4603.32,37734.33,7.5,12.5
0,2021-01-25,13.01,32400.00,37816.93,8.7,11.4
0,2021-01-26,2.93,1692.65,37900.70,12.6,15.4
0,2021-01-27,9.20,22545.81,37985.55,6.1,12.1
0,2021-01-28,12.60,37266.40,38071.56,1.0,8.1
0,2021-01-29,14.16,37664.66,38159.60,-5.2,-4.5
0,2021-01-30,15.75,37756.67,38249.71,-2.5,-0.7
0,2021-01-31,15.30,37850.61,38341.77,1.9,3.4
0,2021-02-01,11.19,28788.80,38435.65,9.4,13.5
0,2021-02-02,14.94,38043.72,38531.23,-1.6,6.9
0,2021-02-03,16.15,38142.65,38628.37,-2.1,-0.1
0,2021-02-04,14.43,38242.99,38726.96,2.0,6.1
0,2021-02-05,13.19,32711.95,38826.88,3.8,8.4
0,2021-02-06,8.88,26075.00,38928.01,7.6,11.2
0,2021-02-07,16.34,38551.29,39030.22,5.6,10.2
0,2021-02-08,15.09,38656.09,39133.43,-2.0,5.3
0,2021-02-09,16.93,38715.50,39237.51,0.1,3.9
0,2021-02-10,14.60,35526.78,39342.34,2.4,6.1
0,2021-02-11,9.27,13744.11,39447.82,3.8,6.8
0,2021-02-12,5.15,1838.79,39553.86,11.1,13.5
0,2021-02-13,2.29,529.74,39660.33,12.6,13.9
0,2021-02-14,5.01,4251.01,39767.14,14.3,16.2
0,2021-02-15,16.75,39390.53,39874.18,4.0,11.3
0,2021-02-16,17.69,39441.79,39981.38,0.4,3.1
0,2021-02-17,18.42,39492.48,40088.77,-5.5,0.5
0,2021-02-18,16.44,39314.42,40197.33,-4.2,-3.6
0,2021-02-19,18.57,39592.75,40307.11,1.4,4.6
0,2021-02-20,18.31,39600.00,40418.01,8.1,9.8
