location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Nagano,36.66081,138.24377,373.0,0,GMT,GMT
1,Matsumoto,36.239014,137.9844,595.0,0,GMT,GMT
2,Iida,35.536026,137.83055,506.0,0,GMT,GMT
3,Karuizawa,36.309315,138.63281,951.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.58,26339.12,34953.70,-6.9,-2.4
0,2021-01-02,7.33,26086.26,34992.63,-5.8,-1.6
0,2021-01-03,6.94,29437.87,35034.57,-6.8,-3.6
0,2021-01-04,8.67,29942.48,35079.47,-5.1,-0.7
0,2021-01-05,6.74,28315.47,35127.29,-3.6,-0.4
0,2021-01-06,7.63,29232.61,35177.97,-5.4,-3.8
0,2021-01-07,7.55,28545.21,35231.45,-10.6,-5.1
0,2021-01-08,6.78,20633.03,35287.82,-12.1,-9.7
0,2021-01-09,5.85,17111.10,35347.70,-8.9,-7.0
0,2021-01-10,9.28,34845.15,35411.08,-8.1,-6.6
0,2021-01-11,8.10,29407.04,35477.81,-6.2,-4.9
0,2021-01-12,3.56,3380.65,35547.76,-2.9,-0.4
0,2021-01-13,9.93,35060.12,35620.79,-5.9,-3.4
0,2021-01-14,4.59,23480.80,35696.77,-2.1,1.6
0,2021-01-15,11.78,32699.78,35775.55,-3.5,-0.3
0,2021-01-16,3.85,9771.97,35857.00,-1.7,3.5
0,2021-01-17,7.33,24914.69,35940.99,-5.0,-3.4
0,2021-01-18,8.30,25972.10,36027.37,-8.0,-5.6
0,2021-01-19,6.35,20083.03,36116.02,-7.8,-5.1
0,2021-01-20,12.32,35659.67,36206.81,-8.5,-7.2
0,2021-01-21,12.92,32165.85,36299.61,-6.2,-1.8
0,2021-01-22,4.40,3161.80,36394.29,1.4,4.6
0,2021-01-23,2.63,0.00,36490.73,1.9,2.7
0,2021-01-24,3.12,3600.00,36588.79,1.9,3.3
0,2021-01-25,12.62,36000.00,36688.37,-3.5,2.5
0,2021-01-26,8.95,26333.38,36789.34,-1.6,3.6
0,2021-01-27,7.23,23426.53,36891.59,0.4,6.2
0,2021-01-28,7.12,27505.55,36995.18,-2.2,1.0
0,2021-01-29,7.49,29777.53,37101.20,-9.0,-7.0
0,2021-01-30,11.58,31172.31,37209.69,-7.1,-2.0
0,2021-01-31,6.88,32926.53,37320.49,-7.2,-2.6
0,2021-02-01,8.28,22156.09,37433.45,-2.6,3.5
0,2021-02-02,9.78,32709.48,37548.40,-3.4,3.4
0,2021-02-03,10.53,35889.55,37665.21,-7.8,-4.0
0,2021-02-04,8.58,32673.29,37783.72,-4.5,-3.3
0,2021-02-05,14.24,36000.00,37903.81,-4.3,-2.2
0,2021-02-06,14.31,36000.00,38025.30,-2.9,0.6
0,2021-02-07,10.90,32256.88,38148.08,-2.4,2.0
0,2021-02-08,9.72,32602.57,38272.00,-8.0,-5.9
