location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Nagasaki,32.724075,129.8901,15.0,0,GMT,GMT
1,Sasebo,33.14587,129.7417,0.0,0,GMT,GMT
2,Hirado,33.356766,129.55556,31.0,0,GMT,GMT
3,Tsushima (Izuhara),34.20035,129.24812,141.0,0,GMT,GMT
4,Fukue (Goto Islands),32.724075,128.79121,6.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.85,10448.83,36159.17,0.7,3.3
0,2021-01-02,7.50,28039.19,36192.33,0.5,2.9
0,2021-01-03,12.04,32986.70,36228.06,-2.0,-0.3
0,2021-01-04,12.50,32400.00,36266.32,0.5,2.1
0,2021-01-05,6.97,19044.49,36307.06,1.0,2.9
0,2021-01-06,5.08,882.21,36350.26,-1.2,2.4
0,2021-01-07,4.90,7872.41,36395.85,-6.3,-3.3
0,2021-01-08,9.82,28660.46,36443.90,-6.0,-3.7
0,2021-01-09,10.32,32400.00,36494.96,-4.0,-2.2
0,2021-01-10,5.59,7500.27,36549.01,-1.4,0.8
0,2021-01-11,6.27,15476.53,36605.94,1.8,4.9
0,2021-01-12,9.99,29884.69,36665.63,0.7,2.0
0,2021-01-13,7.03,20341.25,36727.95,4.1,6.2
0,2021-01-14,10.49,32913.72,36792.80,6.7,9.3
0,2021-01-15,12.20,33485.56,36860.06,9.4,11.8
0,2021-01-16,13.20,33531.10,36929.62,1.4,7.8
0,2021-01-17,4.99,1604.13,37001.36,-3.6,-0.4
0,2021-01-18,7.53,26182.79,37075.16,-0.3,1.6
0,2021-01-19,13.36,33885.99,37150.92,-0.6,1.0
0,2021-01-20,12.49,34176.34,37228.53,5.7,7.7
0,2021-01-21,10.40,30087.88,37307.87,10.3,14.4
0,2021-01-22,7.25,12943.80,37388.85,13.7,15.7
0,2021-01-23,3.05,2693.69,37471.35,10.0,13.6
0,2021-01-24,13.17,35480.11,37555.26,4.4,8.1
0,2021-01-25,14.00,34738.20,37640.48,6.1,10.2
0,2021-01-26,3.95,3207.87,37726.92,10.1,14.2
0,2021-01-27,12.66,36281.85,37814.47,3.9,6.7
0,2021-01-28,9.51,34035.77,37903.20,-0.2,5.5
0,2021-01-29,5.94,6156.57,37994.03,-3.7,-0.2
0,2021-01-30,10.97,23611.48,38086.99,1.7,5.2
0,2021-01-31,14.48,35262.99,38181.97,4.9,8.4
