location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Nara,34.69244,135.73956,65.0,0,GMT,GMT
1,Gojo,34.411247,135.73586,136.0,0,GMT,GMT
2,Kamikitayama,34.13005,135.95744,682.0,0,GMT,GMT
3,Uda (Oouda),34.481544,135.9068,348.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,10.25,30693.34,35572.33,-3.4,-1.2
0,2021-01-02,10.25,33509.63,35608.28,-2.3,1.0
0,2021-01-03,8.19,23973.17,35647.01,-1.5,-0.6
0,2021-01-04,10.92,32089.61,35688.49,-1.3,1.0
0,2021-01-05,5.40,20469.83,35732.65,0.4,2.2
0,2021-01-06,10.07,29324.19,35779.47,-2.9,1.1
0,2021-01-07,4.89,16758.80,35828.88,-8.1,1.2
0,2021-01-08,11.29,35328.36,35880.95,-10.0,-7.8
0,2021-01-09,11.79,35385.16,35936.28,-8.5,-5.6
0,2021-01-10,9.27,24548.19,35994.84,-5.0,-3.3
0,2021-01-11,7.10,18155.60,36056.51,-2.1,0.9
0,2021-01-12,3.86,5496.50,36121.17,-0.6,2.5
0,2021-01-13,11.60,35486.38,36188.68,-0.3,1.5
0,2021-01-14,10.51,35501.04,36258.92,2.1,5.7
0,2021-01-15,11.90,35517.48,36331.76,3.6,6.4
0,2021-01-16,6.63,25176.91,36407.07,4.1,9.1
0,2021-01-17,9.33,28502.16,36484.74,-2.5,2.3
0,2021-01-18,11.97,32400.00,36564.64,-1.8,1.9
0,2021-01-19,6.07,13999.12,36646.65,-4.8,0.1
0,2021-01-20,12.10,35625.73,36730.65,-2.6,-0.9
0,2021-01-21,12.68,32400.00,36816.52,2.2,6.6
0,2021-01-22,1.67,0.00,36904.13,7.6,9.2
0,2021-01-23,1.30,0.00,36993.39,6.4,7.5
0,2021-01-24,1.87,1128.63,37084.17,5.5,7.4
0,2021-01-25,12.72,35775.83,37176.36,3.4,5.8
0,2021-01-26,9.19,21600.00,37269.85,8.2,9.7
0,2021-01-27,9.53,24619.04,37364.53,2.6,8.6
0,2021-01-28,6.60,21178.12,37460.47,-0.2,5.2
0,2021-01-29,9.19,20459.49,37558.68,-6.3,-3.8
0,2021-01-30,8.79,19651.98,37659.19,-1.7,1.4
0,2021-01-31,9.34,29082.05,37761.85,-1.4,1.4
0,2021-02-01,10.03,23577.79,37866.52,5.6,11.1
0,2021-02-02,11.74,31683.25,37973.06,-1.6,6.3
0,2021-02-03,7.63,21313.99,38081.33,-4.1,-2.4
0,2021-02-04,8.62,25903.21,38191.20,-1.3,2.8
0,2021-02-05,14.66,36000.00,38302.52,1.2,3.9
0,2021-02-06,14.91,36385.88,38415.18,2.1,5.3
0,2021-02-07,11.98,36056.34,38529.04,4.5,7.5
0,2021-02-08,9.21,25242.85,38643.98,-1.3,2.0
0,2021-02-09,6.84,12405.26,38759.87,-2.0,0.3
0,2021-02-10,15.47,36550.13,38876.59,0.6,2.3
0,2021-02-11,13.15,32400.00,38994.02,1.0,3.4
0,2021-02-12,10.75,22465.66,39112.04,5.1,7.4
0,2021-02-13,12.49,36000.00,39230.53,7.0,10.1
0,2021-02-14,14.23,32527.78,39349.38,9.2,11.3
0,2021-02-15,3.96,8426.28,39468.49,3.7,11.2
0,2021-02-16,13.52,37231.27,39587.72,-2.1,2.6
0,2021-02-17,13.37,36570.16,39707.18,-9.1,-2.9
0,2021-02-18,13.23,28865.00,39827.91,-4.9,-1.7
0,2021-02-19,15.47,37213.27,39949.99,-1.1,0.6
0,2021-02-20,16.90,38258.88,40073.29,3.9,6.7
0,2021-02-21,17.26,38480.44,40197.73,6.7,8.7
0,2021-02-22,17.42,38191.41,40323.16,6.3,8.1
0,2021-02-23,9.69,27983.64,40449.49,-1.6,4.6
0,2021-02-24,17.99,38771.93,40576.61,-4.5,-2.3
0,2021-02-25,17.40,32625.21,40704.42,-0.8,2.9
0,2021-02-26,4.19,3600.00,40832.80,1.0,4.9
0,2021-02-27,18.19,38817.43,40961.67,-1.7,3.4
0,2021-02-28,12.88,30542.64,41090.90,5.0,7.8
0,2021-03-01,15.90,34649.88,41220.41,8.8,12.7
0,2021-03-02,3.62,4340.76,41350.10,0.7,13.8
0,2021-03-03,17.36,38756.17,41479.86,-1.0,4.2
0,2021-03-04,11.89,19708.16,41609.61,7.1,9.1
0,2021-03-05,5.66,7567.77,41739.24,10.1,11.3
0,2021-03-06,10.08,15522.41,41868.65,3.2,10.4
0,2021-03-07,12.17,18428.77,41997.76,3.4,5.5
0,2021-03-08,11.59,25190.25,42126.47,1.4,5.1
0,2021-03-09,13.93,34633.93,42254.85,5.1,8.5
0,2021-03-10,18.44,41922.92,42383.89,0.0,5.5
0,2021-03-11,20.13,33506.33,42513.67,2.8,6.7
0,2021-03-12,7.78,7200.00,42644.09,9.5,11.0
0,2021-03-13,7.35,14671.95,42775.07,4.9,9.3
0,2021-03-14,20.22,40945.46,42906.52,1.0,5.3
0,2021-03-15,19.50,36000.00,43038.37,3.9,6.7
0,2021-03-16,9.96,14970.05,43170.50,9.5,12.6
0,2021-03-17,21.14,42723.39,43302.86,1.2,5.0
0,2021-03-18,22.15,42807.76,43435.33,2.3,5.8
0,2021-03-19,21.67,42892.27,43567.85,3.3,7.1
0,2021-03-20,17.15,27994.09,43700.33,10.9,14.0
0,2021-03-21,5.09,7061.30,43832.67,10.0,18.3
0,2021-03-22,16.96,36714.56,43964.80,0.9,2.6
0,2021-03-23,20.78,43200.00,44096.62,1.6,5.5
0,2021-03-24,20.35,36000.00,44228.06,8.4,10.1
0,2021-03-25,7.25,15123.53,44359.01,9.0,10.6
0,2021-03-26,22.52,43200.00,44489.40,4.1,8.8
0,2021-03-27,21.12,31736.74,44619.14,6.8,10.6
0,2021-03-28,5.90,7467.66,44748.13,12.9,14.9
0,2021-03-29,20.21,41219.26,44876.45,9.7,11.7
0,2021-03-30,19.38,36563.40,45005.00,7.9,11.2
0,2021-03-31,23.71,43200.00,45133.87,5.4,7.5
0,2021-04-01,23.05,43200.00,45262.99,10.5,12.7
0,2021-04-02,17.11,43200.00,45392.26,10.5,11.9
0,2021-04-03,14.60,30355.97,45521.60,10.6,13.6
0,2021-04-04,6.97,5239.95,45650.94,12.7,17.8
0,2021-04-05,18.49,32301.00,45780.19,3.4,5.4
0,2021-04-06,12.39,22793.38,45909.26,8.6,10.0
0,2021-04-07,23.76,43200.00,46038.08,4.3,8.4
0,2021-04-08,19.52,40885.98,46166.55,5.2,7.3
0,2021-04-09,23.68,43200.00,46294.58,-0.0,2.5
0,2021-04-10,24.93,43200.00,46422.10,2.3,5.0
0,2021-04-11,24.40,43200.00,46549.01,6.8,9.6
0,2021-04-12,16.91,22821.00,46675.21,8.6,11.7
0,2021-04-13,9.60,9724.77,46800.62,13.8,15.6
0,2021-04-14,12.69,20567.73,46925.14,5.5,13.4
0,2021-04-15,21.74,34011.11,47048.67,5.6,9.5
0,2021-04-16,7.49,10155.76,47171.12,11.2,13.4
0,2021-04-17,3.31,7324.60,47292.39,10.7,14.3
0,2021-04-18,20.02,43200.00,47412.54,4.1,6.4
0,2021-04-19,22.50,43541.80,47532.43,6.1,8.4
0,2021-04-20,25.87,43794.45,47652.13,7.9,11.0
0,2021-04-21,25.56,43761.67,47771.57,5.8,11.9
0,2021-04-22,23.48,43729.22,47890.65,5.2,12.5
0,2021-04-23,23.40,36171.27,48009.30,11.1,13.0
0,2021-04-24,18.69,41644.01,48127.40,11.2,12.2
0,2021-04-25,22.11,37516.37,48244.88,3.8,11.4
0,2021-04-26,27.09,44908.66,48361.64,2.1,4.8
0,2021-04-27,23.19,36000.00,48477.59,8.7,12.7
0,2021-04-28,6.22,2662.50,48592.62,15.0,15.9
0,2021-04-29,3.97,7513.74,48706.64,12.6,15.3
0,2021-04-30,24.00,43262.44,48819.54,10.3,12.3
0,2021-05-01,19.54,35145.80,48931.22,11.2,15.7
0,2021-05-02,18.22,44132.67,49041.58,7.1,8.7
0,2021-05-03,24.78,45448.36,49150.51,7.8,10.2
0,2021-05-04,23.55,29936.25,49257.90,10.6,13.8
0,2021-05-05,6.93,9993.60,49363.64,14.3,16.9
0,2021-05-06,26.36,38275.13,49467.62,11.0,14.4
0,2021-05-07,9.30,14825.09,49569.71,12.0,14.6
0,2021-05-08,17.51,25060.76,49669.96,14.9,16.4
0,2021-05-09,23.93,47096.11,49769.15,9.9,15.2
0,2021-05-10,27.00,45753.25,49867.34,8.6,12.1
0,2021-05-11,19.41,25328.60,49964.45,11.3,14.4
0,2021-05-12,6.92,2239.08,50060.38,13.6,14.6
0,2021-05-13,22.23,41533.56,50155.04,15.6,17.4
0,2021-05-14,24.84,45290.66,50248.33,17.2,18.3
0,2021-05-15,17.16,24952.46,50340.18,17.0,18.8
0,2021-05-16,9.57,6547.93,50430.47,19.9,22.1
0,2021-05-17,7.72,4794.60,50519.10,20.6,23.7
0,2021-05-18,14.14,18000.00,50605.99,18.5,19.4
0,2021-05-19,8.45,5616.81,50691.02,18.0,19.6
0,2021-05-20,3.69,0.00,50774.09,20.1,21.8
0,2021-05-21,9.64,13549.04,50855.12,16.6,21.2
0,2021-05-22,18.40,42968.17,50933.97,14.7,16.1
0,2021-05-23,22.68,37704.15,51010.56,15.4,17.2
0,2021-05-24,7.88,10930.64,51084.78,15.6,17.3
0,2021-05-25,21.74,47070.72,51156.50,13.4,16.3
0,2021-05-26,18.96,32159.13,51225.65,11.1,13.3
0,2021-05-27,5.26,9403.65,51292.08,15.1,16.7
0,2021-05-28,19.34,36386.17,51355.82,16.1,17.4
0,2021-05-29,27.53,49643.33,51417.40,13.5,15.9
0,2021-05-30,26.31,50337.64,51476.85,12.5,15.7
0,2021-05-31,28.95,50374.61,51534.14,13.6,16.2
0,2021-06-01,27.48,39650.48,51589.20,14.8,18.0
0,2021-06-02,18.85,29631.75,51641.97,16.2,17.7
0,2021-06-03,18.66,22685.08,51692.39,17.0,20.3
0,2021-06-04,6.88,4151.99,51740.40,17.3,22.7
0,2021-06-05,12.85,11418.75,51785.97,15.3,16.9
0,2021-06-06,18.14,19873.04,51829.01,17.2,19.0
0,2021-06-07,25.81,45814.10,51869.48,17.1,19.0
0,2021-06-08,25.18,49331.99,51907.32,16.7,19.5
0,2021-06-09,28.94,50400.00,51942.48,15.6,18.5
0,2021-06-10,28.40,49430.55,51974.89,16.4,19.1
0,2021-06-11,22.33,38848.31,52004.52,17.6,20.2
0,2021-06-12,17.97,25080.93,52031.29,18.2,19.6
0,2021-06-13,13.18,16924.45,52055.16,19.5,20.5
0,2021-06-14,22.42,47030.14,52076.09,19.1,20.2
0,2021-06-15,20.41,28800.00,52094.01,19.9,21.3
0,2021-06-16,5.84,7200.00,52108.89,18.7,20.7
0,2021-06-17,22.93,37780.32,52120.67,18.2,19.6
0,2021-06-18,10.85,7325.77,52129.46,19.2,20.5
0,2021-06-19,8.10,11543.10,52135.29,19.4,21.3
0,2021-06-20,25.25,42368.54,52138.17,16.0,17.4
0,2021-06-21,27.38,40291.00,52138.12,17.8,20.6
0,2021-06-22,15.22,25827.07,52135.17,18.6,19.9
0,2021-06-23,23.73,47586.19,52129.34,18.3,19.5
0,2021-06-24,24.15,42103.60,52120.66,19.3,20.1
0,2021-06-25,23.93,41282.87,52109.14,19.4,20.7
0,2021-06-26,12.06,13157.32,52094.82,19.6,20.5
0,2021-06-27,12.58,14753.83,52077.72,19.0,20.1
0,2021-06-28,17.74,25327.80,52057.88,19.7,21.4
0,2021-06-29,22.65,48647.67,52035.31,20.0,21.1
0,2021-06-30,17.68,25545.70,52010.06,20.7,22.8
0,2021-07-01,9.86,16346.44,51982.16,20.9,23.0
0,2021-07-02,12.24,16615.97,51951.63,23.7,24.6
0,2021-07-03,17.24,34313.29,51918.51,23.4,24.0
