location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Niigata,37.926186,139.04698,4.0,0,GMT,GMT
1,Joetsu,37.152897,138.21428,15.0,0,GMT,GMT
2,Itoigawa,37.012302,137.84961,12.0,0,GMT,GMT
3,Ryotsu (Sado Island),38.066784,138.45221,3.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,6.09,13847.17,34537.08,-2.7,-1.3
0,2021-01-02,2.67,0.00,34578.04,-2.8,-1.3
0,2021-01-03,3.64,0.00,34622.17,-1.2,0.9
0,2021-01-04,5.76,12428.77,34669.41,0.3,1.5
0,2021-01-05,6.67,15130.57,34719.71,-0.3,2.2
0,2021-01-06,8.79,29454.58,34773.03,-1.4,1.8
0,2021-01-07,2.69,1133.70,34829.29,-3.9,0.8
0,2021-01-08,3.75,1751.66,34888.58,-5.2,-3.0
0,2021-01-09,5.92,10055.42,34951.55,-3.9,-1.5
0,2021-01-10,7.90,24164.37,35018.20,-3.0,-1.1
0,2021-01-11,8.70,26181.75,35088.38,-2.7,-1.2
0,2021-01-12,6.12,6160.63,35161.93,0.2,2.0
0,2021-01-13,7.42,31935.28,35238.72,0.8,4.3
0,2021-01-14,3.87,7440.76,35318.60,-1.2,4.6
0,2021-01-15,11.23,30172.28,35401.42,-0.6,2.2
0,2021-01-16,1.67,0.00,35487.04,-0.8,4.1
0,2021-01-17,4.44,104.18,35575.31,-2.5,-1.0
0,2021-01-18,7.67,23901.34,35666.10,-1.3,0.8
0,2021-01-19,8.80,21732.58,35759.26,-6.9,-4.9
0,2021-01-20,4.39,3570.49,35854.66,-4.3,-1.6
0,2021-01-21,11.69,32309.81,35952.16,-2.2,3.5
0,2021-01-22,2.39,3600.00,36051.63,1.6,4.4
0,2021-01-23,7.14,16820.27,36152.93,-0.2,0.5
0,2021-01-24,7.95,22919.15,36255.94,-0.5,2.1
0,2021-01-25,9.85,35662.17,36360.53,-1.3,3.1
0,2021-01-26,8.04,17769.53,36466.56,1.2,4.2
0,2021-01-27,5.37,12805.50,36573.92,-0.9,5.3
0,2021-01-28,6.48,15176.12,36682.70,-1.6,1.1
0,2021-01-29,7.55,23738.58,36794.00,-6.0,-3.1
0,2021-01-30,10.61,32395.51,36907.89,-2.7,1.3
0,2021-01-31,8.10,15880.19,37024.20,-5.1,-2.3
0,2021-02-01,9.90,18000.00,37142.75,0.8,5.0
0,2021-02-02,3.22,5767.33,37263.39,-2.2,2.8
0,2021-02-03,7.62,22860.08,37385.97,-2.4,0.5
0,2021-02-04,8.05,20194.70,37510.32,-3.1,1.5
0,2021-02-05,8.71,24969.87,37636.31,-0.4,2.2
0,2021-02-06,10.44,32400.00,37763.76,3.1,4.8
0,2021-02-07,5.74,20738.54,37892.56,-1.2,5.6
0,2021-02-08,7.20,26918.87,38022.54,-6.5,-3.6
0,2021-02-09,11.84,35201.92,38153.56,-3.4,0.4
0,2021-02-10,8.36,27438.49,38285.50,1.6,3.3
0,2021-02-11,10.32,36000.00,38418.21,-1.9,-0.3
0,2021-02-12,13.56,33795.54,38551.56,-0.7,1.7
0,2021-02-13,13.40,36000.00,38685.43,2.4,6.7
0,2021-02-14,12.34,29401.71,38819.67,4.5,6.9
0,2021-02-15,1.33,1034.98,38954.17,4.0,8.0
0,2021-02-16,6.80,19254.33,39088.80,-2.9,-0.5
0,2021-02-17,5.40,4238.66,39223.66,-4.4,-0.7
0,2021-02-18,7.73,9003.91,39359.93,-3.5,-1.7
0,2021-02-19,9.95,27120.92,39497.69,-0.2,0.8
0,2021-02-20,12.43,34023.60,39636.82,4.0,7.0
0,2021-02-21,12.36,36293.36,39777.20,5.9,9.1
0,2021-02-22,14.45,36000.00,39918.68,5.7,9.5
0,2021-02-23,9.87,27313.46,40061.16,-6.5,-4.1
0,2021-02-24,10.58,32214.98,40204.50,-6.3,-3.3
0,2021-02-25,13.95,36000.00,40348.60,-2.8,2.4
0,2021-02-26,11.38,31486.83,40493.33,-4.9,-3.0
0,2021-02-27,9.07,23910.79,40638.58,-5.3,-2.2
0,2021-02-28,18.03,39199.63,40784.24,-2.6,1.1
0,2021-03-01,15.68,32400.00,40930.18,3.4,7.7
0,2021-03-02,2.54,0.00,41076.31,-0.5,9.4
0,2021-03-03,8.16,12785.91,41222.51,-5.0,-2.9
0,2021-03-04,16.14,34875.32,41368.67,0.4,3.5
0,2021-03-05,9.94,12196.14,41514.69,6.1,8.5
0,2021-03-06,3.46,0.00,41660.46,-3.0,6.4
0,2021-03-07,15.96,26694.63,41805.87,-2.6,-0.5
0,2021-03-08,13.10,30437.05,41950.81,-1.6,0.7
