location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Oita,33.216167,131.67488,6.0,0,GMT,GMT
1,Nakatsu,33.56766,131.26395,5.0,0,GMT,GMT
2,Saeki,32.93497,131.91176,4.0,0,GMT,GMT
3,Hita,33.286465,130.94945,91.0,0,GMT,GMT
4,Beppu,33.286465,131.50432,52.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,5.98,17799.26,36015.22,-2.0,-0.3
0,2021-01-02,5.79,11361.33,36049.05,-0.9,1.1
0,2021-01-03,11.09,32825.45,36085.51,-2.8,-1.3
0,2021-01-04,12.33,32400.00,36124.56,-0.4,1.5
0,2021-01-05,5.27,8553.80,36166.14,-0.2,2.2
0,2021-01-06,9.71,28800.00,36210.22,-4.0,-1.6
0,2021-01-07,7.61,18311.81,36256.74,-8.9,-2.3
0,2021-01-08,10.88,34380.87,36305.78,-9.9,-6.6
0,2021-01-09,11.08,32596.63,36357.88,-7.1,-4.3
0,2021-01-10,8.91,29560.49,36413.03,-4.6,-2.0
0,2021-01-11,8.54,22283.16,36471.12,-0.1,3.2
0,2021-01-12,7.92,23014.24,36532.02,-2.4,1.5
0,2021-01-13,7.73,27392.52,36595.61,1.1,2.8
0,2021-01-14,11.38,33396.24,36661.78,4.8,7.4
0,2021-01-15,11.88,34309.57,36730.41,6.6,10.5
0,2021-01-16,12.19,32561.30,36801.37,2.6,9.1
0,2021-01-17,10.01,30987.21,36874.56,-6.4,-3.3
0,2021-01-18,8.61,24381.62,36949.86,-2.2,1.2
0,2021-01-19,12.18,34621.61,37027.14,-1.6,0.8
0,2021-01-20,12.05,35486.34,37106.31,1.0,1.8
0,2021-01-21,12.45,32408.18,37187.25,7.4,8.7
0,2021-01-22,8.75,22051.22,37269.85,11.8,13.1
0,2021-01-23,1.54,0.00,37354.00,9.0,11.1
0,2021-01-24,5.28,4412.26,37439.59,5.1,7.8
0,2021-01-25,11.60,32692.65,37526.52,5.4,8.4
0,2021-01-26,3.47,1215.98,37614.68,11.2,14.7
0,2021-01-27,12.50,35103.62,37703.98,4.3,7.4
0,2021-01-28,12.11,33688.83,37794.48,-1.4,4.5
0,2021-01-29,9.88,26659.78,37887.11,-7.1,-4.3
0,2021-01-30,14.67,37273.65,37981.93,-2.7,-0.4
0,2021-01-31,13.98,34480.32,38078.78,1.6,2.6
0,2021-02-01,11.30,29426.33,38177.54,7.5,10.7
0,2021-02-02,14.81,37783.43,38278.08,-2.6,6.3
0,2021-02-03,14.94,36742.79,38380.25,-2.0,0.0
0,2021-02-04,9.42,26013.19,38483.94,0.8,4.0
0,2021-02-05,11.98,28839.33,38589.02,3.0,6.5
0,2021-02-06,13.79,38207.89,38695.37,5.5,8.1
0,2021-02-07,13.65,37432.18,38802.86,4.5,7.1
0,2021-02-08,15.15,38427.25,38911.38,-3.3,3.1
0,2021-02-09,16.14,37476.80,39020.80,-1.8,-0.1
0,2021-02-10,14.69,34707.26,39131.02,0.6,3.4
0,2021-02-11,11.67,23031.58,39241.90,2.5,3.9
0,2021-02-12,13.15,26665.67,39353.37,7.7,9.7
0,2021-02-13,3.90,3464.69,39465.29,10.6,13.0
0,2021-02-14,8.77,22601.24,39577.55,11.9,13.4
0,2021-02-15,14.39,36151.06,39690.06,3.0,11.2
0,2021-02-16,16.38,37101.49,39802.70,-1.3,2.3
0,2021-02-17,14.44,36259.29,39915.57,-7.4,-3.2
0,2021-02-18,6.77,9075.74,40029.64,-5.8,-4.7
0,2021-02-19,17.22,39446.97,40144.99,0.3,3.0
0,2021-02-20,17.51,39499.42,40261.52,7.2,9.3
0,2021-02-21,17.96,39551.56,40379.10,6.7,9.9
0,2021-02-22,15.36,39600.00,40497.65,8.8,11.5
0,2021-02-23,16.34,39600.00,40617.05,3.4,6.4
0,2021-02-24,17.37,39600.00,40737.21,2.6,4.0
0,2021-02-25,9.29,20078.53,40858.01,7.5,9.8
0,2021-02-26,1.72,0.00,40979.38,4.9,7.0
0,2021-02-27,14.49,25775.53,41101.20,2.8,7.7
0,2021-02-28,7.01,12388.57,41223.38,10.3,12.7
0,2021-03-01,11.29,28944.87,41345.83,13.4,14.9
0,2021-03-02,8.41,17805.38,41468.45,0.1,6.9
0,2021-03-03,18.95,39600.00,41591.15,-1.0,1.9
0,2021-03-04,6.97,3728.40,41713.83,10.9,14.3
0,2021-03-05,4.95,203.58,41836.41,11.4,12.3
0,2021-03-06,9.86,12365.24,41958.79,6.4,12.1
0,2021-03-07,7.00,8047.50,42080.89,4.8,7.4
0,2021-03-08,16.95,35696.36,42202.60,4.8,6.6
0,2021-03-09,12.86,31616.78,42324.02,6.6,8.3
0,2021-03-10,20.74,38515.65,42446.06,5.6,6.9
0,2021-03-11,18.05,35549.12,42568.80,7.5,9.6
0,2021-03-12,7.94,23766.46,42692.15,11.9,14.8
0,2021-03-13,15.38,40057.04,42816.04,5.0,7.7
0,2021-03-14,18.16,40016.83,42940.37,5.3,7.3
0,2021-03-15,19.27,35387.85,43065.07,6.9,9.3
0,2021-03-16,12.70,26771.05,43190.06,13.5,17.0
0,2021-03-17,20.32,40169.99,43315.24,8.4,11.6
0,2021-03-18,19.74,36000.00,43440.56,9.6,11.3
0,2021-03-19,16.86,37385.51,43565.90,11.3,13.2
0,2021-03-20,7.77,7783.74,43691.21,14.5,16.1
0,2021-03-21,10.39,16307.04,43816.40,6.5,14.1
0,2021-03-22,18.07,41889.25,43941.37,-1.2,2.0
0,2021-03-23,22.73,41300.05,44066.06,3.8,7.0
0,2021-03-24,20.31,32400.00,44190.38,9.9,12.0
0,2021-03-25,18.89,32630.67,44314.25,7.5,10.4
0,2021-03-26,23.51,42480.53,44437.58,5.5,9.7
0,2021-03-27,17.29,35508.10,44560.29,11.7,14.7
0,2021-03-28,5.86,6636.70,44682.29,12.8,18.4
0,2021-03-29,22.52,40247.88,44803.66,11.1,14.2
0,2021-03-30,13.03,29874.79,44925.24,8.3,13.6
0,2021-03-31,21.78,39270.03,45047.13,6.5,9.9
0,2021-04-01,21.61,35977.58,45169.24,10.6,14.5
0,2021-04-02,18.13,40054.57,45291.49,12.8,15.5
0,2021-04-03,7.42,879.73,45413.81,15.2,17.7
0,2021-04-04,9.62,13492.36,45536.12,11.6,19.5
0,2021-04-05,17.77,32896.65,45658.35,3.7,6.9
0,2021-04-06,22.77,40476.01,45780.40,4.8,7.7
0,2021-04-07,23.91,36366.84,45902.20,5.3,8.9
0,2021-04-08,19.72,40939.54,46023.67,6.4,9.4
0,2021-04-09,23.09,43200.00,46144.73,4.9,7.4
0,2021-04-10,25.02,41600.91,46265.28,-0.6,3.4
0,2021-04-11,23.59,36285.93,46385.26,8.6,12.3
0,2021-04-12,4.33,0.00,46504.56,14.4,15.8
0,2021-04-13,11.82,21193.07,46623.11,13.5,18.4
0,2021-04-14,15.05,27885.36,46740.81,5.6,7.5
0,2021-04-15,22.25,40854.59,46857.57,5.3,8.1
0,2021-04-16,7.87,11906.53,46973.31,11.4,14.6
0,2021-04-17,11.07,22378.49,47087.91,7.4,15.0
0,2021-04-18,24.88,44185.57,47201.45,1.9,3.8
0,2021-04-19,26.07,44166.78,47314.74,7.0,10.8
0,2021-04-20,25.93,43293.16,47427.85,9.3,13.1
0,2021-04-21,23.82,39211.67,47540.70,10.7,13.5
0,2021-04-22,23.10,32465.82,47653.21,9.8,13.1
0,2021-04-23,17.48,30516.97,47765.28,12.6,14.5
0,2021-04-24,22.97,44638.13,47876.85,10.6,11.7
0,2021-04-25,25.06,44903.35,47987.81,8.2,13.1
0,2021-04-26,26.92,42147.00,48098.09,3.6,7.1
0,2021-04-27,19.21,26606.35,48207.60,12.4,15.5
0,2021-04-28,9.26,11047.84,48316.22,15.5,16.0
0,2021-04-29,5.85,11635.07,48423.88,12.2,15.2
0,2021-04-30,22.64,44968.75,48530.48,10.6,13.8
0,2021-05-01,22.32,45095.34,48635.92,7.9,14.8
0,2021-05-02,21.42,43308.36,48740.10,6.2,8.4
0,2021-05-03,27.01,45915.71,48842.92,8.4,11.4
0,2021-05-04,16.07,17598.68,48944.28,14.0,17.0
0,2021-05-05,11.56,24973.49,49044.08,9.7,18.4
0,2021-05-06,25.88,36365.52,49142.20,11.1,14.8
0,2021-05-07,8.41,17550.75,49238.53,14.2,16.1
0,2021-05-08,8.96,7912.93,49333.12,16.2,18.8
0,2021-05-09,25.38,46946.79,49426.70,10.0,16.5
0,2021-05-10,26.35,46680.87,49519.32,12.1,13.8
0,2021-05-11,16.50,20663.51,49610.92,14.6,16.6
0,2021-05-12,5.72,764.95,49701.40,15.8,16.8
0,2021-05-13,12.55,14050.53,49790.68,16.6,18.2
0,2021-05-14,17.09,25937.72,49878.65,19.5,20.6
0,2021-05-15,6.53,9437.43,49965.26,20.2,21.5
0,2021-05-16,16.11,34317.82,50050.38,22.2,24.8
0,2021-05-17,11.67,14400.00,50133.94,20.4,25.5
0,2021-05-18,8.85,8604.17,50215.84,18.0,19.6
0,2021-05-19,15.92,26783.57,50295.99,17.9,18.9
0,2021-05-20,4.06,876.57,50374.30,20.5,23.6
0,2021-05-21,5.32,32.87,50450.64,14.7,18.3
0,2021-05-22,16.19,35795.47,50524.96,13.9,15.9
0,2021-05-23,25.02,39600.00,50597.12,17.0,19.8
0,2021-05-24,5.61,5543.07,50667.04,15.7,17.7
0,2021-05-25,21.47,36297.99,50734.62,14.4,17.5
0,2021-05-26,9.63,2773.39,50799.75,13.6,16.4
0,2021-05-27,14.97,24730.50,50862.33,16.3,19.9
0,2021-05-28,19.55,31316.53,50922.36,16.7,19.3
0,2021-05-29,28.45,47111.41,50980.35,11.8,14.8
0,2021-05-30,28.46,48911.75,51036.34,14.1,17.2
0,2021-05-31,27.76,46800.00,51090.29,16.4,18.6
0,2021-06-01,26.05,39600.00,51142.12,19.0,21.6
0,2021-06-02,15.25,23671.89,51191.81,18.0,19.1
0,2021-06-03,7.59,6087.34,51239.28,20.7,21.5
0,2021-06-04,6.10,84.14,51284.48,18.4,20.6
0,2021-06-05,8.39,5902.43,51327.37,13.8,17.6
0,2021-06-06,18.35,30850.74,51367.89,16.1,19.2
0,2021-06-07,24.49,46800.00,51405.98,18.2,19.8
0,2021-06-08,25.23,41132.64,51441.60,20.0,23.4
0,2021-06-09,27.31,47681.73,51474.68,19.1,20.3
0,2021-06-10,25.64,36000.00,51505.19,19.4,20.8
