location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Okayama,34.69244,133.91908,6.0,0,GMT,GMT
1,Tsuyama,35.043934,133.96947,104.0,0,GMT,GMT
2,Kasaoka,34.551846,133.46783,120.0,0,GMT,GMT
3,Tamano,34.551846,133.92181,20.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,7.10,19207.27,35572.33,-2.9,-2.0
0,2021-01-02,6.71,23064.98,35608.28,-3.7,-1.9
0,2021-01-03,7.98,30057.56,35647.01,-3.5,-2.4
0,2021-01-04,10.93,34322.45,35688.49,-2.1,-0.8
0,2021-01-05,7.56,18156.16,35732.65,-1.9,-0.4
0,2021-01-06,8.84,27377.10,35779.47,-5.1,-2.8
0,2021-01-07,8.42,28541.90,35828.88,-10.4,-0.9
0,2021-01-08,11.73,35003.61,35880.95,-11.2,-9.3
0,2021-01-09,12.15,35009.05,35936.28,-9.2,-6.3
0,2021-01-10,8.79,21600.00,35994.84,-6.2,-5.2
0,2021-01-11,8.90,25106.98,36056.51,-2.5,0.6
0,2021-01-12,5.52,15712.02,36121.17,-2.3,1.0
0,2021-01-13,7.83,31621.70,36188.68,0.1,1.7
0,2021-01-14,10.16,29912.72,36258.92,1.2,3.3
0,2021-01-15,10.20,32400.00,36331.76,3.4,5.1
0,2021-01-16,8.28,26608.20,36407.07,2.4,8.8
0,2021-01-17,8.56,31518.71,36484.74,-5.6,-2.4
0,2021-01-18,9.77,21757.24,36564.64,-3.4,0.7
0,2021-01-19,5.98,13365.27,36646.65,-5.1,-3.5
0,2021-01-20,12.83,35188.81,36730.65,-3.5,-1.0
0,2021-01-21,12.40,32400.00,36816.52,2.1,5.8
0,2021-01-22,2.11,1130.18,36904.13,7.7,8.5
0,2021-01-23,1.61,0.00,36993.39,6.2,8.4
0,2021-01-24,3.03,4399.11,37084.17,3.4,7.5
0,2021-01-25,13.25,33404.16,37176.36,2.5,5.1
0,2021-01-26,5.55,15734.87,37269.85,7.8,10.8
0,2021-01-27,11.26,33357.28,37364.53,2.1,7.2
0,2021-01-28,12.82,32562.68,37460.47,-1.9,3.5
0,2021-01-29,6.07,8657.76,37558.68,-7.8,-5.9
0,2021-01-30,10.11,32106.15,37659.19,-3.0,-0.2
0,2021-01-31,11.82,32466.69,37761.85,-0.1,2.2
0,2021-02-01,5.00,6407.92,37866.52,5.5,7.6
0,2021-02-02,14.77,36272.66,37973.06,-5.2,6.3
0,2021-02-03,9.89,31524.81,38081.33,-5.5,-2.5
0,2021-02-04,11.10,34836.54,38191.20,-3.2,1.1
0,2021-02-05,13.49,35281.01,38302.52,1.8,3.7
0,2021-02-06,14.68,36940.46,38415.18,2.8,4.2
0,2021-02-07,11.94,36960.61,38529.04,3.1,5.8
0,2021-02-08,11.66,33395.83,38643.98,-3.0,2.1
0,2021-02-09,5.98,14471.08,38759.87,-3.5,-2.2
0,2021-02-10,15.06,37518.29,38876.59,-0.2,2.7
0,2021-02-11,13.94,35788.17,38994.02,1.3,5.5
0,2021-02-12,12.56,34773.88,39112.04,1.5,4.4
0,2021-02-13,14.53,37119.29,39230.53,7.5,9.6
0,2021-02-14,13.28,28800.00,39349.38,9.7,11.3
0,2021-02-15,10.94,28239.83,39468.49,2.0,10.2
0,2021-02-16,15.34,35532.00,39587.72,-4.9,0.0
0,2021-02-17,17.08,38693.33,39707.18,-10.0,-6.3
0,2021-02-18,11.89,29771.51,39827.91,-6.0,-3.2
0,2021-02-19,16.71,38805.91,39949.99,-0.2,2.9
0,2021-02-20,15.86,38861.78,40073.29,5.1,7.6
0,2021-02-21,17.09,38917.36,40197.73,6.5,8.7
0,2021-02-22,15.94,38972.63,40323.16,6.8,8.8
0,2021-02-23,14.42,36793.92,40449.49,-0.6,2.1
0,2021-02-24,17.09,39082.27,40576.61,-4.4,-2.5
0,2021-02-25,15.93,29275.93,40704.42,-0.9,3.2
0,2021-02-26,3.20,3600.00,40832.80,1.8,5.9
0,2021-02-27,17.36,39244.38,40961.67,-3.2,-1.7
0,2021-02-28,13.56,35114.50,41090.90,5.2,7.1
0,2021-03-01,15.75,35011.04,41220.41,10.1,12.5
0,2021-03-02,5.75,6561.21,41350.10,-1.6,5.5
0,2021-03-03,17.95,34477.81,41479.86,-1.7,0.9
0,2021-03-04,9.43,10700.04,41609.61,6.2,8.9
0,2021-03-05,7.48,14100.99,41739.24,9.5,10.0
