location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Naha,26.18629,127.69737,12.0,0,GMT,GMT
1,Ishigakishima,24.358522,124.15778,13.0,0,GMT,GMT
2,Miyakoshima,24.780315,125.343346,19.0,0,GMT,GMT
3,Nago,26.608084,127.94702,6.0,0,GMT,GMT
4,Yonagunishima,24.428822,123.041626,31.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,11.52,34499.15,37927.03,9.8,11.9
0,2021-01-02,13.50,34496.30,37951.98,10.0,11.1
0,2021-01-03,10.95,33241.88,37978.87,13.4,15.8
0,2021-01-04,7.97,18499.87,38007.67,17.0,19.0
0,2021-01-05,3.91,0.00,38038.34,13.9,17.7
0,2021-01-06,6.64,12504.99,38070.86,11.2,12.3
0,2021-01-07,3.27,0.00,38105.19,7.6,11.2
0,2021-01-08,4.47,1352.62,38141.39,3.8,6.7
0,2021-01-09,5.28,3702.32,38179.86,3.4,5.1
0,2021-01-10,10.66,30004.96,38220.59,7.5,10.5
0,2021-01-11,9.69,33088.94,38263.50,11.6,13.3
0,2021-01-12,4.26,5473.90,38308.50,5.1,7.9
0,2021-01-13,13.92,31901.68,38355.50,7.2,9.0
0,2021-01-14,10.85,27195.20,38404.42,10.8,13.7
0,2021-01-15,12.33,36987.98,38455.17,14.6,15.4
0,2021-01-16,12.57,32173.18,38507.66,13.9,15.8
0,2021-01-17,9.75,18635.05,38561.82,7.0,11.2
0,2021-01-18,9.92,24179.26,38617.55,5.8,6.7
0,2021-01-19,9.15,19133.56,38674.78,8.8,11.0
0,2021-01-20,11.13,34331.20,38733.42,13.4,16.4
0,2021-01-21,5.81,3079.95,38793.39,17.5,18.7
0,2021-01-22,2.82,0.00,38854.61,20.4,21.6
0,2021-01-23,7.84,16385.65,38917.00,17.5,19.2
0,2021-01-24,16.54,36000.00,38980.48,12.9,15.1
0,2021-01-25,9.84,27207.05,39044.97,15.6,16.7
0,2021-01-26,14.08,36172.03,39110.40,14.7,16.8
0,2021-01-27,15.07,33110.06,39176.69,13.1,14.6
0,2021-01-28,13.05,26295.01,39243.90,7.6,11.9
0,2021-01-29,8.79,13769.11,39312.72,4.5,5.8
0,2021-01-30,15.65,36386.78,39383.18,6.8,8.7
0,2021-01-31,14.10,36095.58,39455.18,9.0,10.8
0,2021-02-01,14.53,35168.04,39528.63,12.5,14.4
0,2021-02-02,10.41,30367.66,39603.41,11.3,17.0
0,2021-02-03,17.56,37673.20,39679.44,8.8,10.4
0,2021-02-04,17.41,37650.29,39756.63,10.4,12.1
0,2021-02-05,14.00,38710.45,39834.88,11.2,13.1
0,2021-02-06,16.81,38685.09,39914.10,15.2,16.9
0,2021-02-07,17.69,38785.03,39994.19,13.5,16.3
0,2021-02-08,17.82,38631.45,40075.08,9.8,11.4
0,2021-02-09,14.63,31478.80,40156.67,9.1,11.0
0,2021-02-10,11.66,20357.39,40238.87,14.6,16.4
0,2021-02-11,4.08,403.31,40321.61,14.8,16.1
0,2021-02-12,9.13,19089.28,40404.79,16.1,16.7
0,2021-02-13,13.99,39032.97,40488.34,17.7,18.5
0,2021-02-14,15.89,39077.23,40572.17,16.9,20.5
0,2021-02-15,17.65,33153.20,40656.22,10.7,12.4
0,2021-02-16,18.87,33012.95,40740.38,10.0,12.5
0,2021-02-17,8.96,14148.25,40824.74,4.7,8.9
0,2021-02-18,9.58,8898.38,40910.02,3.6,4.2
0,2021-02-19,15.71,35031.86,40996.27,7.4,11.2
0,2021-02-20,20.60,39362.70,41083.43,8.3,11.6
0,2021-02-21,19.53,37994.28,41171.40,11.4,14.2
0,2021-02-22,18.51,39467.73,41260.12,13.2,13.7
0,2021-02-23,18.09,39517.90,41349.49,15.8,17.1
0,2021-02-24,20.12,39576.84,41439.45,15.4,16.5
0,2021-02-25,16.32,38585.23,41529.92,18.3,19.9
0,2021-02-26,13.62,35797.13,41620.82,19.5,20.4
0,2021-02-27,11.65,28855.15,41712.09,18.3,19.2
0,2021-02-28,17.51,39600.00,41803.65,17.8,18.3
0,2021-03-01,17.77,36000.00,41895.42,18.3,19.2
0,2021-03-02,10.92,16717.79,41987.33,11.4,16.7
0,2021-03-03,15.85,38428.15,42079.33,10.4,13.0
0,2021-03-04,16.79,37338.71,42171.32,15.9,18.6
0,2021-03-05,18.13,32576.31,42263.25,13.8,14.6
0,2021-03-06,13.00,25395.23,42355.05,17.1,18.9
0,2021-03-07,5.09,3228.98,42446.65,18.7,20.4
0,2021-03-08,19.98,39710.85,42537.98,16.6,17.7
0,2021-03-09,19.31,39951.29,42629.10,17.0,18.1
0,2021-03-10,18.71,39934.68,42720.68,13.1,14.3
0,2021-03-11,20.25,39600.00,42812.80,15.5,16.9
0,2021-03-12,15.44,29633.82,42905.40,14.9,18.8
0,2021-03-13,15.57,31902.26,42998.40,11.9,13.5
0,2021-03-14,16.51,33387.56,43091.75,13.2,14.7
0,2021-03-15,22.05,39600.00,43185.38,14.2,16.1
0,2021-03-16,20.64,40096.12,43279.23,17.5,19.7
0,2021-03-17,19.38,40080.97,43373.24,18.7,19.7
0,2021-03-18,21.53,39810.00,43467.34,18.3,19.8
0,2021-03-19,19.58,39795.28,43561.48,19.0,19.8
0,2021-03-20,19.40,36692.60,43655.58,19.6,20.9
0,2021-03-21,15.06,26476.87,43749.60,11.8,17.3
0,2021-03-22,13.63,16939.68,43843.46,6.7,8.4
0,2021-03-23,21.54,35864.77,43937.11,8.3,10.9
0,2021-03-24,6.63,5082.56,44030.48,15.7,18.5
0,2021-03-25,22.89,40221.48,44123.50,16.3,17.9
0,2021-03-26,19.17,40062.41,44216.12,15.0,16.2
0,2021-03-27,18.47,35033.97,44308.27,19.0,20.7
0,2021-03-28,15.14,30004.16,44399.89,21.2,22.2
0,2021-03-29,18.10,33884.46,44491.02,21.1,22.0
0,2021-03-30,15.86,26709.88,44582.31,21.4,22.9
0,2021-03-31,17.43,29752.67,44673.83,21.5,21.9
0,2021-04-01,21.12,39612.94,44765.50,22.1,22.6
0,2021-04-02,15.91,28211.81,44857.28,21.9,23.1
0,2021-04-03,20.11,40870.44,44949.09,20.8,21.8
0,2021-04-04,17.31,31240.38,45040.89,15.3,19.9
0,2021-04-05,19.10,33955.94,45132.61,12.2,15.5
0,2021-04-06,21.30,41430.35,45224.19,12.4,12.9
0,2021-04-07,25.55,43395.94,45315.57,12.8,14.1
0,2021-04-08,20.36,39600.00,45406.69,13.3,14.6
0,2021-04-09,16.86,41510.67,45497.49,15.2,17.3
0,2021-04-10,21.33,41212.13,45587.90,15.6,16.7
0,2021-04-11,23.51,40167.53,45677.87,15.0,16.1
0,2021-04-12,21.07,41908.61,45767.30,18.8,20.6
0,2021-04-13,21.82,38229.31,45856.16,19.3,21.2
0,2021-04-14,12.88,18037.05,45944.37,14.9,17.3
0,2021-04-15,14.67,25848.03,46031.85,16.5,19.0
0,2021-04-16,20.29,40716.42,46118.55,18.9,20.4
0,2021-04-17,17.61,39684.60,46204.39,16.1,21.0
0,2021-04-18,24.87,45745.33,46289.40,10.0,11.8
0,2021-04-19,21.62,33684.64,46374.22,12.2,12.8
0,2021-04-20,22.08,41666.75,46458.87,13.3,14.5
0,2021-04-21,12.50,15221.52,46543.32,17.8,19.8
0,2021-04-22,5.12,0.00,46627.49,19.7,20.3
0,2021-04-23,4.95,6466.80,46711.31,17.6,19.3
0,2021-04-24,17.10,34345.88,46794.74,15.9,16.8
0,2021-04-25,23.52,43198.20,46877.69,15.4,16.4
0,2021-04-26,25.54,43890.96,46960.10,15.1,15.7
0,2021-04-27,24.35,43925.46,47041.91,13.3,15.8
0,2021-04-28,22.80,35826.77,47123.05,18.5,20.2
0,2021-04-29,6.58,7200.00,47203.44,17.1,20.6
0,2021-04-30,27.42,46567.10,47283.01,17.7,20.4
0,2021-05-01,22.24,39198.01,47361.70,20.7,22.6
0,2021-05-02,27.06,46654.07,47439.43,14.6,17.7
0,2021-05-03,26.29,45690.89,47516.12,15.5,17.1
0,2021-05-04,15.69,27826.45,47591.69,19.4,22.0
0,2021-05-05,17.59,33706.54,47666.08,21.9,23.3
0,2021-05-06,20.35,38810.54,47739.19,23.3,24.0
