location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Osaka,34.69244,135.51201,3.0,0,GMT,GMT
1,Toyonaka,34.76274,135.45569,30.0,0,GMT,GMT
2,Hirakata,34.83304,135.62738,16.0,0,GMT,GMT
3,Sakai,34.551846,135.51071,14.0,0,GMT,GMT
4,Kumatori,34.411247,135.39622,29.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,10.42,31549.20,35572.33,-2.5,-0.2
0,2021-01-02,10.54,35046.08,35608.28,-1.2,0.3
0,2021-01-03,8.59,27899.22,35647.01,-0.8,0.7
0,2021-01-04,11.14,32144.22,35688.49,-0.3,1.6
0,2021-01-05,5.68,20382.56,35732.65,1.0,3.9
0,2021-01-06,10.08,29733.05,35779.47,-2.1,1.6
0,2021-01-07,5.05,16521.83,35828.88,-7.1,1.7
0,2021-01-08,11.59,35328.36,35880.95,-8.7,-6.8
0,2021-01-09,11.82,35385.16,35936.28,-7.5,-5.1
0,2021-01-10,10.43,31721.94,35994.84,-4.0,-1.8
0,2021-01-11,7.48,17945.19,36056.51,-1.5,0.2
0,2021-01-12,3.95,11151.60,36121.17,-0.5,1.7
0,2021-01-13,11.78,35431.77,36188.68,1.4,4.7
0,2021-01-14,11.20,35446.43,36258.92,3.1,6.7
0,2021-01-15,11.58,34993.03,36331.76,3.0,4.9
0,2021-01-16,6.60,25481.70,36407.07,4.1,8.6
0,2021-01-17,9.68,31170.90,36484.74,-2.1,2.4
0,2021-01-18,12.06,32400.00,36564.64,-1.5,1.9
0,2021-01-19,5.35,11577.91,36646.65,-4.1,-0.2
0,2021-01-20,12.42,35571.11,36730.65,-2.2,-0.1
0,2021-01-21,12.63,32400.00,36816.52,3.3,6.2
0,2021-01-22,1.92,0.00,36904.13,7.5,8.8
0,2021-01-23,1.34,0.00,36993.39,5.9,7.3
0,2021-01-24,1.94,3287.94,37084.17,4.8,7.0
0,2021-01-25,12.90,35392.90,37176.36,3.4,4.9
0,2021-01-26,9.27,22088.64,37269.85,8.4,9.7
0,2021-01-27,9.72,29151.21,37364.53,2.8,8.6
0,2021-01-28,5.82,14313.60,37460.47,0.2,4.3
0,2021-01-29,9.57,21984.41,37558.68,-5.2,-2.6
0,2021-01-30,10.97,32115.45,37659.19,-0.6,2.5
0,2021-01-31,9.83,33503.90,37761.85,-0.4,2.4
0,2021-02-01,9.44,21078.82,37866.52,6.4,11.0
0,2021-02-02,12.39,32590.96,37973.06,-0.9,6.4
0,2021-02-03,9.51,34086.50,38081.33,-3.0,-0.5
0,2021-02-04,9.20,27522.55,38191.20,-0.5,3.1
0,2021-02-05,14.43,36000.00,38302.52,2.3,4.7
0,2021-02-06,14.84,36358.99,38415.18,3.1,4.9
0,2021-02-07,11.89,35247.51,38529.04,4.7,7.5
