location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Saga,33.286465,130.2836,6.0,0,GMT,GMT
1,Karatsu,33.427063,129.9382,8.0,0,GMT,GMT
2,Imari,33.216167,129.90147,31.0,0,GMT,GMT
3,Ureshino,33.14587,129.9631,87.0,0,GMT,GMT
4,Tosu,33.356766,130.55556,14.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,4.19,1733.01,35994.50,-1.0,1.2
0,2021-01-02,4.69,10004.84,36028.44,-0.8,2.5
0,2021-01-03,11.24,33308.37,36065.01,-3.5,-2.6
0,2021-01-04,12.23,32400.00,36104.17,-1.3,1.0
0,2021-01-05,7.43,13250.36,36145.86,-0.6,2.5
0,2021-01-06,6.76,11940.04,36190.07,-2.8,0.6
0,2021-01-07,4.50,6754.44,36236.73,-8.1,-3.8
0,2021-01-08,8.86,30880.25,36285.91,-9.3,-6.7
0,2021-01-09,8.46,31377.86,36338.16,-7.8,-5.2
0,2021-01-10,5.26,6443.98,36393.47,-3.3,-1.7
0,2021-01-11,7.82,16213.57,36451.73,-1.3,0.8
0,2021-01-12,9.04,21574.62,36512.80,-1.8,0.6
0,2021-01-13,6.76,25078.18,36576.58,2.6,4.4
0,2021-01-14,9.45,32461.81,36642.93,5.1,8.2
0,2021-01-15,11.43,33277.01,36711.76,7.0,8.8
0,2021-01-16,12.60,33235.43,36782.92,0.6,7.4
0,2021-01-17,9.46,32400.00,36856.32,-6.0,-3.9
0,2021-01-18,6.85,28496.71,36931.83,-1.8,3.1
0,2021-01-19,13.06,34935.58,37009.34,-2.8,0.1
0,2021-01-20,13.63,33667.80,37088.74,2.5,5.0
0,2021-01-21,10.58,29614.38,37169.90,7.1,10.6
0,2021-01-22,7.18,21664.54,37252.74,12.4,14.1
0,2021-01-23,3.03,2854.05,37337.12,8.5,12.0
0,2021-01-24,8.86,23969.84,37422.96,2.8,6.8
0,2021-01-25,14.08,34762.39,37510.13,3.7,7.8
0,2021-01-26,2.52,2283.23,37598.55,8.7,11.6
0,2021-01-27,11.24,36426.13,37688.09,2.9,6.5
0,2021-01-28,9.06,31319.72,37778.85,-2.2,3.9
0,2021-01-29,8.38,21025.49,37871.74,-6.6,-5.0
0,2021-01-30,11.13,27270.26,37966.82,-0.6,1.4
0,2021-01-31,13.94,35107.56,38063.94,2.1,6.4
0,2021-02-01,4.26,9114.72,38162.98,8.4,12.3
0,2021-02-02,14.89,34553.65,38263.79,-2.9,4.8
0,2021-02-03,13.54,33200.91,38366.26,-2.1,1.4
0,2021-02-04,10.53,24797.64,38470.24,0.5,5.8
0,2021-02-05,8.24,15138.27,38575.61,4.3,5.9
0,2021-02-06,11.68,33126.64,38682.25,5.8,9.0
0,2021-02-07,14.50,36166.93,38790.04,4.1,7.9
0,2021-02-08,15.04,38414.33,38898.85,-3.8,3.7
0,2021-02-09,16.25,35635.95,39008.58,-3.2,-0.8
0,2021-02-10,13.61,31617.45,39119.10,1.0,4.2
0,2021-02-11,10.53,16970.95,39230.29,2.1,4.8
0,2021-02-12,12.78,31412.48,39342.07,4.9,8.4
0,2021-02-13,13.40,36247.73,39454.29,9.1,12.5
0,2021-02-14,11.85,23860.21,39566.86,11.4,14.3
0,2021-02-15,13.28,32469.67,39679.68,2.4,10.9
0,2021-02-16,16.17,36649.64,39792.63,-1.7,2.6
0,2021-02-17,13.95,38206.95,39905.81,-7.6,-3.5
0,2021-02-18,5.34,3885.76,40020.19,-4.7,-2.4
0,2021-02-19,15.99,37881.59,40135.86,1.7,4.9
0,2021-02-20,16.20,39557.41,40252.70,7.4,9.8
0,2021-02-21,17.35,39600.00,40370.60,9.0,11.9
0,2021-02-22,15.98,39600.00,40489.47,8.5,12.9
0,2021-02-23,17.88,39132.03,40609.20,2.4,4.2
0,2021-02-24,18.14,39600.00,40729.68,1.9,3.3
0,2021-02-25,14.05,26931.49,40850.81,5.0,6.6
0,2021-02-26,2.79,0.00,40972.51,2.2,5.6
0,2021-02-27,13.44,22233.01,41094.66,-0.5,5.5
0,2021-02-28,16.01,39600.00,41217.17,8.2,10.0
0,2021-03-01,15.21,30899.06,41339.95,11.9,14.5
0,2021-03-02,6.37,10335.42,41462.90,0.2,5.5
0,2021-03-03,18.40,36000.00,41585.93,-0.5,3.0
0,2021-03-04,9.55,12384.12,41708.94,8.7,12.1
0,2021-03-05,11.73,33975.09,41831.85,10.7,13.5
0,2021-03-06,10.74,17495.41,41954.56,5.3,9.3
0,2021-03-07,5.46,2283.52,42076.98,4.5,5.7
0,2021-03-08,19.55,38860.54,42199.03,3.1,6.2
0,2021-03-09,12.09,35327.81,42320.77,4.6,5.9
0,2021-03-10,20.67,38460.38,42443.14,5.4,7.7
0,2021-03-11,16.76,31364.64,42566.21,7.1,8.7
0,2021-03-12,6.16,9012.36,42689.89,10.3,14.6
0,2021-03-13,13.14,34951.67,42814.11,5.4,8.2
0,2021-03-14,16.52,39634.33,42938.78,6.3,9.8
0,2021-03-15,18.93,38256.35,43063.81,6.9,11.3
0,2021-03-16,6.64,11907.39,43189.14,12.6,16.5
0,2021-03-17,19.99,39787.84,43314.66,6.7,11.1
0,2021-03-18,20.98,36000.00,43440.30,9.5,12.6
0,2021-03-19,12.00,24883.05,43565.99,12.4,14.4
0,2021-03-20,9.81,15547.26,43691.64,14.7,16.2
0,2021-03-21,7.77,10784.72,43817.15,4.3,12.7
0,2021-03-22,20.39,40408.78,43942.47,-0.3,3.5
0,2021-03-23,22.61,40336.53,44067.49,3.5,6.8
0,2021-03-24,18.06,36000.00,44192.14,7.4,10.5
0,2021-03-25,21.07,38778.61,44316.34,4.2,9.4
0,2021-03-26,23.46,41801.13,44440.00,7.0,10.1
