location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Saitama,35.88752,139.65117,16.0,0,GMT,GMT
1,Chichibu,36.02812,139.0803,237.0,0,GMT,GMT
2,Kumagaya,36.098415,139.37743,30.0,0,GMT,GMT
3,Koshigaya,35.88752,139.76744,7.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,11.14,33690.93,35200.81,-7.1,-4.9
0,2021-01-02,10.08,28354.68,35238.54,-4.1,-0.4
0,2021-01-03,10.29,32983.44,35279.20,-5.5,-3.6
0,2021-01-04,11.06,30347.66,35322.72,-3.4,-0.3
0,2021-01-05,6.65,32262.44,35369.08,1.5,4.2
0,2021-01-06,7.19,23405.64,35418.20,-1.1,-0.6
0,2021-01-07,9.62,32876.57,35470.06,-10.4,-1.1
0,2021-01-08,8.26,28800.00,35524.70,-12.9,-9.2
0,2021-01-09,10.95,32820.52,35582.76,-10.8,-5.9
0,2021-01-10,11.54,33116.73,35644.20,-9.5,-8.0
0,2021-01-11,8.34,28715.65,35708.91,-7.5,-4.8
0,2021-01-12,4.43,7892.28,35776.74,-0.5,1.8
0,2021-01-13,11.70,35042.97,35847.55,-1.8,0.7
0,2021-01-14,11.22,34827.44,35921.23,-1.7,1.1
0,2021-01-15,4.13,5408.03,35997.63,0.9,3.5
0,2021-01-16,11.24,32284.80,36076.62,-1.8,2.8
0,2021-01-17,4.97,13254.71,36158.08,-3.6,-0.6
0,2021-01-18,7.05,33153.19,36241.86,-3.0,0.6
0,2021-01-19,12.13,35408.70,36327.85,-11.3,-6.9
0,2021-01-20,12.63,35471.58,36415.93,-7.8,-5.9
0,2021-01-21,12.31,34545.85,36505.95,-4.4,-3.1
0,2021-01-22,7.50,21610.34,36597.80,-1.4,3.0
0,2021-01-23,1.82,0.00,36691.36,2.0,3.5
0,2021-01-24,3.62,7200.00,36786.51,2.7,4.1
0,2021-01-25,12.83,35787.78,36883.13,1.1,4.0
0,2021-01-26,8.54,18000.00,36981.11,4.0,6.2
0,2021-01-27,7.19,23945.12,37080.33,0.9,7.0
0,2021-01-28,3.06,7200.00,37180.86,-0.0,1.4
0,2021-01-29,13.95,36000.00,37283.76,-8.4,-1.3
0,2021-01-30,13.86,36000.00,37389.05,-8.3,-4.3
0,2021-01-31,13.54,32400.00,37496.60,-5.3,-4.1
0,2021-02-01,8.33,24132.01,37606.23,-0.2,4.6
0,2021-02-02,8.35,26096.78,37717.82,-1.5,7.9
0,2021-02-03,13.85,36000.00,37831.22,-4.9,-2.3
0,2021-02-04,14.26,36000.00,37946.28,-5.2,-2.3
0,2021-02-05,14.33,36000.00,38062.86,-0.4,2.5
0,2021-02-06,14.64,36000.00,38180.82,0.7,4.3
0,2021-02-07,13.84,32400.00,38300.04,-1.0,3.4
0,2021-02-08,12.00,33549.91,38420.36,-8.7,-5.4
0,2021-02-09,15.44,36000.00,38541.69,-9.0,-4.6
0,2021-02-10,14.32,35900.16,38663.86,-2.1,2.3
0,2021-02-11,14.74,34186.54,38786.77,-3.1,-1.9
0,2021-02-12,11.74,32714.44,38910.29,1.2,3.3
0,2021-02-13,14.82,36112.76,39034.30,3.9,6.6
0,2021-02-14,13.95,32400.00,39158.68,7.3,10.4
0,2021-02-15,2.53,7835.52,39283.31,4.1,12.9
0,2021-02-16,16.38,36310.42,39408.08,-4.1,-1.2
0,2021-02-17,12.11,33994.73,39533.07,-6.9,-1.9
0,2021-02-18,12.56,34819.86,39659.38,-8.5,-6.2
0,2021-02-19,16.93,37369.26,39787.09,-2.2,1.8
0,2021-02-20,17.06,37211.94,39916.08,2.3,5.6
0,2021-02-21,16.75,37726.08,40046.24,5.1,9.6
0,2021-02-22,17.15,37945.39,40177.44,5.0,6.9
0,2021-02-23,16.80,37872.56,40309.58,-6.8,-1.4
0,2021-02-24,17.64,38037.54,40442.53,-7.8,-6.7
0,2021-02-25,17.47,33562.74,40576.19,-2.2,3.2
0,2021-02-26,7.59,10159.12,40710.45,-5.6,-1.8
0,2021-02-27,17.53,39395.39,40845.21,-7.8,-6.1
0,2021-02-28,18.67,39444.50,40980.35,-1.6,4.4
0,2021-03-01,16.52,36000.00,41115.77,7.1,12.1
0,2021-03-02,9.60,24445.55,41251.38,2.0,15.4
0,2021-03-03,19.10,40171.10,41387.06,-3.6,-0.3
0,2021-03-04,16.14,31891.52,41522.70,3.9,7.0
0,2021-03-05,12.82,27369.01,41658.23,7.7,10.0
0,2021-03-06,15.18,36139.94,41793.53,1.5,8.1
0,2021-03-07,15.76,32993.40,41928.51,-0.4,3.1
0,2021-03-08,4.28,3903.85,42063.05,3.4,5.8
0,2021-03-09,16.30,39373.33,42197.27,4.9,8.2
0,2021-03-10,20.27,41864.75,42332.16,-4.1,2.1
0,2021-03-11,20.07,37225.67,42467.81,2.7,6.5
0,2021-03-12,11.27,15900.06,42604.15,8.2,11.3
0,2021-03-13,4.31,7200.00,42741.06,6.8,12.1
0,2021-03-14,20.39,42219.03,42878.47,-1.4,1.2
0,2021-03-15,20.32,42270.93,43016.28,0.2,1.8
0,2021-03-16,16.88,40535.62,43154.40,3.8,9.8
0,2021-03-17,19.69,42374.09,43292.74,-2.1,-0.5
0,2021-03-18,20.67,35225.37,43431.21,3.2,8.6
0,2021-03-19,18.25,35276.48,43569.73,4.9,5.8
0,2021-03-20,12.22,27711.66,43708.19,10.0,14.6
0,2021-03-21,4.35,0.00,43846.52,10.4,17.2
0,2021-03-22,9.53,20141.39,43984.62,0.4,6.7
0,2021-03-23,21.99,42679.38,44122.42,2.2,4.7
0,2021-03-24,21.50,36827.84,44259.80,7.3,9.0
0,2021-03-25,12.37,19996.94,44396.68,7.8,11.4
0,2021-03-26,20.36,42830.37,44532.97,0.1,2.2
0,2021-03-27,19.44,36338.75,44668.58,5.5,11.3
0,2021-03-28,8.79,16093.58,44803.41,13.2,14.8
0,2021-03-29,20.65,41235.26,44937.55,13.3,15.7
0,2021-03-30,12.79,28193.57,45071.93,11.9,13.4
0,2021-03-31,20.68,32786.09,45206.65,8.9,11.9
0,2021-04-01,17.18,32330.55,45341.62,8.3,9.6
0,2021-04-02,13.47,33264.55,45476.76,8.8,10.0
0,2021-04-03,18.45,43200.00,45611.98,9.8,12.5
0,2021-04-04,12.26,27497.53,45747.20,12.7,14.8
0,2021-04-05,6.56,14469.96,45882.33,6.3,13.6
0,2021-04-06,15.70,40742.58,46017.28,4.4,5.6
0,2021-04-07,22.57,43217.87,46151.97,5.4,8.7
0,2021-04-08,20.11,42880.53,46286.30,4.9,9.7
0,2021-04-09,19.52,35187.74,46420.18,-3.9,-1.8
0,2021-04-10,24.79,44528.68,46553.53,0.4,3.4
0,2021-04-11,24.03,44490.65,46686.24,3.8,6.0
0,2021-04-12,16.84,31653.90,46818.22,5.5,10.0
0,2021-04-13,11.23,13059.78,46949.38,12.1,14.7
0,2021-04-14,11.02,21506.33,47079.61,7.2,15.9
0,2021-04-15,24.21,42644.37,47208.82,2.8,4.9
0,2021-04-16,13.56,17753.08,47336.90,9.0,10.8
0,2021-04-17,8.15,9430.70,47463.76,12.1,14.6
0,2021-04-18,24.12,46326.33,47589.44,1.4,8.8
0,2021-04-19,25.91,45656.65,47714.87,4.1,7.6
0,2021-04-20,25.44,46474.74,47840.10,7.8,13.3
