location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Matsue,35.46573,133.03847,5.0,0,GMT,GMT
1,Hamada,34.90334,132.14467,7.0,0,GMT,GMT
2,Oota,35.184532,132.47449,29.0,0,GMT,GMT
3,Izumo,35.395428,132.75288,9.0,0,GMT,GMT
4,Saigo (Oki Islands),36.239014,133.303,3.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,6.56,18066.13,35333.34,-1.2,0.8
0,2021-01-02,7.81,25246.51,35370.43,-2.5,-1.1
0,2021-01-03,4.28,4121.57,35410.39,-1.3,0.3
0,2021-01-04,6.77,28853.16,35453.19,-0.2,1.0
0,2021-01-05,6.84,16281.91,35498.76,-1.9,2.9
0,2021-01-06,5.22,16444.47,35547.06,-4.1,0.3
0,2021-01-07,7.31,21867.64,35598.04,-7.8,-3.8
0,2021-01-08,8.19,30420.19,35651.76,-6.9,-5.0
0,2021-01-09,8.70,30363.55,35708.84,-4.0,-2.2
0,2021-01-10,6.90,28548.11,35769.26,-2.9,-1.8
0,2021-01-11,5.31,6753.27,35832.88,-1.0,0.9
0,2021-01-12,8.84,28800.00,35899.57,-0.8,1.0
0,2021-01-13,4.29,6136.00,35969.20,2.0,4.0
0,2021-01-14,10.54,33787.32,36041.65,2.8,5.2
0,2021-01-15,11.17,32400.00,36116.78,5.1,8.1
0,2021-01-16,4.89,16380.91,36194.46,2.2,7.4
0,2021-01-17,8.08,32400.00,36274.56,-2.9,1.4
0,2021-01-18,6.24,17108.42,36356.96,-1.5,2.4
0,2021-01-19,3.09,990.54,36441.53,-3.5,-0.5
0,2021-01-20,11.23,34319.20,36528.14,-1.1,1.7
0,2021-01-21,9.45,31492.37,36616.68,6.1,7.7
0,2021-01-22,2.08,0.00,36707.02,8.6,9.3
0,2021-01-23,3.06,0.00,36799.05,5.0,7.5
0,2021-01-24,3.45,1437.98,36892.63,2.6,4.2
0,2021-01-25,12.54,33268.68,36987.67,3.3,4.7
0,2021-01-26,4.22,11645.52,37084.05,7.0,9.1
0,2021-01-27,10.49,29155.08,37181.64,2.5,4.3
0,2021-01-28,10.29,30986.11,37280.54,-2.1,2.4
0,2021-01-29,3.91,7634.95,37381.76,-6.2,-3.5
0,2021-01-30,10.31,34377.62,37485.34,-1.6,0.8
0,2021-01-31,12.45,32721.92,37591.15,-0.5,1.4
0,2021-02-01,4.06,7500.74,37699.01,5.4,9.3
0,2021-02-02,8.41,25917.20,37808.80,-4.8,-0.9
0,2021-02-03,4.96,864.20,37920.36,-3.4,3.5
0,2021-02-04,11.14,33431.97,38033.57,-1.9,2.0
0,2021-02-05,12.22,31931.09,38148.27,1.9,3.2
0,2021-02-06,11.58,33841.52,38264.35,5.5,7.5
0,2021-02-07,11.01,30359.43,38381.65,3.8,5.9
0,2021-02-08,4.50,10014.01,38500.06,-1.4,2.4
0,2021-02-09,5.21,5129.77,38619.44,-1.4,0.2
0,2021-02-10,12.86,37038.95,38739.67,1.1,3.4
0,2021-02-11,11.53,33890.13,38860.62,2.5,3.9
0,2021-02-12,12.70,32389.93,38982.18,2.3,6.3
0,2021-02-13,13.22,37924.77,39104.22,5.9,9.4
0,2021-02-14,10.04,23463.27,39226.63,9.6,11.3
0,2021-02-15,7.99,22897.73,39349.28,0.9,11.6
0,2021-02-16,13.22,35141.15,39472.08,-3.6,1.4
0,2021-02-17,10.56,32768.32,39595.10,-6.2,-3.6
0,2021-02-18,8.22,24859.80,39719.42,-2.2,-0.8
0,2021-02-19,12.99,35706.50,39845.12,1.4,3.2
0,2021-02-20,15.56,39019.80,39972.09,7.4,9.3
0,2021-02-21,16.70,39077.23,40100.20,5.7,8.2
0,2021-02-22,15.94,37452.32,40229.35,7.4,10.7
0,2021-02-23,11.22,36456.41,40359.42,-0.0,2.0
0,2021-02-24,11.12,33761.68,40490.29,-2.0,-0.1
0,2021-02-25,13.97,23375.39,40621.86,1.7,3.9
0,2021-02-26,6.43,4094.81,40754.03,1.1,4.3
0,2021-02-27,13.31,26271.25,40886.68,-1.0,1.5
0,2021-02-28,14.97,37138.91,41019.72,5.3,7.1
0,2021-03-01,14.95,28800.00,41153.04,8.2,11.3
0,2021-03-02,3.35,3600.00,41286.53,-2.1,2.9
0,2021-03-03,14.25,31426.71,41420.10,-0.1,2.3
0,2021-03-04,10.40,15461.86,41553.65,6.0,8.5
0,2021-03-05,3.03,585.03,41687.07,9.2,10.0
0,2021-03-06,4.60,5476.16,41820.27,2.3,8.6
0,2021-03-07,12.51,26611.07,41953.16,1.9,3.2
0,2021-03-08,9.83,14632.89,42085.63,0.9,1.7
0,2021-03-09,12.51,27666.31,42217.77,3.3,5.2
0,2021-03-10,16.51,37906.37,42350.57,1.9,6.5
0,2021-03-11,18.45,32876.01,42484.13,1.7,4.6
0,2021-03-12,7.44,11340.81,42618.35,6.9,8.8
0,2021-03-13,11.49,32749.95,42753.15,3.8,6.9
0,2021-03-14,16.88,40189.66,42888.44,4.7,6.6
0,2021-03-15,17.96,35593.24,43024.12,6.2,9.3
0,2021-03-16,6.96,18785.38,43160.11,8.3,12.8
0,2021-03-17,18.31,41471.48,43296.32,3.7,5.0
0,2021-03-18,20.91,40015.80,43432.65,4.7,5.4
0,2021-03-19,19.10,39555.99,43569.03,5.8,6.8
0,2021-03-20,7.82,6680.07,43705.37,11.0,12.8
0,2021-03-21,4.00,4450.06,43841.56,5.2,9.6
0,2021-03-22,14.22,35765.21,43977.54,2.1,4.6
0,2021-03-23,21.21,42588.18,44113.20,2.7,4.6
0,2021-03-24,19.55,36000.00,44248.46,6.9,8.8
0,2021-03-25,18.58,41546.56,44383.23,6.0,9.7
0,2021-03-26,22.19,40910.40,44517.42,2.9,7.3
0,2021-03-27,18.10,25984.05,44650.94,6.9,11.2
0,2021-03-28,6.74,7605.48,44783.69,10.9,14.9
0,2021-03-29,18.52,36515.08,44915.75,7.8,11.2
0,2021-03-30,18.39,41848.02,45048.06,6.9,9.4
0,2021-03-31,22.87,43200.00,45180.69,5.8,7.6
0,2021-04-01,22.47,43200.00,45313.58,6.2,8.4
0,2021-04-02,19.76,43200.00,45446.62,10.4,15.6
0,2021-04-03,16.05,34140.97,45579.75,11.6,14.4
0,2021-04-04,3.47,0.00,45712.87,8.8,15.3
0,2021-04-05,20.51,40452.44,45845.91,2.6,5.2
0,2021-04-06,17.82,43002.61,45978.76,5.4,7.2
0,2021-04-07,22.75,39600.00,46111.35,7.2,10.6
0,2021-04-08,20.37,43069.29,46243.60,6.8,9.3
0,2021-04-09,20.60,43200.00,46375.40,1.7,4.0
0,2021-04-10,24.18,43200.00,46506.66,2.8,4.5
0,2021-04-11,24.51,43343.59,46637.31,5.0,9.0
0,2021-04-12,12.95,21965.20,46767.23,10.0,11.3
0,2021-04-13,7.51,6491.47,46896.33,12.2,15.3
0,2021-04-14,7.40,12688.80,47024.53,5.3,10.5
0,2021-04-15,21.95,36566.38,47151.72,3.9,8.1
0,2021-04-16,12.61,18188.48,47277.79,11.4,12.7
0,2021-04-17,12.58,24366.42,47402.65,7.9,13.6
0,2021-04-18,19.34,43471.50,47526.36,4.8,8.0
0,2021-04-19,25.05,43737.42,47649.81,3.7,9.1
0,2021-04-20,25.01,43426.80,47773.08,9.2,11.4
0,2021-04-21,24.52,36832.97,47896.07,8.3,10.4
0,2021-04-22,20.50,35101.90,48018.71,5.9,8.0
0,2021-04-23,13.87,18324.24,48140.89,9.8,11.1
0,2021-04-24,23.76,43628.00,48262.53,11.1,13.1
0,2021-04-25,20.74,43897.27,48383.53,5.4,10.4
0,2021-04-26,24.47,44459.16,48503.79,4.0,6.7
0,2021-04-27,21.12,33238.22,48623.22,10.0,13.2
0,2021-04-28,8.35,6020.27,48741.71,13.6,15.0
0,2021-04-29,5.93,14752.78,48859.17,11.2,13.3
0,2021-04-30,19.63,37472.70,48975.48,8.6,12.1
0,2021-05-01,16.16,26012.35,49090.54,8.8,11.1
0,2021-05-02,11.59,27837.87,49204.24,7.4,10.1
0,2021-05-03,25.04,45712.11,49316.48,7.7,9.7
0,2021-05-04,20.16,23596.11,49427.13,10.1,12.6
0,2021-05-05,10.36,22846.45,49536.09,10.3,16.6
0,2021-05-06,25.12,36000.00,49643.24,11.0,12.9
0,2021-05-07,18.21,30849.60,49748.45,12.1,14.7
0,2021-05-08,21.54,37282.13,49851.76,12.9,16.1
0,2021-05-09,26.43,47820.87,49953.99,6.5,10.7
0,2021-05-10,16.34,21243.87,50055.20,11.3,12.4
0,2021-05-11,17.28,25670.15,50155.29,9.9,11.6
0,2021-05-12,11.56,8317.48,50254.17,13.3,14.7
0,2021-05-13,14.51,23056.45,50351.76,15.8,17.0
0,2021-05-14,22.85,42292.42,50447.94,15.6,18.2
0,2021-05-15,15.42,17802.75,50542.63,18.0,19.0
0,2021-05-16,6.76,0.00,50635.71,19.4,20.6
0,2021-05-17,6.53,37.05,50727.10,15.8,17.1
0,2021-05-18,8.59,6514.74,50816.69,15.9,16.8
0,2021-05-19,20.60,28968.36,50904.38,15.2,16.3
0,2021-05-20,4.51,2989.03,50990.05,17.4,19.3
0,2021-05-21,16.46,21622.45,51073.60,13.8,16.2
0,2021-05-22,16.52,35183.31,51154.93,13.3,16.2
0,2021-05-23,25.03,36204.52,51233.93,15.3,16.9
0,2021-05-24,7.12,8519.74,51310.48,15.5,17.0
0,2021-05-25,20.65,35904.48,51384.46,12.4,14.8
0,2021-05-26,16.19,24117.71,51455.78,11.7,14.6
0,2021-05-27,10.73,15022.25,51524.32,14.9,15.7
0,2021-05-28,27.16,49895.01,51590.08,13.5,16.4
0,2021-05-29,23.14,48630.00,51653.60,12.5,13.8
0,2021-05-30,28.10,50400.00,51714.94,13.3,15.8
0,2021-05-31,26.52,50264.29,51774.05,14.2,15.6
0,2021-06-01,27.06,39600.00,51830.86,15.8,16.9
0,2021-06-02,20.47,42532.28,51885.30,16.3,18.2
0,2021-06-03,11.21,11157.07,51937.34,17.2,19.5
0,2021-06-04,10.29,19495.74,51986.89,14.4,16.7
0,2021-06-05,21.16,40351.95,52033.90,12.1,15.1
0,2021-06-06,23.40,42751.47,52078.32,16.5,18.2
0,2021-06-07,26.93,48138.05,52120.09,16.8,18.2
0,2021-06-08,24.07,46992.12,52159.14,18.0,19.1
0,2021-06-09,27.71,50400.00,52195.42,17.0,17.9
0,2021-06-10,26.53,41347.71,52228.88,17.5,21.3
0,2021-06-11,5.40,1380.63,52259.45,18.5,20.2
0,2021-06-12,11.00,13272.08,52287.09,20.4,20.9
0,2021-06-13,15.17,30372.33,52311.73,20.3,21.4
0,2021-06-14,13.37,25270.89,52333.33,20.6,21.0
0,2021-06-15,14.55,15847.27,52351.83,20.1,21.1
0,2021-06-16,15.43,34353.66,52367.18,19.3,20.2
0,2021-06-17,11.71,6546.72,52379.35,18.4,19.4
0,2021-06-18,4.74,3600.00,52388.42,20.1,20.9
0,2021-06-19,22.03,45126.09,52394.44,18.9,20.6
0,2021-06-20,23.24,46619.01,52397.41,17.1,18.9
0,2021-06-21,24.49,44225.35,52397.36,17.6,19.1
0,2021-06-22,23.69,45834.56,52394.32,17.3,18.1
0,2021-06-23,24.78,49476.35,52388.30,17.0,17.8
0,2021-06-24,23.46,45318.12,52379.33,18.2,19.7
0,2021-06-25,22.75,44966.77,52367.44,19.7,20.8
0,2021-06-26,10.95,5874.77,52352.66,19.6,20.6
0,2021-06-27,21.19,44607.56,52335.01,20.2,21.3
0,2021-06-28,21.30,44862.63,52314.53,20.1,20.9
0,2021-06-29,21.50,45084.46,52291.24,19.3,20.7
0,2021-06-30,17.07,35885.30,52265.18,20.2,21.3
0,2021-07-01,23.37,48809.02,52236.38,21.2,23.1
0,2021-07-02,17.32,31983.20,52204.87,21.9,22.8
0,2021-07-03,17.37,28800.00,52170.69,21.9,22.6
0,2021-07-04,10.95,14798.87,52133.87,22.7,23.9
0,2021-07-05,6.13,0.00,52094.46,22.8,23.7
0,2021-07-06,6.06,0.00,52052.48,22.7,24.2
0,2021-07-07,4.99,19.56,52007.88,22.7,24.0
0,2021-07-08,8.23,5819.77,51960.26,22.7,24.8
0,2021-07-09,9.03,13123.63,51909.62,22.8,23.9
0,2021-07-10,16.77,32579.28,51856.05,22.3,23.5
0,2021-07-11,21.43,35304.34,51799.66,22.1,23.1
0,2021-07-12,10.76,19370.29,51740.55,22.5,23.6
0,2021-07-13,24.48,48955.38,51678.79,23.1,24.5
0,2021-07-14,20.27,41293.45,51614.50,23.0,23.9
0,2021-07-15,16.45,33195.61,51547.78,22.3,23.4
0,2021-07-16,14.40,20256.37,51478.71,22.0,23.6
