location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Shizuoka,34.973637,138.37357,30.0,0,GMT,GMT
1,Hamamatsu,34.76274,137.73418,19.0,0,GMT,GMT
2,Atami,35.114235,139.07007,16.0,0,GMT,GMT
3,Matsuzaki,34.69244,138.81163,14.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,11.62,34870.56,35486.01,-4.4,-3.2
0,2021-01-02,11.34,34917.45,35522.36,-3.4,-2.2
0,2021-01-03,10.62,34071.29,35561.54,-3.4,-1.4
0,2021-01-04,11.40,32514.17,35603.49,-4.0,-1.4
0,2021-01-05,4.73,14711.71,35648.17,-1.2,0.3
0,2021-01-06,7.71,31191.56,35695.52,-3.6,2.3
0,2021-01-07,11.11,32634.78,35745.49,-8.6,-2.6
0,2021-01-08,12.06,35213.06,35798.16,-11.8,-10.3
0,2021-01-09,12.43,35264.74,35854.12,-11.1,-8.6
0,2021-01-10,12.31,31717.84,35913.35,-7.9,-4.3
0,2021-01-11,7.13,16718.92,35975.72,-2.6,0.6
0,2021-01-12,2.36,3600.00,36041.12,1.5,5.4
0,2021-01-13,11.06,35484.58,36109.39,-1.1,2.3
0,2021-01-14,12.26,35542.27,36180.42,1.2,5.2
0,2021-01-15,10.73,35600.83,36254.10,3.7,6.6
0,2021-01-16,10.72,32948.59,36330.26,2.9,6.9
0,2021-01-17,8.41,29944.28,36408.81,-3.4,1.0
0,2021-01-18,13.03,35780.67,36489.61,-6.0,-2.9
0,2021-01-19,12.89,32241.63,36572.54,-2.2,1.4
0,2021-01-20,6.35,20747.01,36657.49,0.5,4.2
0,2021-01-21,13.05,35964.46,36744.31,-1.2,2.6
0,2021-01-22,11.06,32400.00,36832.92,6.4,9.6
0,2021-01-23,1.47,0.00,36923.17,6.9,7.9
0,2021-01-24,2.98,3223.97,37014.97,6.0,7.1
0,2021-01-25,12.24,36000.00,37108.18,2.7,6.5
0,2021-01-26,10.46,29990.04,37202.71,5.9,9.9
0,2021-01-27,6.81,20104.50,37298.44,7.8,13.4
0,2021-01-28,2.56,7200.00,37395.46,2.0,5.2
