location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Utsunomiya,36.52021,139.88235,118.0,0,GMT,GMT
1,Nikko,36.731106,139.72441,380.0,0,GMT,GMT
2,Nasushiobara,36.942,140.03954,300.0,0,GMT,GMT
3,Oyama,36.309315,139.80469,37.0,0,GMT,GMT
4,Ashikaga,36.309315,139.45312,37.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.89,33129.12,34999.04,-7.0,-5.4
0,2021-01-02,9.32,32289.19,35037.75,-6.3,-3.3
0,2021-01-03,6.54,29430.26,35079.45,-7.0,-6.5
0,2021-01-04,10.34,31391.93,35124.10,-3.6,-0.7
0,2021-01-05,6.67,28754.41,35171.65,-0.1,2.0
0,2021-01-06,6.36,22044.96,35222.04,-2.8,-1.4
0,2021-01-07,10.50,33843.53,35275.23,-10.0,-1.3
0,2021-01-08,8.67,29667.91,35331.28,-9.9,-8.6
0,2021-01-09,11.06,34557.75,35390.82,-9.9,-8.2
0,2021-01-10,10.68,34718.90,35453.84,-8.9,-7.5
0,2021-01-11,9.39,31175.33,35520.20,-6.8,-2.3
0,2021-01-12,3.28,3600.00,35589.76,0.2,2.3
0,2021-01-13,11.30,34891.95,35662.39,-2.1,1.0
0,2021-01-14,10.95,34951.93,35737.94,-2.3,0.7
0,2021-01-15,4.94,13204.33,35816.29,0.8,3.7
0,2021-01-16,9.24,29089.44,35897.29,-0.7,3.2
0,2021-01-17,4.29,8914.58,35980.81,-4.9,-0.8
0,2021-01-18,7.23,26339.07,36066.71,-4.9,-3.0
0,2021-01-19,11.19,35263.85,36154.87,-10.1,-7.5
0,2021-01-20,12.35,35327.86,36245.17,-8.4,-6.5
0,2021-01-21,12.27,35307.90,36337.46,-5.0,-2.3
0,2021-01-22,9.72,28407.05,36431.61,0.2,2.3
0,2021-01-23,1.84,0.00,36527.53,1.7,3.3
0,2021-01-24,4.08,4899.41,36625.06,1.0,2.7
0,2021-01-25,12.87,35649.99,36724.09,-1.7,3.2
0,2021-01-26,8.40,18000.00,36824.51,3.3,5.7
0,2021-01-27,8.29,21600.00,36926.20,-0.7,7.0
0,2021-01-28,4.18,6483.88,37029.23,-1.1,1.3
0,2021-01-29,13.38,35904.74,37134.68,-9.4,-0.7
0,2021-01-30,12.86,35968.71,37242.58,-9.4,-8.7
0,2021-01-31,10.94,34339.63,37352.78,-7.3,-5.0
0,2021-02-01,6.08,18494.35,37465.12,-1.7,3.0
0,2021-02-02,10.08,25936.40,37579.47,-3.7,5.9
0,2021-02-03,13.19,36000.00,37695.65,-7.3,-5.7
0,2021-02-04,13.50,36000.00,37813.53,-7.5,-5.5
0,2021-02-05,14.27,36000.00,37932.97,-4.0,-2.0
0,2021-02-06,14.40,36000.00,38053.81,-0.8,0.8
0,2021-02-07,12.50,32400.00,38175.94,-3.1,0.5
