location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Tokushima,34.059753,134.55,15.0,0,GMT,GMT
1,Ikeda (Miyoshi),33.989452,133.82022,622.0,0,GMT,GMT
2,Hiwasa,33.70826,134.4969,2.0,0,GMT,GMT
3,Kaiyou,33.63796,134.33002,0.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,9.71,22908.12,35764.22,-4.3,-0.9
0,2021-01-02,7.60,26224.65,35799.26,-2.0,0.6
0,2021-01-03,9.58,27508.15,35837.00,-3.2,-2.1
0,2021-01-04,11.62,32400.00,35877.42,-1.6,-0.1
0,2021-01-05,3.45,4101.80,35920.46,-1.2,0.7
0,2021-01-06,9.16,28584.28,35966.08,-3.3,-0.9
0,2021-01-07,7.63,23718.44,36014.25,-8.6,-0.6
0,2021-01-08,9.70,35249.30,36065.00,-9.8,-8.4
0,2021-01-09,12.34,35254.02,36118.92,-8.5,-6.1
0,2021-01-10,10.27,25849.29,36176.01,-4.8,-3.1
0,2021-01-11,9.05,21105.65,36236.12,-2.0,1.2
0,2021-01-12,5.75,13843.24,36299.15,-1.1,2.4
0,2021-01-13,8.36,31559.51,36364.96,-0.4,3.6
0,2021-01-14,12.20,35304.87,36433.43,2.5,7.1
0,2021-01-15,11.44,32822.31,36504.43,4.6,8.2
0,2021-01-16,9.83,29733.91,36577.86,3.4,9.1
0,2021-01-17,9.54,27690.84,36653.59,-4.7,-1.3
0,2021-01-18,12.53,31777.18,36731.49,-3.1,1.8
0,2021-01-19,7.48,22056.09,36811.45,-3.3,-1.6
0,2021-01-20,12.91,35423.49,36893.35,-2.0,0.2
0,2021-01-21,12.74,32400.00,36977.08,3.5,6.4
0,2021-01-22,6.36,13084.37,37062.52,8.4,9.5
0,2021-01-23,1.49,0.00,37149.56,6.7,8.0
0,2021-01-24,2.49,3046.35,37238.09,5.8,7.4
0,2021-01-25,13.33,34192.22,37327.99,3.8,7.5
0,2021-01-26,5.57,11202.40,37419.18,10.3,13.2
