location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Shinjuku,35.676624,139.69112,45.0,0,GMT,GMT
1,Hachioji,35.676624,139.34363,134.0,0,GMT,GMT
2,Tachikawa,35.74692,139.40721,94.0,0,GMT,GMT
3,Machida,35.536026,139.44801,99.0,0,GMT,GMT
4,Ome,35.74692,139.29123,188.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,11.00,33670.91,35267.27,-6.5,-4.2
0,2021-01-02,10.68,31402.48,35304.68,-2.9,-0.8
0,2021-01-03,9.99,33292.72,35344.99,-4.8,-3.6
0,2021-01-04,11.03,30646.38,35388.15,-2.3,1.6
0,2021-01-05,6.38,29722.29,35434.11,2.3,6.0
0,2021-01-06,7.50,25589.92,35482.82,-0.0,1.0
0,2021-01-07,10.34,34487.63,35534.24,-9.2,-0.2
0,2021-01-08,10.60,33157.19,35588.42,-11.7,-6.6
0,2021-01-09,11.66,34841.31,35645.99,-10.5,-7.2
0,2021-01-10,11.77,34895.27,35706.91,-9.0,-5.0
0,2021-01-11,8.10,27597.45,35771.07,-6.9,-3.1
0,2021-01-12,3.84,7346.45,35838.33,-0.3,1.8
0,2021-01-13,11.69,35064.84,35908.56,-1.0,2.0
0,2021-01-14,11.36,31523.55,35981.61,-0.7,4.9
0,2021-01-15,3.77,3955.68,36057.38,1.5,4.1
0,2021-01-16,11.38,32022.19,36135.71,-1.1,4.9
0,2021-01-17,5.67,17353.59,36216.49,-2.9,0.3
0,2021-01-18,7.95,32140.91,36299.58,-3.0,0.6
0,2021-01-19,12.39,35428.54,36384.85,-11.0,-5.7
0,2021-01-20,12.37,35491.05,36472.19,-6.8,-1.7
0,2021-01-21,12.32,33715.02,36561.47,-3.9,-0.3
0,2021-01-22,6.20,28415.74,36652.57,-0.3,4.1
0,2021-01-23,1.29,0.00,36745.36,2.2,3.9
0,2021-01-24,3.53,5587.67,36839.72,2.7,4.1
0,2021-01-25,12.99,35805.31,36935.55,1.6,4.3
0,2021-01-26,8.42,22311.92,37032.72,4.2,6.1
0,2021-01-27,6.13,13265.27,37131.12,1.5,7.1
