location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Tottori,35.536026,134.24904,10.0,0,GMT,GMT
1,Yonago,35.395428,133.32907,8.0,0,GMT,GMT
2,Kurayoshi,35.46573,133.84616,25.0,0,GMT,GMT
3,Chizu,35.254833,134.36781,958.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.25,27318.71,35311.36,-1.3,1.2
0,2021-01-02,6.37,24586.88,35348.55,-0.6,1.4
0,2021-01-03,3.76,8045.86,35388.63,-1.3,0.7
0,2021-01-04,7.53,28311.69,35431.55,-0.8,0.3
0,2021-01-05,6.41,25167.32,35477.25,0.4,3.8
0,2021-01-06,7.26,29628.20,35525.69,-3.0,1.1
0,2021-01-07,6.47,26377.09,35576.81,-6.7,-1.3
0,2021-01-08,9.62,32746.11,35630.69,-7.8,-6.4
0,2021-01-09,8.05,31798.41,35687.93,-5.6,-2.0
0,2021-01-10,6.40,24307.26,35748.51,-2.8,-0.7
0,2021-01-11,6.83,14850.39,35812.32,-0.4,1.2
0,2021-01-12,5.59,19992.46,35879.20,-1.6,0.8
0,2021-01-13,8.77,33670.04,35949.03,0.3,2.5
0,2021-01-14,8.38,34940.64,36021.68,2.9,5.5
0,2021-01-15,11.35,32400.00,36097.02,4.4,6.4
0,2021-01-16,2.58,2508.45,36174.92,3.9,8.4
0,2021-01-17,6.96,32244.68,36255.24,-2.2,2.0
0,2021-01-18,10.25,28800.00,36337.87,-2.0,1.4
0,2021-01-19,2.96,540.73,36422.67,-3.6,-1.3
0,2021-01-20,11.16,35154.78,36509.53,-1.9,0.4
0,2021-01-21,11.79,32400.00,36598.32,4.0,6.7
0,2021-01-22,2.51,0.00,36688.91,8.3,9.7
0,2021-01-23,2.14,0.00,36781.18,5.6,7.0
0,2021-01-24,1.92,0.00,36875.03,3.8,6.7
0,2021-01-25,12.70,31026.72,36970.33,2.1,3.5
0,2021-01-26,6.69,16728.61,37066.97,7.6,9.8
0,2021-01-27,9.67,30134.16,37164.83,1.8,4.4
0,2021-01-28,10.11,29799.15,37264.00,-0.6,3.6
0,2021-01-29,6.71,26727.05,37365.50,-3.7,-2.1
0,2021-01-30,10.21,33319.45,37469.37,-0.8,2.7
0,2021-01-31,8.51,32069.38,37575.46,0.4,3.0
0,2021-02-01,2.93,5778.05,37683.62,4.9,8.0
0,2021-02-02,6.64,17707.54,37793.70,-3.0,1.5
0,2021-02-03,4.47,1737.06,37905.57,-3.6,-1.9
0,2021-02-04,10.03,34939.12,38019.09,-1.2,2.2
