location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Toyama,36.66081,137.18217,11.0,0,GMT,GMT
1,Takaoka,36.731106,137.00787,8.0,0,GMT,GMT
2,Kurobe,36.871704,137.48685,16.0,0,GMT,GMT
3,Uozu,36.801403,137.42444,13.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,7.76,26063.63,34953.70,-1.2,-0.4
0,2021-01-02,5.97,13215.02,34992.63,-0.8,1.0
0,2021-01-03,4.03,3924.93,35034.57,-0.9,0.0
0,2021-01-04,8.31,26421.39,35079.47,-0.5,0.7
0,2021-01-05,7.79,22247.05,35127.29,0.6,1.9
0,2021-01-06,6.54,24298.60,35177.97,0.3,1.5
0,2021-01-07,4.03,10369.02,35231.45,-5.2,-0.9
0,2021-01-08,7.60,16881.53,35287.82,-5.5,-3.7
0,2021-01-09,6.33,11277.45,35347.70,-4.9,-3.1
0,2021-01-10,9.56,31743.55,35411.08,-3.7,-1.9
0,2021-01-11,7.89,17256.42,35477.81,-2.2,-1.1
0,2021-01-12,5.79,11903.95,35547.76,-0.9,0.2
0,2021-01-13,7.15,31030.65,35620.79,-0.6,1.1
0,2021-01-14,5.09,15778.52,35696.77,0.2,4.4
0,2021-01-15,12.18,31782.85,35775.55,0.1,3.5
0,2021-01-16,1.65,0.00,35857.00,0.4,4.0
0,2021-01-17,3.05,4621.24,35940.99,-0.7,0.9
0,2021-01-18,7.05,20958.27,36027.37,-1.7,-0.2
0,2021-01-19,6.03,11607.91,36116.02,-5.4,-3.1
0,2021-01-20,12.28,35007.92,36206.81,-6.9,-3.3
0,2021-01-21,13.11,32400.00,36299.61,-2.2,2.0
0,2021-01-22,2.11,0.00,36394.29,3.5,6.0
0,2021-01-23,2.66,0.00,36490.73,2.4,3.8
0,2021-01-24,2.85,771.85,36588.79,4.3,5.7
0,2021-01-25,7.15,33616.33,36688.37,1.3,5.9
0,2021-01-26,8.33,24614.73,36789.34,4.4,7.9
0,2021-01-27,2.44,0.00,36891.59,1.6,8.2
0,2021-01-28,4.46,3266.74,36995.18,0.0,2.6
0,2021-01-29,7.77,24153.62,37101.20,-4.1,-1.4
0,2021-01-30,12.00,32400.00,37209.69,-2.0,0.6
0,2021-01-31,9.27,32400.00,37320.49,-4.3,0.8
0,2021-02-01,7.39,15460.08,37433.45,2.3,6.2
0,2021-02-02,3.87,11266.10,37548.40,0.0,5.4
0,2021-02-03,7.04,26642.12,37665.21,-2.5,0.3
0,2021-02-04,5.42,19875.30,37783.72,-1.1,2.1
