location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Wakayama,34.27065,135.16939,13.0,0,GMT,GMT
1,Tanabe,33.70826,135.39131,7.0,0,GMT,GMT
2,Shingu,33.70826,135.95032,8.0,0,GMT,GMT
3,Koya,34.20035,135.56392,821.0,0,GMT,GMT
4,Gobo,33.919155,135.11223,3.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,7.89,25170.17,35700.61,-2.4,0.8
0,2021-01-02,8.28,29138.49,35735.95,-2.5,-0.1
0,2021-01-03,8.51,23776.96,35774.02,-2.2,0.6
0,2021-01-04,10.98,32291.42,35814.79,-0.1,1.5
0,2021-01-05,4.12,7764.18,35858.20,0.2,3.0
0,2021-01-06,11.00,31307.63,35904.22,-3.6,-1.7
0,2021-01-07,5.59,16865.89,35952.79,-7.9,0.1
0,2021-01-08,11.12,35366.71,36003.99,-9.7,-8.3
0,2021-01-09,11.94,35371.66,36058.38,-8.4,-6.4
0,2021-01-10,8.01,22875.17,36115.95,-5.0,-3.4
0,2021-01-11,5.54,10679.05,36176.58,-0.7,4.1
0,2021-01-12,4.10,10217.73,36240.14,0.7,3.8
0,2021-01-13,10.04,35409.87,36306.52,0.9,2.3
0,2021-01-14,12.12,35423.92,36375.57,3.0,6.4
0,2021-01-15,11.61,34976.65,36447.18,5.8,7.8
0,2021-01-16,7.53,25067.66,36521.24,5.5,9.7
0,2021-01-17,9.59,28632.25,36597.61,-4.0,-0.5
0,2021-01-18,11.60,34067.90,36676.17,-2.9,1.8
0,2021-01-19,6.66,19646.89,36756.81,-4.5,-3.5
0,2021-01-20,13.09,35544.54,36839.40,-1.9,-0.3
0,2021-01-21,12.81,32400.00,36923.84,5.5,9.9
0,2021-01-22,4.29,4958.06,37010.01,9.1,11.3
0,2021-01-23,1.52,0.00,37097.78,7.1,8.3
0,2021-01-24,2.02,3258.36,37187.05,6.2,8.2
0,2021-01-25,13.46,35377.69,37277.72,4.1,5.3
0,2021-01-26,9.97,22695.92,37369.66,9.9,12.9
0,2021-01-27,8.61,24337.79,37462.78,3.2,9.7
0,2021-01-28,8.94,31917.83,37557.15,0.1,4.9
0,2021-01-29,6.01,10321.74,37653.74,-6.8,-5.0
0,2021-01-30,12.48,35879.14,37752.59,-1.2,3.5
0,2021-01-31,13.30,35922.47,37853.57,-0.2,2.7
0,2021-02-01,9.99,22509.74,37956.52,7.6,12.5
0,2021-02-02,13.85,32522.44,38061.32,-3.0,6.8
0,2021-02-03,11.31,29554.79,38167.82,-3.4,0.1
0,2021-02-04,9.38,31815.47,38275.90,-0.3,3.2
0,2021-02-05,14.61,36000.00,38385.42,2.3,5.3
0,2021-02-06,14.93,36586.88,38496.25,3.5,6.4
0,2021-02-07,13.37,36553.87,38608.27,5.2,6.9
0,2021-02-08,13.17,36000.00,38721.35,-0.7,4.3
0,2021-02-09,12.80,31620.20,38835.36,-1.5,2.0
0,2021-02-10,15.49,37042.73,38950.19,2.0,3.8
0,2021-02-11,15.04,32400.00,39065.72,1.9,4.1
0,2021-02-12,10.97,27870.34,39181.85,4.8,6.7
0,2021-02-13,13.46,36000.00,39298.43,7.8,11.3
0,2021-02-14,14.12,31975.59,39415.38,10.1,12.3
0,2021-02-15,8.41,25063.44,39532.57,3.9,11.1
0,2021-02-16,15.56,36668.27,39649.90,-2.6,2.7
0,2021-02-17,14.95,37682.77,39767.45,-9.1,-5.3
0,2021-02-18,13.79,35602.32,39886.25,-3.5,-0.4
0,2021-02-19,14.62,38535.49,40006.38,-0.6,1.9
0,2021-02-20,17.42,38590.36,40127.73,5.6,8.4
0,2021-02-21,17.54,38644.94,40250.17,8.9,11.2
0,2021-02-22,17.39,37653.68,40373.61,7.7,11.0
0,2021-02-23,14.01,37201.73,40497.93,-0.3,4.4
0,2021-02-24,17.99,38806.83,40623.04,-3.8,-2.7
0,2021-02-25,17.69,31323.53,40748.82,0.6,3.2
0,2021-02-26,4.34,3600.00,40875.17,1.8,5.5
0,2021-02-27,17.99,38965.88,41002.00,-1.6,2.7
0,2021-02-28,11.15,24592.01,41129.19,5.4,8.0
0,2021-03-01,17.31,35470.32,41256.66,10.3,14.8
0,2021-03-02,4.23,5377.48,41384.30,1.0,15.5
0,2021-03-03,19.14,37810.44,41512.02,-0.2,5.0
0,2021-03-04,14.40,22946.81,41639.73,7.1,9.8
0,2021-03-05,10.07,17119.19,41767.31,10.7,12.7
0,2021-03-06,11.24,17306.24,41894.70,3.5,10.1
0,2021-03-07,10.94,18496.50,42021.78,3.9,6.5
0,2021-03-08,13.28,32336.65,42148.46,2.1,5.7
0,2021-03-09,16.79,38149.44,42274.83,5.1,6.6
0,2021-03-10,20.48,41943.05,42401.84,1.2,5.3
0,2021-03-11,19.99,32578.28,42529.58,4.5,9.1
0,2021-03-12,8.18,11711.47,42657.96,11.0,13.5
0,2021-03-13,12.00,36485.18,42786.89,5.6,9.2
0,2021-03-14,19.99,42340.98,42916.28,4.3,7.0
0,2021-03-15,20.45,36000.00,43046.06,5.8,8.3
0,2021-03-16,7.70,10832.05,43176.13,10.5,12.8
0,2021-03-17,21.47,42589.12,43306.41,1.8,5.1
0,2021-03-18,22.26,42672.45,43436.81,3.5,6.6
0,2021-03-19,21.65,42755.92,43567.26,4.8,6.9
0,2021-03-20,14.86,22732.30,43697.66,12.5,16.7
0,2021-03-21,6.74,12100.50,43827.93,10.4,17.5
0,2021-03-22,19.29,41545.18,43957.99,2.1,4.4
