location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Yamagata,38.27768,140.35135,199.0,0,GMT,GMT
1,Tsuruoka,38.76977,139.84993,19.0,0,GMT,GMT
2,Sakata,38.910366,139.86319,11.0,0,GMT,GMT
3,Yonezawa,37.926186,140.13423,243.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,3.91,4844.09,34418.49,-6.5,-5.1
0,2021-01-02,5.24,9834.95,34460.03,-7.6,-5.8
0,2021-01-03,5.27,5954.78,34504.78,-4.2,-3.1
0,2021-01-04,3.30,5018.04,34552.70,-3.1,-1.6
0,2021-01-05,6.21,17797.27,34603.72,-3.2,-1.0
0,2021-01-06,9.98,28800.00,34657.78,-5.5,-1.2
0,2021-01-07,6.50,11127.45,34714.84,-6.5,-0.6
0,2021-01-08,5.53,12323.59,34774.97,-9.7,-8.5
0,2021-01-09,7.78,18660.85,34838.83,-8.1,-6.2
0,2021-01-10,5.99,18258.02,34906.42,-6.9,-5.9
0,2021-01-11,7.70,25557.24,34977.58,-5.8,-4.0
0,2021-01-12,4.89,2566.49,35052.17,-1.3,-0.3
0,2021-01-13,6.62,26366.02,35130.03,-0.1,1.9
0,2021-01-14,3.69,4952.91,35211.02,-3.4,2.3
0,2021-01-15,11.42,30823.72,35294.99,-2.3,0.7
0,2021-01-16,4.63,2009.11,35381.81,-1.6,2.6
0,2021-01-17,6.75,18528.11,35471.30,-6.8,-3.8
0,2021-01-18,8.53,25842.56,35563.35,-3.8,-1.7
0,2021-01-19,6.54,18129.88,35657.80,-9.1,-7.1
0,2021-01-20,4.90,3721.79,35754.52,-5.7,-3.9
0,2021-01-21,11.97,31429.11,35853.36,-2.7,2.5
0,2021-01-22,5.05,9013.14,35954.20,-0.3,3.6
0,2021-01-23,9.36,23538.32,36056.89,-2.1,-1.4
0,2021-01-24,6.63,10465.54,36161.31,-1.6,0.7
0,2021-01-25,12.77,35300.81,36267.33,-3.9,0.2
0,2021-01-26,8.84,18883.15,36374.81,1.1,3.2
0,2021-01-27,4.15,2613.77,36483.63,-2.0,4.5
0,2021-01-28,7.84,12002.08,36593.88,-2.2,-0.2
0,2021-01-29,6.74,24995.72,36706.70,-7.2,-2.8
0,2021-01-30,6.23,21177.06,36822.13,-5.6,-3.1
0,2021-01-31,9.03,19591.38,36940.00,-7.7,-6.2
0,2021-02-01,11.92,22222.74,37060.15,0.0,3.1
0,2021-02-02,4.52,1128.52,37182.42,-3.9,3.0
0,2021-02-03,4.53,1044.34,37306.63,-5.5,-2.9
0,2021-02-04,5.15,4399.49,37432.66,-6.1,-1.7
0,2021-02-05,7.91,15661.06,37560.32,-1.6,1.1
0,2021-02-06,8.63,27365.07,37689.48,1.2,2.8
0,2021-02-07,5.79,10582.32,37819.98,-2.7,2.5
0,2021-02-08,9.45,25289.58,37951.69,-8.9,-7.4
0,2021-02-09,10.11,26972.67,38084.45,-6.0,-3.0
0,2021-02-10,6.24,11631.40,38218.13,-0.2,1.0
0,2021-02-11,10.18,34861.32,38352.60,-4.3,-1.1
0,2021-02-12,14.74,34445.12,38487.71,-4.3,-1.6
0,2021-02-13,15.20,36166.09,38623.33,-0.8,3.2
0,2021-02-14,11.39,32400.00,38759.34,4.1,7.1
0,2021-02-15,1.72,1154.34,38895.60,3.5,7.3
0,2021-02-16,4.96,9446.83,39031.99,-5.1,-3.3
0,2021-02-17,7.89,9694.23,39168.61,-6.8,-4.4
0,2021-02-18,9.48,19653.47,39306.66,-6.2,-3.5
0,2021-02-19,6.54,196.48,39446.21,-0.9,0.4
0,2021-02-20,9.06,23927.29,39587.15,1.3,4.0
0,2021-02-21,11.86,36157.31,39729.35,4.9,5.9
0,2021-02-22,13.47,32538.81,39872.66,4.8,7.3
0,2021-02-23,8.02,25516.29,40016.99,-7.9,-4.3
0,2021-02-24,10.43,24472.70,40162.18,-8.0,-7.0
0,2021-02-25,14.07,36000.00,40308.14,-6.9,-2.2
0,2021-02-26,13.08,32579.93,40454.74,-6.3,-4.1
0,2021-02-27,12.24,37481.77,40601.86,-9.2,-7.0
0,2021-02-28,18.44,39395.46,40749.38,-10.0,-2.0
0,2021-03-01,15.72,32400.00,40897.21,3.2,8.4
0,2021-03-02,3.67,466.06,41045.21,1.5,11.5
0,2021-03-03,11.28,28990.73,41193.28,-6.4,-3.3
0,2021-03-04,17.94,39038.67,41341.32,-1.0,2.8
0,2021-03-05,11.68,18354.71,41489.21,4.7,7.6
0,2021-03-06,6.67,15488.38,41636.84,-3.2,6.7
0,2021-03-07,17.42,38979.55,41784.10,-5.1,-3.3
0,2021-03-08,18.86,39834.20,41930.90,-4.0,-1.6
0,2021-03-09,18.72,32558.96,42077.31,-1.3,2.5
0,2021-03-10,15.24,35964.61,42224.46,-4.4,0.1
0,2021-03-11,19.29,37824.39,42372.45,-3.8,2.2
0,2021-03-12,11.46,17913.11,42521.16,-0.6,4.9
0,2021-03-13,3.50,0.00,42670.50,5.3,6.5
0,2021-03-14,4.58,3600.00,42820.37,3.3,6.3
0,2021-03-15,17.78,42071.39,42970.68,-1.6,0.9
0,2021-03-16,9.67,20979.17,43121.33,1.9,8.2
0,2021-03-17,8.00,12090.59,43272.21,-2.2,-0.0
0,2021-03-18,13.56,39171.36,43423.24,-0.6,-0.1
0,2021-03-19,19.45,42302.03,43574.31,-1.7,0.1
0,2021-03-20,17.70,28544.21,43725.32,4.7,9.0
0,2021-03-21,6.11,13439.10,43876.19,8.7,15.7
0,2021-03-22,17.06,41497.47,44026.81,-1.4,0.3
0,2021-03-23,17.10,42529.97,44177.10,-1.8,1.7
0,2021-03-24,21.36,37929.79,44326.93,2.1,5.8
0,2021-03-25,12.12,19703.61,44476.23,6.2,9.3
0,2021-03-26,16.83,39235.10,44624.89,2.1,6.0
0,2021-03-27,21.32,41012.09,44772.81,2.6,8.1
0,2021-03-28,8.15,10800.00,44919.89,10.3,13.3
0,2021-03-29,19.03,40017.55,45066.20,7.3,11.7
0,2021-03-30,17.79,38907.07,45212.80,6.8,10.2
0,2021-03-31,18.85,43205.42,45359.77,2.7,5.6
0,2021-04-01,22.11,43509.99,45507.03,1.5,5.2
0,2021-04-02,22.10,40790.29,45654.48,5.8,8.0
0,2021-04-03,19.34,40696.67,45802.02,8.4,10.6
0,2021-04-04,4.92,55.30,45949.58,11.5,14.1
0,2021-04-05,11.66,30331.78,46097.04,1.8,5.4
0,2021-04-06,17.98,36784.11,46244.32,-0.1,2.0
