location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Shimonoseki,33.919155,130.9601,9.0,0,GMT,GMT
1,Hagi,34.411247,131.43396,4.0,0,GMT,GMT
2,Iwakuni,34.20035,132.18045,4.0,0,GMT,GMT
3,Yamaguchi,34.13005,131.45181,53.0,0,GMT,GMT
4,Ube,33.989452,131.23596,10.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,3.30,936.60,35806.43,-2.6,0.4
0,2021-01-02,2.96,4835.08,35841.26,-2.5,-0.1
0,2021-01-03,10.09,27986.29,35878.79,-2.3,0.7
0,2021-01-04,11.48,32661.42,35918.98,-0.2,1.5
0,2021-01-05,7.62,18000.00,35961.77,-0.9,3.1
0,2021-01-06,6.35,13371.77,36007.14,-3.6,1.0
0,2021-01-07,6.03,17122.14,36055.02,-7.5,-4.0
0,2021-01-08,9.71,32969.74,36105.49,-7.6,-4.7
0,2021-01-09,9.44,31566.64,36159.11,-5.7,-2.7
0,2021-01-10,4.43,1496.50,36215.86,-3.9,-0.8
0,2021-01-11,7.15,13438.85,36275.64,-0.5,1.9
0,2021-01-12,8.72,27817.93,36338.31,-0.9,2.5
0,2021-01-13,4.66,9294.65,36403.74,2.8,3.8
0,2021-01-14,10.35,32614.10,36471.82,4.9,6.9
0,2021-01-15,10.93,32767.76,36542.43,7.1,9.5
0,2021-01-16,11.05,32400.00,36615.44,0.3,7.5
0,2021-01-17,6.97,18977.68,36690.74,-5.9,-3.0
0,2021-01-18,5.75,16486.46,36768.20,-2.1,3.6
0,2021-01-19,12.86,34135.22,36847.71,-2.4,-0.8
0,2021-01-20,13.08,33023.00,36929.15,2.7,6.3
0,2021-01-21,9.47,27924.34,37012.42,8.2,9.2
0,2021-01-22,3.98,2581.51,37097.38,10.7,12.7
0,2021-01-23,2.76,0.00,37183.93,8.0,10.5
0,2021-01-24,8.06,23384.60,37271.96,3.4,6.3
0,2021-01-25,13.49,33771.52,37361.37,5.1,7.9
0,2021-01-26,2.09,339.14,37452.04,8.6,10.7
0,2021-01-27,10.44,32539.28,37543.87,3.2,7.1
0,2021-01-28,10.61,33079.26,37636.93,-1.9,4.4
0,2021-01-29,5.60,5416.77,37732.20,-6.5,-1.9
0,2021-01-30,9.36,31958.79,37829.69,-0.4,1.9
0,2021-01-31,13.80,34767.75,37929.27,3.3,4.5
0,2021-02-01,3.61,5633.49,38030.82,6.9,11.1
0,2021-02-02,14.76,34993.90,38134.18,-3.9,0.5
0,2021-02-03,10.07,24187.12,38239.23,-1.9,1.5
0,2021-02-04,11.52,29018.92,38345.83,0.6,5.3
0,2021-02-05,10.46,25437.39,38453.86,3.2,4.9
0,2021-02-06,12.72,36772.39,38563.18,5.7,8.3
0,2021-02-07,13.31,38183.87,38673.67,4.5,8.2
0,2021-02-08,15.54,36528.57,38785.21,-4.3,-1.1
0,2021-02-09,14.73,38025.11,38897.68,-1.5,0.6
0,2021-02-10,14.10,35465.33,39010.96,2.5,3.6
0,2021-02-11,11.65,23317.13,39124.93,4.1,6.8
0,2021-02-12,12.25,34372.69,39239.49,6.4,7.6
0,2021-02-13,11.85,38106.20,39354.51,8.3,9.4
0,2021-02-14,13.00,26289.77,39469.88,10.2,10.8
0,2021-02-15,10.50,35612.07,39585.49,2.8,11.1
0,2021-02-16,15.48,37869.76,39701.25,-2.5,4.5
0,2021-02-17,11.63,32814.32,39817.22,-7.0,-4.8
0,2021-02-18,4.40,1697.35,39934.43,-5.5,-2.3
0,2021-02-19,14.86,39431.91,40052.96,1.7,4.5
0,2021-02-20,16.20,39600.00,40172.68,7.4,8.8
0,2021-02-21,17.11,39600.00,40293.49,9.2,11.0
0,2021-02-22,15.99,39600.00,40415.29,8.8,12.9
0,2021-02-23,16.89,37062.51,40537.95,2.4,4.7
0,2021-02-24,16.30,36861.88,40661.40,1.9,4.1
0,2021-02-25,12.10,21334.40,40785.51,5.0,7.3
0,2021-02-26,3.25,3548.83,40910.18,3.1,5.5
0,2021-02-27,15.60,34108.31,41035.33,2.1,4.9
0,2021-02-28,13.89,34984.09,41160.83,7.7,9.4
0,2021-03-01,13.78,35500.95,41286.61,10.6,13.2
0,2021-03-02,6.93,16783.73,41412.57,-0.8,4.3
0,2021-03-03,17.18,34004.27,41538.60,1.6,5.6
0,2021-03-04,7.57,5894.19,41664.61,7.7,9.7
0,2021-03-05,8.52,13951.17,41790.52,10.2,11.1
0,2021-03-06,11.65,17778.40,41916.22,5.0,10.1
0,2021-03-07,8.63,12085.15,42041.62,3.7,5.0
0,2021-03-08,19.21,37878.92,42166.64,3.4,6.0
0,2021-03-09,12.91,36105.72,42291.34,5.3,6.8
0,2021-03-10,19.98,37353.37,42416.69,5.5,8.2
0,2021-03-11,16.79,27629.96,42542.74,5.8,9.3
0,2021-03-12,6.33,12436.07,42669.43,9.1,11.0
0,2021-03-13,16.23,39600.00,42796.66,5.4,6.7
0,2021-03-14,16.14,39600.00,42924.36,6.6,8.3
0,2021-03-15,19.17,36017.75,43052.43,6.8,10.4
0,2021-03-16,5.31,6748.86,43180.80,12.4,15.5
0,2021-03-17,20.44,39993.86,43309.36,6.4,12.3
0,2021-03-18,21.29,39600.00,43438.05,6.4,8.6
0,2021-03-19,17.79,36000.00,43566.78,8.6,10.1
0,2021-03-20,8.46,12387.15,43695.48,12.7,14.4
0,2021-03-21,7.21,8832.76,43824.04,4.5,11.5
0,2021-03-22,19.59,40340.37,43952.39,0.1,3.2
0,2021-03-23,21.62,39798.86,44080.44,3.2,5.5
0,2021-03-24,18.08,32897.92,44208.12,7.4,9.2
0,2021-03-25,19.95,41610.51,44335.33,8.1,10.6
0,2021-03-26,22.59,41563.31,44461.99,7.2,10.0
0,2021-03-27,17.65,28800.00,44588.01,10.5,13.0
0,2021-03-28,7.83,14409.17,44713.32,10.6,15.3
0,2021-03-29,21.34,39869.88,44837.96,12.1,14.0
0,2021-03-30,20.78,41859.43,44962.83,6.4,11.0
0,2021-03-31,22.36,42717.64,45088.02,7.5,11.4
0,2021-04-01,21.51,32607.90,45213.43,7.1,9.2
0,2021-04-02,19.84,39006.67,45338.99,11.6,12.8
0,2021-04-03,18.23,31207.36,45464.63,13.8,15.9
0,2021-04-04,9.58,13869.87,45590.26,8.8,16.2
0,2021-04-05,21.98,43716.05,45715.79,3.0,4.0
0,2021-04-06,23.36,43774.79,45841.16,6.4,9.1
0,2021-04-07,23.37,36000.00,45966.27,7.3,9.1
