location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Kofu,35.676624,138.53282,278.0,0,GMT,GMT
1,Fujiyoshida,35.536026,138.87035,771.0,0,GMT,GMT
2,Otsuki,35.606327,138.93315,361.0,0,GMT,GMT
3,Nirasaki,35.74692,138.47939,350.0,0,GMT,GMT
4,Fujikawaguchiko,35.536026,138.7548,831.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,10.70,34695.34,35267.27,-9.1,-7.1
0,2021-01-02,8.98,33807.85,35304.68,-8.0,-5.3
0,2021-01-03,10.46,34775.90,35344.99,-7.2,-4.3
0,2021-01-04,11.58,31472.67,35388.15,-7.4,-4.0
0,2021-01-05,8.11,32353.80,35434.11,-6.5,-3.9
0,2021-01-06,9.60,31334.49,35482.82,-4.3,-2.7
0,2021-01-07,8.30,32414.46,35534.24,-13.1,-1.2
0,2021-01-08,10.36,34941.41,35588.42,-14.7,-12.9
0,2021-01-09,8.81,34916.88,35645.99,-13.5,-11.8
0,2021-01-10,11.55,33388.92,35706.91,-11.5,-9.4
0,2021-01-11,8.45,23691.74,35771.07,-9.1,-1.7
0,2021-01-12,2.75,3599.01,35838.33,-1.0,5.6
0,2021-01-13,12.56,35342.83,35908.56,-6.8,-2.8
0,2021-01-14,11.82,35401.54,35981.61,-4.1,-1.7
0,2021-01-15,11.35,35461.16,36057.38,-1.2,2.0
0,2021-01-16,9.68,32304.81,36135.71,-0.8,5.8
0,2021-01-17,9.15,32851.31,36216.49,-5.7,1.5
0,2021-01-18,9.31,35644.38,36299.58,-8.3,-0.7
0,2021-01-19,12.98,35706.52,36384.85,-12.7,-11.7
0,2021-01-20,13.46,35769.04,36472.19,-6.5,-3.3
0,2021-01-21,13.37,35831.81,36561.47,-7.0,-1.6
0,2021-01-22,7.15,19060.83,36652.57,4.0,5.2
0,2021-01-23,2.10,0.00,36745.36,3.9,5.3
0,2021-01-24,2.75,3600.00,36839.72,2.5,5.2
0,2021-01-25,13.81,36000.00,36935.55,-3.2,4.5
0,2021-01-26,10.76,32444.08,37032.72,1.8,7.7
0,2021-01-27,9.60,29552.08,37131.12,2.0,10.6
0,2021-01-28,5.16,13669.83,37230.84,-2.4,0.4
0,2021-01-29,12.46,36000.00,37332.89,-12.6,-8.4
0,2021-01-30,14.88,36000.00,37437.33,-9.8,-5.4
0,2021-01-31,14.40,36000.00,37544.00,-4.8,-0.1
0,2021-02-01,11.31,32400.00,37652.75,3.3,8.0
0,2021-02-02,11.38,28810.02,37763.43,-5.1,5.4
0,2021-02-03,15.11,36000.00,37875.91,-8.2,-6.7
0,2021-02-04,11.71,36000.00,37990.04,-7.8,-4.9
0,2021-02-05,14.95,35794.59,38105.68,-3.8,-2.0
0,2021-02-06,15.51,36000.00,38222.70,-3.7,4.2
0,2021-02-07,14.10,32400.00,38340.95,-5.6,-0.3
0,2021-02-08,14.12,36000.00,38460.32,-10.8,-6.1
0,2021-02-09,16.15,36151.59,38580.67,-10.8,-4.7
0,2021-02-10,14.34,35788.24,38701.87,-6.8,-0.4
0,2021-02-11,15.79,33359.65,38823.79,-5.6,-2.6
0,2021-02-12,11.57,34973.14,38946.33,-1.7,5.0
0,2021-02-13,15.53,36000.00,39069.35,1.4,6.0
0,2021-02-14,14.87,32619.53,39192.74,4.4,6.9
0,2021-02-15,2.35,7366.25,39316.38,0.8,8.3
0,2021-02-16,15.01,36131.90,39440.17,-8.0,-4.6
0,2021-02-17,13.38,36515.46,39564.16,-12.0,-5.9
0,2021-02-18,15.78,37326.58,39689.48,-11.6,-9.7
0,2021-02-19,18.28,38719.51,39816.18,-7.8,-1.4
0,2021-02-20,18.27,37480.06,39944.16,-1.6,3.1
0,2021-02-21,17.90,39157.15,40073.29,1.1,4.9
0,2021-02-22,18.43,39083.28,40203.46,0.9,6.2
0,2021-02-23,18.91,39100.35,40334.56,-8.0,-0.9
0,2021-02-24,17.68,38274.58,40466.47,-7.0,-3.0
0,2021-02-25,17.59,32400.00,40599.08,-2.5,1.4
0,2021-02-26,6.34,5827.75,40732.30,-1.6,4.6
0,2021-02-27,19.77,40392.20,40866.00,-8.0,-4.8
0,2021-02-28,19.86,38467.67,41000.08,-5.6,-1.5
0,2021-03-01,18.21,34631.43,41134.45,4.9,9.7
0,2021-03-02,8.51,16675.90,41269.00,1.6,15.0
0,2021-03-03,20.17,39563.63,41403.62,-4.5,-2.0
0,2021-03-04,17.22,33070.20,41538.22,0.5,5.6
0,2021-03-05,8.97,17248.10,41672.68,5.5,8.2
0,2021-03-06,16.79,36113.99,41806.93,3.8,10.6
0,2021-03-07,12.06,30508.36,41940.86,1.6,6.0
0,2021-03-08,6.22,8320.58,42074.37,4.6,8.2
0,2021-03-09,15.87,36677.25,42207.54,2.9,4.3
0,2021-03-10,21.54,41875.14,42341.38,-3.3,4.2
0,2021-03-11,20.89,35135.06,42475.99,2.0,6.3
0,2021-03-12,7.28,1741.71,42611.26,3.9,7.9
0,2021-03-13,6.54,13480.05,42747.12,4.3,9.1
0,2021-03-14,21.99,42419.70,42883.47,-4.0,1.0
0,2021-03-15,21.82,42542.02,43020.21,-1.0,3.6
0,2021-03-16,13.77,26642.88,43157.26,2.2,9.7
0,2021-03-17,22.39,42644.11,43294.53,0.3,7.4
0,2021-03-18,22.28,42694.86,43431.93,4.0,7.3
0,2021-03-19,20.64,42745.42,43569.38,4.0,7.4
0,2021-03-20,19.28,35595.83,43706.77,6.2,10.5
0,2021-03-21,5.77,7200.00,43844.03,9.9,16.2
0,2021-03-22,19.63,42896.20,43981.07,-0.5,5.9
0,2021-03-23,23.48,42946.19,44117.79,-1.9,2.1
0,2021-03-24,22.77,39396.08,44254.11,2.6,9.4
0,2021-03-25,10.66,11510.64,44389.93,2.5,8.3
0,2021-03-26,22.62,43095.59,44525.17,-1.6,2.4
0,2021-03-27,20.48,32400.00,44659.73,4.4,8.0
0,2021-03-28,9.36,13779.77,44793.52,9.9,11.9
0,2021-03-29,23.48,43200.00,44926.61,7.0,15.2
0,2021-03-30,23.19,40225.81,45059.96,8.8,15.0
0,2021-03-31,23.88,43200.00,45193.63,8.5,11.8
0,2021-04-01,21.37,42541.21,45327.56,7.7,8.7
0,2021-04-02,17.43,43200.00,45461.65,7.6,9.2
0,2021-04-03,18.55,43200.00,45595.82,7.3,10.9
0,2021-04-04,13.89,26441.70,45729.99,11.5,14.0
0,2021-04-05,15.65,35618.64,45864.06,6.7,12.6
0,2021-04-06,20.93,42835.98,45997.97,3.0,4.5
0,2021-04-07,22.76,43200.00,46131.60,3.5,6.6
0,2021-04-08,20.69,44453.72,46264.89,2.2,9.6
0,2021-04-09,24.68,43844.03,46397.73,-0.4,3.2
0,2021-04-10,24.07,43519.18,46530.03,-0.2,3.3
0,2021-04-11,24.25,43766.12,46661.70,2.6,5.4
0,2021-04-12,18.91,34260.67,46792.65,5.6,8.6
0,2021-04-13,7.50,3844.20,46922.78,10.6,12.9
0,2021-04-14,18.92,42501.89,47051.99,4.4,15.3
0,2021-04-15,25.51,41872.83,47180.19,1.8,5.0
0,2021-04-16,9.37,17886.17,47307.26,6.6,9.9
0,2021-04-17,6.84,8121.69,47433.12,8.9,12.8
0,2021-04-18,22.10,46042.65,47557.81,-1.1,1.6
0,2021-04-19,27.71,46116.55,47682.24,1.4,9.5
0,2021-04-20,27.17,46190.08,47806.49,3.7,7.4
0,2021-04-21,27.24,46263.15,47930.48,2.3,9.5
0,2021-04-22,25.84,45071.84,48054.09,2.0,7.6
0,2021-04-23,27.62,46407.67,48177.26,5.1,9.3
0,2021-04-24,21.87,37936.22,48299.87,8.7,11.1
0,2021-04-25,19.53,42625.44,48421.85,2.8,10.5
0,2021-04-26,28.28,46784.17,48543.08,-0.4,4.5
0,2021-04-27,24.72,46433.67,48663.47,4.9,8.0
0,2021-04-28,14.71,19917.07,48782.92,9.0,12.9
0,2021-04-29,8.32,10800.00,48901.32,10.8,15.4
0,2021-04-30,25.63,43558.06,49018.57,5.1,13.0
0,2021-05-01,16.15,36541.00,49134.57,9.1,12.7
0,2021-05-02,23.85,46800.00,49249.20,1.3,5.0
0,2021-05-03,26.16,47099.49,49362.35,2.0,4.4
0,2021-05-04,27.06,39877.79,49473.90,4.8,10.3
0,2021-05-05,11.49,11700.24,49583.75,11.2,14.7
0,2021-05-06,26.10,40198.76,49691.78,13.8,15.8
0,2021-05-07,10.19,15581.46,49797.85,9.8,14.2
0,2021-05-08,20.58,30229.21,49902.02,9.2,16.9
0,2021-05-09,25.49,47869.25,50005.09,2.5,10.9
0,2021-05-10,25.07,33874.29,50107.13,6.8,10.1
0,2021-05-11,14.97,30976.98,50208.05,9.8,11.1
0,2021-05-12,14.88,18418.36,50307.75,9.2,11.5
0,2021-05-13,15.25,31009.67,50406.15,11.9,14.1
0,2021-05-14,25.22,39891.96,50503.13,15.3,17.2
0,2021-05-15,18.11,33846.60,50598.60,11.7,16.9
0,2021-05-16,12.68,12412.26,50692.47,14.8,18.9
0,2021-05-17,13.08,18670.67,50784.62,19.2,22.1
0,2021-05-18,20.25,28861.91,50874.96,18.0,21.3
0,2021-05-19,10.44,14060.49,50963.38,15.8,20.3
0,2021-05-20,8.82,3671.95,51049.77,15.7,20.1
0,2021-05-21,8.10,7224.53,51134.02,16.8,21.0
0,2021-05-22,20.26,37467.54,51216.04,12.1,15.8
0,2021-05-23,26.23,49445.29,51295.70,12.2,15.8
0,2021-05-24,17.86,28778.13,51372.90,12.8,17.4
0,2021-05-25,23.12,47179.73,51447.51,9.0,16.3
0,2021-05-26,21.26,32493.68,51519.44,10.2,15.6
0,2021-05-27,6.11,7200.00,51588.55,11.7,14.4
0,2021-05-28,21.78,32943.02,51654.87,10.2,16.3
0,2021-05-29,27.15,49776.32,51718.94,10.6,14.6
0,2021-05-30,27.99,49814.88,51780.80,11.0,15.7
0,2021-05-31,26.53,49331.31,51840.42,12.3,16.1
0,2021-06-01,25.62,39028.79,51897.71,13.1,15.3
0,2021-06-02,18.03,36918.14,51952.62,14.6,17.4
0,2021-06-03,23.36,30590.65,52005.10,14.1,17.8
0,2021-06-04,10.25,9261.52,52055.08,18.0,21.5
0,2021-06-05,17.72,25771.41,52102.50,14.3,19.0
0,2021-06-06,10.43,8260.62,52147.30,13.6,16.4
0,2021-06-07,21.34,41613.20,52189.42,13.1,16.9
0,2021-06-08,24.10,46186.73,52228.81,14.2,18.9
0,2021-06-09,29.12,50162.13,52265.40,13.0,18.0
0,2021-06-10,26.40,50148.69,52299.15,14.3,18.2
0,2021-06-11,24.39,34342.33,52329.99,13.4,17.5
0,2021-06-12,20.93,35773.32,52357.87,14.9,16.8
0,2021-06-13,11.66,15478.38,52382.72,17.2,18.5
0,2021-06-14,14.64,22628.92,52404.51,17.0,18.6
0,2021-06-15,22.23,35297.70,52423.17,17.4,18.7
0,2021-06-16,14.35,25078.99,52438.65,15.8,19.0
0,2021-06-17,21.64,49135.89,52450.92,15.0,17.3
0,2021-06-18,20.60,27322.17,52460.08,16.1,17.9
0,2021-06-19,7.33,8342.92,52466.14,15.6,17.7
