location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Matsuyama,33.848858,132.70236,26.0,0,GMT,GMT
1,Uwajima,33.216167,132.56157,4.0,0,GMT,GMT
2,Niihama,33.989452,133.37079,10.0,0,GMT,GMT
3,Imabari,34.059753,132.97499,5.0,0,GMT,GMT

location_id,time,wind_direction_10m_dominant (°),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa)
0,2021-01-01,288,1020.8,1022.3,1019.9
0,2021-01-02,295,1022.6,1026.0,1020.1
0,2021-01-03,328,1026.1,1027.0,1024.0
0,2021-01-04,83,1024.0,1027.5,1021.7
0,2021-01-05,352,1018.7,1021.9,1016.7
0,2021-01-06,273,1015.6,1018.1,1011.9
0,2021-01-07,291,1015.7,1017.3,1012.5
0,2021-01-08,289,1015.8,1017.5,1014.5
0,2021-01-09,290,1017.6,1021.4,1014.9
0,2021-01-10,296,1022.4,1025.2,1020.7
0,2021-01-11,105,1018.3,1025.5,1013.5
0,2021-01-12,279,1014.8,1016.7,1012.6
0,2021-01-13,197,1017.0,1018.9,1015.5
0,2021-01-14,138,1019.1,1020.1,1018.0
0,2021-01-15,155,1014.9,1019.5,1011.8
0,2021-01-16,315,1015.8,1018.6,1013.0
0,2021-01-17,302,1019.7,1021.1,1018.2
0,2021-01-18,274,1018.1,1023.5,1014.3
0,2021-01-19,34,1026.3,1028.2,1023.5
0,2021-01-20,69,1025.8,1028.3,1024.7
0,2021-01-21,61,1019.2,1024.7,1014.8
0,2021-01-22,51,1013.5,1016.4,1010.9
0,2021-01-23,62,1011.0,1014.1,1009.1
0,2021-01-24,39,1019.1,1022.3,1014.7
0,2021-01-25,69,1020.0,1022.9,1017.2
0,2021-01-26,25,1012.3,1016.3,1009.6
0,2021-01-27,32,1013.2,1015.0,1010.6
0,2021-01-28,277,1010.5,1015.9,1007.8
0,2021-01-29,295,1019.6,1023.6,1015.5
0,2021-01-30,269,1024.3,1026.6,1022.8
0,2021-01-31,100,1024.8,1027.6,1020.7
0,2021-02-01,204,1014.3,1020.0,1011.4
0,2021-02-02,292,1018.0,1022.8,1013.9
0,2021-02-03,268,1020.8,1023.0,1019.5
0,2021-02-04,253,1020.5,1021.3,1019.3
0,2021-02-05,218,1017.3,1021.6,1014.5
0,2021-02-06,209,1013.7,1015.0,1012.3
0,2021-02-07,252,1014.7,1015.6,1013.7
0,2021-02-08,320,1018.7,1021.9,1015.1
0,2021-02-09,278,1021.7,1022.9,1020.7
0,2021-02-10,231,1020.2,1022.8,1018.4
0,2021-02-11,55,1020.4,1022.3,1019.5
0,2021-02-12,124,1021.3,1022.4,1019.6
0,2021-02-13,240,1019.9,1022.7,1016.9
0,2021-02-14,29,1007.1,1017.4,997.2
0,2021-02-15,266,1004.4,1012.3,998.8
0,2021-02-16,271,1009.5,1011.5,1007.4
0,2021-02-17,289,1010.0,1012.8,1008.0
0,2021-02-18,295,1015.4,1018.2,1012.1
0,2021-02-19,191,1015.3,1018.5,1013.2
0,2021-02-20,191,1012.1,1014.2,1010.2
0,2021-02-21,184,1013.0,1014.5,1011.8
0,2021-02-22,197,1011.5,1016.1,1008.9
0,2021-02-23,23,1017.7,1021.0,1015.4
0,2021-02-24,58,1020.4,1021.7,1019.1
0,2021-02-25,43,1018.1,1022.0,1015.9
0,2021-02-26,50,1017.6,1022.2,1014.4
0,2021-02-27,61,1024.6,1026.0,1023.2
0,2021-02-28,60,1023.3,1026.6,1020.3
0,2021-03-01,191,1011.0,1020.5,1003.1
0,2021-03-02,7,1019.6,1026.4,1011.4
0,2021-03-03,55,1025.0,1027.2,1023.1
0,2021-03-04,34,1018.9,1025.4,1012.3
0,2021-03-05,39,1013.5,1017.2,1010.5
0,2021-03-06,35,1020.6,1022.9,1017.4
0,2021-03-07,42,1020.9,1022.8,1019.7
0,2021-03-08,50,1020.3,1021.5,1019.3
0,2021-03-09,41,1019.7,1022.1,1018.1
0,2021-03-10,48,1023.5,1025.7,1021.5
0,2021-03-11,195,1022.2,1026.6,1018.7
0,2021-03-12,29,1010.6,1017.4,1007.1
0,2021-03-13,353,1014.3,1017.2,1012.5
0,2021-03-14,180,1016.1,1018.1,1014.6
0,2021-03-15,174,1014.7,1018.5,1011.6
0,2021-03-16,190,1010.5,1012.5,1009.2
0,2021-03-17,46,1014.0,1016.2,1012.1
0,2021-03-18,35,1015.0,1016.5,1013.4
0,2021-03-19,4,1014.3,1016.0,1012.6
0,2021-03-20,342,1006.9,1012.6,1002.5
0,2021-03-21,289,1008.1,1014.2,1003.8
0,2021-03-22,266,1017.2,1021.2,1013.8
0,2021-03-23,185,1020.6,1021.9,1019.7
0,2021-03-24,44,1018.7,1022.2,1016.7
0,2021-03-25,184,1016.8,1018.5,1015.3
0,2021-03-26,184,1018.1,1019.8,1017.1
0,2021-03-27,218,1011.9,1018.6,1005.1
0,2021-03-28,185,1003.9,1007.2,1000.9
0,2021-03-29,195,1006.2,1007.3,1005.2
0,2021-03-30,149,1008.0,1010.6,1005.8
0,2021-03-31,50,1011.1,1014.7,1008.9
0,2021-04-01,63,1015.6,1018.0,1013.4
0,2021-04-02,100,1017.2,1018.4,1015.9
0,2021-04-03,142,1011.4,1016.0,1007.0
0,2021-04-04,10,1008.4,1012.7,1005.1
0,2021-04-05,40,1013.5,1014.8,1011.8
0,2021-04-06,182,1014.1,1015.0,1012.7
0,2021-04-07,280,1013.8,1015.7,1012.3
0,2021-04-08,104,1014.0,1017.9,1011.7
0,2021-04-09,51,1022.5,1027.0,1018.7
0,2021-04-10,59,1027.1,1029.0,1024.9
0,2021-04-11,43,1026.5,1029.6,1024.2
0,2021-04-12,75,1017.8,1024.3,1011.2
0,2021-04-13,247,1008.6,1010.6,1005.9
0,2021-04-14,352,1013.2,1017.7,1009.2
0,2021-04-15,51,1016.5,1017.9,1015.1
0,2021-04-16,321,1014.9,1016.7,1012.3
0,2021-04-17,262,1009.1,1013.4,1006.5
0,2021-04-18,293,1012.5,1015.0,1009.6
0,2021-04-19,201,1014.4,1017.0,1012.4
0,2021-04-20,207,1017.5,1019.0,1015.7
0,2021-04-21,274,1018.1,1019.7,1016.9
0,2021-04-22,66,1015.4,1017.9,1013.4
0,2021-04-23,168,1015.8,1017.3,1014.7
0,2021-04-24,342,1015.0,1017.8,1012.9
0,2021-04-25,20,1014.7,1018.5,1011.0
0,2021-04-26,55,1017.8,1019.4,1015.7
0,2021-04-27,355,1017.5,1019.6,1016.3
0,2021-04-28,356,1011.9,1017.2,1005.5
0,2021-04-29,133,1003.7,1005.3,1001.3
0,2021-04-30,207,1003.8,1006.5,998.8
0,2021-05-01,245,1002.7,1007.4,999.2
0,2021-05-02,287,1012.7,1017.2,1007.6
0,2021-05-03,185,1016.5,1018.2,1015.0
0,2021-05-04,186,1011.9,1016.3,1007.5
0,2021-05-05,168,1012.1,1016.3,1007.5
0,2021-05-06,173,1013.3,1016.6,1010.5
0,2021-05-07,164,1007.3,1010.8,1005.8
0,2021-05-08,199,1004.2,1006.9,1002.6
0,2021-05-09,221,1007.8,1010.2,1006.2
0,2021-05-10,205,1009.8,1010.9,1008.3
0,2021-05-11,46,1010.3,1011.2,1009.1
