location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Hiroshima,34.411247,132.45284,8.0,0,GMT,GMT
1,Fukuyama,34.481544,133.4131,11.0,0,GMT,GMT
2,Shoubara,34.83304,133.0038,270.0,0,GMT,GMT
3,Kure,34.27065,132.57214,4.0,0,GMT,GMT

location_id,time,wind_direction_10m_dominant (°),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa)
0,2021-01-01,265,1022.7,1024.0,1021.6
0,2021-01-02,297,1024.6,1028.1,1021.9
0,2021-01-03,303,1028.3,1029.4,1026.3
0,2021-01-04,16,1026.6,1030.0,1024.3
0,2021-01-05,317,1021.1,1024.6,1019.0
0,2021-01-06,262,1017.3,1020.0,1012.9
0,2021-01-07,292,1017.5,1019.0,1014.1
0,2021-01-08,281,1017.6,1019.3,1016.6
0,2021-01-09,282,1019.3,1023.0,1017.2
0,2021-01-10,278,1024.2,1027.4,1022.4
0,2021-01-11,134,1020.6,1027.6,1015.9
0,2021-01-12,245,1016.6,1018.4,1014.3
0,2021-01-13,210,1018.7,1020.9,1016.8
0,2021-01-14,34,1021.6,1022.7,1019.8
0,2021-01-15,181,1017.1,1022.3,1014.3
0,2021-01-16,307,1018.1,1020.8,1014.4
0,2021-01-17,294,1021.8,1023.7,1020.2
0,2021-01-18,254,1019.7,1025.8,1015.8
0,2021-01-19,18,1029.3,1031.7,1026.2
0,2021-01-20,60,1028.8,1032.0,1027.6
0,2021-01-21,131,1021.7,1027.4,1017.5
0,2021-01-22,29,1016.6,1019.1,1014.6
0,2021-01-23,24,1015.5,1017.7,1013.9
0,2021-01-24,17,1022.8,1026.4,1018.9
0,2021-01-25,45,1023.2,1027.0,1020.4
0,2021-01-26,15,1015.1,1019.9,1012.3
0,2021-01-27,13,1016.4,1018.2,1013.9
0,2021-01-28,276,1011.9,1016.8,1008.3
0,2021-01-29,292,1021.4,1025.4,1017.1
0,2021-01-30,271,1025.9,1029.1,1023.7
0,2021-01-31,126,1027.1,1030.0,1023.1
0,2021-02-01,213,1016.3,1022.3,1013.9
0,2021-02-02,295,1020.0,1024.0,1016.6
0,2021-02-03,254,1022.5,1024.7,1020.5
0,2021-02-04,315,1022.5,1023.5,1020.7
0,2021-02-05,192,1019.0,1023.8,1016.6
0,2021-02-06,155,1015.5,1016.8,1013.8
0,2021-02-07,297,1016.5,1017.5,1015.4
0,2021-02-08,319,1020.8,1024.1,1017.1
0,2021-02-09,324,1023.9,1024.7,1022.5
0,2021-02-10,179,1022.1,1024.8,1019.6
0,2021-02-11,50,1023.1,1024.7,1021.5
0,2021-02-12,57,1024.2,1025.5,1022.3
0,2021-02-13,31,1022.4,1025.9,1019.6
0,2021-02-14,9,1010.2,1020.0,1000.2
0,2021-02-15,286,1005.5,1013.9,999.6
0,2021-02-16,272,1010.8,1013.4,1008.5
0,2021-02-17,290,1011.7,1014.3,1009.4
0,2021-02-18,278,1017.3,1020.0,1014.0
0,2021-02-19,194,1016.4,1020.3,1014.6
0,2021-02-20,199,1013.4,1015.6,1011.0
0,2021-02-21,186,1014.6,1015.8,1013.4
0,2021-02-22,195,1013.3,1018.5,1010.5
0,2021-02-23,11,1020.6,1024.7,1017.6
0,2021-02-24,48,1023.9,1025.8,1020.9
0,2021-02-25,56,1021.7,1025.9,1020.5
0,2021-02-26,33,1022.2,1026.8,1019.1
0,2021-02-27,36,1028.2,1029.7,1025.9
0,2021-02-28,60,1026.3,1030.2,1023.4
0,2021-03-01,202,1013.5,1023.9,1005.0
0,2021-03-02,8,1022.5,1029.7,1013.7
0,2021-03-03,43,1028.0,1030.7,1025.8
0,2021-03-04,52,1022.1,1028.6,1016.4
0,2021-03-05,18,1016.8,1020.0,1014.0
0,2021-03-06,22,1024.5,1026.9,1020.9
0,2021-03-07,46,1023.9,1026.8,1022.8
0,2021-03-08,24,1023.5,1024.9,1021.2
0,2021-03-09,17,1022.2,1024.8,1020.1
0,2021-03-10,23,1026.7,1029.1,1023.6
0,2021-03-11,63,1024.7,1029.5,1021.9
0,2021-03-12,26,1013.6,1020.9,1009.8
0,2021-03-13,1,1016.7,1019.5,1014.8
0,2021-03-14,26,1018.3,1020.4,1016.7
0,2021-03-15,198,1016.8,1020.8,1013.9
0,2021-03-16,30,1012.9,1015.7,1011.1
0,2021-03-17,24,1017.4,1020.5,1014.0
0,2021-03-18,60,1018.0,1020.5,1015.8
0,2021-03-19,62,1017.1,1019.1,1015.6
0,2021-03-20,52,1009.4,1015.6,1004.6
0,2021-03-21,327,1010.2,1016.2,1005.9
0,2021-03-22,312,1019.2,1023.4,1015.6
0,2021-03-23,183,1022.1,1023.8,1020.2
0,2021-03-24,185,1020.9,1024.4,1018.9
0,2021-03-25,52,1018.9,1020.7,1017.2
0,2021-03-26,10,1020.7,1021.8,1019.2
0,2021-03-27,183,1014.3,1021.4,1008.0
0,2021-03-28,186,1005.4,1008.1,1002.7
0,2021-03-29,229,1007.5,1009.5,1005.4
0,2021-03-30,21,1010.7,1014.0,1007.6
0,2021-03-31,359,1014.1,1018.8,1011.0
0,2021-04-01,58,1018.9,1021.2,1016.6
0,2021-04-02,102,1019.7,1021.5,1018.6
0,2021-04-03,196,1013.8,1018.5,1009.7
0,2021-04-04,8,1011.3,1016.5,1007.2
0,2021-04-05,20,1017.2,1018.5,1014.8
0,2021-04-06,97,1016.3,1018.1,1014.3
0,2021-04-07,346,1016.0,1017.6,1014.5
0,2021-04-08,8,1016.6,1021.4,1013.4
0,2021-04-09,29,1025.9,1031.2,1020.6
0,2021-04-10,39,1030.1,1032.4,1027.8
0,2021-04-11,51,1029.2,1032.7,1027.4
0,2021-04-12,140,1020.3,1027.1,1013.8
0,2021-04-13,207,1010.3,1013.2,1008.4
0,2021-04-14,353,1015.9,1020.8,1011.0
0,2021-04-15,91,1019.1,1020.2,1017.4
0,2021-04-16,130,1017.2,1019.6,1014.8
0,2021-04-17,246,1010.9,1015.7,1007.9
0,2021-04-18,312,1014.3,1016.9,1011.5
0,2021-04-19,123,1015.9,1019.1,1013.2
0,2021-04-20,27,1019.7,1021.8,1017.7
